LA,ESTAB,URN,PERCTOT,PPERSABS10
383,7005,142630,26.2,59.4
383,7007,145732,17.8,50
383,7008,148654,11.6,34.8
383,7015,108119,13.3,38.7
383,7016,108120,12.5,37.1
383,7062,108123,12.5,28.7
383,7072,108133,7.4,21.1
383,7074,134884,10.5,29.4
384,2002,138401,6.7,20.6
384,2003,139080,6,10.2
384,2004,139279,6.4,19
384,2005,139280,8.1,27
384,2007,139573,7.6,29.1
384,2008,140003,6.3,17.2
384,2009,140023,5.4,14.7
384,2010,140333,6.6,20.7
384,2011,140337,3.8,9
384,2012,140558,8.7,30.2
384,2014,141144,8.4,28.8
384,2021,141409,7.7,27.3
384,2022,141878,5.3,12.1
384,2023,141961,8.7,32.7
384,2024,144400,8.5,28.7
384,2029,145576,6.5,20.3
384,2030,145939,7.4,25.5
384,2031,145940,6.9,20.2
384,2036,145941,4.9,10.9
384,2038,146034,6.8,21.7
384,2039,108141,6.4,19.8
384,2040,142493,7,23.7
384,2041,146666,8.8,31.2
384,2052,141799,5.8,14.2
384,2054,108148,5.9,17.4
384,2057,142359,4.8,10.9
384,2060,108152,5.5,13.3
384,2061,137643,6.7,20.2
384,2067,143003,7.5,25.4
384,2069,143810,5.7,15.8
384,2070,108158,6.4,17
384,2076,108162,6.1,17.2
384,2078,140085,4.7,7.7
384,2079,108164,6.2,21.5
384,2080,139108,6.1,16.2
384,2084,108167,5.7,SUPP
384,2088,144573,7.5,23.5
384,2091,108171,5.7,13.3
384,2094,139503,5.3,12.2
384,2095,139504,4.9,11.1
384,2100,138332,6.8,18.6
384,2101,138535,8.7,31.1
384,2115,139499,3.8,3.3
384,2116,137737,4.1,SUPP
384,2128,108195,8.3,30.6
384,2129,143078,5.7,12.6
384,2131,137438,6.4,20.6
384,2133,108200,8.6,31.1
384,2142,137148,4.3,4.9
384,2147,139502,5.2,11.3
384,2150,108206,6.3,20.3
384,2152,108208,5.5,15.6
384,2154,108210,7.7,26.9
384,2155,108211,7.5,18.9
384,2156,108212,5.8,10.3
384,2159,108215,8,27.1
384,2160,108216,5.9,19.3
384,2162,108218,6.3,21
384,2163,108219,4.1,7.7
384,2170,144237,3.8,8.3
384,2172,141522,8.7,30.3
384,2173,108229,10.5,33.3
384,2178,139359,6.2,15.4
384,2179,140312,6.1,14.9
384,2180,108236,7.1,24.7
384,2182,144332,6.5,18.4
384,2184,141290,6.2,17.6
384,2185,144331,7.4,20.3
384,2186,130864,8.5,29.7
384,2187,143381,8.7,28.2
384,2189,130859,7.5,25.7
384,2191,130866,8.1,30.6
384,2192,130863,8.1,27.7
384,2193,130862,7.7,27.9
384,2195,130972,7.7,26.6
384,2196,145798,7.8,20.9
384,2197,144449,7.7,25.1
384,2199,148287,4.9,7.1
384,2201,144563,5.7,15.3
384,2203,130375,7.6,21.4
384,2204,131734,6,18.5
384,2206,133318,9.3,37.3
384,2207,143811,6.7,21.2
384,2208,133621,7.9,24.4
384,2209,133758,7.7,26.4
384,3003,140110,4.9,11
384,3006,137967,4.3,8.8
384,3010,108246,4.9,9.2
384,3015,108247,6.5,20.5
384,3018,108249,7.4,27.4
384,3019,138293,5.2,9.6
384,3021,108252,7.6,23.8
384,3022,130964,5.3,13.1
384,3023,130977,5.7,13
384,3301,108253,6.1,16.1
384,3303,142155,6.4,17.8
384,3305,108255,5,11
384,3311,141595,8.5,32
384,3316,143960,5.9,17
384,3318,108259,5.4,14.2
384,3319,108260,5.4,13.6
384,3327,138949,6.2,15.1
384,3329,138941,8.4,27.2
384,3330,138958,5.9,12.8
384,3332,138946,5.9,12.9
384,3333,138947,4.6,9.8
384,3336,141594,8,27.4
384,3337,140453,7.3,23.4
384,3338,108269,7.4,25
384,3339,108270,7.5,26.6
384,3341,134376,6,18.6
384,3342,141282,4.8,8.3
384,3343,136005,6.7,17.9
384,4000,138593,8.1,21.5
384,4006,108271,7,20.2
384,4007,145579,10.7,34.2
384,4009,136394,10.6,34.7
384,4013,145937,11.3,36.8
384,4014,145938,12.5,40
384,4015,136633,8,24.1
384,4020,139500,7.9,24.2
384,4023,136462,8.1,22.4
384,4026,136613,11.9,38.1
384,4027,139501,7.8,19
384,4028,138707,8.7,25.1
384,4029,137001,7.9,24.3
384,4030,137011,10.7,36.6
384,4031,138006,10.1,32.5
384,4604,138951,8.4,28
384,4800,138950,10.8,34.3
384,6905,135961,8.9,28.7
384,7002,108311,8.9,27.3
384,7054,133718,11.7,40.4
384,7055,133719,10.7,35.9
384,7056,131526,32.6,71.6
390,2008,108321,6.9,21.2
390,2012,108323,8.7,32.3
390,2036,108326,10.5,42.2
390,2039,108327,5.9,17.6
390,2049,108329,5,8.4
390,2051,108330,9.4,30
390,2055,108332,5.4,13.1
390,2056,108333,5.9,13.9
390,2058,138211,6.1,19.7
390,2162,108336,6,17.3
390,2163,108337,7,25.6
390,2164,108338,6.5,18.1
390,2167,108339,4.9,14.3
390,2168,108340,6.5,21.2
390,2172,108342,7.7,30.1
390,2177,108346,6.3,19.1
390,2181,108348,6.3,16
390,2182,108349,6.5,22.6
390,2184,108350,5.3,11.8
390,2186,108351,6.8,26.7
390,2188,108352,5.9,8.5
390,2193,108355,6,16.3
390,2194,108356,6,15
390,2197,108357,4.6,7.7
390,2198,108358,7.8,25.3
390,2200,108359,5.9,16
390,2205,108360,6.4,17.6
390,2213,108361,8.2,29.7
390,2214,108362,6.3,21.7
390,2216,108363,5.6,14.4
390,2219,108366,5.7,17.2
390,2220,138285,5.5,13.9
390,2221,108368,6.8,21.1
390,2222,108369,6.1,23.8
390,2224,108371,6.4,15.2
390,2225,108372,8,27.3
390,2226,108373,6,16.2
390,2227,108374,6,17.1
390,2228,108375,7.6,25.2
390,2229,108376,7.3,20.3
390,2231,108378,5.9,9.4
390,2232,108379,7.2,19.7
390,2233,108380,7.9,30.3
390,2234,131106,2.8,3.1
390,2235,131107,6.9,23.2
390,2236,131466,7.1,23.4
390,2237,132145,7.4,24.6
390,2238,131077,5.9,14.5
390,2239,131081,6.7,18.8
390,3001,108381,4.8,9.6
390,3313,108382,4.5,9.2
390,3317,148604,5.3,14
390,3318,148409,5.4,13.6
390,3319,108385,3.6,7.1
390,3322,147135,7.1,21.2
390,3324,148844,5.7,14.9
390,3325,148809,6.5,14.8
390,3326,108390,5.6,15.5
390,3327,108391,5.4,9.5
390,3328,108392,4.5,8.8
390,3329,140638,5.4,7
390,3330,148810,6,15.1
390,3331,108395,5.9,15.3
390,3333,108396,5.1,10.6
390,3335,148410,5.5,11.5
390,3336,148605,5.6,13.9
390,3339,108400,7.5,22.5
390,4001,141185,10.8,33.3
390,4002,145490,14.9,42.6
390,4003,147178,15.2,46.5
390,4004,148617,5.8,15.1
390,4027,137942,11.1,31.5
390,4029,137360,9.2,27.9
390,4041,108410,13.6,43.6
390,4605,137852,8.1,21.7
390,4606,137851,8.7,24.7
390,6900,108420,7.6,22.7
390,7002,138652,9.2,28.5
390,7006,108426,23.5,60
390,7007,131213,8.8,29.3
390,7008,130942,10.2,30.2
390,7009,131200,9.2,24.4
390,7010,133397,6.8,23.1
391,2000,108437,6.8,19.9
391,2001,108438,4.6,7
391,2002,108439,3.5,5.6
391,2003,108440,5.5,13.1
391,2004,144524,6.8,20.2
391,2005,108442,4.7,10.4
391,2006,108443,5.9,13.3
391,2008,138577,6.7,24.7
391,2009,108444,5.4,13.1
391,2010,138212,6.3,24.1
391,2011,138995,6.8,22.5
391,2012,108446,4.8,11.2
391,2013,108447,5.2,10.6
391,2014,144559,7,21.9
391,2015,108449,6.7,22.7
391,2016,108450,4.9,11.2
391,2017,108451,4.7,7.9
391,2018,143271,7.3,24.1
391,2019,139729,9.1,33.7
391,2020,108453,7.1,24.9
391,2021,108454,8.9,32.3
391,2022,144970,5.9,20
391,2023,144971,4.7,10.1
391,2027,143272,7.5,28.8
391,2030,108456,8.8,27.6
391,2031,108457,6.3,17.9
391,2032,108458,8.6,32.7
391,2033,131203,5.3,11.9
391,2050,108459,3.9,4.7
391,2080,108460,4,8.9
391,2090,108461,10,42.4
391,2100,108463,7.1,20.8
391,2170,108465,5.3,12.2
391,2210,108466,6.5,18
391,2225,108468,7.1,25.5
391,2250,144272,8.1,28.2
391,2300,143268,9,33.3
391,2462,143269,7.9,32.4
391,2670,108475,6.7,18.5
391,2720,108476,5,16.8
391,2735,143266,7.2,22.5
391,2880,144273,7.1,22.5
391,2890,140788,6.4,22.7
391,2940,144269,9.4,38.7
391,2960,108487,6,16.1
391,2990,143273,7.2,21.6
391,2995,143267,7.2,28.7
391,2996,143270,5.4,14.1
391,2998,108491,7.7,26.3
391,2999,108492,10.5,39.5
391,3321,108493,7.7,33.1
391,3471,108495,5.2,10.4
391,3472,148269,4.6,6.5
391,3473,148811,4.4,4.4
391,3474,148443,8.6,28.7
391,3475,148444,9.4,35.4
391,3476,148270,6.6,20.6
391,3477,108501,4.6,10.9
391,3485,108502,4.5,12.8
391,3650,148445,6,19.5
391,3662,145624,4.7,9.2
391,3762,148446,6,18
391,3765,108506,6,13.1
391,3778,148271,6.2,20.6
391,3781,148812,5.8,20.7
391,3792,148272,5.3,15.5
391,3799,148273,5.8,19.1
391,3835,148813,5.5,11.6
391,3842,108514,5,13.1
391,3874,148447,6.6,18.8
391,3875,135286,4.6,9
391,3876,144270,7.2,22.6
391,4000,140965,13.7,46.2
391,4005,143923,6.6,11.5
391,4006,145900,16.3,49
391,4007,146752,9.5,28.7
391,4008,148135,15.8,42.3
391,4009,148573,7.9,30.4
391,4190,108519,5.8,15.2
391,4303,136348,6.6,14.3
391,4305,108521,6,13.8
391,4429,136352,10.6,31.9
391,4450,145528,13.8,43
391,4480,144271,16.8,48.2
391,4485,138120,14.5,43.1
391,4714,140081,7.4,19
391,4715,137900,9.1,28.7
391,4716,137708,8.4,24.5
391,6905,135423,10.4,33.3
391,7004,108551,12.1,36.4
391,7033,141865,34.4,70
391,7034,131986,14.9,51.5
391,7035,131987,13.9,41.8
391,7036,146680,7.8,26.6
391,7038,133779,22,69.8
392,2000,108569,5.1,9.1
392,2001,138576,8.4,23.8
392,2004,108571,6.3,17.6
392,2008,108572,6.2,16.7
392,2013,108573,3.9,4.7
392,2016,108574,8.1,31
392,2021,108575,7.1,24.6
392,2022,108576,4.2,7.1
392,2024,108577,6.7,16.5
392,2026,108578,4.4,8.5
392,2031,108579,5.9,17.7
392,2032,108580,5.9,15.4
392,2036,108581,5.3,8.7
392,2037,108582,4.4,9.1
392,2041,108583,5,11.4
392,2042,108584,6.3,15.6
392,2046,108585,4.3,5.3
392,2048,108586,6.3,17
392,2054,108587,6.7,20.7
392,2055,108588,4.7,10.1
392,2058,108589,4.9,9.9
392,2059,108590,5.3,9.9
392,2060,108591,5.1,9.5
392,2062,108592,7.9,19.4
392,2065,108594,6.2,17.3
392,2068,108595,6.4,17.7
392,2069,108596,7.5,27.1
392,2070,108597,7.5,24.1
392,2072,108599,5.8,15.8
392,2074,108600,3.1,2.1
392,2076,108602,6.1,20.5
392,2077,108603,7.5,21.5
392,2078,108604,5,8.5
392,2079,108605,5.6,15.6
392,2080,108606,9.1,33.6
392,2081,108607,6,18.9
392,2082,108608,6.7,21.8
392,2083,108609,5.3,13.4
392,2084,108610,6.3,15.6
392,2085,108611,6.4,17.9
392,2086,108612,6,20.6
392,2087,132141,5.4,13.8
392,2088,133384,5.5,10.7
392,3301,108614,6,20.5
392,3302,108615,6.3,19.8
392,3305,148448,6.5,18.6
392,3308,148449,8.5,30.3
392,3309,148450,3.1,5
392,3315,108620,5.1,10
392,3316,108621,6.3,21.2
392,3317,148451,7.1,19.8
392,3318,148814,7,21.3
392,3319,148815,5.7,13.8
