LA,ESTAB,URN,PERCTOT,PPERSABS10
383,3360,139355,4.9,8.2
383,3361,139350,5.1,9.6
383,3362,108016,4.2,10.3
383,3363,139354,3.5,3.3
383,3364,108018,5.2,9.4
383,3365,138945,5.1,12.4
383,3366,108020,5,8.4
383,3367,108021,3.4,3.8
383,3368,147482,5.8,16
383,3370,108024,3.7,8.8
383,3371,108025,4,8.6
383,3372,108026,4.1,6.6
383,3373,147483,4.4,9.2
383,3374,108028,4.2,11.1
383,3375,108029,4.3,11.6
383,3376,108030,6.4,19.8
383,3377,147484,7.7,29.1
383,3378,147485,3.6,6.5
383,3379,108033,4.4,8
383,3381,147486,4.2,3.8
383,3382,108036,5.8,17.5
383,3383,147487,3.8,4.2
383,3385,108039,4.6,10.4
383,3902,108041,3.2,3.3
383,3903,108042,3.3,4.3
383,3904,108043,7.8,24.9
383,3907,108046,2.4,2.2
383,3908,108047,5.5,14.1
383,3909,108048,4.1,7.5
383,3910,138824,7.6,21.2
383,3911,108050,2.9,1.6
383,3912,108051,7,22.4
383,3913,108052,4.2,10.6
383,3915,108054,5.5,11.8
383,3917,134405,7.6,23.2
383,3920,145525,6.2,17.5
383,3921,134407,6.6,18.2
383,3922,134513,7.2,22.7
383,3923,146215,8.5,33.3
383,3925,134913,6.4,19.7
383,3926,134973,4.8,12.3
383,3927,121791,5.5,14.2
383,3928,131111,5.9,15.6
383,3929,131570,4.5,8.8
383,3931,135210,5.6,15
383,4000,136826,12.4,40.7
383,4006,108055,11,35.2
383,4026,137577,8.3,20.8
383,4032,108057,8,25.8
383,4040,108058,8.4,26.6
383,4041,108059,8,23.1
383,4046,146247,9.6,26.2
383,4047,142585,9.6,28.6
383,4061,139646,11.3,38.9
383,4062,108075,11.3,33.9
383,4063,108076,7.4,21
383,4065,137065,15.3,48.8
383,4066,139773,8.4,24.7
383,4067,140565,6.9,19.8
383,4068,141883,15.4,43.1
383,4071,142056,7,18.6
383,4072,142604,11.1,40.2
383,4075,144743,6.6,18.8
383,4076,144809,13.4,39.7
383,4077,145927,9.4,26.2
383,4078,146363,16.2,47.1
383,4079,148527,11.3,35.1
383,4080,148560,5,14.6
383,4081,148616,8.4,23.5
383,4082,148793,13.7,38
383,4101,136392,7.6,19.8
383,4102,108079,10.2,32.1
383,4103,138336,8.1,22.1
383,4105,137383,9.3,26.1
383,4106,108083,7,18.8
383,4107,138304,9.7,28.6
383,4108,108085,9.6,26.7
383,4110,144588,8.7,27.5
383,4111,108088,9.9,33.3
383,4112,136343,9,28.3
383,4113,143238,8.6,23.9
383,4114,146217,8.2,24.8
383,4115,137775,6.6,15.2
383,4501,137704,9.5,28.5
383,4601,139351,7.7,21.6
383,4751,108095,5.7,14.8
383,4752,148294,11.6,35.4
383,4753,108097,5.1,11.9
383,5200,108100,4.7,11.1
383,5400,137083,5.6,13.8
383,6906,135935,13.1,37.7
383,7004,138380,12.4,33.3
