2021 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    % FEMALE ,26.3,24.4,19.8,14.8,8.5,4.1,1,1.1,
,,,,,,,,,
    TOTAL MALE,981,941,1034,887,694,428,130,54,5149
,,,,,,,,,
    % MALE ,19.1,18.3,20.1,17.2,13.5,8.3,2.5,1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CEIMIC,2063,1907,1700,1337,912,534,218,123,8794
,,,,,,,,,
    CHEMISTRY,23.5,21.7,19.3,15.2,10.4,6.1,2.5,1.4,
,,,,,,,,,
    TOTAL FEMALE,1265,1233,1053,784,516,264,104,53,5272
,,,,,,,,,
    % FEMALE ,24,23.4,20,14.9,9.8,5,2,1,
,,,,,,,,,
    TOTAL MALE,798,674,647,553,396,270,114,70,3522
,,,,,,,,,
    % MALE ,22.7,19.1,18.4,15.7,11.2,7.7,3.2,2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FISIC & CEIMIC,84,77,57,60,57,26,15,6,382
,,,,,,,,,
    PHYSICS & CHEMISTR,22,20.2,14.9,15.7,14.9,6.8,3.9,1.6,
,,,,,,,,,
    TOTAL FEMALE,42,36,29,29,22,10,3,3,174
,,,,,,,,,
    % FEMALE ,24.1,20.7,16.7,16.7,12.6,5.7,1.7,1.7,
,,,,,,,,,
    TOTAL MALE,42,41,28,31,35,16,12,3,208
,,,,,,,,,
    % MALE ,20.2,19.7,13.5,14.9,16.8,7.7,5.8,1.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EOLAÍOCHT TALMHAÍO,855,1255,1704,1624,1186,661,174,94,7553
,,,,,,,,,
    AGRICULTURAL SCIEN,11.3,16.6,22.6,21.5,15.7,8.8,2.3,1.2,
,,,,,,,,,
    TOTAL FEMALE,527,683,780,623,405,201,57,28,3304
,,,,,,,,,
    % FEMALE ,16,20.7,23.6,18.9,12.3,6.1,1.7,0.8,
,,,,,,,,,
    TOTAL MALE,328,572,924,1001,781,460,117,66,4249
,,,,,,,,,
    % MALE ,7.7,13.5,21.7,23.6,18.4,10.8,2.8,1.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BITHEOLAÍOCHT,5372,5581,5937,5501,4225,2722,943,396,30677
,,,,,,,,,
    BIOLOGY,17.5,18.2,19.4,17.9,13.8,8.9,3.1,1.3,
,,,,,,,,,
    TOTAL FEMALE,3798,3843,3879,3340,2377,1470,457,189,19353
,,,,,,,,,
    % FEMALE ,19.6,19.8,20,17.3,12.3,7.6,2.4,1,
,,,,,,,,,
    TOTAL MALE,1574,1738,2058,2161,1848,1252,486,207,11324
,,,,,,,,,
    % MALE ,13.9,15.3,18.2,19.1,16.3,11.1,4.3,1.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    INNEALTÓIREACHT,604,1060,1458,1228,748,319,86,52,5555
,,,,,,,,,
    ENGINEERING,10.9,19.1,26.2,22.1,13.5,5.7,1.5,0.9,
,,,,,,,,,
    TOTAL FEMALE,78,91,139,80,45,23,3,3,462
,,,,,,,,,
    % FEMALE ,16.9,19.7,30.1,17.3,9.7,5,0.6,0.6,
,,,,,,,,,
    TOTAL MALE,526,969,1319,1148,703,296,83,49,5093
,,,,,,,,,
    % MALE ,10.3,19,25.9,22.5,13.8,5.8,1.6,1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIDÉAR FOIRGNÍOC,942,1814,2360,2004,1218,507,141,138,9124
,,,,,,,,,
    CONSTRUCTION STUDI,10.3,19.9,25.9,22,13.3,5.6,1.5,1.5,
,,,,,,,,,
    TOTAL FEMALE,200,307,298,214,113,34,12,16,1194
,,,,,,,,,
    % FEMALE ,16.8,25.7,25,17.9,9.5,2.8,1,1.3,
,,,,,,,,,
    TOTAL MALE,742,1507,2062,1790,1105,473,129,122,7930
,,,,,,,,,
    % MALE ,9.4,19,26,22.6,13.9,6,1.6,1.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CUNTASAÍOCHT,1785,1646,1369,946,655,312,100,59,6872
,,,,,,,,,
    ACCOUNTING,26,24,19.9,13.8,9.5,4.5,1.5,0.9,
,,,,,,,,,
    TOTAL FEMALE,954,867,686,428,274,130,42,23,3404
,,,,,,,,,
    % FEMALE ,28,25.5,20.2,12.6,8,3.8,1.2,0.7,
,,,,,,,,,
    TOTAL MALE,831,779,683,518,381,182,58,36,3468
,,,,,,,,,
    % MALE ,24,22.5,19.7,14.9,11,5.2,1.7,1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GNÓ,2141,3075,3360,3092,2232,1176,315,182,15573
,,,,,,,,,
    BUSINESS,13.7,19.7,21.6,19.9,14.3,7.6,2,1.2,
,,,,,,,,,
    TOTAL FEMALE,1317,1734,1689,1459,947,493,127,75,7841
,,,,,,,,,
    % FEMALE ,16.8,22.1,21.5,18.6,12.1,6.3,1.6,1,
,,,,,,,,,
    TOTAL MALE,824,1341,1671,1633,1285,683,188,107,7732
,,,,,,,,,
    % MALE ,10.7,17.3,21.6,21.1,16.6,8.8,2.4,1.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT,676,1113,1248,984,602,261,60,35,4979
,,,,,,,,,
    ECONOMICS,13.6,22.4,25.1,19.8,12.1,5.2,1.2,0.7,
,,,,,,,,,
    TOTAL FEMALE,297,457,478,296,170,80,14,14,1806
,,,,,,,,,
    % FEMALE ,16.4,25.3,26.5,16.4,9.4,4.4,0.8,0.8,
,,,,,,,,,
    TOTAL MALE,379,656,770,688,432,181,46,21,3173
,,,,,,,,,
    % MALE ,11.9,20.7,24.3,21.7,13.6,5.7,1.4,0.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SEAPÁINIS,78,61,50,31,15,8,4,3,250
,,,,,,,,,
    JAPANESE,31.2,24.4,20,12.4,6,3.2,1.6,1.2,
,,,,,,,,,
    TOTAL FEMALE,44,34,31,18,7,2,1,2,139
,,,,,,,,,
    % FEMALE ,31.7,24.5,22.3,12.9,5,1.4,0.7,1.4,
,,,,,,,,,
    TOTAL MALE,34,27,19,13,8,6,3,1,111
,,,,,,,,,
    % MALE ,30.6,24.3,17.1,11.7,7.2,5.4,2.7,0.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    ARAIBIS,91,37,23,9,3,0,0,1,164
,,,,,,,,,
    ARABIC,55.5,22.6,14,5.5,1.8,0,0,0.6,
,,,,,,,,,
    TOTAL FEMALE,47,13,6,1,1,0,0,0,68
,,,,,,,,,
