2021 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
ORDINARY LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
,,,,,,,,,
    TOTAL FEMALE,2,19,36,55,61,50,20,23,266
,,,,,,,,,
    % FEMALE ,0.8,7.1,13.5,20.7,22.9,18.8,7.5,8.6,
,,,,,,,,,
    TOTAL MALE,5,33,94,135,154,142,40,46,649
,,,,,,,,,
    % MALE ,0.8,5.1,14.5,20.8,23.7,21.9,6.2,7.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BITHEOLAÍOCHT,70,286,638,969,1041,793,219,195,4211
,,,,,,,,,
    BIOLOGY,1.7,6.8,15.1,23,24.7,18.8,5.2,4.6,
,,,,,,,,,
    TOTAL FEMALE,41,171,345,512,544,407,96,93,2209
,,,,,,,,,
    % FEMALE ,1.9,7.7,15.6,23.2,24.6,18.4,4.3,4.2,
,,,,,,,,,
    TOTAL MALE,29,115,293,457,497,386,123,102,2002
,,,,,,,,,
    % MALE ,1.4,5.7,14.6,22.8,24.8,19.3,6.1,5.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    INNEALTÓIREACHT,42,94,129,121,107,104,40,54,691
,,,,,,,,,
    ENGINEERING,6.1,13.6,18.7,17.5,15.5,15.1,5.8,7.8,
,,,,,,,,,
    TOTAL FEMALE,4,14,11,9,7,10,6,4,65
,,,,,,,,,
    % FEMALE ,6.2,21.5,16.9,13.8,10.8,15.4,9.2,6.2,
,,,,,,,,,
    TOTAL MALE,38,80,118,112,100,94,34,50,626
,,,,,,,,,
    % MALE ,6.1,12.8,18.8,17.9,16,15,5.4,8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIDÉAR FOIRGNÍOC,13,67,168,165,200,187,73,130,1003
,,,,,,,,,
    CONSTRUCTION STUDI,1.3,6.7,16.7,16.5,19.9,18.6,7.3,13,
,,,,,,,,,
    TOTAL FEMALE,2,9,18,14,25,21,10,26,125
,,,,,,,,,
    % FEMALE ,1.6,7.2,14.4,11.2,20,16.8,8,20.8,
,,,,,,,,,
    TOTAL MALE,11,58,150,151,175,166,63,104,878
,,,,,,,,,
    % MALE ,1.3,6.6,17.1,17.2,19.9,18.9,7.2,11.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CUNTASAÍOCHT,350,304,278,180,117,128,35,62,1454
,,,,,,,,,
    ACCOUNTING,24,20.9,19.1,12.4,8.1,8.8,2.4,4.3,
,,,,,,,,,
    TOTAL FEMALE,201,155,137,84,46,55,11,21,710
,,,,,,,,,
    % FEMALE ,28.2,21.9,19.3,11.8,6.5,7.8,1.6,3,
