RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,826,4018,137052,Ousedale School,ACC,0,0,5,11,-1,191,81%,4%,77%,24%,18%,1%,1%,191,81%,5,10,0,0,0%,NA,NA,NA,0,0%,NA,NA,NA,96%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,826,4097,136730,Shenley Brook End School,ACC,0,0,0,7,-7,119,72%,3%,69%,15%,13%,0%,1%,119,72%,0,7,-7,0,0%,NA,NA,NA,0,0%,NA,NA,NA,100%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,826,4702,110517,St Paul's Catholic School,VA,0,0,18,24,11,197,81%,0%,78%,12%,12%,1%,4%,197,81%,18,23,12,0,0%,NA,NA,NA,0,0%,NA,NA,NA,89%,0%,81%,14%,14%,SUPP,8%
1,826,4703,136454,Oakgrove School,ACC,0,0,4,12,-4,111,81%,2%,79%,26%,22%,0%,0%,111,81%,4,11,-3,0,0%,NA,NA,NA,0,0%,NA,NA,NA,60%,0%,60%,30%,10%,0%,0%
1,826,4704,136844,The Hazeley Academy,ACC,0,0,4,11,-3,129,72%,4%,67%,15%,14%,0%,2%,129,72%,4,11,-3,0,0%,NA,NA,NA,0,0%,NA,NA,NA,71%,5%,67%,10%,10%,0%,0%
1,826,5406,110532,The Radcliffe School,FD,0,0,-8,1,-17,75,63%,4%,59%,16%,16%,1%,0%,75,63%,-8,1,-17,0,0%,NA,NA,NA,0,0%,NA,NA,NA,36%,7%,29%,7%,7%,SUPP,0%
1,826,5410,136468,Denbigh School,ACC,0,0,1,7,-5,193,74%,2%,70%,18%,17%,2%,1%,193,74%,1,6,-4,0,0%,NA,NA,NA,0,0%,NA,NA,NA,58%,5%,53%,11%,11%,0%,0%
1,826,6905,135665,The Milton Keynes Academy,AC,0,0,23,32,13,80,80%,1%,76%,3%,3%,0%,3%,65,82%,20,30,9,15,73%,33,57,8,0,0%,NA,NA,NA,83%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,826,8004,130609,Milton Keynes College,General Further Education College,0,0,-3,0,-6,560,42%,1%,34%,2%,1%,0%,7%,134,49%,-9,-2,-15,98,46%,7,16,-2,328,38%,-4,1,-9,46%,0%,37%,1%,1%,0%,8%
LA,826,,,,,,,3,NA,NA,1987,66%,2%,61%,11%,10%,SP,3%,1518,73%,4,NA,NA,140,51%,11,NA,NA,329,38%,-3,NA,NA,65%,2%,61%,12%,10%,1%,3%
