"Entry year","Provider name","Accepted applicants"
"2015 - 2016","H37 Hertford Regional College","30"
"2016 - 2017","H37 Hertford Regional College","25"
"2017 - 2018","H37 Hertford Regional College","65"
"2018 - 2019","H37 Hertford Regional College","50"
"2019 - 2020","H37 Hertford Regional College","35"
"2020 - 2021","H37 Hertford Regional College","45"
"2021 - 2022","H37 Hertford Regional College","50"
"2022 - 2023","H37 Hertford Regional College","50"
"2023 - 2024","H37 Hertford Regional College","35"
"2014 - 2015","H51 Holy Cross Sixth Form College and University Centre","165"
"2015 - 2016","H51 Holy Cross Sixth Form College and University Centre","165"
"2016 - 2017","H51 Holy Cross Sixth Form College and University Centre","130"
"2017 - 2018","H51 Holy Cross Sixth Form College and University Centre","135"
"2018 - 2019","H51 Holy Cross Sixth Form College and University Centre","140"
"2019 - 2020","H51 Holy Cross Sixth Form College and University Centre","115"
"2020 - 2021","H51 Holy Cross Sixth Form College and University Centre","85"
"2021 - 2022","H51 Holy Cross Sixth Form College and University Centre","45"
"2022 - 2023","H51 Holy Cross Sixth Form College and University Centre","40"
"2023 - 2024","H51 Holy Cross Sixth Form College and University Centre","40"
"2006 - 2007","H54 Hopwood Hall College","30"
"2007 - 2008","H54 Hopwood Hall College","25"
"2008 - 2009","H54 Hopwood Hall College","20"
"2009 - 2010","H54 Hopwood Hall College","35"
"2010 - 2011","H54 Hopwood Hall College","35"
"2011 - 2012","H54 Hopwood Hall College","60"
"2012 - 2013","H54 Hopwood Hall College","50"
"2013 - 2014","H54 Hopwood Hall College","20"
"2014 - 2015","H54 Hopwood Hall College","25"
"2015 - 2016","H54 Hopwood Hall College","5"
"2016 - 2017","H54 Hopwood Hall College","25"
"2017 - 2018","H54 Hopwood Hall College","15"
"2018 - 2019","H54 Hopwood Hall College","10"
"2019 - 2020","H54 Hopwood Hall College","30"
"2020 - 2021","H54 Hopwood Hall College","35"
"2021 - 2022","H54 Hopwood Hall College","65"
"2022 - 2023","H54 Hopwood Hall College","40"
"2023 - 2024","H54 Hopwood Hall College","60"
"2013 - 2014","H65 Hugh Baird College","130"
"2014 - 2015","H65 Hugh Baird College","205"
"2015 - 2016","H65 Hugh Baird College","165"
"2016 - 2017","H65 Hugh Baird College","170"
"2017 - 2018","H65 Hugh Baird College","225"
"2018 - 2019","H65 Hugh Baird College","150"
"2019 - 2020","H65 Hugh Baird College","215"
"2020 - 2021","H65 Hugh Baird College","150"
"2021 - 2022","H65 Hugh Baird College","210"
"2022 - 2023","H65 Hugh Baird College","145"
"2023 - 2024","H65 Hugh Baird College","125"
"2006 - 2007","H73 Hull College","360"
"2007 - 2008","H73 Hull College","420"
"2008 - 2009","H73 Hull College","405"
"2009 - 2010","H73 Hull College","595"
"2010 - 2011","H73 Hull College","610"
"2011 - 2012","H73 Hull College","615"
"2012 - 2013","H73 Hull College","570"
"2013 - 2014","H73 Hull College","550"
"2014 - 2015","H73 Hull College","500"
"2015 - 2016","H73 Hull College","335"
"2016 - 2017","H73 Hull College","290"
"2017 - 2018","H73 Hull College","255"
"2018 - 2019","H73 Hull College","180"
"2019 - 2020","H73 Hull College","140"
"2020 - 2021","H73 Hull College","155"
"2021 - 2022","H73 Hull College","145"
"2022 - 2023","H73 Hull College","120"
"2023 - 2024","H73 Hull College","70"
"2013 - 2014","K85 Kingston Maurward College","40"
"2014 - 2015","K85 Kingston Maurward College","50"
"2015 - 2016","K85 Kingston Maurward College","35"
"2016 - 2017","K85 Kingston Maurward College","40"
"2017 - 2018","K85 Kingston Maurward College","40"
"2018 - 2019","K85 Kingston Maurward College","30"
"2019 - 2020","K85 Kingston Maurward College","40"
"2020 - 2021","K85 Kingston Maurward College","25"
"2021 - 2022","K85 Kingston Maurward College","15"
"2022 - 2023","K85 Kingston Maurward College","20"
"2023 - 2024","K85 Kingston Maurward College","15"
"2013 - 2014","H07 Harrogate College","5"
"2014 - 2015","H07 Harrogate College","65"
"2015 - 2016","H07 Harrogate College","25"
"2016 - 2017","H07 Harrogate College","15"
"2017 - 2018","H07 Harrogate College","15"
"2018 - 2019","H07 Harrogate College","10"
"2006 - 2007","L21 University Centre Leeds, Leeds City College","135"
"2007 - 2008","L21 University Centre Leeds, Leeds City College","125"
"2008 - 2009","L21 University Centre Leeds, Leeds City College","180"
"2009 - 2010","L21 University Centre Leeds, Leeds City College","190"
"2010 - 2011","L21 University Centre Leeds, Leeds City College","130"
"2011 - 2012","L21 University Centre Leeds, Leeds City College","175"
"2012 - 2013","L21 University Centre Leeds, Leeds City College","310"
"2013 - 2014","L21 University Centre Leeds, Leeds City College","190"
"2014 - 2015","L21 University Centre Leeds, Leeds City College","215"
"2015 - 2016","L21 University Centre Leeds, Leeds City College","220"
"2016 - 2017","L21 University Centre Leeds, Leeds City College","180"
"2017 - 2018","L21 University Centre Leeds, Leeds City College","200"
"2018 - 2019","L21 University Centre Leeds, Leeds City College","340"
"2019 - 2020","L21 University Centre Leeds, Leeds City College","410"
"2020 - 2021","L21 University Centre Leeds, Leeds City College","330"
"2021 - 2022","L21 University Centre Leeds, Leeds City College","295"
"2022 - 2023","L21 University Centre Leeds, Leeds City College","365"
"2023 - 2024","L21 University Centre Leeds, Leeds City College","315"
"2006 - 2007","L36 Leicester College","40"
"2007 - 2008","L36 Leicester College","60"
"2008 - 2009","L36 Leicester College","45"
"2009 - 2010","L36 Leicester College","105"
"2010 - 2011","L36 Leicester College","75"
"2011 - 2012","L36 Leicester College","90"
"2012 - 2013","L36 Leicester College","90"
"2013 - 2014","L36 Leicester College","95"
"2014 - 2015","L36 Leicester College","140"
"2015 - 2016","L36 Leicester College","125"
"2016 - 2017","L36 Leicester College","160"
"2017 - 2018","L36 Leicester College","145"
"2018 - 2019","L36 Leicester College","105"
"2019 - 2020","L36 Leicester College","65"
"2020 - 2021","L36 Leicester College","65"
"2021 - 2022","L36 Leicester College","65"
"2022 - 2023","L36 Leicester College","40"
"2023 - 2024","L36 Leicester College","45"
"2008 - 2009","L42 Lincoln College","35"
"2009 - 2010","L42 Lincoln College","45"
"2010 - 2011","L42 Lincoln College","70"
"2011 - 2012","L42 Lincoln College","45"
"2012 - 2013","L42 Lincoln College","90"
"2013 - 2014","L42 Lincoln College","170"
"2014 - 2015","L42 Lincoln College","140"
"2015 - 2016","L42 Lincoln College","125"
"2016 - 2017","L42 Lincoln College","110"
"2017 - 2018","L42 Lincoln College","160"
"2018 - 2019","L42 Lincoln College","115"
"2019 - 2020","L42 Lincoln College","175"
"2020 - 2021","L42 Lincoln College","130"
"2021 - 2022","L42 Lincoln College","145"
"2022 - 2023","L42 Lincoln College","125"
"2023 - 2024","L42 Lincoln College","120"
"2006 - 2007","L43 City of Liverpool College University Centre","80"
"2007 - 2008","L43 City of Liverpool College University Centre","90"
"2008 - 2009","L43 City of Liverpool College University Centre","85"
"2009 - 2010","L43 City of Liverpool College University Centre","100"
"2010 - 2011","L43 City of Liverpool College University Centre","105"
"2011 - 2012","L43 City of Liverpool College University Centre","130"
"2012 - 2013","L43 City of Liverpool College University Centre","105"
"2013 - 2014","L43 City of Liverpool College University Centre","145"
"2014 - 2015","L43 City of Liverpool College University Centre","145"
"2015 - 2016","L43 City of Liverpool College University Centre","155"
"2016 - 2017","L43 City of Liverpool College University Centre","135"
"2017 - 2018","L43 City of Liverpool College University Centre","190"
"2018 - 2019","L43 City of Liverpool College University Centre","200"
"2019 - 2020","L43 City of Liverpool College University Centre","195"
"2020 - 2021","L43 City of Liverpool College University Centre","130"
"2021 - 2022","L43 City of Liverpool College University Centre","150"
"2022 - 2023","L43 City of Liverpool College University Centre","185"
"2023 - 2024","L43 City of Liverpool College University Centre","255"
"2006 - 2007","L77 Loughborough College","225"
"2007 - 2008","L77 Loughborough College","215"
"2008 - 2009","L77 Loughborough College","290"
"2009 - 2010","L77 Loughborough College","365"
"2010 - 2011","L77 Loughborough College","325"
"2011 - 2012","L77 Loughborough College","360"
"2012 - 2013","L77 Loughborough College","340"
"2013 - 2014","L77 Loughborough College","400"
"2014 - 2015","L77 Loughborough College","465"
"2015 - 2016","L77 Loughborough College","405"
"2016 - 2017","L77 Loughborough College","420"
"2017 - 2018","L77 Loughborough College","365"
"2018 - 2019","L77 Loughborough College","400"
"2019 - 2020","L77 Loughborough College","295"
"2020 - 2021","L77 Loughborough College","305"
"2021 - 2022","L77 Loughborough College","370"
"2022 - 2023","L77 Loughborough College","385"
"2023 - 2024","L77 Loughborough College","375"
"2006 - 2007","C66 The Manchester College (Formerly City College Manchester)","290"
"2007 - 2008","C66 The Manchester College (Formerly City College Manchester)","295"
"2008 - 2009","C66 The Manchester College (Formerly City College Manchester)","345"
"2009 - 2010","C66 The Manchester College (Formerly City College Manchester)","255"
"2006 - 2007","M10 UCEN Manchester","160"
"2007 - 2008","M10 UCEN Manchester","200"
"2008 - 2009","M10 UCEN Manchester","205"
"2009 - 2010","M10 UCEN Manchester","280"
"2010 - 2011","M10 UCEN Manchester","635"
"2011 - 2012","M10 UCEN Manchester","720"
"2012 - 2013","M10 UCEN Manchester","720"
"2013 - 2014","M10 UCEN Manchester","790"
"2014 - 2015","M10 UCEN Manchester","705"
"2015 - 2016","M10 UCEN Manchester","770"
"2016 - 2017","M10 UCEN Manchester","815"
"2017 - 2018","M10 UCEN Manchester","725"
"2018 - 2019","M10 UCEN Manchester","770"
"2019 - 2020","M10 UCEN Manchester","580"
"2020 - 2021","M10 UCEN Manchester","510"
"2021 - 2022","M10 UCEN Manchester","460"
"2022 - 2023","M10 UCEN Manchester","555"
"2023 - 2024","M10 UCEN Manchester","445"
"2018 - 2019","M78 Middlesbrough College","255"
"2019 - 2020","M78 Middlesbrough College","210"
"2020 - 2021","M78 Middlesbrough College","230"
"2021 - 2022","M78 Middlesbrough College","215"
"2022 - 2023","M78 Middlesbrough College","150"
"2023 - 2024","M78 Middlesbrough College","135"
"2010 - 2011","M93 Moulton College","145"
"2011 - 2012","M93 Moulton College","115"
"2012 - 2013","M93 Moulton College","100"
"2013 - 2014","M93 Moulton College","150"
"2014 - 2015","M93 Moulton College","80"
"2015 - 2016","M93 Moulton College","160"
"2016 - 2017","M93 Moulton College","145"
"2017 - 2018","M93 Moulton College","80"
"2018 - 2019","M93 Moulton College","85"
"2019 - 2020","M93 Moulton College","45"
"2020 - 2021","M93 Moulton College","90"
"2021 - 2022","M93 Moulton College","80"
"2022 - 2023","M93 Moulton College","75"
"2023 - 2024","M93 Moulton College","55"
"2006 - 2007","M99 University Centre Myerscough","275"
"2007 - 2008","M99 University Centre Myerscough","285"
"2008 - 2009","M99 University Centre Myerscough","310"
"2009 - 2010","M99 University Centre Myerscough","340"
"2010 - 2011","M99 University Centre Myerscough","300"
"2011 - 2012","M99 University Centre Myerscough","425"
"2012 - 2013","M99 University Centre Myerscough","340"
"2013 - 2014","M99 University Centre Myerscough","350"
"2014 - 2015","M99 University Centre Myerscough","335"
"2015 - 2016","M99 University Centre Myerscough","340"
"2016 - 2017","M99 University Centre Myerscough","260"
"2017 - 2018","M99 University Centre Myerscough","250"
"2018 - 2019","M99 University Centre Myerscough","265"
"2019 - 2020","M99 University Centre Myerscough","250"
"2020 - 2021","M99 University Centre Myerscough","255"
"2021 - 2022","M99 University Centre Myerscough","205"
"2022 - 2023","M99 University Centre Myerscough","170"
"2023 - 2024","M99 University Centre Myerscough","170"
"2010 - 2011","A44 Accrington and Rossendale College","95"
"2011 - 2012","A44 Accrington and Rossendale College","80"
"2012 - 2013","A44 Accrington and Rossendale College","60"
"2013 - 2014","A44 Accrington and Rossendale College","70"
"2014 - 2015","A44 Accrington and Rossendale College","60"
"2015 - 2016","A44 Accrington and Rossendale College","15"
"2016 - 2017","A44 Accrington and Rossendale College","40"
"2017 - 2018","A44 Accrington and Rossendale College","40"
"2018 - 2019","A44 Accrington and Rossendale College","45"
"2019 - 2020","A44 Accrington and Rossendale College","40"
"2020 - 2021","N06 Nelson and Colne College Group","95"
"2021 - 2022","N06 Nelson and Colne College Group","10"
"2022 - 2023","N06 Nelson and Colne College Group","85"
"2023 - 2024","N06 Nelson and Colne College Group","85"
"2006 - 2007","N23 Newcastle College University Centre","1070"
"2007 - 2008","N23 Newcastle College University Centre","1155"
"2008 - 2009","N23 Newcastle College University Centre","1110"
"2009 - 2010","N23 Newcastle College University Centre","1200"
"2010 - 2011","N23 Newcastle College University Centre","1360"
"2011 - 2012","N23 Newcastle College University Centre","1510"
"2012 - 2013","N23 Newcastle College University Centre","1360"
"2013 - 2014","N23 Newcastle College University Centre","1460"
"2014 - 2015","N23 Newcastle College University Centre","1270"
"2015 - 2016","N23 Newcastle College University Centre","1190"
"2016 - 2017","N23 Newcastle College University Centre","535"
"2017 - 2018","N23 Newcastle College University Centre","440"
"2018 - 2019","N23 Newcastle College University Centre","375"
"2019 - 2020","N23 Newcastle College University Centre","350"
"2020 - 2021","N23 Newcastle College University Centre","280"
"2021 - 2022","N23 Newcastle College University Centre","280"
"2022 - 2023","N23 Newcastle College University Centre","270"
"2023 - 2024","N23 Newcastle College University Centre","250"
"2006 - 2007","N28 New College Durham","210"
"2007 - 2008","N28 New College Durham","165"
"2008 - 2009","N28 New College Durham","100"
"2009 - 2010","N28 New College Durham","65"
"2010 - 2011","N28 New College Durham","65"
"2011 - 2012","N28 New College Durham","60"
"2012 - 2013","N28 New College Durham","80"
"2013 - 2014","N28 New College Durham","55"
"2014 - 2015","N28 New College Durham","80"
"2015 - 2016","N28 New College Durham","45"
"2016 - 2017","N28 New College Durham","50"
"2017 - 2018","N28 New College Durham","45"
"2018 - 2019","N28 New College Durham","310"
"2019 - 2020","N28 New College Durham","290"
"2020 - 2021","N28 New College Durham","265"
"2021 - 2022","N28 New College Durham","235"
"2022 - 2023","N28 New College Durham","230"
"2023 - 2024","N28 New College Durham","180"
"2006 - 2007","S46 South Nottingham College (Central College, Nottingham)","50"
"2007 - 2008","S46 South Nottingham College (Central College, Nottingham)","35"
"2008 - 2009","S46 South Nottingham College (Central College, Nottingham)","55"
"2009 - 2010","S46 South Nottingham College (Central College, Nottingham)","45"
"2010 - 2011","S46 South Nottingham College (Central College, Nottingham)","60"
"2011 - 2012","S46 South Nottingham College (Central College, Nottingham)","90"
"2012 - 2013","S46 South Nottingham College (Central College, Nottingham)","100"
"2013 - 2014","S46 South Nottingham College (Central College, Nottingham)","105"
"2014 - 2015","C32 Central College Nottingham (formerly South Nottingham College)","100"
"2015 - 2016","C32 Central College Nottingham (formerly South Nottingham College)","100"
"2016 - 2017","C32 Central College Nottingham (formerly South Nottingham College)","105"
"2017 - 2018","C32 Central College Nottingham (formerly South Nottingham College)","55"
"2006 - 2007","P40 The People's College Nottingham","70"
"2007 - 2008","P40 The People's College Nottingham","10"
"2007 - 2008","C21 Castle College Nottingham","5"
"2008 - 2009","C21 Castle College Nottingham","10"
"2009 - 2010","C21 Castle College Nottingham","15"
"2010 - 2011","C21 Castle College Nottingham","25"
"2011 - 2012","C21 Castle College Nottingham","20"
"2006 - 2007","N30 Nottingham College","305"
"2007 - 2008","N30 Nottingham College","335"
"2008 - 2009","N30 Nottingham College","385"
"2009 - 2010","N30 Nottingham College","360"
"2010 - 2011","N30 Nottingham College","350"
"2011 - 2012","N30 Nottingham College","380"
"2012 - 2013","N30 Nottingham College","360"
"2013 - 2014","N30 Nottingham College","415"
"2014 - 2015","N30 Nottingham College","385"
"2015 - 2016","N30 Nottingham College","340"
"2016 - 2017","N30 Nottingham College","315"
"2017 - 2018","N30 Nottingham College","235"
"2018 - 2019","N30 Nottingham College","255"
"2019 - 2020","N30 Nottingham College","155"
"2020 - 2021","N30 Nottingham College","220"
"2021 - 2022","N30 Nottingham College","205"
"2022 - 2023","N30 Nottingham College","220"
"2023 - 2024","N30 Nottingham College","110"
"2006 - 2007","B89 Broxtowe College, Nottingham","5"
"2013 - 2014","C70 City College Brighton and Hove","80"
"2006 - 2007","N41 Greater Brighton Metropolitan College","115"
"2007 - 2008","N41 Greater Brighton Metropolitan College","165"
"2008 - 2009","N41 Greater Brighton Metropolitan College","90"
"2009 - 2010","N41 Greater Brighton Metropolitan College","170"
"2010 - 2011","N41 Greater Brighton Metropolitan College","395"
"2011 - 2012","N41 Greater Brighton Metropolitan College","535"
"2012 - 2013","N41 Greater Brighton Metropolitan College","495"
"2013 - 2014","N41 Greater Brighton Metropolitan College","495"
"2014 - 2015","N41 Greater Brighton Metropolitan College","405"
"2015 - 2016","N41 Greater Brighton Metropolitan College","410"
"2016 - 2017","N41 Greater Brighton Metropolitan College","340"
"2017 - 2018","N41 Greater Brighton Metropolitan College","350"
"2018 - 2019","N41 Greater Brighton Metropolitan College","325"
"2019 - 2020","N41 Greater Brighton Metropolitan College","260"
"2020 - 2021","N41 Greater Brighton Metropolitan College","245"
"2021 - 2022","N41 Greater Brighton Metropolitan College","290"
"2022 - 2023","N41 Greater Brighton Metropolitan College","115"
"2023 - 2024","N41 Greater Brighton Metropolitan College","80"
"2014 - 2015","B76 City College Brighton & Hove","115"
"2015 - 2016","B76 City College Brighton & Hove","65"
"2016 - 2017","B76 City College Brighton & Hove","65"
"2017 - 2018","B76 City College Brighton & Hove","25"
"2006 - 2007","N49 NESCOT","55"
"2007 - 2008","N49 NESCOT","60"
"2008 - 2009","N49 NESCOT","65"
"2009 - 2010","N49 NESCOT","60"
"2010 - 2011","N49 NESCOT","105"
"2011 - 2012","N49 NESCOT","55"
"2012 - 2013","N49 NESCOT","55"
"2013 - 2014","N49 NESCOT","50"
"2014 - 2015","N49 NESCOT","35"
"2015 - 2016","N49 NESCOT","35"
"2016 - 2017","N49 NESCOT","35"
"2017 - 2018","N49 NESCOT","10"
"2018 - 2019","N49 NESCOT","30"
"2019 - 2020","N49 NESCOT","30"
"2020 - 2021","N49 NESCOT","30"
"2021 - 2022","N49 NESCOT","115"
"2022 - 2023","N49 NESCOT","105"
"2023 - 2024","N49 NESCOT","135"
"2015 - 2016","N57 North Hertfordshire College","10"
"2018 - 2019","N57 North Hertfordshire College","15"
"2019 - 2020","N57 North Hertfordshire College","10"
"2020 - 2021","N57 North Hertfordshire College","10"
"2022 - 2023","N57 North Hertfordshire College","5"
"2006 - 2007","N64 DN Colleges Group","110"
"2007 - 2008","N64 DN Colleges Group","190"
"2008 - 2009","N64 DN Colleges Group","195"
"2009 - 2010","N64 DN Colleges Group","255"
"2010 - 2011","N64 DN Colleges Group","225"
"2011 - 2012","N64 DN Colleges Group","215"
"2012 - 2013","N64 DN Colleges Group","225"
"2013 - 2014","N64 DN Colleges Group","285"
"2014 - 2015","N64 DN Colleges Group","320"
"2015 - 2016","N64 DN Colleges Group","355"
"2016 - 2017","N64 DN Colleges Group","340"
"2017 - 2018","N64 DN Colleges Group","485"
"2018 - 2019","N64 DN Colleges Group","865"
"2019 - 2020","N64 DN Colleges Group","925"
"2020 - 2021","N64 DN Colleges Group","900"
"2021 - 2022","N64 DN Colleges Group","635"
"2022 - 2023","N64 DN Colleges Group","605"
"2023 - 2024","N64 DN Colleges Group","545"
"2006 - 2007","D52 Doncaster College and University Centre","255"
"2007 - 2008","D52 Doncaster College and University Centre","255"
"2008 - 2009","D52 Doncaster College and University Centre","265"
"2009 - 2010","D52 Doncaster College and University Centre","330"
"2010 - 2011","D52 Doncaster College and University Centre","270"
"2011 - 2012","D52 Doncaster College and University Centre","360"
"2012 - 2013","D52 Doncaster College and University Centre","315"
"2013 - 2014","D52 Doncaster College and University Centre","270"
"2014 - 2015","D52 Doncaster College and University Centre","265"
"2015 - 2016","D52 Doncaster College and University Centre","280"
"2016 - 2017","D52 Doncaster College and University Centre","285"
"2017 - 2018","D52 Doncaster College and University Centre","290"
"2018 - 2019","D52 Doncaster College and University Centre","5"
"2016 - 2017","S48 South Leicestershire College","10"
"2006 - 2007","N79 North Warwickshire and South Leicestershire College","45"
"2007 - 2008","N79 North Warwickshire and South Leicestershire College","30"
"2009 - 2010","N79 North Warwickshire and South Leicestershire College","5"
"2010 - 2011","N79 North Warwickshire and South Leicestershire College","10"
"2011 - 2012","N79 North Warwickshire and South Leicestershire College","40"
"2012 - 2013","N79 North Warwickshire and South Leicestershire College","40"
"2013 - 2014","N79 North Warwickshire and South Leicestershire College","40"
"2014 - 2015","N79 North Warwickshire and South Leicestershire College","60"
"2015 - 2016","N79 North Warwickshire and South Leicestershire College","40"
"2016 - 2017","N79 North Warwickshire and South Leicestershire College","35"
"2017 - 2018","N79 North Warwickshire and South Leicestershire College","30"
"2018 - 2019","N79 North Warwickshire and South Leicestershire College","35"
"2019 - 2020","N79 North Warwickshire and South Leicestershire College","75"
"2020 - 2021","N79 North Warwickshire and South Leicestershire College","100"
"2021 - 2022","N79 North Warwickshire and South Leicestershire College","95"
"2022 - 2023","N79 North Warwickshire and South Leicestershire College","95"
"2023 - 2024","N79 North Warwickshire and South Leicestershire College","105"
"2014 - 2015","N85 North Kent College","85"
"2015 - 2016","N85 North Kent College","130"
"2016 - 2017","N85 North Kent College","120"
"2017 - 2018","N85 North Kent College","105"
"2018 - 2019","N85 North Kent College","65"
"2019 - 2020","N85 North Kent College","35"
"2020 - 2021","N85 North Kent College","40"
"2021 - 2022","N85 North Kent College","15"
"2022 - 2023","N85 North Kent College","5"
"2023 - 2024","N85 North Kent College","5"
"2011 - 2012","P51 Petroc","185"
"2012 - 2013","P51 Petroc","145"
"2013 - 2014","P51 Petroc","150"
"2014 - 2015","P51 Petroc","135"
"2015 - 2016","P51 Petroc","100"
"2016 - 2017","P51 Petroc","25"
"2017 - 2018","P51 Petroc","5"
"2018 - 2019","P51 Petroc","85"
"2019 - 2020","P51 Petroc","145"
"2020 - 2021","P51 Petroc","5"
"2021 - 2022","P51 Petroc","85"
"2022 - 2023","P51 Petroc","90"
"2023 - 2024","P51 Petroc","90"
"2010 - 2011","D44 North Devon College","150"
"2011 - 2012","D44 North Devon College","5"
"2013 - 2014","P59 Plumpton College","105"
"2014 - 2015","P59 Plumpton College","130"
"2015 - 2016","P59 Plumpton College","150"
"2016 - 2017","P59 Plumpton College","115"
"2017 - 2018","P59 Plumpton College","80"
"2018 - 2019","P59 Plumpton College","100"
"2019 - 2020","P59 Plumpton College","80"
"2020 - 2021","P59 Plumpton College","85"
"2021 - 2022","P59 Plumpton College","95"
"2022 - 2023","P59 Plumpton College","85"
"2023 - 2024","P59 Plumpton College","60"
"2013 - 2014","R14 University Centre Reaseheath","130"
"2014 - 2015","R14 University Centre Reaseheath","115"
"2015 - 2016","R14 University Centre Reaseheath","115"
"2016 - 2017","R14 University Centre Reaseheath","110"
"2017 - 2018","R14 University Centre Reaseheath","130"
"2018 - 2019","R14 University Centre Reaseheath","130"
"2019 - 2020","R14 University Centre Reaseheath","305"
"2020 - 2021","R14 University Centre Reaseheath","205"
"2021 - 2022","R14 University Centre Reaseheath","200"
"2022 - 2023","R14 University Centre Reaseheath","185"
"2023 - 2024","R14 University Centre Reaseheath","205"
"2006 - 2007","R52 University Centre Rotherham","40"
"2007 - 2008","R52 University Centre Rotherham","25"
"2008 - 2009","R52 University Centre Rotherham","30"
"2009 - 2010","R52 University Centre Rotherham","35"
"2010 - 2011","R52 University Centre Rotherham","10"
"2011 - 2012","R52 University Centre Rotherham","35"
"2012 - 2013","R52 University Centre Rotherham","70"
"2013 - 2014","R52 University Centre Rotherham","55"
"2014 - 2015","R52 University Centre Rotherham","60"
"2015 - 2016","R52 University Centre Rotherham","95"
"2016 - 2017","R52 University Centre Rotherham","130"
"2017 - 2018","R52 University Centre Rotherham","85"
"2018 - 2019","R52 University Centre Rotherham","160"
"2019 - 2020","R52 University Centre Rotherham","130"
"2020 - 2021","R52 University Centre Rotherham","155"
"2021 - 2022","R52 University Centre Rotherham","90"
"2022 - 2023","R52 University Centre Rotherham","80"
"2023 - 2024","R52 University Centre Rotherham","70"
"2006 - 2007","D22 Dearne Valley College","25"
"2007 - 2008","D22 Dearne Valley College","30"
"2008 - 2009","D22 Dearne Valley College","55"
"2009 - 2010","D22 Dearne Valley College","20"
"2010 - 2011","D22 Dearne Valley College","30"
"2011 - 2012","D22 Dearne Valley College","45"
"2012 - 2013","D22 Dearne Valley College","75"
"2013 - 2014","D22 Dearne Valley College","70"
"2014 - 2015","D22 Dearne Valley College","55"
"2015 - 2016","D22 Dearne Valley College","55"
"2016 - 2017","D22 Dearne Valley College","75"
"2017 - 2018","D22 Dearne Valley College","65"
"2016 - 2017","S06 Selby College","65"
"2017 - 2018","S06 Selby College","60"
"2018 - 2019","S06 Selby College","90"
"2019 - 2020","S06 Selby College","65"
"2020 - 2021","S06 Selby College","90"
"2021 - 2022","S06 Selby College","65"
"2022 - 2023","S06 Selby College","55"
"2014 - 2015","S11 University Centre at Salford City College","5"
"2015 - 2016","S11 University Centre at Salford City College","5"
"2018 - 2019","S11 University Centre at Salford City College","5"
"2019 - 2020","S11 University Centre at Salford City College","5"
"2020 - 2021","S11 University Centre at Salford City College","25"
"2021 - 2022","S11 University Centre at Salford City College","50"
"2022 - 2023","S11 University Centre at Salford City College","40"
"2023 - 2024","S11 University Centre at Salford City College","10"
"2006 - 2007","C62 City College, Birmingham","65"
"2007 - 2008","C62 City College, Birmingham","55"
"2008 - 2009","C62 City College, Birmingham","30"
"2009 - 2010","C62 City College, Birmingham","25"
"2010 - 2011","C62 City College, Birmingham","20"
"2011 - 2012","C62 City College, Birmingham","25"
"2012 - 2013","C62 City College, Birmingham","5"
"2013 - 2014","S20 South and City College Birmingham","15"
"2014 - 2015","S20 South and City College Birmingham","90"
"2015 - 2016","S20 South and City College Birmingham","65"
"2016 - 2017","S20 South and City College Birmingham","100"
"2017 - 2018","S20 South and City College Birmingham","85"
"2018 - 2019","S20 South and City College Birmingham","10"
"2019 - 2020","S20 South and City College Birmingham","135"
"2020 - 2021","S20 South and City College Birmingham","45"
"2021 - 2022","S20 South and City College Birmingham","40"
"2022 - 2023","S20 South and City College Birmingham","25"
"2013 - 2014","B48 Bournville College","60"
"2014 - 2015","B48 Bournville College","105"
"2015 - 2016","B48 Bournville College","60"
"2016 - 2017","B48 Bournville College","45"
"2006 - 2007","S22 Sheffield College","165"
"2007 - 2008","S22 Sheffield College","175"
"2008 - 2009","S22 Sheffield College","150"
"2009 - 2010","S22 Sheffield College","170"
"2010 - 2011","S22 Sheffield College","115"
"2011 - 2012","S22 Sheffield College","150"
"2012 - 2013","S22 Sheffield College","150"
"2013 - 2014","S22 Sheffield College","170"
"2014 - 2015","S22 Sheffield College","200"
"2015 - 2016","S22 Sheffield College","265"
"2016 - 2017","S22 Sheffield College","205"
"2017 - 2018","S22 Sheffield College","275"
"2018 - 2019","S22 Sheffield College","175"
"2019 - 2020","S22 Sheffield College","115"
"2020 - 2021","S22 Sheffield College","200"
"2021 - 2022","S22 Sheffield College","150"
"2022 - 2023","S22 Sheffield College","120"
"2023 - 2024","S22 Sheffield College","145"
"2006 - 2007","S23 Shrewsbury Colleges Group","5"
"2007 - 2008","S23 Shrewsbury Colleges Group","15"
"2008 - 2009","S23 Shrewsbury Colleges Group","5"
"2009 - 2010","S23 Shrewsbury Colleges Group","40"
"2010 - 2011","S23 Shrewsbury Colleges Group","30"
"2016 - 2017","S23 Shrewsbury Colleges Group","25"
"2017 - 2018","S23 Shrewsbury Colleges Group","30"
"2018 - 2019","S23 Shrewsbury Colleges Group","15"
"2019 - 2020","S23 Shrewsbury Colleges Group","10"
"2020 - 2021","S23 Shrewsbury Colleges Group","40"
"2021 - 2022","S23 Shrewsbury Colleges Group","50"
"2022 - 2023","S23 Shrewsbury Colleges Group","25"
"2023 - 2024","S23 Shrewsbury Colleges Group","25"
"2006 - 2007","S26 Solihull College & University Centre","85"
"2007 - 2008","S26 Solihull College & University Centre","105"
"2008 - 2009","S26 Solihull College & University Centre","140"
"2009 - 2010","S26 Solihull College & University Centre","90"
