2018 LEAVING CERTIFICATE STATISTICS,
ORDINARY LEVEL,
BOTH SCHOOL AND E10 CANDIDATES,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
    APPLIED MATHEMATIC,    20.3, 22.7, 14.1, 19.5,  8.6,  7.8,  2.3,  4.7,

    TOTAL FEMALE,             8,    5,    6,    3,    1,    4,    1,    1,                                       29,

    % FEMALE ,             27.6, 17.2, 20.7, 10.3,  3.4, 13.8,  3.4,  3.4,

    TOTAL MALE,              18,   24,   12,   22,   10,    6,    2,    5,                                       99,

    % MALE ,               18.2, 24.2, 12.1, 22.2, 10.1,  6.1,  2.0,  5.1,
-----------------------------------------------------------------------------------------------------------------------

    FISIC,                   55,  183,  263,  230,  208,  137,   91,  110,                                     1277,

    PHYSICS,                4.3, 14.3, 20.6, 18.0, 16.3, 10.7,  7.1,  8.6,

    TOTAL FEMALE,            16,   45,   55,   46,   32,   18,   11,   11,                                      234,

    % FEMALE ,              6.8, 19.2, 23.5, 19.7, 13.7,  7.7,  4.7,  4.7,

    TOTAL MALE,              39,  138,  208,  184,  176,  119,   80,   99,                                     1043,

    % MALE ,                3.7, 13.2, 19.9, 17.6, 16.9, 11.4,  7.7,  9.5,
-----------------------------------------------------------------------------------------------------------------------

    CEIMIC,                  39,  123,  194,  216,  205,  180,  101,  166,                                     1224,

    CHEMISTRY,              3.2, 10.0, 15.8, 17.6, 16.7, 14.7,  8.3, 13.6,

    TOTAL FEMALE,            27,   71,  100,  104,   93,   80,   43,   53,                                      571,

    % FEMALE ,              4.7, 12.4, 17.5, 18.2, 16.3, 14.0,  7.5,  9.3,
 

    TOTAL MALE,              12,   52,   94,  112,  112,  100,   58,  113,                                      653,

    % MALE ,                1.8,  8.0, 14.4, 17.2, 17.2, 15.3,  8.9, 17.3,
-----------------------------------------------------------------------------------------------------------------------

    FISIC & CEIMIC,           2,    3,    8,   10,   19,   27,   14,   20,                                      103,

    PHYSICS & CHEMISTR,     1.9,  2.9,  7.8,  9.7, 18.4, 26.2, 13.6, 19.4,

    TOTAL FEMALE,             1,    1,    3,    3,    7,    8,    6,    4,                                       33,

    % FEMALE ,              3.0,  3.0,  9.1,  9.1, 21.2, 24.2, 18.2, 12.1,

    TOTAL MALE,               1,    2,    5,    7,   12,   19,    8,   16,                                       70,

    % MALE ,                1.4,  2.9,  7.1, 10.0, 17.1, 27.1, 11.4, 22.9,
-----------------------------------------------------------------------------------------------------------------------

    EOLAÍOCHT TALMHAÍO,       0,    7,   68,  185,  302,  342,  206,  125,                                     1235,

    AGRICULTURAL SCIEN,     0.0,  0.6,  5.5, 15.0, 24.5, 27.7, 16.7, 10.1,

    TOTAL FEMALE,             0,    2,   25,   55,   90,  105,   53,   32,                                      362,

    % FEMALE ,              0.0,  0.6,  6.9, 15.2, 24.9, 29.0, 14.6,  8.8,

    TOTAL MALE,               0,    5,   43,  130,  212,  237,  153,   93,                                      873,

    % MALE ,                0.0,  0.6,  4.9, 14.9, 24.3, 27.1, 17.5, 10.7,
-----------------------------------------------------------------------------------------------------------------------

    BITHEOLAÍOCHT,           32,  227, 1098, 1794, 1872, 1205,  539,  239,                                     7006,

    BIOLOGY,                0.5,  3.2, 15.7, 25.6, 26.7, 17.2,  7.7,  3.4,

    TOTAL FEMALE,            12,  131,  614,  920,  993,  645,  272,  118,                                     3705,

    % FEMALE ,              0.3,  3.5, 16.6, 24.8, 26.8, 17.4,  7.3,  3.2,

    TOTAL MALE,              20,   96,  484,  874,  879,  560,  267,  121,                                     3301,

    % MALE ,                0.6,  2.9, 14.7, 26.5, 26.6, 17.0,  8.1,  3.7,
-----------------------------------------------------------------------------------------------------------------------

    INNEALTÓIREACHT,          2,   40,  107,  131,  138,   90,   50,   28,                                      586,

    ENGINEERING,            0.3,  6.8, 18.3, 22.4, 23.5, 15.4,  8.5,  4.8,

    TOTAL FEMALE,             0,    4,    8,    9,   16,    9,    3,    1,                                       50,

    % FEMALE ,              0.0,  8.0, 16.0, 18.0, 32.0, 18.0,  6.0,  2.0,

    TOTAL MALE,               2,   36,   99,  122,  122,   81,   47,   27,                                      536,

    % MALE ,                0.4,  6.7, 18.5, 22.8, 22.8, 15.1,  8.8,  5.0,
-----------------------------------------------------------------------------------------------------------------------

    STAIDÉAR FOIRGNÍOC,       2,   15,  135,  249,  298,  219,  122,  104,                                     1144,

    CONSTRUCTION STUDI,     0.2,  1.3, 11.8, 21.8, 26.0, 19.1, 10.7,  9.1,
 

    TOTAL FEMALE,             0,    2,   15,   33,   31,   28,   18,   12,                                      139,

    % FEMALE ,              0.0,  1.4, 10.8, 23.7, 22.3, 20.1, 12.9,  8.6,

    TOTAL MALE,               2,   13,  120,  216,  267,  191,  104,   92,                                     1005,

    % MALE ,                0.2,  1.3, 11.9, 21.5, 26.6, 19.0, 10.3,  9.2,
-----------------------------------------------------------------------------------------------------------------------

    CUNTASAÍOCHT,           155,  269,  266,  213,  200,  170,  132,  192,                                     1597,

    ACCOUNTING,             9.7, 16.8, 16.7, 13.3, 12.5, 10.6,  8.3, 12.0,

    TOTAL FEMALE,            98,  160,  138,  108,   96,   61,   57,   61,                                      779,

    % FEMALE ,             12.6, 20.5, 17.7, 13.9, 12.3,  7.8,  7.3,  7.8,

    TOTAL MALE,              57,  109,  128,  105,  104,  109,   75,  131,                                      818,

    % MALE ,                7.0, 13.3, 15.6, 12.8, 12.7, 13.3,  9.2, 16.0,
-----------------------------------------------------------------------------------------------------------------------

    GNÓ,                    135,  520,  845,  812,  666,  407,  132,  121,                                     3638,

    BUSINESS,               3.7, 14.3, 23.2, 22.3, 18.3, 11.2,  3.6,  3.3,

    TOTAL FEMALE,            65,  237,  376,  375,  312,  199,   60,   50,                                     1674,

    % FEMALE ,              3.9, 14.2, 22.5, 22.4, 18.6, 11.9,  3.6,  3.0,

    TOTAL MALE,              70,  283,  469,  437,  354,  208,   72,   71,                                     1964,

    % MALE ,                3.6, 14.4, 23.9, 22.3, 18.0, 10.6,  3.7,  3.6,
-----------------------------------------------------------------------------------------------------------------------

    EACNAMAÍOCHT,            25,  136,  190,  192,  136,   84,   27,   28,                                      818,

    ECONOMICS,              3.1, 16.6, 23.2, 23.5, 16.6, 10.3,  3.3,  3.4,

    TOTAL FEMALE,             9,   49,   58,   66,   35,   30,    9,    5,                                      261,

    % FEMALE ,              3.4, 18.8, 22.2, 25.3, 13.4, 11.5,  3.4,  1.9,

    TOTAL MALE,              16,   87,  132,  126,  101,   54,   18,   23,                                      557,

    % MALE ,                2.9, 15.6, 23.7, 22.6, 18.1,  9.7,  3.2,  4.1,
-----------------------------------------------------------------------------------------------------------------------

    SEAPÁINIS,                0,    3,   16,   10,   14,    7,    6,    4,                                       60,

    JAPANESE,               0.0,  5.0, 26.7, 16.7, 23.3, 11.7, 10.0,  6.7,

    TOTAL FEMALE,             0,    2,    6,    5,    6,    0,    3,    1,                                       23,

    % FEMALE ,              0.0,  8.7, 26.1, 21.7, 26.1,  0.0, 13.0,  4.3,

    TOTAL MALE,               0,    1,   10,    5,    8,    7,    3,    3,                                       37,

    % MALE ,                0.0,  2.7, 27.0, 13.5, 21.6, 18.9,  8.1,  8.1,
-----------------------------------------------------------------------------------------------------------------------
 

    TEICNEOLAÍOCHT,           2,   10,   22,   20,   22,   16,    6,    6,                                      104,

    TECHNOLOGY,             1.9,  9.6, 21.2, 19.2, 21.2, 15.4,  5.8,  5.8,

    TOTAL FEMALE,             1,    1,    5,    1,    1,    1,    1,    0,                                       11,

    % FEMALE ,              9.1,  9.1, 45.5,  9.1,  9.1,  9.1,  9.1,  0.0,

    TOTAL MALE,               1,    9,   17,   19,   21,   15,    5,    6,                                       93,

    % MALE ,                1.1,  9.7, 18.3, 20.4, 22.6, 16.1,  5.4,  6.5,
-----------------------------------------------------------------------------------------------------------------------

    CEOL,                     4,   62,  152,  146,   55,   25,   11,    7,                                      462,

    MUSIC,                  0.9, 13.4, 32.9, 31.6, 11.9,  5.4,  2.4,  1.5,

    TOTAL FEMALE,             3,   48,   96,   89,   31,   12,   10,    2,                                      291,

    % FEMALE ,              1.0, 16.5, 33.0, 30.6, 10.7,  4.1,  3.4,  0.7,

    TOTAL MALE,               1,   14,   56,   57,   24,   13,    1,    5,                                      171,

    % MALE ,                0.6,  8.2, 32.7, 33.3, 14.0,  7.6,  0.6,  2.9,
-----------------------------------------------------------------------------------------------------------------------

    EACNAMAÍOCHT BHAIL,      13,  173,  484,  649,  515,  301,  141,   92,                                     2368,

    HOME ECONOMICS S &,     0.5,  7.3, 20.4, 27.4, 21.7, 12.7,  6.0,  3.9,

    TOTAL FEMALE,            11,  151,  377,  528,  404,  210,  101,   47,                                     1829,

    % FEMALE ,              0.6,  8.3, 20.6, 28.9, 22.1, 11.5,  5.5,  2.6,

    TOTAL MALE,               2,   22,  107,  121,  111,   91,   40,   45,                                      539,

    % MALE ,                0.4,  4.1, 19.9, 22.4, 20.6, 16.9,  7.4,  8.3,
-----------------------------------------------------------------------------------------------------------------------

    OIDEACHAS REILIGIÚ,       1,    3,   18,   18,   19,   21,   15,   13,                                      108,

    RELIGIOUS EDUCATIO,     0.9,  2.8, 16.7, 16.7, 17.6, 19.4, 13.9, 12.0,

    TOTAL FEMALE,             0,    3,    9,    9,   10,   11,    5,    5,                                       52,

    % FEMALE ,              0.0,  5.8, 17.3, 17.3, 19.2, 21.2,  9.6,  9.6,

    TOTAL MALE,               1,    0,    9,    9,    9,   10,   10,    8,                                       56,

    % MALE ,                1.8,  0.0, 16.1, 16.1, 16.1, 17.9, 17.9, 14.3,
-----------------------------------------------------------------------------------------------------------------------

    GRAFAIC DHEARAIDH ,       7,   85,  213,  219,  154,  114,   58,   63,                                      913,

    DESIGN & COMMUNICA,     0.8,  9.3, 23.3, 24.0, 16.9, 12.5,  6.4,  6.9,

    TOTAL FEMALE,             0,   10,   24,   20,   22,   14,    6,    5,                                      101,

    % FEMALE ,              0.0,  9.9, 23.8, 19.8, 21.8, 13.9,  5.9,  5.0,
 

    TOTAL MALE,               7,   75,  189,  199,  132,  100,   52,   58,                                      812,

    % MALE ,                0.9,  9.2, 23.3, 24.5, 16.3, 12.3,  6.4,  7.1,
-----------------------------------------------------------------------------------------------------------------------

    AN PHOLAITÍOCHT AG,       1,    3,   13,   26,   26,   12,    7,    5,                                       93,

    POLITICS AND SOCIE,     1.1,  3.2, 14.0, 28.0, 28.0, 12.9,  7.5,  5.4,

    TOTAL FEMALE,             1,    2,    9,   13,   11,    3,    3,    2,                                       44,

    % FEMALE ,              2.3,  4.5, 20.5, 29.5, 25.0,  6.8,  6.8,  4.5,

    TOTAL MALE,               0,    1,    4,   13,   15,    9,    4,    3,                                       49,

    % MALE ,                0.0,  2.0,  8.2, 26.5, 30.6, 18.4,  8.2,  6.1,
-----------------------------------------------------------------------------------------------------------------------


