2018 JUNIOR CERTIFICATE STATISTICS,
HIGHER LEVEL,
SCHOOL BASED CANDIDATES ONLY,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
    MATERIAL TECHNOLOG,   7.9, 37.5, 35.7, 15.9,  2.1,  0.7,  0.3,

    TOTAL FEMALE,         270, 1074,  829,  293,   42,    9,    8,  2525,

    % FEMALE ,           10.7, 42.5, 32.8, 11.6,  1.7,  0.4,  0.3,
 

    TOTAL MALE,           885, 4409, 4395, 2027,  269,   91,   34, 12110,

    % MALE ,              7.3, 36.4, 36.3, 16.7,  2.2,  0.8,  0.3,
-----------------------------------------------------------------------------------------------------------------------

    GRAFAIC THEICNIÚIL,  1401, 2987, 2908, 1770,  305,   71,    5,  9447,

    TECHNICAL GRAPHICS,  14.8, 31.6, 30.8, 18.7,  3.2,  0.8,  0.1,

    TOTAL FEMALE,         318,  612,  513,  241,   39,    5,    0,  1728,

    % FEMALE ,           18.4, 35.4, 29.7, 13.9,  2.3,  0.3,  0.0,

    TOTAL MALE,          1083, 2375, 2395, 1529,  266,   66,    5,  7719,

    % MALE ,             14.0, 30.8, 31.0, 19.8,  3.4,  0.9,  0.1,
-----------------------------------------------------------------------------------------------------------------------

    EACNAMAÍOCHT BHAIL,  2447, 9438, 5838, 1266,  108,   32,   23, 19152,

    HOME ECONOMICS,      12.8, 49.3, 30.5,  6.6,  0.6,  0.2,  0.1,

    TOTAL FEMALE,        2345, 8609, 4654,  813,   55,   26,   19, 16521,

    % FEMALE ,           14.2, 52.1, 28.2,  4.9,  0.3,  0.2,  0.1,

    TOTAL MALE,           102,  829, 1184,  453,   53,    6,    4,  2631,

    % MALE ,              3.9, 31.5, 45.0, 17.2,  2.0,  0.2,  0.2,
-----------------------------------------------------------------------------------------------------------------------

    MIOTALÓIREACHT,       699, 2725, 1933,  876,  154,   40,   23,  6450,

    METALWORK,           10.8, 42.2, 30.0, 13.6,  2.4,  0.6,  0.4,

    TOTAL FEMALE,          59,  252,  189,   86,   23,    6,    2,   617,

    % FEMALE ,            9.6, 40.8, 30.6, 13.9,  3.7,  1.0,  0.3,

    TOTAL MALE,           640, 2473, 1744,  790,  131,   34,   21,  5833,

    % MALE ,             11.0, 42.4, 29.9, 13.5,  2.2,  0.6,  0.4,
-----------------------------------------------------------------------------------------------------------------------

    EOLAÍOCHT,           4280,15030,17714, 8736,  569,   84,   10, 46423,

    SCIENCE,              9.2, 32.4, 38.2, 18.8,  1.2,  0.2,  0.0,

    TOTAL FEMALE,        2719, 8425, 8619, 3679,  181,   30,    1, 23654,

    % FEMALE ,           11.5, 35.6, 36.4, 15.6,  0.8,  0.1,  0.0,

    TOTAL MALE,          1561, 6605, 9095, 5057,  388,   54,    9, 22769,

    % MALE ,              6.9, 29.0, 39.9, 22.2,  1.7,  0.2,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    TEICNEOLAÍOCHT,       270, 1043, 1256,  791,  154,   52,    7,  3573,

    TECHNOLOGY,           7.6, 29.2, 35.2, 22.1,  4.3,  1.5,  0.2,
 

    TOTAL FEMALE,         101,  299,  239,  129,   18,    4,    2,   792,

    % FEMALE ,           12.8, 37.8, 30.2, 16.3,  2.3,  0.5,  0.3,

    TOTAL MALE,           169,  744, 1017,  662,  136,   48,    5,  2781,

    % MALE ,              6.1, 26.8, 36.6, 23.8,  4.9,  1.7,  0.2,
-----------------------------------------------------------------------------------------------------------------------

    STAIDÉAR IMSHAOIL ,    15,   86,   94,   45,    0,    1,    0,   241,

    ENVIRON & SOCIAL S,   6.2, 35.7, 39.0, 18.7,  0.0,  0.4,  0.0,

    TOTAL FEMALE,           5,   36,   46,   25,    0,    1,    0,   113,

    % FEMALE ,            4.4, 31.9, 40.7, 22.1,  0.0,  0.9,  0.0,

    TOTAL MALE,            10,   50,   48,   20,    0,    0,    0,   128,

    % MALE ,              7.8, 39.1, 37.5, 15.6,  0.0,  0.0,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    OIDEACHAS REILIGIÚ,  3018, 8827, 7809, 2587,  310,   54,    4, 22609,

    RELIGIOUS EDUCATIO,  13.3, 39.0, 34.5, 11.4,  1.4,  0.2,  0.0,

    TOTAL FEMALE,        2070, 5316, 3786,  953,   92,   10,    0, 12227,

    % FEMALE ,           16.9, 43.5, 31.0,  7.8,  0.8,  0.1,  0.0,

    TOTAL MALE,           948, 3511, 4023, 1634,  218,   44,    4, 10382,

    % MALE ,              9.1, 33.8, 38.7, 15.7,  2.1,  0.4,  0.0,
-----------------------------------------------------------------------------------------------------------------------


