Code,Subject,         Level,Year,    Total,         A,         B,         C,         D,         E,         F,         NG,
 47,MATERIAL TECHNOLOGY (W ,A,   2017,14142,         8.30,    37.60,    36.50,    14.70,     2.00,     0.70,     0.30,
 47,MATERIAL TECHNOLOGY (W ,G,   2017, 2941,         5.60,    35.30,    32.80,    17.10,     3.50,     4.00,     1.60,
 48,TECHNICAL GRAPHICS     ,A,   2017, 8912,        14.50,    31.70,    31.00,    18.60,     3.40,     0.70,     0.10,
 48,TECHNICAL GRAPHICS     ,G,   2017, 3500,        11.70,    35.10,    26.00,    18.10,     5.90,     3.10,     0.20,
 52,HOME ECONOMICS         ,A,   2017,18872,        13.40,    50.00,    30.00,     6.00,     0.40,     0.20,     0.10,
 52,HOME ECONOMICS         ,G,   2017, 3385,         1.30,    33.10,    46.70,    12.80,     3.50,     1.70,     0.90,
 54,METALWORK              ,A,   2017, 6230,        11.00,    43.80,    31.00,    11.20,     2.00,     0.60,     0.40,
 54,METALWORK              ,G,   2017, 1594,         7.40,    35.60,    28.40,    16.10,     6.90,     4.40,     1.20,
 57,SCIENCE                ,A,   2017,45709,         9.50,    28.80,    37.80,    22.10,     1.60,     0.20,     0.00,
 57,SCIENCE                ,G,   2017,11499,         1.40,    32.50,    47.20,    15.40,     2.70,     0.90,     0.10,
 65,TECHNOLOGY             ,A,   2017, 3163,         7.90,    27.70,    36.30,    21.80,     5.00,     1.10,     0.20,
 65,TECHNOLOGY             ,G,   2017,  413,         3.60,    27.10,    33.90,    22.00,     8.70,     3.40,     1.20,
 81,ENVIRON & SOCIAL STUDI ,A,   2017,  210,         2.40,    32.90,    50.00,    12.40,     1.40,     1.00,     0.00,
 81,ENVIRON & SOCIAL STUDI ,G,   2017,  313,         9.30,    38.30,    32.60,    12.10,     5.40,     1.60,     0.60,
218,C.S.P.E                ,C,   2017,58944,        20.50,    41.20,    26.40,     9.30,     1.70,     0.80,     0.10,
220,RELIGIOUS EDUCATION    ,A,   2017,23041,        13.20,    39.30,    34.00,    12.00,     1.30,     0.20,     0.00,
220,RELIGIOUS EDUCATION    ,G,   2017, 4396,        11.50,    36.90,    35.00,    12.50,     2.80,     1.20,     0.10,
                            A,
  1,IRISH                  ,A,   2018,31472,        11.60,    35.30,    37.30,    14.20,     1.40,     0.20,     0.00,
  1,IRISH                  ,B,   2018, 1088,         9.70,    32.40,    34.70,    18.40,     3.10,     1.30,     0.30,
  1,IRISH                  ,G,   2018,21822,         3.30,    28.70,    40.20,    22.70,     4.40,     0.60,     0.10,
  3,MATHEMATICS            ,A,   2018,35443,        12.20,    30.00,    32.00,    21.30,     3.90,     0.60,     0.00,
  3,MATHEMATICS            ,B,   2018, 2665,         9.50,    36.80,    33.30,    16.50,     3.10,     0.70,     0.20,
  3,MATHEMATICS            ,G,   2018,23833,         6.20,    34.10,    33.60,    19.70,     4.90,     1.40,     0.10,
  4,HISTORY                ,A,   2018,40914,        17.30,    26.90,    25.70,    20.30,     7.80,     1.90,     0.10,
  4,HISTORY                ,G,   2018,14948,        11.60,    27.90,    31.10,    24.80,     3.20,     1.20,     0.10,
  5,GEOGRAPHY              ,A,   2018,49389,         8.10,    32.80,    33.40,    22.10,     3.40,     0.20,     0.00,
  5,GEOGRAPHY              ,G,   2018, 7861,         8.30,    31.80,    32.80,    20.00,     5.40,     1.60,     0.00,
  6,LATIN                  ,A,   2018,  224,        31.30,    21.90,    18.30,    15.60,     9.40,     2.20,     1.30,
  6,LATIN                  ,G,   2018,   15,         6.70,     6.70,    26.70,    33.30,    13.30,    13.30,     0.00,
