2018 LEAVING CERTIFICATE STATISTICS,
HIGHER LEVEL,
BOTH SCHOOL AND E10 CANDIDATES,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
    DUTCH,                 27.6, 24.1, 10.3, 24.1,  0.0, 10.3,  3.4,  0.0,

    TOTAL FEMALE,             5,    4,    1,    1,    0,    1,    1,    0,                                       13,

    % FEMALE ,             38.5, 30.8,  7.7,  7.7,  0.0,  7.7,  7.7,  0.0,

    TOTAL MALE,               3,    3,    2,    6,    0,    2,    0,    0,                                       16,

    % MALE ,               18.8, 18.8, 12.5, 37.5,  0.0, 12.5,  0.0,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    PORTAINGÉILIS,            8,   15,   12,   11,   20,    6,    3,    9,                                       84,

    PORTUGUESE,             9.5, 17.9, 14.3, 13.1, 23.8,  7.1,  3.6, 10.7,

    TOTAL FEMALE,             4,   13,   10,    6,    9,    4,    0,    2,                                       48,

    % FEMALE ,              8.3, 27.1, 20.8, 12.5, 18.8,  8.3,  0.0,  4.2,

    TOTAL MALE,               4,    2,    2,    5,   11,    2,    3,    7,                                       36,

    % MALE ,               11.1,  5.6,  5.6, 13.9, 30.6,  5.6,  8.3, 19.4,
-----------------------------------------------------------------------------------------------------------------------

    MATAMAITIC FHEIDHM,     278,  406,  369,  272,  215,  152,   66,   68,                                     1826,

    APPLIED MATHEMATIC,    15.2, 22.2, 20.2, 14.9, 11.8,  8.3,  3.6,  3.7,

    TOTAL FEMALE,            52,  106,  117,   70,   64,   46,   19,   22,                                      496,

    % FEMALE ,             10.5, 21.4, 23.6, 14.1, 12.9,  9.3,  3.8,  4.4,
 

    TOTAL MALE,             226,  300,  252,  202,  151,  106,   47,   46,                                     1330,

    % MALE ,               17.0, 22.6, 18.9, 15.2, 11.4,  8.0,  3.5,  3.5,
-----------------------------------------------------------------------------------------------------------------------

    FISIC,                  683, 1073,  986,  931,  829,  723,  549,  484,                                     6258,

    PHYSICS,               10.9, 17.1, 15.8, 14.9, 13.2, 11.6,  8.8,  7.7,

    TOTAL FEMALE,           207,  362,  301,  305,  255,  192,  131,   88,                                     1841,

    % FEMALE ,             11.2, 19.7, 16.3, 16.6, 13.9, 10.4,  7.1,  4.8,

    TOTAL MALE,             476,  711,  685,  626,  574,  531,  418,  396,                                     4417,

    % MALE ,               10.8, 16.1, 15.5, 14.2, 13.0, 12.0,  9.5,  9.0,
-----------------------------------------------------------------------------------------------------------------------

    CEIMIC,                 927, 1468, 1282, 1204,  986,  889,  605,  582,                                     7943,

    CHEMISTRY,             11.7, 18.5, 16.1, 15.2, 12.4, 11.2,  7.6,  7.3,

    TOTAL FEMALE,           461,  843,  735,  730,  580,  496,  340,  335,                                     4520,

    % FEMALE ,             10.2, 18.7, 16.3, 16.2, 12.8, 11.0,  7.5,  7.4,

    TOTAL MALE,             466,  625,  547,  474,  406,  393,  265,  247,                                     3423,

    % MALE ,               13.6, 18.3, 16.0, 13.8, 11.9, 11.5,  7.7,  7.2,
-----------------------------------------------------------------------------------------------------------------------

    FISIC & CEIMIC,          24,   60,   62,   75,   60,   61,   31,   42,                                      415,

    PHYSICS & CHEMISTR,     5.8, 14.5, 14.9, 18.1, 14.5, 14.7,  7.5, 10.1,

    TOTAL FEMALE,            15,   29,   28,   33,   21,   25,   12,   14,                                      177,

    % FEMALE ,              8.5, 16.4, 15.8, 18.6, 11.9, 14.1,  6.8,  7.9,

    TOTAL MALE,               9,   31,   34,   42,   39,   36,   19,   28,                                      238,

    % MALE ,                3.8, 13.0, 14.3, 17.6, 16.4, 15.1,  8.0, 11.8,
-----------------------------------------------------------------------------------------------------------------------

    EOLAÍOCHT TALMHAÍO,     314,  904, 1204, 1161, 1085,  918,  637,  320,                                     6543,

    AGRICULTURAL SCIEN,     4.8, 13.8, 18.4, 17.7, 16.6, 14.0,  9.7,  4.9,

    TOTAL FEMALE,           185,  486,  588,  504,  408,  312,  213,   94,                                     2790,

    % FEMALE ,              6.6, 17.4, 21.1, 18.1, 14.6, 11.2,  7.6,  3.4,

    TOTAL MALE,             129,  418,  616,  657,  677,  606,  424,  226,                                     3753,

    % MALE ,                3.4, 11.1, 16.4, 17.5, 18.0, 16.1, 11.3,  6.0,
-----------------------------------------------------------------------------------------------------------------------

    BITHEOLAÍOCHT,         3068, 4811, 4269, 3925, 3632, 2872, 2095, 1871,                                    26543,

    BIOLOGY,               11.6, 18.1, 16.1, 14.8, 13.7, 10.8,  7.9,  7.0,
 

    TOTAL FEMALE,          2030, 3206, 2681, 2481, 2171, 1626, 1210, 1053,                                    16458,

    % FEMALE ,             12.3, 19.5, 16.3, 15.1, 13.2,  9.9,  7.4,  6.4,

    TOTAL MALE,            1038, 1605, 1588, 1444, 1461, 1246,  885,  818,                                    10085,

    % MALE ,               10.3, 15.9, 15.7, 14.3, 14.5, 12.4,  8.8,  8.1,
-----------------------------------------------------------------------------------------------------------------------

    EACNAMAÍOCHT TALMH,       1,    9,    7,   13,    3,    2,    2,    0,                                       37,

    AGRICULTURAL ECONO,     2.7, 24.3, 18.9, 35.1,  8.1,  5.4,  5.4,  0.0,

    TOTAL FEMALE,             0,    3,    3,    6,    1,    0,    0,    0,                                       13,

    % FEMALE ,              0.0, 23.1, 23.1, 46.2,  7.7,  0.0,  0.0,  0.0,

    TOTAL MALE,               1,    6,    4,    7,    2,    2,    2,    0,                                       24,

    % MALE ,                4.2, 25.0, 16.7, 29.2,  8.3,  8.3,  8.3,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    INNEALTÓIREACHT,        201,  833, 1119, 1106,  788,  432,  152,   37,                                     4668,

    ENGINEERING,            4.3, 17.8, 24.0, 23.7, 16.9,  9.3,  3.3,  0.8,

    TOTAL FEMALE,             9,   52,   74,   70,   59,   25,   12,    4,                                      305,

    % FEMALE ,              3.0, 17.0, 24.3, 23.0, 19.3,  8.2,  3.9,  1.3,

    TOTAL MALE,             192,  781, 1045, 1036,  729,  407,  140,   33,                                     4363,

    % MALE ,                4.4, 17.9, 24.0, 23.7, 16.7,  9.3,  3.2,  0.8,
-----------------------------------------------------------------------------------------------------------------------

    STAIDÉAR FOIRGNÍOC,     152,  922, 1569, 1858, 1452,  772,  294,   85,                                     7104,

    CONSTRUCTION STUDI,     2.1, 13.0, 22.1, 26.2, 20.4, 10.9,  4.1,  1.2,

    TOTAL FEMALE,            13,  131,  180,  197,  135,   65,   29,   13,                                      763,

    % FEMALE ,              1.7, 17.2, 23.6, 25.8, 17.7,  8.5,  3.8,  1.7,

    TOTAL MALE,             139,  791, 1389, 1661, 1317,  707,  265,   72,                                     6341,

    % MALE ,                2.2, 12.5, 21.9, 26.2, 20.8, 11.1,  4.2,  1.1,
-----------------------------------------------------------------------------------------------------------------------

    CUNTASAÍOCHT,           504, 1060, 1023,  932,  758,  519,  391,  364,                                     5551,

    ACCOUNTING,             9.1, 19.1, 18.4, 16.8, 13.7,  9.3,  7.0,  6.6,

    TOTAL FEMALE,           238,  550,  513,  483,  379,  244,  203,  171,                                     2781,

    % FEMALE ,              8.6, 19.8, 18.4, 17.4, 13.6,  8.8,  7.3,  6.1,

    TOTAL MALE,             266,  510,  510,  449,  379,  275,  188,  193,                                     2770,

    % MALE ,                9.6, 18.4, 18.4, 16.2, 13.7,  9.9,  6.8,  7.0,
-----------------------------------------------------------------------------------------------------------------------
 

    GNÓ,                    541, 2143, 2723, 2673, 2227, 1695,  884,  443,                                    13329,

    BUSINESS,               4.1, 16.1, 20.4, 20.1, 16.7, 12.7,  6.6,  3.3,

    TOTAL FEMALE,           320, 1214, 1437, 1363, 1072,  823,  444,  206,                                     6879,

    % FEMALE ,              4.7, 17.6, 20.9, 19.8, 15.6, 12.0,  6.5,  3.0,

    TOTAL MALE,             221,  929, 1286, 1310, 1155,  872,  440,  237,                                     6450,

    % MALE ,                3.4, 14.4, 19.9, 20.3, 17.9, 13.5,  6.8,  3.7,
-----------------------------------------------------------------------------------------------------------------------

    EACNAMAÍOCHT,           202,  770, 1099,  992,  871,  636,  229,  148,                                     4947,

    ECONOMICS,              4.1, 15.6, 22.2, 20.1, 17.6, 12.9,  4.6,  3.0,

    TOTAL FEMALE,            89,  317,  411,  361,  311,  226,   92,   64,                                     1871,

    % FEMALE ,              4.8, 16.9, 22.0, 19.3, 16.6, 12.1,  4.9,  3.4,

    TOTAL MALE,             113,  453,  688,  631,  560,  410,  137,   84,                                     3076,

    % MALE ,                3.7, 14.7, 22.4, 20.5, 18.2, 13.3,  4.5,  2.7,
-----------------------------------------------------------------------------------------------------------------------

    SEAPÁINIS,               34,   37,   41,   46,   29,   28,   15,    6,                                      236,

    JAPANESE,              14.4, 15.7, 17.4, 19.5, 12.3, 11.9,  6.4,  2.5,

    TOTAL FEMALE,            21,   23,   32,   32,   14,   20,    8,    5,                                      155,

    % FEMALE ,             13.5, 14.8, 20.6, 20.6,  9.0, 12.9,  5.2,  3.2,

    TOTAL MALE,              13,   14,    9,   14,   15,    8,    7,    1,                                       81,

    % MALE ,               16.0, 17.3, 11.1, 17.3, 18.5,  9.9,  8.6,  1.2,
-----------------------------------------------------------------------------------------------------------------------

    ARAIBIS,                 11,   21,   31,   30,   18,   10,    6,    6,                                      133,

    ARABIC,                 8.3, 15.8, 23.3, 22.6, 13.5,  7.5,  4.5,  4.5,

    TOTAL FEMALE,             9,   12,   14,   14,    9,    6,    5,    0,                                       69,

    % FEMALE ,             13.0, 17.4, 20.3, 20.3, 13.0,  8.7,  7.2,  0.0,

    TOTAL MALE,               2,    9,   17,   16,    9,    4,    1,    6,                                       64,

    % MALE ,                3.1, 14.1, 26.6, 25.0, 14.1,  6.3,  1.6,  9.4,
-----------------------------------------------------------------------------------------------------------------------

    TEICNEOLAÍOCHT,          77,  286,  350,  319,  201,  110,   53,   34,                                     1430,

    TECHNOLOGY,             5.4, 20.0, 24.5, 22.3, 14.1,  7.7,  3.7,  2.4,

    TOTAL FEMALE,            13,   57,   74,   43,   25,    9,    8,    7,                                      236,

    % FEMALE ,              5.5, 24.2, 31.4, 18.2, 10.6,  3.8,  3.4,  3.0,
 

    TOTAL MALE,              64,  229,  276,  276,  176,  101,   45,   27,                                     1194,

    % MALE ,                5.4, 19.2, 23.1, 23.1, 14.7,  8.5,  3.8,  2.3,
-----------------------------------------------------------------------------------------------------------------------

    CEOL,                   202, 1707, 2021, 1307,  504,  146,   28,    6,                                     5921,

    MUSIC,                  3.4, 28.8, 34.1, 22.1,  8.5,  2.5,  0.5,  0.1,

    TOTAL FEMALE,           156, 1256, 1408,  895,  354,   97,   16,    2,                                     4184,

    % FEMALE ,              3.7, 30.0, 33.7, 21.4,  8.5,  2.3,  0.4,  0.0,

    TOTAL MALE,              46,  451,  613,  412,  150,   49,   12,    4,                                     1737,

    % MALE ,                2.6, 26.0, 35.3, 23.7,  8.6,  2.8,  0.7,  0.2,
-----------------------------------------------------------------------------------------------------------------------

    EACNAMAÍOCHT BHAIL,     303, 1540, 2176, 2208, 1637,  900,  319,  107,                                     9190,

    HOME ECONOMICS S &,     3.3, 16.8, 23.7, 24.0, 17.8,  9.8,  3.5,  1.2,

    TOTAL FEMALE,           295, 1490, 2037, 1994, 1421,  765,  261,   79,                                     8342,

    % FEMALE ,              3.5, 17.9, 24.4, 23.9, 17.0,  9.2,  3.1,  0.9,

    TOTAL MALE,               8,   50,  139,  214,  216,  135,   58,   28,                                      848,

    % MALE ,                0.9,  5.9, 16.4, 25.2, 25.5, 15.9,  6.8,  3.3,
-----------------------------------------------------------------------------------------------------------------------

    RÚISIS,                 223,   72,   28,   15,    5,    4,    3,    0,                                      350,

    RUSSIAN,               63.7, 20.6,  8.0,  4.3,  1.4,  1.1,  0.9,  0.0,

    TOTAL FEMALE,           127,   27,   12,    6,    2,    1,    1,    0,                                      176,

    % FEMALE ,             72.2, 15.3,  6.8,  3.4,  1.1,  0.6,  0.6,  0.0,

    TOTAL MALE,              96,   45,   16,    9,    3,    3,    2,    0,                                      174,

    % MALE ,               55.2, 25.9,  9.2,  5.2,  1.7,  1.7,  1.1,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    OIDEACHAS REILIGIÚ,      32,  179,  301,  246,  168,   99,   41,   15,                                     1081,

    RELIGIOUS EDUCATIO,     3.0, 16.6, 27.8, 22.8, 15.5,  9.2,  3.8,  1.4,

    TOTAL FEMALE,            18,  107,  152,  122,   89,   48,   14,    6,                                      556,

    % FEMALE ,              3.2, 19.2, 27.3, 21.9, 16.0,  8.6,  2.5,  1.1,

    TOTAL MALE,              14,   72,  149,  124,   79,   51,   27,    9,                                      525,

    % MALE ,                2.7, 13.7, 28.4, 23.6, 15.0,  9.7,  5.1,  1.7,
-----------------------------------------------------------------------------------------------------------------------

    POLAINNIS,               63,  105,  188,  166,  103,   37,   14,   11,                                      687,

    POLISH,                 9.2, 15.3, 27.4, 24.2, 15.0,  5.4,  2.0,  1.6,
 

    TOTAL FEMALE,            34,   47,   99,   98,   58,   12,    9,    4,                                      361,

    % FEMALE ,              9.4, 13.0, 27.4, 27.1, 16.1,  3.3,  2.5,  1.1,

    TOTAL MALE,              29,   58,   89,   68,   45,   25,    5,    7,                                      326,

    % MALE ,                8.9, 17.8, 27.3, 20.9, 13.8,  7.7,  1.5,  2.1,
-----------------------------------------------------------------------------------------------------------------------

    LAITVIS,                  4,    7,   16,   12,   11,    7,    3,    3,                                       63,

    LATVIAN,                6.3, 11.1, 25.4, 19.0, 17.5, 11.1,  4.8,  4.8,

    TOTAL FEMALE,             2,    5,   10,    7,    4,    5,    1,    0,                                       34,

    % FEMALE ,              5.9, 14.7, 29.4, 20.6, 11.8, 14.7,  2.9,  0.0,

    TOTAL MALE,               2,    2,    6,    5,    7,    2,    2,    3,                                       29,

    % MALE ,                6.9,  6.9, 20.7, 17.2, 24.1,  6.9,  6.9, 10.3,
-----------------------------------------------------------------------------------------------------------------------

    LIOTUÁINIS,              12,   26,   29,   41,   32,   12,    2,    2,                                      156,

    LITHUANIAN,             7.7, 16.7, 18.6, 26.3, 20.5,  7.7,  1.3,  1.3,

    TOTAL FEMALE,            10,   17,   22,   24,   12,    5,    1,    0,                                       91,

    % FEMALE ,             11.0, 18.7, 24.2, 26.4, 13.2,  5.5,  1.1,  0.0,

    TOTAL MALE,               2,    9,    7,   17,   20,    7,    1,    2,                                       65,

    % MALE ,                3.1, 13.8, 10.8, 26.2, 30.8, 10.8,  1.5,  3.1,
-----------------------------------------------------------------------------------------------------------------------

    UNGÁIRIS,                 6,    5,    4,    5,   11,    5,    1,    1,                                       38,

    HUNGARIAN,             15.8, 13.2, 10.5, 13.2, 28.9, 13.2,  2.6,  2.6,

    TOTAL FEMALE,             5,    1,    1,    1,    5,    3,    0,    0,                                       16,

    % FEMALE ,             31.3,  6.3,  6.3,  6.3, 31.3, 18.8,  0.0,  0.0,

    TOTAL MALE,               1,    4,    3,    4,    6,    2,    1,    1,                                       22,

    % MALE ,                4.5, 18.2, 13.6, 18.2, 27.3,  9.1,  4.5,  4.5,
-----------------------------------------------------------------------------------------------------------------------

    RÓMÁINIS,                28,   51,   61,   65,   43,   12,    5,    2,                                      267,

    ROMANIAN,              10.5, 19.1, 22.8, 24.3, 16.1,  4.5,  1.9,  0.7,

    TOTAL FEMALE,            21,   33,   30,   22,   15,    2,    0,    0,                                      123,

    % FEMALE ,             17.1, 26.8, 24.4, 17.9, 12.2,  1.6,  0.0,  0.0,

    TOTAL MALE,               7,   18,   31,   43,   28,   10,    5,    2,                                      144,

    % MALE ,                4.9, 12.5, 21.5, 29.9, 19.4,  6.9,  3.5,  1.4,
-----------------------------------------------------------------------------------------------------------------------
 

    GRAFAIC DHEARAIDH ,     260,  900, 1075,  903,  714,  389,  155,   84,                                     4480,

    DESIGN & COMMUNICA,     5.8, 20.1, 24.0, 20.2, 15.9,  8.7,  3.5,  1.9,

    TOTAL FEMALE,            41,  164,  175,  137,   86,   34,   17,    5,                                      659,

    % FEMALE ,              6.2, 24.9, 26.6, 20.8, 13.1,  5.2,  2.6,  0.8,

    TOTAL MALE,             219,  736,  900,  766,  628,  355,  138,   79,                                     3821,

    % MALE ,                5.7, 19.3, 23.6, 20.0, 16.4,  9.3,  3.6,  2.1,
-----------------------------------------------------------------------------------------------------------------------

    CRÓITIS,                 13,   14,   10,    7,    2,    0,    1,    0,                                       47,

    CROATIAN,              27.7, 29.8, 21.3, 14.9,  4.3,  0.0,  2.1,  0.0,

    TOTAL FEMALE,            11,    5,    6,    3,    0,    0,    0,    0,                                       25,

    % FEMALE ,             44.0, 20.0, 24.0, 12.0,  0.0,  0.0,  0.0,  0.0,

    TOTAL MALE,               2,    9,    4,    4,    2,    0,    1,    0,                                       22,

    % MALE ,                9.1, 40.9, 18.2, 18.2,  9.1,  0.0,  4.5,  0.0,
-----------------------------------------------------------------------------------------------------------------------

    AN PHOLAITÍOCHT AG,      47,  102,  158,  150,  148,   94,   53,   22,                                      774,

    POLITICS AND SOCIE,     6.1, 13.2, 20.4, 19.4, 19.1, 12.1,  6.8,  2.8,

    TOTAL FEMALE,            27,   57,   79,   75,   81,   45,   25,   10,                                      399,

    % FEMALE ,              6.8, 14.3, 19.8, 18.8, 20.3, 11.3,  6.3,  2.5,

    TOTAL MALE,              20,   45,   79,   75,   67,   49,   28,   12,                                      375,

    % MALE ,                5.3, 12.0, 21.1, 20.0, 17.9, 13.1,  7.5,  3.2,
-----------------------------------------------------------------------------------------------------------------------


