"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2022"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 9009 lines in total
------------------------------------------------------------------
tariff_band,Cycle,statistic,equality_dimension,agegroup,value
Higher tariff providers,2020,June deadline applicants,Other ethnic group,18 year olds,3760
Higher tariff providers,2020,June deadline applicants,POLAR4 Q1,18 year olds,17005
Higher tariff providers,2020,June deadline applicants,POLAR4 Q2,18 year olds,24390
Higher tariff providers,2020,June deadline applicants,POLAR4 Q3,18 year olds,31320
Higher tariff providers,2020,June deadline applicants,POLAR4 Q4,18 year olds,41190
Higher tariff providers,2020,June deadline applicants,POLAR4 Q5,18 year olds,68060
Higher tariff providers,2020,June deadline applicants,Men,18 year olds,79655
Higher tariff providers,2020,June deadline applicants,Women,18 year olds,102490
Higher tariff providers,2021,June deadline applicants,Total,18 year olds,204680
Higher tariff providers,2021,June deadline applicants,White ethnic group,18 year olds,141395
Higher tariff providers,2021,June deadline applicants,Black ethnic group,18 year olds,12565
Higher tariff providers,2021,June deadline applicants,Asian ethnic group,18 year olds,33245
Higher tariff providers,2021,June deadline applicants,Mixed ethnic group,18 year olds,11485
Higher tariff providers,2021,June deadline applicants,Other ethnic group,18 year olds,4255
Higher tariff providers,2021,June deadline applicants,POLAR4 Q1,18 year olds,19390
Higher tariff providers,2021,June deadline applicants,POLAR4 Q2,18 year olds,27805
Higher tariff providers,2021,June deadline applicants,POLAR4 Q3,18 year olds,35765
Higher tariff providers,2021,June deadline applicants,POLAR4 Q4,18 year olds,45830
Higher tariff providers,2021,June deadline applicants,POLAR4 Q5,18 year olds,75690
Higher tariff providers,2021,June deadline applicants,Men,18 year olds,88330
Higher tariff providers,2021,June deadline applicants,Women,18 year olds,116350
Higher tariff providers,2022,June deadline applicants,Total,18 year olds,215230
Higher tariff providers,2022,June deadline applicants,White ethnic group,18 year olds,144680
Higher tariff providers,2022,June deadline applicants,Black ethnic group,18 year olds,14505
Higher tariff providers,2022,June deadline applicants,Asian ethnic group,18 year olds,36245
Higher tariff providers,2022,June deadline applicants,Mixed ethnic group,18 year olds,12940
Higher tariff providers,2022,June deadline applicants,Other ethnic group,18 year olds,5230
Higher tariff providers,2022,June deadline applicants,POLAR4 Q1,18 year olds,21650
Higher tariff providers,2022,June deadline applicants,POLAR4 Q2,18 year olds,29435
Higher tariff providers,2022,June deadline applicants,POLAR4 Q3,18 year olds,37765
Higher tariff providers,2022,June deadline applicants,POLAR4 Q4,18 year olds,48200
Higher tariff providers,2022,June deadline applicants,POLAR4 Q5,18 year olds,78040
Higher tariff providers,2022,June deadline applicants,Men,18 year olds,93775
Higher tariff providers,2022,June deadline applicants,Women,18 year olds,121455
Higher tariff providers,2010,Placed June deadline applicants,Total,18 year olds,64845
Higher tariff providers,2010,Placed June deadline applicants,White ethnic group,18 year olds,56085
Higher tariff providers,2010,Placed June deadline applicants,Black ethnic group,18 year olds,880
Higher tariff providers,2010,Placed June deadline applicants,Asian ethnic group,18 year olds,4970
Higher tariff providers,2010,Placed June deadline applicants,Mixed ethnic group,18 year olds,1985
Higher tariff providers,2010,Placed June deadline applicants,Other ethnic group,18 year olds,405
Higher tariff providers,2010,Placed June deadline applicants,POLAR4 Q1,18 year olds,3215
Higher tariff providers,2010,Placed June deadline applicants,POLAR4 Q2,18 year olds,6330
Higher tariff providers,2010,Placed June deadline applicants,POLAR4 Q3,18 year olds,9740
Higher tariff providers,2010,Placed June deadline applicants,POLAR4 Q4,18 year olds,14375
Higher tariff providers,2010,Placed June deadline applicants,POLAR4 Q5,18 year olds,31085
Higher tariff providers,2010,Placed June deadline applicants,Men,18 year olds,29970
Higher tariff providers,2010,Placed June deadline applicants,Women,18 year olds,34875
Higher tariff providers,2011,Placed June deadline applicants,Total,18 year olds,62125
Higher tariff providers,2011,Placed June deadline applicants,White ethnic group,18 year olds,53295
Higher tariff providers,2011,Placed June deadline applicants,Black ethnic group,18 year olds,955
Higher tariff providers,2011,Placed June deadline applicants,Asian ethnic group,18 year olds,4745
Higher tariff providers,2011,Placed June deadline applicants,Mixed ethnic group,18 year olds,2205
Higher tariff providers,2011,Placed June deadline applicants,Other ethnic group,18 year olds,440
Higher tariff providers,2011,Placed June deadline applicants,POLAR4 Q1,18 year olds,3105
Higher tariff providers,2011,Placed June deadline applicants,POLAR4 Q2,18 year olds,5890
Higher tariff providers,2011,Placed June deadline applicants,POLAR4 Q3,18 year olds,9230
Higher tariff providers,2011,Placed June deadline applicants,POLAR4 Q4,18 year olds,13845
Higher tariff providers,2011,Placed June deadline applicants,POLAR4 Q5,18 year olds,29970
Higher tariff providers,2011,Placed June deadline applicants,Men,18 year olds,28990
Higher tariff providers,2011,Placed June deadline applicants,Women,18 year olds,33135
Higher tariff providers,2012,Placed June deadline applicants,Total,18 year olds,64415
Higher tariff providers,2012,Placed June deadline applicants,White ethnic group,18 year olds,54945
Higher tariff providers,2012,Placed June deadline applicants,Black ethnic group,18 year olds,1035
Higher tariff providers,2012,Placed June deadline applicants,Asian ethnic group,18 year olds,5150
Higher tariff providers,2012,Placed June deadline applicants,Mixed ethnic group,18 year olds,2340
Higher tariff providers,2012,Placed June deadline applicants,Other ethnic group,18 year olds,510
Higher tariff providers,2012,Placed June deadline applicants,POLAR4 Q1,18 year olds,3320
Higher tariff providers,2012,Placed June deadline applicants,POLAR4 Q2,18 year olds,6410
Higher tariff providers,2012,Placed June deadline applicants,POLAR4 Q3,18 year olds,9435
Higher tariff providers,2012,Placed June deadline applicants,POLAR4 Q4,18 year olds,14035
Higher tariff providers,2012,Placed June deadline applicants,POLAR4 Q5,18 year olds,31135
Higher tariff providers,2012,Placed June deadline applicants,Men,18 year olds,29580
Higher tariff providers,2012,Placed June deadline applicants,Women,18 year olds,34835
Higher tariff providers,2013,Placed June deadline applicants,Total,18 year olds,67695
Higher tariff providers,2013,Placed June deadline applicants,White ethnic group,18 year olds,57140
Higher tariff providers,2013,Placed June deadline applicants,Black ethnic group,18 year olds,1360
Higher tariff providers,2013,Placed June deadline applicants,Asian ethnic group,18 year olds,5675
Higher tariff providers,2013,Placed June deadline applicants,Mixed ethnic group,18 year olds,2630
Higher tariff providers,2013,Placed June deadline applicants,Other ethnic group,18 year olds,510
Higher tariff providers,2013,Placed June deadline applicants,POLAR4 Q1,18 year olds,3585
Higher tariff providers,2013,Placed June deadline applicants,POLAR4 Q2,18 year olds,6830
Higher tariff providers,2013,Placed June deadline applicants,POLAR4 Q3,18 year olds,10310
Higher tariff providers,2013,Placed June deadline applicants,POLAR4 Q4,18 year olds,14720
Higher tariff providers,2013,Placed June deadline applicants,POLAR4 Q5,18 year olds,32190
Higher tariff providers,2013,Placed June deadline applicants,Men,18 year olds,31195
Higher tariff providers,2013,Placed June deadline applicants,Women,18 year olds,36500
Higher tariff providers,2014,Placed June deadline applicants,Total,18 year olds,68410
Higher tariff providers,2014,Placed June deadline applicants,White ethnic group,18 year olds,57370
Higher tariff providers,2014,Placed June deadline applicants,Black ethnic group,18 year olds,1480
Higher tariff providers,2014,Placed June deadline applicants,Asian ethnic group,18 year olds,5825
Higher tariff providers,2014,Placed June deadline applicants,Mixed ethnic group,18 year olds,2785
Higher tariff providers,2014,Placed June deadline applicants,Other ethnic group,18 year olds,610
Higher tariff providers,2014,Placed June deadline applicants,POLAR4 Q1,18 year olds,3950
Higher tariff providers,2014,Placed June deadline applicants,POLAR4 Q2,18 year olds,7100
Higher tariff providers,2014,Placed June deadline applicants,POLAR4 Q3,18 year olds,10320
Higher tariff providers,2014,Placed June deadline applicants,POLAR4 Q4,18 year olds,14945
Higher tariff providers,2014,Placed June deadline applicants,POLAR4 Q5,18 year olds,32030
Higher tariff providers,2014,Placed June deadline applicants,Men,18 year olds,31195
Higher tariff providers,2014,Placed June deadline applicants,Women,18 year olds,37215
Higher tariff providers,2015,Placed June deadline applicants,Total,18 year olds,71955
Higher tariff providers,2015,Placed June deadline applicants,White ethnic group,18 year olds,59490
Higher tariff providers,2015,Placed June deadline applicants,Black ethnic group,18 year olds,1685
Higher tariff providers,2015,Placed June deadline applicants,Asian ethnic group,18 year olds,6445
Higher tariff providers,2015,Placed June deadline applicants,Mixed ethnic group,18 year olds,3065
Higher tariff providers,2015,Placed June deadline applicants,Other ethnic group,18 year olds,690
Higher tariff providers,2015,Placed June deadline applicants,POLAR4 Q1,18 year olds,4205
Higher tariff providers,2015,Placed June deadline applicants,POLAR4 Q2,18 year olds,7440
Higher tariff providers,2015,Placed June deadline applicants,POLAR4 Q3,18 year olds,11100
Higher tariff providers,2015,Placed June deadline applicants,POLAR4 Q4,18 year olds,15890
Higher tariff providers,2015,Placed June deadline applicants,POLAR4 Q5,18 year olds,33245
Higher tariff providers,2015,Placed June deadline applicants,Men,18 year olds,32505
Higher tariff providers,2015,Placed June deadline applicants,Women,18 year olds,39450
Higher tariff providers,2016,Placed June deadline applicants,Total,18 year olds,72820
Higher tariff providers,2016,Placed June deadline applicants,White ethnic group,18 year olds,59820
Higher tariff providers,2016,Placed June deadline applicants,Black ethnic group,18 year olds,1845
Higher tariff providers,2016,Placed June deadline applicants,Asian ethnic group,18 year olds,6645
Higher tariff providers,2016,Placed June deadline applicants,Mixed ethnic group,18 year olds,3315
Higher tariff providers,2016,Placed June deadline applicants,Other ethnic group,18 year olds,670
Higher tariff providers,2016,Placed June deadline applicants,POLAR4 Q1,18 year olds,4330
Higher tariff providers,2016,Placed June deadline applicants,POLAR4 Q2,18 year olds,7735
Higher tariff providers,2016,Placed June deadline applicants,POLAR4 Q3,18 year olds,11185
Higher tariff providers,2016,Placed June deadline applicants,POLAR4 Q4,18 year olds,15870
Higher tariff providers,2016,Placed June deadline applicants,POLAR4 Q5,18 year olds,33630
Higher tariff providers,2016,Placed June deadline applicants,Men,18 year olds,32115
Higher tariff providers,2016,Placed June deadline applicants,Women,18 year olds,40700
Higher tariff providers,2017,Placed June deadline applicants,Total,18 year olds,73480
Higher tariff providers,2017,Placed June deadline applicants,White ethnic group,18 year olds,59440
Higher tariff providers,2017,Placed June deadline applicants,Black ethnic group,18 year olds,1910
Higher tariff providers,2017,Placed June deadline applicants,Asian ethnic group,18 year olds,7285
Higher tariff providers,2017,Placed June deadline applicants,Mixed ethnic group,18 year olds,3485
Higher tariff providers,2017,Placed June deadline applicants,Other ethnic group,18 year olds,790
Higher tariff providers,2017,Placed June deadline applicants,POLAR4 Q1,18 year olds,4560
Higher tariff providers,2017,Placed June deadline applicants,POLAR4 Q2,18 year olds,8020
Higher tariff providers,2017,Placed June deadline applicants,POLAR4 Q3,18 year olds,11255
Higher tariff providers,2017,Placed June deadline applicants,POLAR4 Q4,18 year olds,15960
Higher tariff providers,2017,Placed June deadline applicants,POLAR4 Q5,18 year olds,33610
Higher tariff providers,2017,Placed June deadline applicants,Men,18 year olds,32880
Higher tariff providers,2017,Placed June deadline applicants,Women,18 year olds,40600
Higher tariff providers,2018,Placed June deadline applicants,Total,18 year olds,71785
Higher tariff providers,2018,Placed June deadline applicants,White ethnic group,18 year olds,57375
Higher tariff providers,2018,Placed June deadline applicants,Black ethnic group,18 year olds,1995
Higher tariff providers,2018,Placed June deadline applicants,Asian ethnic group,18 year olds,7495
Higher tariff providers,2018,Placed June deadline applicants,Mixed ethnic group,18 year olds,3485
Higher tariff providers,2018,Placed June deadline applicants,Other ethnic group,18 year olds,795
Higher tariff providers,2018,Placed June deadline applicants,POLAR4 Q1,18 year olds,4470
Higher tariff providers,2018,Placed June deadline applicants,POLAR4 Q2,18 year olds,7695
Higher tariff providers,2018,Placed June deadline applicants,POLAR4 Q3,18 year olds,10845
Higher tariff providers,2018,Placed June deadline applicants,POLAR4 Q4,18 year olds,15635
Higher tariff providers,2018,Placed June deadline applicants,POLAR4 Q5,18 year olds,33075
Higher tariff providers,2018,Placed June deadline applicants,Men,18 year olds,32140
Higher tariff providers,2018,Placed June deadline applicants,Women,18 year olds,39645
Higher tariff providers,2019,Placed June deadline applicants,Total,18 year olds,71845
Higher tariff providers,2019,Placed June deadline applicants,White ethnic group,18 year olds,56120
Higher tariff providers,2019,Placed June deadline applicants,Black ethnic group,18 year olds,2325
Higher tariff providers,2019,Placed June deadline applicants,Asian ethnic group,18 year olds,8080
Higher tariff providers,2019,Placed June deadline applicants,Mixed ethnic group,18 year olds,3770
Higher tariff providers,2019,Placed June deadline applicants,Other ethnic group,18 year olds,945
Higher tariff providers,2019,Placed June deadline applicants,POLAR4 Q1,18 year olds,4805
Higher tariff providers,2019,Placed June deadline applicants,POLAR4 Q2,18 year olds,7755
Higher tariff providers,2019,Placed June deadline applicants,POLAR4 Q3,18 year olds,11075
Higher tariff providers,2019,Placed June deadline applicants,POLAR4 Q4,18 year olds,15495
Higher tariff providers,2019,Placed June deadline applicants,POLAR4 Q5,18 year olds,32635
Higher tariff providers,2019,Placed June deadline applicants,Men,18 year olds,31720
Higher tariff providers,2019,Placed June deadline applicants,Women,18 year olds,40125
Higher tariff providers,2020,Placed June deadline applicants,Total,18 year olds,78105
Higher tariff providers,2020,Placed June deadline applicants,White ethnic group,18 year olds,59610
Higher tariff providers,2020,Placed June deadline applicants,Black ethnic group,18 year olds,2895
Higher tariff providers,2020,Placed June deadline applicants,Asian ethnic group,18 year olds,9465
Higher tariff providers,2020,Placed June deadline applicants,Mixed ethnic group,18 year olds,4295
Higher tariff providers,2020,Placed June deadline applicants,Other ethnic group,18 year olds,1125
Higher tariff providers,2020,Placed June deadline applicants,POLAR4 Q1,18 year olds,5720
Higher tariff providers,2020,Placed June deadline applicants,POLAR4 Q2,18 year olds,8985
Higher tariff providers,2020,Placed June deadline applicants,POLAR4 Q3,18 year olds,11785
Higher tariff providers,2020,Placed June deadline applicants,POLAR4 Q4,18 year olds,16805
Higher tariff providers,2020,Placed June deadline applicants,POLAR4 Q5,18 year olds,34740
Higher tariff providers,2020,Placed June deadline applicants,Men,18 year olds,34055
Higher tariff providers,2020,Placed June deadline applicants,Women,18 year olds,44050
