"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2022"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 9009 lines in total
------------------------------------------------------------------
tariff_band,Cycle,statistic,equality_dimension,agegroup,value
Medium tariff providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,1070.6
Medium tariff providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,1228.9
Medium tariff providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,1375.9
Medium tariff providers,2021,"Placed June deadline applicants per 10,000 population",Men,18 year olds,924.4
Medium tariff providers,2021,"Placed June deadline applicants per 10,000 population",Women,18 year olds,1234.1
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",Total,18 year olds,1061.5
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,1018
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,1348.6
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,1176.5
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,979.7
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,1244.4
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,711.5
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,886
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,1037.8
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,1212
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,1351.6
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",Men,18 year olds,926.1
Medium tariff providers,2022,"Placed June deadline applicants per 10,000 population",Women,18 year olds,1203.9
Medium tariff providers,2010,"All placed applicants per 10,000 population",Total,18 year olds,863
Medium tariff providers,2010,"All placed applicants per 10,000 population",White ethnic group,18 year olds,862.3
Medium tariff providers,2010,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,862.1
Medium tariff providers,2010,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,850
Medium tariff providers,2010,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,813.6
Medium tariff providers,2010,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,618.3
Medium tariff providers,2010,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,424.2
Medium tariff providers,2010,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,644.1
Medium tariff providers,2010,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,843
Medium tariff providers,2010,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1037.5
Medium tariff providers,2010,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1283.8
Medium tariff providers,2010,"All placed applicants per 10,000 population",Men,18 year olds,779.4
Medium tariff providers,2010,"All placed applicants per 10,000 population",Women,18 year olds,949.5
Medium tariff providers,2011,"All placed applicants per 10,000 population",Total,18 year olds,885.9
Medium tariff providers,2011,"All placed applicants per 10,000 population",White ethnic group,18 year olds,894.1
Medium tariff providers,2011,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,812.4
Medium tariff providers,2011,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,828.3
Medium tariff providers,2011,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,864.6
Medium tariff providers,2011,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,585.2
Medium tariff providers,2011,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,424.2
Medium tariff providers,2011,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,648.5
Medium tariff providers,2011,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,845.4
Medium tariff providers,2011,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1059.9
Medium tariff providers,2011,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1355.6
Medium tariff providers,2011,"All placed applicants per 10,000 population",Men,18 year olds,792.9
Medium tariff providers,2011,"All placed applicants per 10,000 population",Women,18 year olds,983
Medium tariff providers,2012,"All placed applicants per 10,000 population",Total,18 year olds,873.6
Medium tariff providers,2012,"All placed applicants per 10,000 population",White ethnic group,18 year olds,872.9
Medium tariff providers,2012,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,937.8
Medium tariff providers,2012,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,851.6
Medium tariff providers,2012,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,809.4
Medium tariff providers,2012,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,697.3
Medium tariff providers,2012,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,442.7
Medium tariff providers,2012,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,661.7
Medium tariff providers,2012,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,853.7
Medium tariff providers,2012,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1041.2
Medium tariff providers,2012,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1271.3
Medium tariff providers,2012,"All placed applicants per 10,000 population",Men,18 year olds,778.3
Medium tariff providers,2012,"All placed applicants per 10,000 population",Women,18 year olds,973.8
Medium tariff providers,2013,"All placed applicants per 10,000 population",Total,18 year olds,908.9
Medium tariff providers,2013,"All placed applicants per 10,000 population",White ethnic group,18 year olds,904.9
Medium tariff providers,2013,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,1036.4
Medium tariff providers,2013,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,897.9
Medium tariff providers,2013,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,820.7
Medium tariff providers,2013,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,766.4
Medium tariff providers,2013,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,472.1
Medium tariff providers,2013,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,698.9
Medium tariff providers,2013,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,890.2
Medium tariff providers,2013,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1084.7
Medium tariff providers,2013,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1297.3
Medium tariff providers,2013,"All placed applicants per 10,000 population",Men,18 year olds,803.1
Medium tariff providers,2013,"All placed applicants per 10,000 population",Women,18 year olds,1020.4
Medium tariff providers,2014,"All placed applicants per 10,000 population",Total,18 year olds,940.8
Medium tariff providers,2014,"All placed applicants per 10,000 population",White ethnic group,18 year olds,927.6
Medium tariff providers,2014,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,1169.8
Medium tariff providers,2014,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,966.6
Medium tariff providers,2014,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,847.8
Medium tariff providers,2014,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,842.3
Medium tariff providers,2014,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,523.4
Medium tariff providers,2014,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,747.5
Medium tariff providers,2014,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,932
Medium tariff providers,2014,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1104.1
Medium tariff providers,2014,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1305.2
Medium tariff providers,2014,"All placed applicants per 10,000 population",Men,18 year olds,829.7
Medium tariff providers,2014,"All placed applicants per 10,000 population",Women,18 year olds,1058.3
Medium tariff providers,2015,"All placed applicants per 10,000 population",Total,18 year olds,977.7
Medium tariff providers,2015,"All placed applicants per 10,000 population",White ethnic group,18 year olds,955.9
Medium tariff providers,2015,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,1213.8
Medium tariff providers,2015,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,1042.5
Medium tariff providers,2015,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,916.8
Medium tariff providers,2015,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,944.1
Medium tariff providers,2015,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,559
Medium tariff providers,2015,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,775.7
Medium tariff providers,2015,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,970.5
Medium tariff providers,2015,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1147.9
Medium tariff providers,2015,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1338.5
Medium tariff providers,2015,"All placed applicants per 10,000 population",Men,18 year olds,840.9
Medium tariff providers,2015,"All placed applicants per 10,000 population",Women,18 year olds,1121.3
Medium tariff providers,2016,"All placed applicants per 10,000 population",Total,18 year olds,1057.2
Medium tariff providers,2016,"All placed applicants per 10,000 population",White ethnic group,18 year olds,1020.5
Medium tariff providers,2016,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,1374.5
Medium tariff providers,2016,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,1190.5
Medium tariff providers,2016,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,959.1
Medium tariff providers,2016,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,1132.5
Medium tariff providers,2016,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,613.1
Medium tariff providers,2016,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,855.7
Medium tariff providers,2016,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,1039.7
Medium tariff providers,2016,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1229.4
Medium tariff providers,2016,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1430.7
Medium tariff providers,2016,"All placed applicants per 10,000 population",Men,18 year olds,926.8
Medium tariff providers,2016,"All placed applicants per 10,000 population",Women,18 year olds,1194.3
Medium tariff providers,2017,"All placed applicants per 10,000 population",Total,18 year olds,1115.8
Medium tariff providers,2017,"All placed applicants per 10,000 population",White ethnic group,18 year olds,1066.5
Medium tariff providers,2017,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,1457.8
Medium tariff providers,2017,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,1288.8
Medium tariff providers,2017,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,1082
Medium tariff providers,2017,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,1285.3
Medium tariff providers,2017,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,689.5
Medium tariff providers,2017,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,893.5
Medium tariff providers,2017,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,1094.9
Medium tariff providers,2017,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1294.1
Medium tariff providers,2017,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1484.5
Medium tariff providers,2017,"All placed applicants per 10,000 population",Men,18 year olds,970
Medium tariff providers,2017,"All placed applicants per 10,000 population",Women,18 year olds,1269.1
Medium tariff providers,2018,"All placed applicants per 10,000 population",Total,18 year olds,1128.2
Medium tariff providers,2018,"All placed applicants per 10,000 population",White ethnic group,18 year olds,1065.6
Medium tariff providers,2018,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,1535.6
Medium tariff providers,2018,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,1356.7
Medium tariff providers,2018,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,1069.3
Medium tariff providers,2018,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,1297.5
Medium tariff providers,2018,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,694.3
Medium tariff providers,2018,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,913.4
Medium tariff providers,2018,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,1087.3
Medium tariff providers,2018,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1311.3
Medium tariff providers,2018,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1505.1
Medium tariff providers,2018,"All placed applicants per 10,000 population",Men,18 year olds,975.5
Medium tariff providers,2018,"All placed applicants per 10,000 population",Women,18 year olds,1288.9
Medium tariff providers,2019,"All placed applicants per 10,000 population",Total,18 year olds,1167.8
Medium tariff providers,2019,"All placed applicants per 10,000 population",White ethnic group,18 year olds,1089.1
Medium tariff providers,2019,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,1626.4
Medium tariff providers,2019,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,1420.9
Medium tariff providers,2019,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,1159.6
Medium tariff providers,2019,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,1454.6
Medium tariff providers,2019,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,747.9
Medium tariff providers,2019,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,935.9
Medium tariff providers,2019,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,1147.5
Medium tariff providers,2019,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1336
Medium tariff providers,2019,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1537.4
Medium tariff providers,2019,"All placed applicants per 10,000 population",Men,18 year olds,1010.3
Medium tariff providers,2019,"All placed applicants per 10,000 population",Women,18 year olds,1333
Medium tariff providers,2020,"All placed applicants per 10,000 population",Total,18 year olds,1230.2
Medium tariff providers,2020,"All placed applicants per 10,000 population",White ethnic group,18 year olds,1134.3
Medium tariff providers,2020,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,1792.9
Medium tariff providers,2020,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,1524
Medium tariff providers,2020,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,1195.3
Medium tariff providers,2020,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,1589.7
Medium tariff providers,2020,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,819.7
Medium tariff providers,2020,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,992.8
Medium tariff providers,2020,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,1196.2
Medium tariff providers,2020,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1432.2
Medium tariff providers,2020,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1577.5
Medium tariff providers,2020,"All placed applicants per 10,000 population",Men,18 year olds,1071.3
Medium tariff providers,2020,"All placed applicants per 10,000 population",Women,18 year olds,1397.6
Medium tariff providers,2021,"All placed applicants per 10,000 population",Total,18 year olds,1253.5
Medium tariff providers,2021,"All placed applicants per 10,000 population",White ethnic group,18 year olds,1147
Medium tariff providers,2021,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,1876.5
Medium tariff providers,2021,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,1577
Medium tariff providers,2021,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,1172.8
Medium tariff providers,2021,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,1695.3
Medium tariff providers,2021,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,808.3
Medium tariff providers,2021,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,1012.8
Medium tariff providers,2021,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,1242.7
Medium tariff providers,2021,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1451
Medium tariff providers,2021,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1612.6
Medium tariff providers,2021,"All placed applicants per 10,000 population",Men,18 year olds,1086
Medium tariff providers,2021,"All placed applicants per 10,000 population",Women,18 year olds,1430.4
Medium tariff providers,2022,"All placed applicants per 10,000 population",Total,18 year olds,1288.7
Medium tariff providers,2022,"All placed applicants per 10,000 population",White ethnic group,18 year olds,1174.2
Medium tariff providers,2022,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,1927.9
Medium tariff providers,2022,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,1635.8
Medium tariff providers,2022,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,1238.4
Medium tariff providers,2022,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,1698.9
Medium tariff providers,2022,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,848.4
Medium tariff providers,2022,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,1057.6
Medium tariff providers,2022,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,1256.8
Medium tariff providers,2022,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,1483.3
Medium tariff providers,2022,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,1658.6
Medium tariff providers,2022,"All placed applicants per 10,000 population",Men,18 year olds,1124.7
Medium tariff providers,2022,"All placed applicants per 10,000 population",Women,18 year olds,1461.4
Medium tariff providers,2010,June deadline applications,Total,18 year olds,392450
Medium tariff providers,2010,June deadline applications,White ethnic group,18 year olds,326955
Medium tariff providers,2010,June deadline applications,Black ethnic group,18 year olds,15595
Medium tariff providers,2010,June deadline applications,Asian ethnic group,18 year olds,33300
Medium tariff providers,2010,June deadline applications,Mixed ethnic group,18 year olds,11625
Medium tariff providers,2010,June deadline applications,Other ethnic group,18 year olds,3095
Medium tariff providers,2010,June deadline applications,POLAR4 Q1,18 year olds,37770
Medium tariff providers,2010,June deadline applications,POLAR4 Q2,18 year olds,57450
Medium tariff providers,2010,June deadline applications,POLAR4 Q3,18 year olds,75820
Medium tariff providers,2010,June deadline applications,POLAR4 Q4,18 year olds,93740
Medium tariff providers,2010,June deadline applications,POLAR4 Q5,18 year olds,126935
Medium tariff providers,2010,June deadline applications,Men,18 year olds,176790
Medium tariff providers,2010,June deadline applications,Women,18 year olds,215660
Medium tariff providers,2011,June deadline applications,Total,18 year olds,404260
Medium tariff providers,2011,June deadline applications,White ethnic group,18 year olds,336505
Medium tariff providers,2011,June deadline applications,Black ethnic group,18 year olds,16240
Medium tariff providers,2011,June deadline applications,Asian ethnic group,18 year olds,33625
Medium tariff providers,2011,June deadline applications,Mixed ethnic group,18 year olds,12850
Medium tariff providers,2011,June deadline applications,Other ethnic group,18 year olds,3255
Medium tariff providers,2011,June deadline applications,POLAR4 Q1,18 year olds,39125
Medium tariff providers,2011,June deadline applications,POLAR4 Q2,18 year olds,58790
Medium tariff providers,2011,June deadline applications,POLAR4 Q3,18 year olds,76665
Medium tariff providers,2011,June deadline applications,POLAR4 Q4,18 year olds,95860
Medium tariff providers,2011,June deadline applications,POLAR4 Q5,18 year olds,133230
Medium tariff providers,2011,June deadline applications,Men,18 year olds,180800
Medium tariff providers,2011,June deadline applications,Women,18 year olds,223455
Medium tariff providers,2012,June deadline applications,Total,18 year olds,382360
Medium tariff providers,2012,June deadline applications,White ethnic group,18 year olds,316470
Medium tariff providers,2012,June deadline applications,Black ethnic group,18 year olds,16095
Medium tariff providers,2012,June deadline applications,Asian ethnic group,18 year olds,32390
Medium tariff providers,2012,June deadline applications,Mixed ethnic group,18 year olds,12125
Medium tariff providers,2012,June deadline applications,Other ethnic group,18 year olds,3765
Medium tariff providers,2012,June deadline applications,POLAR4 Q1,18 year olds,36745
Medium tariff providers,2012,June deadline applications,POLAR4 Q2,18 year olds,55165
Medium tariff providers,2012,June deadline applications,POLAR4 Q3,18 year olds,72940
Medium tariff providers,2012,June deadline applications,POLAR4 Q4,18 year olds,91165
Medium tariff providers,2012,June deadline applications,POLAR4 Q5,18 year olds,125730
Medium tariff providers,2012,June deadline applications,Men,18 year olds,168930
Medium tariff providers,2012,June deadline applications,Women,18 year olds,213425
Medium tariff providers,2013,June deadline applications,Total,18 year olds,385000
Medium tariff providers,2013,June deadline applications,White ethnic group,18 year olds,314350
Medium tariff providers,2013,June deadline applications,Black ethnic group,18 year olds,18260
Medium tariff providers,2013,June deadline applications,Asian ethnic group,18 year olds,33940
Medium tariff providers,2013,June deadline applications,Mixed ethnic group,18 year olds,12975
Medium tariff providers,2013,June deadline applications,Other ethnic group,18 year olds,4070
Medium tariff providers,2013,June deadline applications,POLAR4 Q1,18 year olds,37575
Medium tariff providers,2013,June deadline applications,POLAR4 Q2,18 year olds,56295
Medium tariff providers,2013,June deadline applications,POLAR4 Q3,18 year olds,73605
Medium tariff providers,2013,June deadline applications,POLAR4 Q4,18 year olds,92775
Medium tariff providers,2013,June deadline applications,POLAR4 Q5,18 year olds,124275
Medium tariff providers,2013,June deadline applications,Men,18 year olds,170855
Medium tariff providers,2013,June deadline applications,Women,18 year olds,214145
Medium tariff providers,2014,June deadline applications,Total,18 year olds,398050
Medium tariff providers,2014,June deadline applications,White ethnic group,18 year olds,320330
Medium tariff providers,2014,June deadline applications,Black ethnic group,18 year olds,19920
Medium tariff providers,2014,June deadline applications,Asian ethnic group,18 year olds,37505
Medium tariff providers,2014,June deadline applications,Mixed ethnic group,18 year olds,14140
Medium tariff providers,2014,June deadline applications,Other ethnic group,18 year olds,4690
Medium tariff providers,2014,June deadline applications,POLAR4 Q1,18 year olds,41165
Medium tariff providers,2014,June deadline applications,POLAR4 Q2,18 year olds,59570
Medium tariff providers,2014,June deadline applications,POLAR4 Q3,18 year olds,76160
Medium tariff providers,2014,June deadline applications,POLAR4 Q4,18 year olds,94610
Medium tariff providers,2014,June deadline applications,POLAR4 Q5,18 year olds,126085
Medium tariff providers,2014,June deadline applications,Men,18 year olds,177565
Medium tariff providers,2014,June deadline applications,Women,18 year olds,220480
Medium tariff providers,2015,June deadline applications,Total,18 year olds,413995
Medium tariff providers,2015,June deadline applications,White ethnic group,18 year olds,327935
Medium tariff providers,2015,June deadline applications,Black ethnic group,18 year olds,22160
Medium tariff providers,2015,June deadline applications,Asian ethnic group,18 year olds,40600
Medium tariff providers,2015,June deadline applications,Mixed ethnic group,18 year olds,16075
Medium tariff providers,2015,June deadline applications,Other ethnic group,18 year olds,5305
Medium tariff providers,2015,June deadline applications,POLAR4 Q1,18 year olds,43320
Medium tariff providers,2015,June deadline applications,POLAR4 Q2,18 year olds,62315
Medium tariff providers,2015,June deadline applications,POLAR4 Q3,18 year olds,80255
Medium tariff providers,2015,June deadline applications,POLAR4 Q4,18 year olds,98030
Medium tariff providers,2015,June deadline applications,POLAR4 Q5,18 year olds,129630
Medium tariff providers,2015,June deadline applications,Men,18 year olds,178980
Medium tariff providers,2015,June deadline applications,Women,18 year olds,235020
Medium tariff providers,2016,June deadline applications,Total,18 year olds,421890
Medium tariff providers,2016,June deadline applications,White ethnic group,18 year olds,330295
Medium tariff providers,2016,June deadline applications,Black ethnic group,18 year olds,22870
Medium tariff providers,2016,June deadline applications,Asian ethnic group,18 year olds,43790
Medium tariff providers,2016,June deadline applications,Mixed ethnic group,18 year olds,16755
Medium tariff providers,2016,June deadline applications,Other ethnic group,18 year olds,5900
Medium tariff providers,2016,June deadline applications,POLAR4 Q1,18 year olds,44615
Medium tariff providers,2016,June deadline applications,POLAR4 Q2,18 year olds,63960
Medium tariff providers,2016,June deadline applications,POLAR4 Q3,18 year olds,81025
Medium tariff providers,2016,June deadline applications,POLAR4 Q4,18 year olds,99375
Medium tariff providers,2016,June deadline applications,POLAR4 Q5,18 year olds,132445
Medium tariff providers,2016,June deadline applications,Men,18 year olds,183865
Medium tariff providers,2016,June deadline applications,Women,18 year olds,238025
Medium tariff providers,2017,June deadline applications,Total,18 year olds,414980
Medium tariff providers,2017,June deadline applications,White ethnic group,18 year olds,319485
Medium tariff providers,2017,June deadline applications,Black ethnic group,18 year olds,23085
Medium tariff providers,2017,June deadline applications,Asian ethnic group,18 year olds,46320
Medium tariff providers,2017,June deadline applications,Mixed ethnic group,18 year olds,17465
Medium tariff providers,2017,June deadline applications,Other ethnic group,18 year olds,6465
Medium tariff providers,2017,June deadline applications,POLAR4 Q1,18 year olds,45155
Medium tariff providers,2017,June deadline applications,POLAR4 Q2,18 year olds,62445
Medium tariff providers,2017,June deadline applications,POLAR4 Q3,18 year olds,80070
Medium tariff providers,2017,June deadline applications,POLAR4 Q4,18 year olds,98670
Medium tariff providers,2017,June deadline applications,POLAR4 Q5,18 year olds,128190
Medium tariff providers,2017,June deadline applications,Men,18 year olds,181490
Medium tariff providers,2017,June deadline applications,Women,18 year olds,233490
Medium tariff providers,2018,June deadline applications,Total,18 year olds,404740
Medium tariff providers,2018,June deadline applications,White ethnic group,18 year olds,303880
Medium tariff providers,2018,June deadline applications,Black ethnic group,18 year olds,24575
Medium tariff providers,2018,June deadline applications,Asian ethnic group,18 year olds,49495
Medium tariff providers,2018,June deadline applications,Mixed ethnic group,18 year olds,17615
Medium tariff providers,2018,June deadline applications,Other ethnic group,18 year olds,6880
Medium tariff providers,2018,June deadline applications,POLAR4 Q1,18 year olds,44035
Medium tariff providers,2018,June deadline applications,POLAR4 Q2,18 year olds,60970
Medium tariff providers,2018,June deadline applications,POLAR4 Q3,18 year olds,77335
Medium tariff providers,2018,June deadline applications,POLAR4 Q4,18 year olds,96295
Medium tariff providers,2018,June deadline applications,POLAR4 Q5,18 year olds,125625
Medium tariff providers,2018,June deadline applications,Men,18 year olds,176570
Medium tariff providers,2018,June deadline applications,Women,18 year olds,228170
Medium tariff providers,2019,June deadline applications,Total,18 year olds,404635
Medium tariff providers,2019,June deadline applications,White ethnic group,18 year olds,293960
Medium tariff providers,2019,June deadline applications,Black ethnic group,18 year olds,26920
Medium tariff providers,2019,June deadline applications,Asian ethnic group,18 year olds,54650
Medium tariff providers,2019,June deadline applications,Mixed ethnic group,18 year olds,18680
Medium tariff providers,2019,June deadline applications,Other ethnic group,18 year olds,7955
Medium tariff providers,2019,June deadline applications,POLAR4 Q1,18 year olds,45285
Medium tariff providers,2019,June deadline applications,POLAR4 Q2,18 year olds,60040
Medium tariff providers,2019,June deadline applications,POLAR4 Q3,18 year olds,77970
Medium tariff providers,2019,June deadline applications,POLAR4 Q4,18 year olds,95925
Medium tariff providers,2019,June deadline applications,POLAR4 Q5,18 year olds,124940
Medium tariff providers,2019,June deadline applications,Men,18 year olds,176535
Medium tariff providers,2019,June deadline applications,Women,18 year olds,228100
Medium tariff providers,2020,June deadline applications,Total,18 year olds,408600
Medium tariff providers,2020,June deadline applications,White ethnic group,18 year olds,290510
Medium tariff providers,2020,June deadline applications,Black ethnic group,18 year olds,28610
Medium tariff providers,2020,June deadline applications,Asian ethnic group,18 year olds,58750
