2015 JUNIOR CERTIFICATE STATISTICS,,,,,,,,
HIGHER LEVEL,,,,,,,,
SCHOOL BASED CANDIDATES ONLY,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,A   ,B   ,C   ,D   ,E   ,F   ,NG  ,TOTALS  
,,,,,,,,
    % MALE ,13.8,30.3,31.6,19.8,3.8,0.7,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    EACNAMAÍOCHT BHAIL,2488,8607,5439,1199,68,27,11,17839
,,,,,,,,
    HOME ECONOMICS,13.9,48.2,30.5,6.7,0.4,0.2,0.1,
,,,,,,,,
    TOTAL FEMALE,2406,7909,4421,832,43,20,8,15639
,,,,,,,,
    % FEMALE ,15.4,50.6,28.3,5.3,0.3,0.1,0.1,
,,,,,,,,
    TOTAL MALE,82,698,1018,367,25,7,3,2200
,,,,,,,,
    % MALE ,3.7,31.7,46.3,16.7,1.1,0.3,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    MIOTALÓIREACHT,683,2845,1812,824,168,55,22,6409
,,,,,,,,
    METALWORK,10.7,44.4,28.3,12.9,2.6,0.9,0.3,
,,,,,,,,
    TOTAL FEMALE,65,225,149,70,21,10,3,543
,,,,,,,,
    % FEMALE ,12,41.4,27.4,12.9,3.9,1.8,0.6,
,,,,,,,,
    TOTAL MALE,618,2620,1663,754,147,45,19,5866
,,,,,,,,
    % MALE ,10.5,44.7,28.3,12.9,2.5,0.8,0.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    EOLAÍOCHT,4389,13729,15960,7945,548,75,12,42658
,,,,,,,,
    SCIENCE,10.3,32.2,37.4,18.6,1.3,0.2,0,
,,,,,,,,
,,,,,,,,
    TOTAL FEMALE,2427,7505,7763,3385,173,19,1,21273
,,,,,,,,
    % FEMALE ,11.4,35.3,36.5,15.9,0.8,0.1,0,
,,,,,,,,
    TOTAL MALE,1962,6224,8197,4560,375,56,11,21385
,,,,,,,,
    % MALE ,9.2,29.1,38.3,21.3,1.8,0.3,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    TEICNEOLAIOCHT,299,899,945,548,122,35,4,2852
,,,,,,,,
    TECHNOLOGY,10.5,31.5,33.1,19.2,4.3,1.2,0.1,
,,,,,,,,
    TOTAL FEMALE,75,189,156,65,20,4,1,510
,,,,,,,,
    % FEMALE ,14.7,37.1,30.6,12.7,3.9,0.8,0.2,
,,,,,,,,
    TOTAL MALE,224,710,789,483,102,31,3,2342
,,,,,,,,
    % MALE ,9.6,30.3,33.7,20.6,4.4,1.3,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    STAIDÉAR IMSHAOIL ,5,84,82,19,4,2,1,197
,,,,,,,,
    ENVIRON & SOCIAL S,2.5,42.6,41.6,9.6,2,1,0.5,
,,,,,,,,
    TOTAL FEMALE,1,39,33,10,2,0,0,85
,,,,,,,,
    % FEMALE ,1.2,45.9,38.8,11.8,2.4,0,0,
,,,,,,,,
    TOTAL MALE,4,45,49,9,2,2,1,112
,,,,,,,,
    % MALE ,3.6,40.2,43.8,8,1.8,1.8,0.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    OIDEACHAIS REILIGI,3008,9045,7953,2540,225,34,3,22808
,,,,,,,,
    RELIGIOUS EDUCATIO,13.2,39.7,34.9,11.1,1,0.1,0,
,,,,,,,,
    TOTAL FEMALE,2043,5379,3687,896,38,6,0,12049
,,,,,,,,
    % FEMALE ,17,44.6,30.6,7.4,0.3,0,0,
,,,,,,,,
    TOTAL MALE,965,3666,4266,1644,187,28,3,10759
,,,,,,,,
    % MALE ,9,34.1,39.7,15.3,1.7,0.3,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
