"Year","Achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","870","820","0.9430000000000001","0"
"2010","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","485","445","0.923","0"
"2011","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","565","525","0.931","0"
"2012","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","575","545","0.9460000000000001","0"
"2013","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","545","525","0.9580000000000001","0"
"2014","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","605","570","0.9390000000000001","0"
"2015","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","565","530","0.9420000000000001","0"
"2016","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","610","565","0.923","0"
"2017","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","680","645","0.9470000000000001","0"
"2018","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","690","655","0.9460000000000001","0"
"2019","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","730","690","0.9470000000000001","0"
"2020","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","1040","995","0.9580000000000001","0"
"2021","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","730","695","0.9550000000000001","0"
"2022","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","765","720","0.9390000000000001","0"
"2023","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","810","755","0.931","0"
"2010","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","300","280","0.927","0"
"2011","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","355","325","0.915","0"
"2012","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","360","340","0.9390000000000001","0"
"2013","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","365","345","0.9450000000000001","0"
"2014","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","415","395","0.9540000000000001","0"
"2015","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","385","365","0.9460000000000001","0"
"2016","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","465","425","0.916","0"
"2017","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","475","455","0.9560000000000001","0"
"2018","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","510","480","0.9390000000000001","0"
"2019","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","505","475","0.9450000000000001","0"
"2020","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","910","875","0.96","0"
"2021","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","560","530","0.9410000000000001","0"
"2022","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","650","610","0.935","0"
"2023","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","550","505","0.917","0"
"2010","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","195","170","0.877","0"
"2011","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","195","180","0.909","0"
"2012","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","210","190","0.91","0"
"2013","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","245","225","0.914","0"
"2014","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","280","260","0.932","0"
"2015","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","275","260","0.9450000000000001","0"
"2016","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","290","265","0.927","0"
"2017","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","310","290","0.935","0"
"2018","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","330","305","0.925","0"
"2019","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","300","280","0.927","0"
"2020","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","795","760","0.9580000000000001","0"
"2021","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","355","320","0.91","0"
"2022","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","445","405","0.91","0"
"2023","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","380","350","0.924","0"
"2010","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","120","95","0.798","0"
