"Year","Achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","17 point(s)","Quintile 5","All","Not main scheme application","95","85","0.903","0"
"2014","17 point(s)","Quintile 5","All","Not main scheme application","95","90","0.936","0"
"2015","17 point(s)","Quintile 5","All","Not main scheme application","85","70","0.857","0"
"2016","17 point(s)","Quintile 5","All","Not main scheme application","80","75","0.901","0"
"2017","17 point(s)","Quintile 5","All","Not main scheme application","80","75","0.9390000000000001","0"
"2018","17 point(s)","Quintile 5","All","Not main scheme application","80","75","0.9490000000000001","0"
"2019","17 point(s)","Quintile 5","All","Not main scheme application","70","65","0.929","0"
"2020","17 point(s)","Quintile 5","All","Not main scheme application","420","405","0.964","5"
"2021","17 point(s)","Quintile 5","All","Not main scheme application","145","120","0.841","0"
"2022","17 point(s)","Quintile 5","All","Not main scheme application","215","175","0.8180000000000001","0"
"2023","17 point(s)","Quintile 5","All","Not main scheme application","160","135","0.856","0"
"2010","18 point(s)","Quintile 5","All","Not main scheme application","20","15","0.8","0"
"2011","18 point(s)","Quintile 5","All","Not main scheme application","40","35","0.854","0"
"2012","18 point(s)","Quintile 5","All","Not main scheme application","50","45","0.882","0"
"2013","18 point(s)","Quintile 5","All","Not main scheme application","50","50","0.923","0"
"2014","18 point(s)","Quintile 5","All","Not main scheme application","40","30","0.78","0"
"2015","18 point(s)","Quintile 5","All","Not main scheme application","30","25","0.871","0"
"2016","18 point(s)","Quintile 5","All","Not main scheme application","40","35","0.8290000000000001","0"
"2017","18 point(s)","Quintile 5","All","Not main scheme application","35","35","0.917","0"
"2018","18 point(s)","Quintile 5","All","Not main scheme application","35","30","0.9390000000000001","0"
"2019","18 point(s)","Quintile 5","All","Not main scheme application","40","35","0.878","0"
"2020","18 point(s)","Quintile 5","All","Not main scheme application","175","165","0.9490000000000001","0"
"2021","18 point(s)","Quintile 5","All","Not main scheme application","140","105","0.775","0"
"2022","18 point(s)","Quintile 5","All","Not main scheme application","215","160","0.746","0"
"2023","18 point(s)","Quintile 5","All","Not main scheme application","100","85","0.851","0"
"2012","4 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2018","4 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2023","4 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2010","5 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2011","5 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2012","5 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2014","5 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2015","5 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2017","5 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2018","5 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2019","5 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2023","5 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2010","6 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2011","6 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2012","6 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2013","6 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2014","6 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2015","6 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2016","6 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2017","6 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2019","6 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2020","6 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2022","6 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2023","6 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2010","7 point(s)","Unknown","All","Main scheme application","20","10","0.524","0"
"2011","7 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2012","7 point(s)","Unknown","All","Main scheme application","15","5"," ","0"
"2013","7 point(s)","Unknown","All","Main scheme application","15","5"," ","0"
"2014","7 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2015","7 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2016","7 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2017","7 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2018","7 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2019","7 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2020","7 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2021","7 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2022","7 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2023","7 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2010","8 point(s)","Unknown","All","Main scheme application","20","10","0.579","0"
"2011","8 point(s)","Unknown","All","Main scheme application","20","10","0.55","0"
"2012","8 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2013","8 point(s)","Unknown","All","Main scheme application","10","10","0.909","0"
"2014","8 point(s)","Unknown","All","Main scheme application","20","10","0.556","0"
"2015","8 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2016","8 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2017","8 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2018","8 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2019","8 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2020","8 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2021","8 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2022","8 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2023","8 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2010","9 point(s)","Unknown","All","Main scheme application","25","20","0.769","0"
"2011","9 point(s)","Unknown","All","Main scheme application","15","10","0.667","0"
"2012","9 point(s)","Unknown","All","Main scheme application","15","15","0.8130000000000001","0"
"2013","9 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2014","9 point(s)","Unknown","All","Main scheme application","20","10","0.611","0"
"2015","9 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2016","9 point(s)","Unknown","All","Main scheme application","15","15","0.765","0"
"2017","9 point(s)","Unknown","All","Main scheme application","15","10","0.647","0"
"2018","9 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2019","9 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2020","9 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2021","9 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2022","9 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2023","9 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2010","10 point(s)","Unknown","All","Main scheme application","15","15","0.933","0"
"2011","10 point(s)","Unknown","All","Main scheme application","15","10","0.706","0"
"2012","10 point(s)","Unknown","All","Main scheme application","30","20","0.6900000000000001","0"
"2013","10 point(s)","Unknown","All","Main scheme application","15","10","0.75","0"
"2014","10 point(s)","Unknown","All","Main scheme application","15","10"," ","0"
"2015","10 point(s)","Unknown","All","Main scheme application","20","15","0.591","0"
"2016","10 point(s)","Unknown","All","Main scheme application","20","10","0.55","0"
"2017","10 point(s)","Unknown","All","Main scheme application","20","10","0.632","0"
"2018","10 point(s)","Unknown","All","Main scheme application","15","10"," ","0"
"2019","10 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2020","10 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2021","10 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2022","10 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2023","10 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2010","11 point(s)","Unknown","All","Main scheme application","35","30","0.861","0"
"2011","11 point(s)","Unknown","All","Main scheme application","20","15","0.684","0"
"2012","11 point(s)","Unknown","All","Main scheme application","20","10","0.5","0"
"2013","11 point(s)","Unknown","All","Main scheme application","15","10","0.625","0"
"2014","11 point(s)","Unknown","All","Main scheme application","15","10","0.706","0"
"2015","11 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2016","11 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2017","11 point(s)","Unknown","All","Main scheme application","15","10"," ","0"
"2018","11 point(s)","Unknown","All","Main scheme application","15","10","0.625","0"
"2019","11 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2020","11 point(s)","Unknown","All","Main scheme application","15","10","0.769","0"
"2021","11 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2022","11 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2023","11 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2010","12 point(s)","Unknown","All","Main scheme application","20","15","0.895","0"
"2011","12 point(s)","Unknown","All","Main scheme application","25","20","0.76","0"
"2012","12 point(s)","Unknown","All","Main scheme application","20","15","0.773","0"
"2013","12 point(s)","Unknown","All","Main scheme application","20","15","0.833","0"
"2014","12 point(s)","Unknown","All","Main scheme application","15","15","0.867","0"
"2015","12 point(s)","Unknown","All","Main scheme application","15","10","0.714","0"
"2016","12 point(s)","Unknown","All","Main scheme application","15","10","0.75","0"
"2017","12 point(s)","Unknown","All","Main scheme application","15","10","0.75","0"
"2018","12 point(s)","Unknown","All","Main scheme application","15","10","0.857","0"
"2019","12 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2020","12 point(s)","Unknown","All","Main scheme application","15","10","0.846","0"
"2021","12 point(s)","Unknown","All","Main scheme application","15","10","0.75","0"
"2022","12 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2023","12 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2010","13 point(s)","Unknown","All","Main scheme application","20","20","0.8180000000000001","0"
"2011","13 point(s)","Unknown","All","Main scheme application","25","15","0.68","0"
"2012","13 point(s)","Unknown","All","Main scheme application","20","15","0.722","0"
"2013","13 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2014","13 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2015","13 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2016","13 point(s)","Unknown","All","Main scheme application","10","10","0.833","0"
"2017","13 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2018","13 point(s)","Unknown","All","Main scheme application","20","15","0.722","0"
"2019","13 point(s)","Unknown","All","Main scheme application","20","15","0.833","0"
"2020","13 point(s)","Unknown","All","Main scheme application","15","10"," ","0"
"2021","13 point(s)","Unknown","All","Main scheme application","20","15","0.889","0"
"2022","13 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2023","13 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2010","14 point(s)","Unknown","All","Main scheme application","15","10","0.857","0"
"2011","14 point(s)","Unknown","All","Main scheme application","20","20","0.9550000000000001","0"
"2012","14 point(s)","Unknown","All","Main scheme application","15","10","0.786","0"
"2013","14 point(s)","Unknown","All","Main scheme application","20","15","0.895","0"
"2014","14 point(s)","Unknown","All","Main scheme application","15","10","0.706","0"
"2015","14 point(s)","Unknown","All","Main scheme application","15","10","0.667","0"
"2016","14 point(s)","Unknown","All","Main scheme application","15","10","0.75","0"
"2017","14 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2018","14 point(s)","Unknown","All","Main scheme application","15","10","0.647","0"
"2019","14 point(s)","Unknown","All","Main scheme application","15","10","0.923","0"
"2020","14 point(s)","Unknown","All","Main scheme application","10","10","0.833","0"
"2021","14 point(s)","Unknown","All","Main scheme application","15","10","0.714","0"
"2023","14 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2010","15 point(s)","Unknown","All","Main scheme application","20","15","0.75","0"
"2011","15 point(s)","Unknown","All","Main scheme application","15","15","0.9410000000000001","0"
"2012","15 point(s)","Unknown","All","Main scheme application","20","20","0.9","0"
"2013","15 point(s)","Unknown","All","Main scheme application","15","10","0.923","0"
"2014","15 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2015","15 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2016","15 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2017","15 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2018","15 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2019","15 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2020","15 point(s)","Unknown","All","Main scheme application","15","10","0.8","0"
"2021","15 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2022","15 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2023","15 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2010","16 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2011","16 point(s)","Unknown","All","Main scheme application","10","10","1","0"
"2012","16 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2013","16 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2014","16 point(s)","Unknown","All","Main scheme application","10","10","0.909","0"
"2015","16 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2016","16 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2017","16 point(s)","Unknown","All","Main scheme application","10","10","1","0"
"2018","16 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2019","16 point(s)","Unknown","All","Main scheme application","10","10","0.833","0"
"2020","16 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2021","16 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2022","16 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2010","17 point(s)","Unknown","All","Main scheme application","10","10","1","0"
"2011","17 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2012","17 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2013","17 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2014","17 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2015","17 point(s)","Unknown","All","Main scheme application","10","10"," ","0"
"2016","17 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2017","17 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2018","17 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2019","17 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2020","17 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2021","17 point(s)","Unknown","All","Main scheme application","10","5"," ","0"
"2022","17 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2010","18 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2011","18 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2012","18 point(s)","Unknown","All","Main scheme application","5","0"," ","0"
"2013","18 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2014","18 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2015","18 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2017","18 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2019","18 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2020","18 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2021","18 point(s)","Unknown","All","Main scheme application","10","10","1","0"
"2022","18 point(s)","Unknown","All","Main scheme application","5","5"," ","0"
"2010","3 point(s)","Quintile 1","All","Main scheme application","50","20","0.373","0"
"2011","3 point(s)","Quintile 1","All","Main scheme application","40","10"," ","0"
"2012","3 point(s)","Quintile 1","All","Main scheme application","30","10","0.34400000000000003","0"
"2013","3 point(s)","Quintile 1","All","Main scheme application","35","5"," ","0"
"2014","3 point(s)","Quintile 1","All","Main scheme application","40","15","0.375","0"
"2015","3 point(s)","Quintile 1","All","Main scheme application","25","10"," ","0"
"2016","3 point(s)","Quintile 1","All","Main scheme application","30","15","0.5","0"
"2017","3 point(s)","Quintile 1","All","Main scheme application","45","25","0.523","0"
"2018","3 point(s)","Quintile 1","All","Main scheme application","40","20","0.487","0"
"2019","3 point(s)","Quintile 1","All","Main scheme application","60","30","0.484","0"
"2020","3 point(s)","Quintile 1","All","Main scheme application","15","5"," ","0"
"2021","3 point(s)","Quintile 1","All","Main scheme application","25","10","0.37","0"
"2022","3 point(s)","Quintile 1","All","Main scheme application","70","25","0.377","0"
"2023","3 point(s)","Quintile 1","All","Main scheme application","105","40","0.398","0"
"2010","4 point(s)","Quintile 1","All","Main scheme application","210","80","0.384","0"
"2011","4 point(s)","Quintile 1","All","Main scheme application","175","50","0.295","0"
"2012","4 point(s)","Quintile 1","All","Main scheme application","165","60","0.373","0"
"2013","4 point(s)","Quintile 1","All","Main scheme application","130","65","0.47700000000000004","0"
"2014","4 point(s)","Quintile 1","All","Main scheme application","160","65","0.41600000000000004","0"
"2015","4 point(s)","Quintile 1","All","Main scheme application","120","50","0.402","0"
"2016","4 point(s)","Quintile 1","All","Main scheme application","160","70","0.456","0"
"2017","4 point(s)","Quintile 1","All","Main scheme application","160","85","0.541","0"
"2018","4 point(s)","Quintile 1","All","Main scheme application","160","100","0.635","0"
"2019","4 point(s)","Quintile 1","All","Main scheme application","215","120","0.548","0"
"2020","4 point(s)","Quintile 1","All","Main scheme application","75","45","0.63","0"
"2021","4 point(s)","Quintile 1","All","Main scheme application","80","40","0.5","0"
"2022","4 point(s)","Quintile 1","All","Main scheme application","175","95","0.549","0"
"2023","4 point(s)","Quintile 1","All","Main scheme application","305","160","0.523","0"
"2010","5 point(s)","Quintile 1","All","Main scheme application","490","200","0.41200000000000003","0"
"2011","5 point(s)","Quintile 1","All","Main scheme application","365","135","0.372","0"
"2012","5 point(s)","Quintile 1","All","Main scheme application","355","150","0.429","0"
"2013","5 point(s)","Quintile 1","All","Main scheme application","340","165","0.494","0"
"2014","5 point(s)","Quintile 1","All","Main scheme application","360","165","0.458","0"
"2015","5 point(s)","Quintile 1","All","Main scheme application","350","175","0.504","0"
"2016","5 point(s)","Quintile 1","All","Main scheme application","360","200","0.5630000000000001","0"
"2017","5 point(s)","Quintile 1","All","Main scheme application","380","225","0.593","0"
"2018","5 point(s)","Quintile 1","All","Main scheme application","395","240","0.612","0"
"2019","5 point(s)","Quintile 1","All","Main scheme application","435","270","0.619","0"
"2020","5 point(s)","Quintile 1","All","Main scheme application","165","110","0.659","0"
"2021","5 point(s)","Quintile 1","All","Main scheme application","195","100","0.528","0"
"2022","5 point(s)","Quintile 1","All","Main scheme application","385","195","0.513","0"
"2023","5 point(s)","Quintile 1","All","Main scheme application","545","300","0.554","0"
"2010","6 point(s)","Quintile 1","All","Main scheme application","810","420","0.516","0"
"2011","6 point(s)","Quintile 1","All","Main scheme application","775","335","0.43","0"
"2012","6 point(s)","Quintile 1","All","Main scheme application","665","340","0.511","0"
"2013","6 point(s)","Quintile 1","All","Main scheme application","630","375","0.595","0"
"2014","6 point(s)","Quintile 1","All","Main scheme application","650","370","0.5690000000000001","0"
"2015","6 point(s)","Quintile 1","All","Main scheme application","645","380","0.588","0"
"2016","6 point(s)","Quintile 1","All","Main scheme application","665","430","0.646","0"
"2017","6 point(s)","Quintile 1","All","Main scheme application","700","470","0.669","0"
"2018","6 point(s)","Quintile 1","All","Main scheme application","705","465","0.661","0"
"2019","6 point(s)","Quintile 1","All","Main scheme application","785","510","0.651","0"
"2020","6 point(s)","Quintile 1","All","Main scheme application","295","185","0.622","0"
"2021","6 point(s)","Quintile 1","All","Main scheme application","330","210","0.646","0"
"2022","6 point(s)","Quintile 1","All","Main scheme application","535","295","0.554","0"
"2023","6 point(s)","Quintile 1","All","Main scheme application","845","485","0.5740000000000001","0"
"2010","7 point(s)","Quintile 1","All","Main scheme application","1120","695","0.619","0"
"2011","7 point(s)","Quintile 1","All","Main scheme application","1150","615","0.537","0"
"2012","7 point(s)","Quintile 1","All","Main scheme application","1025","605","0.59","0"
"2013","7 point(s)","Quintile 1","All","Main scheme application","990","655","0.663","0"
"2014","7 point(s)","Quintile 1","All","Main scheme application","1000","640","0.641","0"
"2015","7 point(s)","Quintile 1","All","Main scheme application","1090","690","0.636","0"
"2016","7 point(s)","Quintile 1","All","Main scheme application","1100","715","0.651","0"
"2017","7 point(s)","Quintile 1","All","Main scheme application","1050","700","0.668","0"
"2018","7 point(s)","Quintile 1","All","Main scheme application","1030","700","0.682","0"
"2019","7 point(s)","Quintile 1","All","Main scheme application","1080","705","0.655","0"
"2020","7 point(s)","Quintile 1","All","Main scheme application","555","370","0.662","0"
"2021","7 point(s)","Quintile 1","All","Main scheme application","575","395","0.683","0"
"2022","7 point(s)","Quintile 1","All","Main scheme application","820","535","0.648","0"
"2023","7 point(s)","Quintile 1","All","Main scheme application","1080","670","0.622","0"
"2010","8 point(s)","Quintile 1","All","Main scheme application","1505","995","0.661","0"
"2011","8 point(s)","Quintile 1","All","Main scheme application","1475","960","0.65","0"
"2012","8 point(s)","Quintile 1","All","Main scheme application","1295","865","0.668","0"
"2013","8 point(s)","Quintile 1","All","Main scheme application","1310","935","0.715","0"
"2014","8 point(s)","Quintile 1","All","Main scheme application","1345","930","0.6920000000000001","0"
"2015","8 point(s)","Quintile 1","All","Main scheme application","1415","960","0.676","0"
"2016","8 point(s)","Quintile 1","All","Main scheme application","1475","1015","0.6880000000000001","0"
"2017","8 point(s)","Quintile 1","All","Main scheme application","1425","975","0.685","0"
"2018","8 point(s)","Quintile 1","All","Main scheme application","1365","965","0.705","0"
"2019","8 point(s)","Quintile 1","All","Main scheme application","1400","960","0.686","0"
"2020","8 point(s)","Quintile 1","All","Main scheme application","890","620","0.6950000000000001","0"
"2021","8 point(s)","Quintile 1","All","Main scheme application","775","545","0.7030000000000001","0"
"2022","8 point(s)","Quintile 1","All","Main scheme application","1200","765","0.639","0"
"2023","8 point(s)","Quintile 1","All","Main scheme application","1395","875","0.627","0"
"2010","9 point(s)","Quintile 1","All","Main scheme application","1745","1265","0.726","0"
"2011","9 point(s)","Quintile 1","All","Main scheme application","1770","1245","0.7030000000000001","0"
"2012","9 point(s)","Quintile 1","All","Main scheme application","1595","1160","0.727","0"
"2013","9 point(s)","Quintile 1","All","Main scheme application","1585","1170","0.738","0"
"2014","9 point(s)","Quintile 1","All","Main scheme application","1595","1200","0.751","0"
"2015","9 point(s)","Quintile 1","All","Main scheme application","1750","1300","0.742","0"
"2016","9 point(s)","Quintile 1","All","Main scheme application","1685","1210","0.718","0"
"2017","9 point(s)","Quintile 1","All","Main scheme application","1845","1325","0.719","0"
"2018","9 point(s)","Quintile 1","All","Main scheme application","1645","1210","0.735","0"
"2019","9 point(s)","Quintile 1","All","Main scheme application","1570","1090","0.6960000000000001","0"
"2020","9 point(s)","Quintile 1","All","Main scheme application","1240","900","0.727","0"
"2021","9 point(s)","Quintile 1","All","Main scheme application","1065","755","0.71","0"
"2022","9 point(s)","Quintile 1","All","Main scheme application","1420","965","0.679","0"
"2023","9 point(s)","Quintile 1","All","Main scheme application","1635","1045","0.641","0"
"2010","10 point(s)","Quintile 1","All","Main scheme application","1720","1245","0.725","0"
"2011","10 point(s)","Quintile 1","All","Main scheme application","1840","1370","0.745","0"
"2012","10 point(s)","Quintile 1","All","Main scheme application","1695","1260","0.743","0"
"2013","10 point(s)","Quintile 1","All","Main scheme application","1710","1310","0.767","0"
"2014","10 point(s)","Quintile 1","All","Main scheme application","1800","1315","0.73","0"
"2015","10 point(s)","Quintile 1","All","Main scheme application","1915","1410","0.736","0"
"2016","10 point(s)","Quintile 1","All","Main scheme application","1820","1335","0.734","0"
"2017","10 point(s)","Quintile 1","All","Main scheme application","1880","1405","0.746","0"
"2018","10 point(s)","Quintile 1","All","Main scheme application","1710","1235","0.723","0"
"2019","10 point(s)","Quintile 1","All","Main scheme application","1655","1185","0.716","0"
"2020","10 point(s)","Quintile 1","All","Main scheme application","1545","1100","0.712","0"
"2021","10 point(s)","Quintile 1","All","Main scheme application","1395","1010","0.724","0"
"2022","10 point(s)","Quintile 1","All","Main scheme application","1600","1085","0.677","0"
"2023","10 point(s)","Quintile 1","All","Main scheme application","1780","1225","0.687","0"
"2010","11 point(s)","Quintile 1","All","Main scheme application","1640","1285","0.783","0"
"2011","11 point(s)","Quintile 1","All","Main scheme application","1680","1340","0.797","0"
"2012","11 point(s)","Quintile 1","All","Main scheme application","1625","1260","0.776","0"
"2013","11 point(s)","Quintile 1","All","Main scheme application","1720","1345","0.783","0"
"2014","11 point(s)","Quintile 1","All","Main scheme application","1600","1225","0.767","0"
"2015","11 point(s)","Quintile 1","All","Main scheme application","1700","1330","0.781","0"
"2016","11 point(s)","Quintile 1","All","Main scheme application","1670","1265","0.76","0"
"2017","11 point(s)","Quintile 1","All","Main scheme application","1800","1320","0.735","0"
"2018","11 point(s)","Quintile 1","All","Main scheme application","1670","1240","0.745","0"
"2019","11 point(s)","Quintile 1","All","Main scheme application","1715","1285","0.75","0"
"2020","11 point(s)","Quintile 1","All","Main scheme application","1725","1230","0.713","0"
"2021","11 point(s)","Quintile 1","All","Main scheme application","1610","1215","0.755","0"
"2022","11 point(s)","Quintile 1","All","Main scheme application","1670","1185","0.709","0"
"2023","11 point(s)","Quintile 1","All","Main scheme application","1825","1280","0.7020000000000001","0"
"2010","12 point(s)","Quintile 1","All","Main scheme application","1515","1230","0.812","0"
"2011","12 point(s)","Quintile 1","All","Main scheme application","1515","1240","0.8180000000000001","0"
"2012","12 point(s)","Quintile 1","All","Main scheme application","1535","1225","0.799","0"
"2013","12 point(s)","Quintile 1","All","Main scheme application","1540","1265","0.8200000000000001","0"
"2014","12 point(s)","Quintile 1","All","Main scheme application","1550","1255","0.81","0"
"2015","12 point(s)","Quintile 1","All","Main scheme application","1575","1300","0.8250000000000001","0"
"2016","12 point(s)","Quintile 1","All","Main scheme application","1600","1295","0.81","0"
"2017","12 point(s)","Quintile 1","All","Main scheme application","1615","1280","0.793","0"
"2018","12 point(s)","Quintile 1","All","Main scheme application","1540","1250","0.811","0"
"2019","12 point(s)","Quintile 1","All","Main scheme application","1440","1115","0.775","0"
"2020","12 point(s)","Quintile 1","All","Main scheme application","1820","1385","0.76","0"
"2021","12 point(s)","Quintile 1","All","Main scheme application","1790","1435","0.802","0"
"2022","12 point(s)","Quintile 1","All","Main scheme application","1790","1335","0.747","0"
"2023","12 point(s)","Quintile 1","All","Main scheme application","1740","1310","0.752","0"
"2010","13 point(s)","Quintile 1","All","Main scheme application","1255","1050","0.838","0"
"2011","13 point(s)","Quintile 1","All","Main scheme application","1200","1030","0.859","0"
"2012","13 point(s)","Quintile 1","All","Main scheme application","1260","1070","0.852","0"
"2013","13 point(s)","Quintile 1","All","Main scheme application","1245","1065","0.858","0"
"2014","13 point(s)","Quintile 1","All","Main scheme application","1245","1095","0.878","0"
"2015","13 point(s)","Quintile 1","All","Main scheme application","1335","1125","0.843","0"
"2016","13 point(s)","Quintile 1","All","Main scheme application","1290","1080","0.836","0"
"2017","13 point(s)","Quintile 1","All","Main scheme application","1340","1150","0.86","0"
"2018","13 point(s)","Quintile 1","All","Main scheme application","1280","1055","0.8240000000000001","0"
"2019","13 point(s)","Quintile 1","All","Main scheme application","1230","1025","0.835","0"
"2020","13 point(s)","Quintile 1","All","Main scheme application","1600","1205","0.751","0"
"2021","13 point(s)","Quintile 1","All","Main scheme application","1805","1465","0.812","0"
"2022","13 point(s)","Quintile 1","All","Main scheme application","1780","1420","0.8","0"
"2023","13 point(s)","Quintile 1","All","Main scheme application","1455","1220","0.836","0"
"2010","14 point(s)","Quintile 1","All","Main scheme application","980","860","0.878","0"
"2011","14 point(s)","Quintile 1","All","Main scheme application","1000","880","0.878","0"
"2012","14 point(s)","Quintile 1","All","Main scheme application","1055","915","0.866","0"
"2013","14 point(s)","Quintile 1","All","Main scheme application","1010","875","0.864","0"
"2014","14 point(s)","Quintile 1","All","Main scheme application","1030","905","0.879","0"
"2015","14 point(s)","Quintile 1","All","Main scheme application","1000","865","0.863","0"
