"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","Medium tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Lower tariff","35 and over","England","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","15","10","0.857"
"2021","Higher tariff","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","Higher tariff","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Higher tariff","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Higher tariff","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","25","20","0.833"
"2021","Higher tariff","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Higher tariff","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Higher tariff","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Higher tariff","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","15","15","0.929"
"2021","Higher tariff","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Higher tariff","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001"
"2020","Medium tariff","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","15","10","0.846"
"2023","Lower tariff","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","15","10"," "
"2022","Medium tariff","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","Medium tariff","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","15","15","1"
"2022","Lower tariff","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","10","10"," "
