"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","Lower tariff","30 - 34","England","Female","Main scheme applicant","Not main scheme application","20","15","0.636"
"2020","Lower tariff","30 - 34","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Lower tariff","30 - 34","England","Female","Main scheme applicant","Not main scheme application","25","10","0.417"
"2022","Lower tariff","30 - 34","England","Female","Main scheme applicant","Not main scheme application","25","10"," "
"2023","Lower tariff","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","10","0.647"
"2021","Higher tariff","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","30 - 34","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Medium tariff","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","30 - 34","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2019","Lower tariff","35 and over","England","Female","Main scheme applicant","Not main scheme application","25","15","0.615"
"2020","Lower tariff","35 and over","England","Female","Main scheme applicant","Not main scheme application","25","15","0.542"
"2021","Lower tariff","35 and over","England","Female","Main scheme applicant","Not main scheme application","20","5"," "
"2022","Lower tariff","35 and over","England","Female","Main scheme applicant","Not main scheme application","25","15","0.56"
"2023","Lower tariff","35 and over","England","Female","Main scheme applicant","Not main scheme application","40","25","0.595"
"2019","Medium tariff","35 and over","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","35 and over","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Medium tariff","35 and over","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","35 and over","England","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2023","Medium tariff","35 and over","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Medium tariff","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2021","Medium tariff","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2022","Medium tariff","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
