"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2021","Medium tariff","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Medium tariff","20","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Medium tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Medium tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Medium tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2022","Medium tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Medium tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Lower tariff","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Lower tariff","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Higher tariff","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2023","Medium tariff","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Lower tariff","19","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","19","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","20","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Lower tariff","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Medium tariff","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Lower tariff","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Lower tariff","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Lower tariff","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Lower tariff","19","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","20","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Medium tariff","17 and under","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Lower tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","75","5"," "
"2020","Lower tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","75","10"," "
"2021","Lower tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","105","0"," "
"2022","Lower tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","100","5"," "
"2023","Lower tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","0"," "
"2019","Higher tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","5"," "
"2020","Higher tariff","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","5"," "
