"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","Northern Ireland","25 - 29","All","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Scotland","25 - 29","All","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","25 - 29","All","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Scotland","25 - 29","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Scotland","25 - 29","All","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2023","Scotland","25 - 29","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Wales","25 - 29","All","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Wales","25 - 29","All","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2022","Wales","25 - 29","All","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","25 - 29","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2019","England","30 - 34","All","Male","Main scheme applicant","Not main scheme application","25","15","0.708"
"2020","England","30 - 34","All","Male","Main scheme applicant","Not main scheme application","40","25","0.615"
"2021","England","30 - 34","All","Male","Main scheme applicant","Not main scheme application","30","15","0.483"
"2022","England","30 - 34","All","Male","Main scheme applicant","Not main scheme application","40","15","0.421"
"2023","England","30 - 34","All","Male","Main scheme applicant","Not main scheme application","40","15","0.395"
"2022","Northern Ireland","30 - 34","All","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Scotland","30 - 34","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Scotland","30 - 34","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Scotland","30 - 34","All","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Wales","30 - 34","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Wales","30 - 34","All","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Wales","30 - 34","All","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2019","England","35 and over","All","Male","Main scheme applicant","Not main scheme application","140","95","0.667"
"2020","England","35 and over","All","Male","Main scheme applicant","Not main scheme application","230","140","0.623"
"2021","England","35 and over","All","Male","Main scheme applicant","Not main scheme application","200","105","0.522"
"2022","England","35 and over","All","Male","Main scheme applicant","Not main scheme application","215","100","0.456"
"2023","England","35 and over","All","Male","Main scheme applicant","Not main scheme application","220","120","0.552"
