"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2019","International","EU (excluding UK)","Belgium","18","Female","15","0","0"
"2020","International","EU (excluding UK)","Belgium","18","Female","20","10","10"
"2021","International","EU (excluding UK)","Belgium","18","Female","10","0","0"
"2022","International","EU (excluding UK)","Belgium","18","Female","15","5","5"
"2023","International","EU (excluding UK)","Belgium","18","Female","5","0","0"
"2019","International","EU (excluding UK)","Bulgaria","18","Female","10","5","5"
"2020","International","EU (excluding UK)","Bulgaria","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Bulgaria","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Denmark","18","Female","5","0","0"
"2021","International","EU (excluding UK)","Denmark","18","Female","5","0","0"
"2019","International","EU (excluding UK)","Finland","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Finland","18","Female","5","0","0"
"2021","International","EU (excluding UK)","Finland","18","Female","5","0","0"
"2019","International","EU (excluding UK)","France","18","Female","40","10","10"
"2020","International","EU (excluding UK)","France","18","Female","40","15","15"
"2021","International","EU (excluding UK)","France","18","Female","30","5","5"
"2022","International","EU (excluding UK)","France","18","Female","35","5","5"
"2023","International","EU (excluding UK)","France","18","Female","40","5","5"
"2019","International","EU (excluding UK)","Germany","18","Female","25","5","5"
"2020","International","EU (excluding UK)","Germany","18","Female","30","10","10"
"2021","International","EU (excluding UK)","Germany","18","Female","20","0","0"
"2022","International","EU (excluding UK)","Germany","18","Female","25","0","0"
"2023","International","EU (excluding UK)","Germany","18","Female","20","5","5"
"2019","International","EU (excluding UK)","Greece","18","Female","15","5","5"
"2020","International","EU (excluding UK)","Greece","18","Female","35","20","15"
"2021","International","EU (excluding UK)","Greece","18","Female","20","0","0"
"2022","International","EU (excluding UK)","Greece","18","Female","15","5","5"
"2023","International","EU (excluding UK)","Greece","18","Female","20","0","0"
"2019","International","EU (excluding UK)","Hungary","18","Female","5","0","0"
"2021","International","EU (excluding UK)","Hungary","18","Female","5","0","0"
"2019","International","EU (excluding UK)","Ireland","18","Female","130","15","15"
"2020","International","EU (excluding UK)","Ireland","18","Female","50","5","5"
"2021","International","EU (excluding UK)","Ireland","18","Female","135","10","10"
"2022","International","EU (excluding UK)","Ireland","18","Female","35","15","10"
"2023","International","EU (excluding UK)","Ireland","18","Female","180","20","15"
"2019","International","EU (excluding UK)","Italy","18","Female","30","5","5"
"2020","International","EU (excluding UK)","Italy","18","Female","45","15","15"
"2021","International","EU (excluding UK)","Italy","18","Female","25","5","5"
"2022","International","EU (excluding UK)","Italy","18","Female","25","5","5"
"2023","International","EU (excluding UK)","Italy","18","Female","30","10","10"
"2019","International","EU (excluding UK)","Luxembourg","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Luxembourg","18","Female","5","5","5"
"2021","International","EU (excluding UK)","Luxembourg","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Luxembourg","18","Female","5","0","0"
"2019","International","EU (excluding UK)","Malta","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Malta","18","Female","5","0","0"
"2019","International","EU (excluding UK)","Netherlands","18","Female","10","0","0"
"2020","International","EU (excluding UK)","Netherlands","18","Female","15","5","0"
"2021","International","EU (excluding UK)","Netherlands","18","Female","10","0","0"
"2022","International","EU (excluding UK)","Netherlands","18","Female","15","0","0"
"2023","International","EU (excluding UK)","Netherlands","18","Female","10","0","0"
"2019","International","EU (excluding UK)","Poland","18","Female","25","5","5"
"2020","International","EU (excluding UK)","Poland","18","Female","45","20","20"
"2021","International","EU (excluding UK)","Poland","18","Female","20","0","0"
"2022","International","EU (excluding UK)","Poland","18","Female","15","0","0"
"2023","International","EU (excluding UK)","Poland","18","Female","15","5","5"
"2019","International","EU (excluding UK)","Portugal","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Portugal","18","Female","15","5","5"
"2021","International","EU (excluding UK)","Portugal","18","Female","15","5","5"
"2022","International","EU (excluding UK)","Portugal","18","Female","10","0","0"
"2023","International","EU (excluding UK)","Portugal","18","Female","5","0","0"
"2019","International","EU (excluding UK)","Romania","18","Female","15","5","5"
"2020","International","EU (excluding UK)","Romania","18","Female","25","5","5"
"2021","International","EU (excluding UK)","Romania","18","Female","5","0","0"
"2022","International","EU (excluding UK)","Romania","18","Female","10","0","0"
"2023","International","EU (excluding UK)","Romania","18","Female","5","0","0"
"2019","International","EU (excluding UK)","Spain","18","Female","60","10","10"
"2020","International","EU (excluding UK)","Spain","18","Female","105","40","40"
"2021","International","EU (excluding UK)","Spain","18","Female","55","5","5"
"2022","International","EU (excluding UK)","Spain","18","Female","35","0","0"
"2023","International","EU (excluding UK)","Spain","18","Female","50","5","5"
"2019","International","EU (excluding UK)","Sweden","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Sweden","18","Female","5","0","0"
"2021","International","EU (excluding UK)","Sweden","18","Female","10","0","0"
"2022","International","EU (excluding UK)","Sweden","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Sweden","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Latvia","18","Female","5","0","0"
"2021","International","EU (excluding UK)","Latvia","18","Female","5","0","0"
"2019","International","EU (excluding UK)","Lithuania","18","Female","10","0","0"
"2020","International","EU (excluding UK)","Lithuania","18","Female","10","5","5"
"2021","International","EU (excluding UK)","Lithuania","18","Female","5","0","0"
"2022","International","EU (excluding UK)","Lithuania","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Croatia","18","Female","5","0","0"
"2019","International","EU (excluding UK)","Czech Republic","18","Female","5","0","0"
"2020","International","EU (excluding UK)","Czech Republic","18","Female","5","0","0"
"2021","International","EU (excluding UK)","Czech Republic","18","Female","5","0","0"
"2022","International","EU (excluding UK)","Czech Republic","18","Female","5","0","0"
"2023","International","EU (excluding UK)","Czech Republic","18","Female","10","0","0"
"2019","International","EU (excluding UK)","Slovakia","18","Female","5","0","0"
