"Year","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","19","All","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","19","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","19","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","19","All","Female","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","19","All","Female","Not main scheme applicant","Not main scheme application","30","25","0.862","0"
"2019","20","All","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","20","All","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","20","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","20","All","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","20","All","Female","Not main scheme applicant","Not main scheme application","30","25","0.9","0"
"2019","21 - 24","All","Female","Not main scheme applicant","Not main scheme application","35","30","0.848","0"
"2020","21 - 24","All","Female","Not main scheme applicant","Not main scheme application","40","30","0.714","0"
"2021","21 - 24","All","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2022","21 - 24","All","Female","Not main scheme applicant","Not main scheme application","25","20","0.808","0"
"2023","21 - 24","All","Female","Not main scheme applicant","Not main scheme application","65","50","0.738","0"
"2019","25 - 29","All","Female","Not main scheme applicant","Not main scheme application","25","20","0.846","0"
"2020","25 - 29","All","Female","Not main scheme applicant","Not main scheme application","35","25","0.639","0"
"2021","25 - 29","All","Female","Not main scheme applicant","Not main scheme application","20","15","0.737","0"
"2022","25 - 29","All","Female","Not main scheme applicant","Not main scheme application","25","15","0.64","0"
"2023","25 - 29","All","Female","Not main scheme applicant","Not main scheme application","55","45","0.811","0"
"2019","30 - 34","All","Female","Not main scheme applicant","Not main scheme application","25","15","0.739","0"
"2020","30 - 34","All","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","0"
"2021","30 - 34","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","30 - 34","All","Female","Not main scheme applicant","Not main scheme application","30","20","0.714","0"
"2023","30 - 34","All","Female","Not main scheme applicant","Not main scheme application","45","30","0.721","0"
"2019","35 and over","All","Female","Not main scheme applicant","Not main scheme application","20","15","0.75","0"
"2020","35 and over","All","Female","Not main scheme applicant","Not main scheme application","25","20","0.84","0"
"2021","35 and over","All","Female","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2022","35 and over","All","Female","Not main scheme applicant","Not main scheme application","30","15","0.5","0"
"2023","35 and over","All","Female","Not main scheme applicant","Not main scheme application","65","45","0.6880000000000001","0"
"2020","17 and under","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","17 and under","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","All","Female","Main scheme applicant","Not main scheme application","140","95","0.674","0"
"2020","18","All","Female","Main scheme applicant","Not main scheme application","130","105","0.802","0"
"2021","18","All","Female","Main scheme applicant","Not main scheme application","110","50","0.446","0"
"2022","18","All","Female","Main scheme applicant","Not main scheme application","215","125","0.5710000000000001","0"
"2023","18","All","Female","Main scheme applicant","Not main scheme application","190","155","0.811","0"
"2019","19","All","Female","Main scheme applicant","Not main scheme application","60","40","0.65","0"
"2020","19","All","Female","Main scheme applicant","Not main scheme application","40","25","0.632","0"
"2021","19","All","Female","Main scheme applicant","Not main scheme application","50","15","0.327","0"
"2022","19","All","Female","Main scheme applicant","Not main scheme application","60","30","0.508","0"
"2023","19","All","Female","Main scheme applicant","Not main scheme application","75","50","0.649","0"
"2019","20","All","Female","Main scheme applicant","Not main scheme application","35","15","0.455","0"
"2020","20","All","Female","Main scheme applicant","Not main scheme application","25","15","0.6","0"
"2021","20","All","Female","Main scheme applicant","Not main scheme application","35","10","0.294","0"
"2022","20","All","Female","Main scheme applicant","Not main scheme application","35","15","0.371","0"
"2023","20","All","Female","Main scheme applicant","Not main scheme application","40","25","0.625","0"
"2019","21 - 24","All","Female","Main scheme applicant","Not main scheme application","85","45","0.494","0"
"2020","21 - 24","All","Female","Main scheme applicant","Not main scheme application","45","25","0.511","0"
"2021","21 - 24","All","Female","Main scheme applicant","Not main scheme application","65","30","0.446","0"
"2022","21 - 24","All","Female","Main scheme applicant","Not main scheme application","80","25","0.34600000000000003","0"
"2023","21 - 24","All","Female","Main scheme applicant","Not main scheme application","60","30","0.534","0"
"2019","25 - 29","All","Female","Main scheme applicant","Not main scheme application","75","40","0.5750000000000001","0"
"2020","25 - 29","All","Female","Main scheme applicant","Not main scheme application","45","25","0.628","0"
"2021","25 - 29","All","Female","Main scheme applicant","Not main scheme application","55","25","0.463","0"
"2022","25 - 29","All","Female","Main scheme applicant","Not main scheme application","65","30","0.485","0"
"2023","25 - 29","All","Female","Main scheme applicant","Not main scheme application","50","30","0.62","0"
"2019","30 - 34","All","Female","Main scheme applicant","Not main scheme application","45","30","0.617","0"
"2020","30 - 34","All","Female","Main scheme applicant","Not main scheme application","30","15","0.536","0"
"2021","30 - 34","All","Female","Main scheme applicant","Not main scheme application","35","15","0.47200000000000003","0"
"2022","30 - 34","All","Female","Main scheme applicant","Not main scheme application","40","20","0.462","0"
"2023","30 - 34","All","Female","Main scheme applicant","Not main scheme application","40","25","0.711","0"
"2019","35 and over","All","Female","Main scheme applicant","Not main scheme application","40","20","0.5","0"
"2020","35 and over","All","Female","Main scheme applicant","Not main scheme application","40","25","0.634","0"
"2021","35 and over","All","Female","Main scheme applicant","Not main scheme application","35","15","0.429","0"
"2022","35 and over","All","Female","Main scheme applicant","Not main scheme application","45","20","0.468","0"
"2023","35 and over","All","Female","Main scheme applicant","Not main scheme application","55","35","0.618","0"
"2019","17 and under","All","Female","Main scheme applicant","Main scheme application","30","0"," ","0"
"2020","17 and under","All","Female","Main scheme applicant","Main scheme application","35","0"," ","0"
"2021","17 and under","All","Female","Main scheme applicant","Main scheme application","40","5"," ","0"
"2022","17 and under","All","Female","Main scheme applicant","Main scheme application","40","0"," ","0"
"2023","17 and under","All","Female","Main scheme applicant","Main scheme application","35","5"," ","0"
"2019","18","All","Female","Main scheme applicant","Main scheme application","2770","810","0.293","0"
"2020","18","All","Female","Main scheme applicant","Main scheme application","3005","1075","0.358","0"
"2021","18","All","Female","Main scheme applicant","Main scheme application","3760","1070","0.28400000000000003","0"
"2022","18","All","Female","Main scheme applicant","Main scheme application","3855","1035","0.268","0"
"2023","18","All","Female","Main scheme applicant","Main scheme application","3190","1120","0.35000000000000003","0"
"2019","19","All","Female","Main scheme applicant","Main scheme application","1165","380","0.328","0"
"2020","19","All","Female","Main scheme applicant","Main scheme application","1145","375","0.327","0"
"2021","19","All","Female","Main scheme applicant","Main scheme application","1440","355","0.246","0"
"2022","19","All","Female","Main scheme applicant","Main scheme application","1335","300","0.226","0"
"2023","19","All","Female","Main scheme applicant","Main scheme application","1110","320","0.289","0"
"2019","20","All","Female","Main scheme applicant","Main scheme application","660","195","0.295","0"
"2020","20","All","Female","Main scheme applicant","Main scheme application","670","220","0.327","0"
"2021","20","All","Female","Main scheme applicant","Main scheme application","770","180","0.23600000000000002","0"
"2022","20","All","Female","Main scheme applicant","Main scheme application","770","175","0.225","0"
"2023","20","All","Female","Main scheme applicant","Main scheme application","630","195","0.305","0"
"2019","21 - 24","All","Female","Main scheme applicant","Main scheme application","1600","555","0.34700000000000003","0"
"2020","21 - 24","All","Female","Main scheme applicant","Main scheme application","1660","630","0.38","0"
"2021","21 - 24","All","Female","Main scheme applicant","Main scheme application","2030","595","0.293","0"
"2022","21 - 24","All","Female","Main scheme applicant","Main scheme application","1685","455","0.271","0"
"2023","21 - 24","All","Female","Main scheme applicant","Main scheme application","1260","410","0.326","0"
"2019","25 - 29","All","Female","Main scheme applicant","Main scheme application","1475","555","0.374","0"
"2020","25 - 29","All","Female","Main scheme applicant","Main scheme application","1550","660","0.427","0"
"2021","25 - 29","All","Female","Main scheme applicant","Main scheme application","2070","695","0.335","0"
"2022","25 - 29","All","Female","Main scheme applicant","Main scheme application","1645","590","0.358","0"
"2023","25 - 29","All","Female","Main scheme applicant","Main scheme application","1165","450","0.388","0"
"2019","30 - 34","All","Female","Main scheme applicant","Main scheme application","965","360","0.372","0"
"2020","30 - 34","All","Female","Main scheme applicant","Main scheme application","1130","465","0.41100000000000003","0"
"2021","30 - 34","All","Female","Main scheme applicant","Main scheme application","1540","575","0.373","0"
"2022","30 - 34","All","Female","Main scheme applicant","Main scheme application","1385","515","0.371","0"
"2023","30 - 34","All","Female","Main scheme applicant","Main scheme application","1025","425","0.41500000000000004","0"
"2019","35 and over","All","Female","Main scheme applicant","Main scheme application","1080","370","0.343","0"
"2020","35 and over","All","Female","Main scheme applicant","Main scheme application","1230","475","0.386","0"
"2021","35 and over","All","Female","Main scheme applicant","Main scheme application","1630","515","0.316","0"
"2022","35 and over","All","Female","Main scheme applicant","Main scheme application","1440","500","0.34800000000000003","0"
"2023","35 and over","All","Female","Main scheme applicant","Main scheme application","1250","510","0.406","0"
"2019","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","18","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","18","All","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2022","18","All","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2023","18","All","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2022","19","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","19","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","20","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","20","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","21 - 24","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","21 - 24","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","21 - 24","All","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2022","21 - 24","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","21 - 24","All","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2019","25 - 29","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","25 - 29","All","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2021","25 - 29","All","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2022","25 - 29","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","25 - 29","All","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2019","30 - 34","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","30 - 34","All","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2022","30 - 34","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","30 - 34","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","35 and over","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","35 and over","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","35 and over","All","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2022","35 and over","All","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2023","35 and over","All","Male","Main scheme applicant","Main scheme application","15","0"," ","0"
"2019","All","All","Female","Not main scheme applicant","Not main scheme application","125","100","0.81","0"
"2020","All","All","Female","Not main scheme applicant","Not main scheme application","140","105","0.741","0"
"2021","All","All","Female","Not main scheme applicant","Not main scheme application","70","50","0.714","0"
"2022","All","All","Female","Not main scheme applicant","Not main scheme application","130","90","0.667","0"
"2023","All","All","Female","Not main scheme applicant","Not main scheme application","295","225","0.769","0"
"2019","All","All","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","All","All","Female","Main scheme applicant","Not main scheme application","480","280","0.585","0"
"2020","All","All","Female","Main scheme applicant","Not main scheme application","355","235","0.664","0"
"2021","All","All","Female","Main scheme applicant","Not main scheme application","390","165","0.419","0"
"2022","All","All","Female","Main scheme applicant","Not main scheme application","545","270","0.491","0"
"2023","All","All","Female","Main scheme applicant","Not main scheme application","505","350","0.6920000000000001","0"
"2019","All","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","All","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","All","All","Female","Main scheme applicant","Main scheme application","9740","3225","0.331","0"
"2020","All","All","Female","Main scheme applicant","Main scheme application","10420","3900","0.374","0"
"2021","All","All","Female","Main scheme applicant","Main scheme application","13280","3990","0.3","0"
"2022","All","All","Female","Main scheme applicant","Main scheme application","12150","3570","0.294","0"
"2023","All","All","Female","Main scheme applicant","Main scheme application","9670","3435","0.355","0"
"2019","All","All","Male","Main scheme applicant","Main scheme application","35","10"," ","0"
"2020","All","All","Male","Main scheme applicant","Main scheme application","30","5"," ","0"
"2021","All","All","Male","Main scheme applicant","Main scheme application","60","10","0.194","0"
"2022","All","All","Male","Main scheme applicant","Main scheme application","55","10","0.196","0"
"2023","All","All","Male","Main scheme applicant","Main scheme application","55","10"," ","0"
"2019","18","England","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","18","England","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","18","England","All","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","19","England","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","19","England","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","19","England","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","19","England","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","19","England","All","Not main scheme applicant","Not main scheme application","25","25","0.852","0"
"2019","20","England","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","20","England","All","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","20","England","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","20","England","All","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","20","England","All","Not main scheme applicant","Not main scheme application","30","25","0.9","0"
"2019","21 - 24","England","All","Not main scheme applicant","Not main scheme application","35","30","0.8240000000000001","0"
"2020","21 - 24","England","All","Not main scheme applicant","Not main scheme application","35","25","0.743","0"
"2021","21 - 24","England","All","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2022","21 - 24","England","All","Not main scheme applicant","Not main scheme application","25","20","0.792","0"
"2023","21 - 24","England","All","Not main scheme applicant","Not main scheme application","60","50","0.774","0"
"2019","25 - 29","England","All","Not main scheme applicant","Not main scheme application","25","25","0.885","0"
"2020","25 - 29","England","All","Not main scheme applicant","Not main scheme application","35","25","0.639","0"
"2021","25 - 29","England","All","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2022","25 - 29","England","All","Not main scheme applicant","Not main scheme application","25","15","0.6960000000000001","0"
"2023","25 - 29","England","All","Not main scheme applicant","Not main scheme application","55","45","0.811","0"
"2019","30 - 34","England","All","Not main scheme applicant","Not main scheme application","20","15","0.773","0"
"2020","30 - 34","England","All","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2021","30 - 34","England","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","30 - 34","England","All","Not main scheme applicant","Not main scheme application","25","20","0.75","0"
"2023","30 - 34","England","All","Not main scheme applicant","Not main scheme application","40","30","0.769","0"
"2019","35 and over","England","All","Not main scheme applicant","Not main scheme application","20","15","0.75","0"
"2020","35 and over","England","All","Not main scheme applicant","Not main scheme application","25","20","0.84","0"
"2021","35 and over","England","All","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2022","35 and over","England","All","Not main scheme applicant","Not main scheme application","25","15","0.538","0"
"2023","35 and over","England","All","Not main scheme applicant","Not main scheme application","60","45","0.729","0"
"2020","21 - 24","Scotland","All","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","30 - 34","Scotland","All","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","30 - 34","Scotland","All","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","18","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","18","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","18","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","18","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","19","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","19","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","20","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","21 - 24","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","30 - 34","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","30 - 34","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","35 and over","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","England","All","Main scheme applicant","Not main scheme application","115","80","0.6930000000000001","0"
"2020","18","England","All","Main scheme applicant","Not main scheme application","100","85","0.851","0"
"2021","18","England","All","Main scheme applicant","Not main scheme application","90","40","0.455","0"
"2022","18","England","All","Main scheme applicant","Not main scheme application","190","110","0.579","0"
"2023","18","England","All","Main scheme applicant","Not main scheme application","165","135","0.8230000000000001","0"
"2019","19","England","All","Main scheme applicant","Not main scheme application","45","30","0.674","0"
"2020","19","England","All","Main scheme applicant","Not main scheme application","35","20","0.5760000000000001","0"
"2021","19","England","All","Main scheme applicant","Not main scheme application","40","15","0.325","0"
"2022","19","England","All","Main scheme applicant","Not main scheme application","50","25","0.542","0"
"2023","19","England","All","Main scheme applicant","Not main scheme application","65","45","0.667","0"
"2019","20","England","All","Main scheme applicant","Not main scheme application","25","15","0.538","0"
"2020","20","England","All","Main scheme applicant","Not main scheme application","25","15","0.609","0"
"2021","20","England","All","Main scheme applicant","Not main scheme application","25","5"," ","0"
"2022","20","England","All","Main scheme applicant","Not main scheme application","20","10"," ","0"
"2023","20","England","All","Main scheme applicant","Not main scheme application","35","20","0.595","0"
"2019","21 - 24","England","All","Main scheme applicant","Not main scheme application","65","30","0.46900000000000003","0"
"2020","21 - 24","England","All","Main scheme applicant","Not main scheme application","35","20","0.543","0"
"2021","21 - 24","England","All","Main scheme applicant","Not main scheme application","50","25","0.47100000000000003","0"
"2022","21 - 24","England","All","Main scheme applicant","Not main scheme application","60","20","0.339","0"
"2023","21 - 24","England","All","Main scheme applicant","Not main scheme application","45","20","0.5","0"
"2019","25 - 29","England","All","Main scheme applicant","Not main scheme application","55","35","0.589","0"
"2020","25 - 29","England","All","Main scheme applicant","Not main scheme application","35","20","0.636","0"
"2021","25 - 29","England","All","Main scheme applicant","Not main scheme application","35","15","0.424","0"
"2022","25 - 29","England","All","Main scheme applicant","Not main scheme application","50","25","0.47100000000000003","0"
"2023","25 - 29","England","All","Main scheme applicant","Not main scheme application","40","25","0.658","0"
"2019","30 - 34","England","All","Main scheme applicant","Not main scheme application","35","20","0.606","0"
"2020","30 - 34","England","All","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2021","30 - 34","England","All","Main scheme applicant","Not main scheme application","30","15","0.438","0"
"2022","30 - 34","England","All","Main scheme applicant","Not main scheme application","30","15","0.406","0"
"2023","30 - 34","England","All","Main scheme applicant","Not main scheme application","25","15","0.654","0"
"2019","35 and over","England","All","Main scheme applicant","Not main scheme application","30","20","0.5630000000000001","0"
"2020","35 and over","England","All","Main scheme applicant","Not main scheme application","30","20","0.6","0"
"2021","35 and over","England","All","Main scheme applicant","Not main scheme application","25","10","0.385","0"
"2022","35 and over","England","All","Main scheme applicant","Not main scheme application","35","15","0.47200000000000003","0"
"2023","35 and over","England","All","Main scheme applicant","Not main scheme application","50","30","0.612","0"
"2022","17 and under","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","Scotland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","18","Scotland","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","18","Scotland","All","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2022","18","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","19","Scotland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","19","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","19","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","20","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","20","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","21 - 24","Scotland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","21 - 24","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","21 - 24","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","21 - 24","Scotland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","21 - 24","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2022","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","30 - 34","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","30 - 34","Scotland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","35 and over","Scotland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","35 and over","Scotland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","35 and over","Scotland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","18","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","18","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","18","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2023","18","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","19","Wales","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","19","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","19","Wales","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","20","Wales","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","35 and over","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","35 and over","Wales","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","35 and over","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","18","Not EU","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","18","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","18","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","18","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","18","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","18","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","19","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","20","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","21 - 24","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","17 and under","Northern Ireland","All","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","18","Northern Ireland","All","Main scheme applicant","Main scheme application","175","20","0.114","0"
"2020","18","Northern Ireland","All","Main scheme applicant","Main scheme application","195","35","0.17300000000000001","0"
"2021","18","Northern Ireland","All","Main scheme applicant","Main scheme application","265","30","0.112","0"
"2022","18","Northern Ireland","All","Main scheme applicant","Main scheme application","300","45","0.14200000000000002","0"
"2023","18","Northern Ireland","All","Main scheme applicant","Main scheme application","265","30","0.117","0"
"2019","19","Northern Ireland","All","Main scheme applicant","Main scheme application","70","10","0.159","0"
"2020","19","Northern Ireland","All","Main scheme applicant","Main scheme application","70","10"," ","0"
"2021","19","Northern Ireland","All","Main scheme applicant","Main scheme application","85","5"," ","0"
"2022","19","Northern Ireland","All","Main scheme applicant","Main scheme application","85","15","0.153","0"
"2023","19","Northern Ireland","All","Main scheme applicant","Main scheme application","75","5"," ","0"
"2019","20","Northern Ireland","All","Main scheme applicant","Main scheme application","35","0"," ","0"
"2020","20","Northern Ireland","All","Main scheme applicant","Main scheme application","25","0"," ","0"
"2021","20","Northern Ireland","All","Main scheme applicant","Main scheme application","30","0"," ","0"
"2022","20","Northern Ireland","All","Main scheme applicant","Main scheme application","40","0"," ","0"
"2023","20","Northern Ireland","All","Main scheme applicant","Main scheme application","35","5"," ","0"
"2019","21 - 24","Northern Ireland","All","Main scheme applicant","Main scheme application","65","5"," ","0"
"2020","21 - 24","Northern Ireland","All","Main scheme applicant","Main scheme application","70","15","0.232","0"
"2021","21 - 24","Northern Ireland","All","Main scheme applicant","Main scheme application","105","15","0.14300000000000002","0"
"2022","21 - 24","Northern Ireland","All","Main scheme applicant","Main scheme application","70","5"," ","0"
"2023","21 - 24","Northern Ireland","All","Main scheme applicant","Main scheme application","65","5"," ","0"
"2019","25 - 29","Northern Ireland","All","Main scheme applicant","Main scheme application","80","15","0.167","0"
"2020","25 - 29","Northern Ireland","All","Main scheme applicant","Main scheme application","70","15","0.214","0"
"2021","25 - 29","Northern Ireland","All","Main scheme applicant","Main scheme application","90","15","0.157","0"
"2022","25 - 29","Northern Ireland","All","Main scheme applicant","Main scheme application","60","10","0.2","0"
"2023","25 - 29","Northern Ireland","All","Main scheme applicant","Main scheme application","45","5"," ","0"
"2019","30 - 34","Northern Ireland","All","Main scheme applicant","Main scheme application","50","5"," ","0"
"2020","30 - 34","Northern Ireland","All","Main scheme applicant","Main scheme application","50","10"," ","0"
"2021","30 - 34","Northern Ireland","All","Main scheme applicant","Main scheme application","70","20","0.261","0"
