"Year","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","265","30","0.113","0"
"2022","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","300","45","0.14300000000000002","0"
"2023","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","265","30","0.11800000000000001","0"
"2019","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","10","0.159","0"
"2020","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","10"," ","0"
"2021","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","85","5"," ","0"
"2022","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","85","15","0.155","0"
"2023","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","75","5"," ","0"
"2019","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","0"," ","0"
"2020","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","25","0"," ","0"
"2021","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","0"," ","0"
"2022","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","40","0"," ","0"
"2023","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","5"," ","0"
"2019","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","5"," ","0"
"2020","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","15","0.232","0"
"2021","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","105","15","0.14300000000000002","0"
"2022","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","5"," ","0"
"2023","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","5"," ","0"
"2019","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","80","15","0.167","0"
"2020","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","15","0.217","0"
"2021","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","90","15","0.159","0"
"2022","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","60","10","0.203","0"
"2023","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","45","5"," ","0"
"2019","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","50","5"," ","0"
"2020","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","50","10"," ","0"
"2021","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","20","0.265","0"
"2022","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","15","0.219","0"
"2023","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","60","10","0.18","0"
"2019","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","75","15","0.184","0"
"2020","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","40","10","0.268","0"
"2021","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","10","0.169","0"
"2022","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","15","0.2","0"
"2023","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","55","5"," ","0"
"2020","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","18","England","Female","Main scheme applicant","Main scheme application","2120","705","0.332","0"
"2020","18","England","Female","Main scheme applicant","Main scheme application","2350","925","0.393","0"
"2021","18","England","Female","Main scheme applicant","Main scheme application","2875","925","0.322","0"
"2022","18","England","Female","Main scheme applicant","Main scheme application","2985","875","0.293","0"
"2023","18","England","Female","Main scheme applicant","Main scheme application","2535","990","0.391","0"
"2019","19","England","Female","Main scheme applicant","Main scheme application","890","325","0.367","0"
"2020","19","England","Female","Main scheme applicant","Main scheme application","885","315","0.357","0"
"2021","19","England","Female","Main scheme applicant","Main scheme application","1080","315","0.292","0"
"2022","19","England","Female","Main scheme applicant","Main scheme application","1030","245","0.23900000000000002","0"
"2023","19","England","Female","Main scheme applicant","Main scheme application","840","275","0.329","0"
"2019","20","England","Female","Main scheme applicant","Main scheme application","505","170","0.336","0"
"2020","20","England","Female","Main scheme applicant","Main scheme application","520","195","0.374","0"
"2021","20","England","Female","Main scheme applicant","Main scheme application","600","160","0.267","0"
"2022","20","England","Female","Main scheme applicant","Main scheme application","600","145","0.246","0"
"2023","20","England","Female","Main scheme applicant","Main scheme application","500","175","0.34500000000000003","0"
"2019","21 - 24","England","Female","Main scheme applicant","Main scheme application","1195","460","0.386","0"
"2020","21 - 24","England","Female","Main scheme applicant","Main scheme application","1230","535","0.433","0"
"2021","21 - 24","England","Female","Main scheme applicant","Main scheme application","1520","510","0.335","0"
"2022","21 - 24","England","Female","Main scheme applicant","Main scheme application","1280","375","0.295","0"
"2023","21 - 24","England","Female","Main scheme applicant","Main scheme application","935","335","0.357","0"
"2019","25 - 29","England","Female","Main scheme applicant","Main scheme application","1105","465","0.42","0"
"2020","25 - 29","England","Female","Main scheme applicant","Main scheme application","1130","555","0.489","0"
"2021","25 - 29","England","Female","Main scheme applicant","Main scheme application","1520","585","0.385","0"
"2022","25 - 29","England","Female","Main scheme applicant","Main scheme application","1250","500","0.401","0"
"2023","25 - 29","England","Female","Main scheme applicant","Main scheme application","880","370","0.42","0"
"2019","30 - 34","England","Female","Main scheme applicant","Main scheme application","705","305","0.435","0"
"2020","30 - 34","England","Female","Main scheme applicant","Main scheme application","825","385","0.466","0"
"2021","30 - 34","England","Female","Main scheme applicant","Main scheme application","1180","495","0.422","0"
"2022","30 - 34","England","Female","Main scheme applicant","Main scheme application","1060","445","0.418","0"
"2023","30 - 34","England","Female","Main scheme applicant","Main scheme application","765","340","0.446","0"
"2019","35 and over","England","Female","Main scheme applicant","Main scheme application","780","305","0.395","0"
"2020","35 and over","England","Female","Main scheme applicant","Main scheme application","955","400","0.421","0"
"2021","35 and over","England","Female","Main scheme applicant","Main scheme application","1235","455","0.368","0"
