"Year","Difference between predicted and achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","0 points","All","Wales","Female","All","All","155","125","0.79","0"
"2023","0 points","All","Wales","Female","All","All","80","70","0.861","0"
"2010","1 points","All","Northern Ireland","Female","All","All","40","30","0.683","0"
"2011","1 points","All","Northern Ireland","Female","All","All","45","30","0.674","0"
"2012","1 points","All","Northern Ireland","Female","All","All","40","30","0.718","0"
"2013","1 points","All","Northern Ireland","Female","All","All","30","15","0.483","0"
"2014","1 points","All","Northern Ireland","Female","All","All","40","30","0.756","0"
"2015","1 points","All","Northern Ireland","Female","All","All","30","15","0.552","0"
"2016","1 points","All","Northern Ireland","Female","All","All","50","40","0.776","0"
"2017","1 points","All","Northern Ireland","Female","All","All","40","30","0.7000000000000001","0"
"2018","1 points","All","Northern Ireland","Female","All","All","35","25","0.735","0"
"2019","1 points","All","Northern Ireland","Female","All","All","45","30","0.674","0"
"2020","1 points","All","Northern Ireland","Female","All","All","60","45","0.746","0"
"2021","1 points","All","Northern Ireland","Female","All","All","40","30","0.725","0"
"2022","1 points","All","Northern Ireland","Female","All","All","30","20","0.733","0"
"2023","1 points","All","Northern Ireland","Female","All","All","40","30","0.744","0"
"2010","1 points","All","England","Female","All","All","2155","1660","0.772","0"
"2011","1 points","All","England","Female","All","All","2220","1750","0.788","0"
"2012","1 points","All","England","Female","All","All","2005","1555","0.776","0"
"2013","1 points","All","England","Female","All","All","1830","1480","0.808","0"
"2014","1 points","All","England","Female","All","All","1940","1550","0.798","0"
"2015","1 points","All","England","Female","All","All","2345","1930","0.8240000000000001","0"
"2016","1 points","All","England","Female","All","All","2415","1975","0.8180000000000001","0"
"2017","1 points","All","England","Female","All","All","2235","1895","0.847","0"
"2018","1 points","All","England","Female","All","All","2060","1730","0.84","0"
"2019","1 points","All","England","Female","All","All","1920","1640","0.854","0"
"2020","1 points","All","England","Female","All","All","2370","2070","0.872","0"
"2021","1 points","All","England","Female","All","All","2545","2165","0.852","0"
"2022","1 points","All","England","Female","All","All","2300","1935","0.841","0"
"2023","1 points","All","England","Female","All","All","2045","1755","0.859","0"
"2010","1 points","All","Wales","Female","All","All","95","70","0.763","0"
"2011","1 points","All","Wales","Female","All","All","100","85","0.842","0"
"2012","1 points","All","Wales","Female","All","All","75","60","0.784","0"
"2013","1 points","All","Wales","Female","All","All","80","65","0.8210000000000001","0"
"2014","1 points","All","Wales","Female","All","All","80","70","0.878","0"
"2015","1 points","All","Wales","Female","All","All","105","90","0.8300000000000001","0"
"2016","1 points","All","Wales","Female","All","All","95","80","0.8130000000000001","0"
"2017","1 points","All","Wales","Female","All","All","80","70","0.878","0"
"2018","1 points","All","Wales","Female","All","All","100","90","0.929","0"
