"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2008","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2009","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2010","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2011","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2012","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2013","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2014","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2015","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2016","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2017","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2018","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2019","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2021","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15"
"2023","RPA","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2006","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2007","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2008","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2011","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2012","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2013","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2015","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2016","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2017","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2018","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2021","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2010","RPA","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2011","RPA","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2014","RPA","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2008","Direct Clearing","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2009","Direct Clearing","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2018","Direct Clearing","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2021","Direct Clearing","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2007","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2008","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2010","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2013","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2014","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2015","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2016","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2018","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10"
"2020","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2021","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5"
