"Year","Age group","Individual age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2008","35 and over","46","Wales","Male","5","5"," "
"2009","35 and over","46","Wales","Male","35","25","0.743"
"2010","35 and over","46","Wales","Male","20","10","0.55"
"2011","35 and over","46","Wales","Male","10","5"," "
"2012","35 and over","46","Wales","Male","25","20","0.76"
"2013","35 and over","46","Wales","Male","30","10"," "
"2014","35 and over","46","Wales","Male","30","15","0.5670000000000001"
"2015","35 and over","46","Wales","Male","30","20","0.633"
"2016","35 and over","46","Wales","Male","20","10"," "
"2017","35 and over","46","Wales","Male","15","5"," "
"2018","35 and over","46","Wales","Male","15","10"," "
"2019","35 and over","46","Wales","Male","20","5"," "
"2020","35 and over","46","Wales","Male","35","15","0.486"
"2021","35 and over","46","Wales","Male","20","15","0.7000000000000001"
"2022","35 and over","46","Wales","Male","20","5"," "
"2023","35 and over","46","Wales","Male","5","0"," "
"2006","35 and over","47","Wales","Male","20","10","0.6"
"2007","35 and over","47","Wales","Male","5","5"," "
"2008","35 and over","47","Wales","Male","5","5"," "
"2009","35 and over","47","Wales","Male","35","10","0.314"
"2010","35 and over","47","Wales","Male","35","15","0.457"
"2011","35 and over","47","Wales","Male","10","5"," "
"2012","35 and over","47","Wales","Male","10","5"," "
"2013","35 and over","47","Wales","Male","15","5"," "
"2014","35 and over","47","Wales","Male","25","10"," "
"2015","35 and over","47","Wales","Male","5","5"," "
"2016","35 and over","47","Wales","Male","15","5"," "
"2017","35 and over","47","Wales","Male","20","10"," "
"2018","35 and over","47","Wales","Male","10","5"," "
"2019","35 and over","47","Wales","Male","10","5"," "
"2020","35 and over","47","Wales","Male","35","25","0.657"
"2021","35 and over","47","Wales","Male","15","5"," "
"2022","35 and over","47","Wales","Male","10","5"," "
"2023","35 and over","47","Wales","Male","20","10","0.5"
"2006","35 and over","48","Wales","Male","15","10"," "
"2007","35 and over","48","Wales","Male","15","0"," "
"2008","35 and over","48","Wales","Male","5","0"," "
"2009","35 and over","48","Wales","Male","15","10","0.667"
"2010","35 and over","48","Wales","Male","5","5"," "
"2011","35 and over","48","Wales","Male","25","10","0.48"
"2012","35 and over","48","Wales","Male","15","5"," "
"2013","35 and over","48","Wales","Male","25","10","0.4"
"2014","35 and over","48","Wales","Male","20","10"," "
"2015","35 and over","48","Wales","Male","10","10","1.1"
"2016","35 and over","48","Wales","Male","10","5"," "
"2017","35 and over","48","Wales","Male","15","10","0.8"
"2018","35 and over","48","Wales","Male","30","15","0.5670000000000001"
"2019","35 and over","48","Wales","Male","15","0"," "
"2020","35 and over","48","Wales","Male","15","10"," "
"2021","35 and over","48","Wales","Male","15","5"," "
"2022","35 and over","48","Wales","Male","5","5"," "
"2023","35 and over","48","Wales","Male","15","10"," "
"2006","35 and over","49","Wales","Male","10","10"," "
"2007","35 and over","49","Wales","Male","15","10","0.667"
"2008","35 and over","49","Wales","Male","20","10","0.6"
"2009","35 and over","49","Wales","Male","5","0"," "
"2010","35 and over","49","Wales","Male","20","5"," "
"2011","35 and over","49","Wales","Male","15","5"," "
"2012","35 and over","49","Wales","Male","15","5"," "
"2013","35 and over","49","Wales","Male","20","10","0.55"
"2014","35 and over","49","Wales","Male","15","5"," "
"2016","35 and over","49","Wales","Male","25","5"," "
"2017","35 and over","49","Wales","Male","25","15","0.56"
"2018","35 and over","49","Wales","Male","30","15","0.467"
"2019","35 and over","49","Wales","Male","10","10","1"
"2020","35 and over","49","Wales","Male","10","5"," "
"2021","35 and over","49","Wales","Male","15","10","0.667"
"2022","35 and over","49","Wales","Male","10","10"," "
"2006","35 and over","50","Wales","Male","5","0"," "
"2007","35 and over","50","Wales","Male","15","10"," "
"2008","35 and over","50","Wales","Male","5","5"," "
"2009","35 and over","50","Wales","Male","15","5"," "
"2010","35 and over","50","Wales","Male","10","5"," "
"2011","35 and over","50","Wales","Male","20","5"," "
"2012","35 and over","50","Wales","Male","15","5"," "
"2013","35 and over","50","Wales","Male","5","5"," "
"2014","35 and over","50","Wales","Male","15","10","0.667"
"2015","35 and over","50","Wales","Male","30","10"," "
"2016","35 and over","50","Wales","Male","10","0"," "
"2017","35 and over","50","Wales","Male","25","10"," "
"2018","35 and over","50","Wales","Male","10","5"," "
"2019","35 and over","50","Wales","Male","20","10"," "
"2020","35 and over","50","Wales","Male","15","5"," "
"2021","35 and over","50","Wales","Male","10","5"," "
"2022","35 and over","50","Wales","Male","20","15","0.65"
"2023","35 and over","50","Wales","Male","5","5"," "
"2006","35 and over","51","Wales","Male","20","15","0.75"
"2007","35 and over","51","Wales","Male","10","5"," "
"2008","35 and over","51","Wales","Male","20","15","0.8"
"2009","35 and over","51","Wales","Male","10","5"," "
"2010","35 and over","51","Wales","Male","10","10"," "
"2012","35 and over","51","Wales","Male","20","10"," "
"2013","35 and over","51","Wales","Male","20","10"," "
"2014","35 and over","51","Wales","Male","5","0"," "
"2015","35 and over","51","Wales","Male","15","5"," "
"2016","35 and over","51","Wales","Male","15","5"," "
"2017","35 and over","51","Wales","Male","10","5"," "
"2018","35 and over","51","Wales","Male","10","5"," "
"2019","35 and over","51","Wales","Male","5","5"," "
"2020","35 and over","51","Wales","Male","15","5"," "
"2021","35 and over","51","Wales","Male","15","10","0.733"
"2022","35 and over","51","Wales","Male","5","0"," "
"2023","35 and over","51","Wales","Male","15","10"," "
"2006","35 and over","52","Wales","Male","5","0"," "
"2009","35 and over","52","Wales","Male","15","5"," "
"2010","35 and over","52","Wales","Male","15","5"," "
"2011","35 and over","52","Wales","Male","10","5"," "
"2012","35 and over","52","Wales","Male","5","0"," "
"2013","35 and over","52","Wales","Male","10","5"," "
"2014","35 and over","52","Wales","Male","5","5"," "
"2015","35 and over","52","Wales","Male","15","10"," "
"2016","35 and over","52","Wales","Male","10","5"," "
"2017","35 and over","52","Wales","Male","15","5"," "
"2018","35 and over","52","Wales","Male","10","5"," "
"2019","35 and over","52","Wales","Male","10","5"," "
"2020","35 and over","52","Wales","Male","5","0"," "
"2021","35 and over","52","Wales","Male","10","5"," "
"2022","35 and over","52","Wales","Male","10","5"," "
"2023","35 and over","52","Wales","Male","10","5"," "
"2006","35 and over","53","Wales","Male","10","10"," "
"2007","35 and over","53","Wales","Male","5","5"," "
"2008","35 and over","53","Wales","Male","5","5"," "
"2009","35 and over","53","Wales","Male","5","5"," "
"2010","35 and over","53","Wales","Male","5","0"," "
"2011","35 and over","53","Wales","Male","10","5"," "
"2013","35 and over","53","Wales","Male","5","5"," "
"2014","35 and over","53","Wales","Male","15","5"," "
"2015","35 and over","53","Wales","Male","5","0"," "
"2016","35 and over","53","Wales","Male","15","5"," "
"2017","35 and over","53","Wales","Male","15","5"," "
"2018","35 and over","53","Wales","Male","10","5"," "
"2020","35 and over","53","Wales","Male","5","0"," "
"2021","35 and over","53","Wales","Male","5","5"," "
"2022","35 and over","53","Wales","Male","5","5"," "
"2023","35 and over","53","Wales","Male","20","10","0.6"
"2008","35 and over","54","Wales","Male","5","0"," "
"2009","35 and over","54","Wales","Male","5","0"," "
"2011","35 and over","54","Wales","Male","10","10"," "
"2012","35 and over","54","Wales","Male","5","0"," "
"2014","35 and over","54","Wales","Male","10","10"," "
"2015","35 and over","54","Wales","Male","5","0"," "
"2016","35 and over","54","Wales","Male","10","0"," "
"2017","35 and over","54","Wales","Male","5","5"," "
"2019","35 and over","54","Wales","Male","5","5"," "
"2020","35 and over","54","Wales","Male","5","0"," "
"2021","35 and over","54","Wales","Male","10","5"," "
"2022","35 and over","54","Wales","Male","10","10"," "
"2023","35 and over","54","Wales","Male","5","5"," "
"2008","35 and over","55","Wales","Male","10","5"," "
"2009","35 and over","55","Wales","Male","5","5"," "
"2010","35 and over","55","Wales","Male","10","5"," "
"2011","35 and over","55","Wales","Male","10","5"," "
"2013","35 and over","55","Wales","Male","10","5"," "
"2015","35 and over","55","Wales","Male","10","5"," "
"2018","35 and over","55","Wales","Male","5","5"," "
"2019","35 and over","55","Wales","Male","5","5"," "
"2020","35 and over","55","Wales","Male","10","0"," "
"2022","35 and over","55","Wales","Male","5","0"," "
"2023","35 and over","55","Wales","Male","5","0"," "
"2009","35 and over","56","Wales","Male","5","5"," "
"2014","35 and over","56","Wales","Male","5","0"," "
"2016","35 and over","56","Wales","Male","15","10","0.8"
"2017","35 and over","56","Wales","Male","5","5"," "
"2018","35 and over","56","Wales","Male","5","5"," "
"2019","35 and over","56","Wales","Male","5","0"," "
"2020","35 and over","56","Wales","Male","5","0"," "
"2021","35 and over","56","Wales","Male","5","5"," "
"2022","35 and over","56","Wales","Male","5","0"," "
"2023","35 and over","56","Wales","Male","10","5"," "
"2008","35 and over","57","Wales","Male","5","5"," "
"2009","35 and over","57","Wales","Male","10","5"," "
"2010","35 and over","57","Wales","Male","10","5"," "
"2011","35 and over","57","Wales","Male","15","5"," "
"2014","35 and over","57","Wales","Male","10","5"," "
"2015","35 and over","57","Wales","Male","5","0"," "
"2017","35 and over","57","Wales","Male","5","5"," "
"2022","35 and over","57","Wales","Male","5","5"," "
"2023","35 and over","57","Wales","Male","5","5"," "
"2006","35 and over","58","Wales","Male","5","5"," "
"2011","35 and over","58","Wales","Male","5","0"," "
"2015","35 and over","58","Wales","Male","5","5"," "
"2016","35 and over","58","Wales","Male","5","0"," "
"2017","35 and over","58","Wales","Male","10","5"," "
"2019","35 and over","58","Wales","Male","5","5"," "
"2020","35 and over","58","Wales","Male","5","5"," "
"2022","35 and over","58","Wales","Male","5","5"," "
"2023","35 and over","58","Wales","Male","10","5"," "
"2006","35 and over","59","Wales","Male","5","5"," "
"2009","35 and over","59","Wales","Male","5","5"," "
"2012","35 and over","59","Wales","Male","5","5"," "
"2014","35 and over","59","Wales","Male","5","5"," "
"2016","35 and over","59","Wales","Male","5","0"," "
"2017","35 and over","59","Wales","Male","5","5"," "
"2018","35 and over","59","Wales","Male","10","5"," "
"2020","35 and over","59","Wales","Male","5","5"," "
"2022","35 and over","59","Wales","Male","10","5"," "
"2023","35 and over","59","Wales","Male","5","0"," "
"2006","35 and over","60","Wales","Male","5","5"," "
"2009","35 and over","60","Wales","Male","5","5"," "
"2014","35 and over","60","Wales","Male","5","0"," "
"2018","35 and over","60","Wales","Male","5","5"," "
"2019","35 and over","60","Wales","Male","5","0"," "
"2020","35 and over","60","Wales","Male","15","5"," "
"2023","35 and over","60","Wales","Male","10","5"," "
"2010","35 and over","61","Wales","Male","5","0"," "
"2014","35 and over","61","Wales","Male","5","5"," "
"2015","35 and over","61","Wales","Male","5","0"," "
"2023","35 and over","61","Wales","Male","5","5"," "
"2009","35 and over","62","Wales","Male","5","5"," "
"2010","35 and over","62","Wales","Male","5","5"," "
"2013","35 and over","62","Wales","Male","5","5"," "
"2015","35 and over","62","Wales","Male","5","5"," "
"2018","35 and over","62","Wales","Male","5","5"," "
"2020","35 and over","62","Wales","Male","5","5"," "
"2023","35 and over","62","Wales","Male","5","5"," "
"2006","35 and over","63","Wales","Male","5","5"," "
"2008","35 and over","63","Wales","Male","5","5"," "
"2016","35 and over","63","Wales","Male","5","5"," "
"2018","35 and over","63","Wales","Male","5","5"," "
"2006","35 and over","64","Wales","Male","5","0"," "
"2013","35 and over","64","Wales","Male","5","0"," "
"2006","35 and over","65 and over","Wales","Male","5","5"," "
"2007","35 and over","65 and over","Wales","Male","5","0"," "
"2010","35 and over","65 and over","Wales","Male","5","5"," "
"2012","35 and over","65 and over","Wales","Male","10","5"," "
"2014","35 and over","65 and over","Wales","Male","5","5"," "
"2015","35 and over","65 and over","Wales","Male","5","5"," "
"2016","35 and over","65 and over","Wales","Male","5","5"," "
"2017","35 and over","65 and over","Wales","Male","5","0"," "
"2019","35 and over","65 and over","Wales","Male","10","5"," "
"2022","35 and over","65 and over","Wales","Male","5","5"," "
"2006","17 and under","17 and under","Not EU","Male","6050","3800","0.628"
"2007","17 and under","17 and under","Not EU","Male","6870","4200","0.611"
"2008","17 and under","17 and under","Not EU","Male","6465","4005","0.62"
"2009","17 and under","17 and under","Not EU","Male","6935","4255","0.614"
"2010","17 and under","17 and under","Not EU","Male","7540","4525","0.6"
"2011","17 and under","17 and under","Not EU","Male","8010","4720","0.589"
"2012","17 and under","17 and under","Not EU","Male","10025","6080","0.607"
"2013","17 and under","17 and under","Not EU","Male","11540","7160","0.62"
"2014","17 and under","17 and under","Not EU","Male","12720","8015","0.63"
"2015","17 and under","17 and under","Not EU","Male","12585","8255","0.656"
"2016","17 and under","17 and under","Not EU","Male","12620","8210","0.651"
"2017","17 and under","17 and under","Not EU","Male","14085","9360","0.665"
"2018","17 and under","17 and under","Not EU","Male","15980","10495","0.657"
"2019","17 and under","17 and under","Not EU","Male","16030","10540","0.658"
"2020","17 and under","17 and under","Not EU","Male","18825","12635","0.671"
"2021","17 and under","17 and under","Not EU","Male","20415","12470","0.611"
"2022","17 and under","17 and under","Not EU","Male","23065","12675","0.55"
"2023","17 and under","17 and under","Not EU","Male","23980","12930","0.539"
"2006","18","18","Not EU","Male","26595","18385","0.6910000000000001"
"2007","18","18","Not EU","Male","29515","20245","0.686"
"2008","18","18","Not EU","Male","27555","18885","0.685"
"2009","18","18","Not EU","Male","29615","20025","0.676"
"2010","18","18","Not EU","Male","33320","22145","0.665"
"2011","18","18","Not EU","Male","35675","23825","0.668"
"2012","18","18","Not EU","Male","40550","27395","0.676"
"2013","18","18","Not EU","Male","45005","30805","0.684"
"2014","18","18","Not EU","Male","48310","33150","0.686"
"2015","18","18","Not EU","Male","52235","36505","0.6990000000000001"
"2016","18","18","Not EU","Male","52670","36995","0.7020000000000001"
"2017","18","18","Not EU","Male","55920","40060","0.716"
"2018","18","18","Not EU","Male","63520","44935","0.707"
"2019","18","18","Not EU","Male","71495","49985","0.6990000000000001"
"2020","18","18","Not EU","Male","78820","55720","0.707"
"2021","18","18","Not EU","Male","93235","60000","0.644"
"2022","18","18","Not EU","Male","101140","60120","0.594"
"2023","18","18","Not EU","Male","104430","61890","0.593"
"2006","19","19","Not EU","Male","24435","16245","0.665"
"2007","19","19","Not EU","Male","26575","17845","0.671"
"2008","19","19","Not EU","Male","25550","16805","0.658"
"2009","19","19","Not EU","Male","27435","17730","0.646"
"2010","19","19","Not EU","Male","29640","19080","0.644"
"2011","19","19","Not EU","Male","30920","19835","0.641"
"2012","19","19","Not EU","Male","32560","20910","0.642"
"2013","19","19","Not EU","Male","33620","22010","0.655"
"2014","19","19","Not EU","Male","35805","23455","0.655"
"2015","19","19","Not EU","Male","35795","23780","0.664"
"2016","19","19","Not EU","Male","36015","24255","0.673"
"2017","19","19","Not EU","Male","36640","25085","0.685"
"2018","19","19","Not EU","Male","36665","24620","0.672"
"2019","19","19","Not EU","Male","41480","28080","0.677"
"2020","19","19","Not EU","Male","45275","30805","0.68"
"2021","19","19","Not EU","Male","48915","30485","0.623"
"2022","19","19","Not EU","Male","50565","28935","0.5720000000000001"
"2023","19","19","Not EU","Male","54715","30945","0.5660000000000001"
"2006","20","20","Not EU","Male","14415","9135","0.634"
"2007","20","20","Not EU","Male","15225","9525","0.625"
"2008","20","20","Not EU","Male","14780","9180","0.621"
"2009","20","20","Not EU","Male","15870","9750","0.614"
"2010","20","20","Not EU","Male","17480","10650","0.609"
"2011","20","20","Not EU","Male","17625","10620","0.602"
"2012","20","20","Not EU","Male","18580","11345","0.611"
"2013","20","20","Not EU","Male","19510","12095","0.62"
"2014","20","20","Not EU","Male","19925","12470","0.626"
"2015","20","20","Not EU","Male","19755","12120","0.613"
"2016","20","20","Not EU","Male","18525","11750","0.634"
"2017","20","20","Not EU","Male","17915","11600","0.647"
"2018","20","20","Not EU","Male","17005","10435","0.614"
"2019","20","20","Not EU","Male","17085","10550","0.617"
"2020","20","20","Not EU","Male","19150","11990","0.626"
"2021","20","20","Not EU","Male","20875","12560","0.602"
"2022","20","20","Not EU","Male","23795","13010","0.547"
"2023","20","20","Not EU","Male","25020","13245","0.529"
"2006","21 - 24","21","Not EU","Male","9020","5395","0.598"
"2007","21 - 24","21","Not EU","Male","8455","5075","0.6"
"2008","21 - 24","21","Not EU","Male","8005","4845","0.605"
"2009","21 - 24","21","Not EU","Male","8680","5075","0.585"
"2010","21 - 24","21","Not EU","Male","9695","5430","0.56"
"2011","21 - 24","21","Not EU","Male","10310","5895","0.5720000000000001"
"2012","21 - 24","21","Not EU","Male","10395","5950","0.5720000000000001"
"2013","21 - 24","21","Not EU","Male","10245","5725","0.559"
"2014","21 - 24","21","Not EU","Male","10195","5800","0.5690000000000001"
"2015","21 - 24","21","Not EU","Male","9705","5545","0.5710000000000001"
"2016","21 - 24","21","Not EU","Male","8890","4930","0.554"
"2017","21 - 24","21","Not EU","Male","8140","4640","0.5700000000000001"
"2018","21 - 24","21","Not EU","Male","8190","4645","0.5670000000000001"
"2019","21 - 24","21","Not EU","Male","7630","4325","0.5670000000000001"
"2020","21 - 24","21","Not EU","Male","7825","4635","0.593"
"2021","21 - 24","21","Not EU","Male","8915","5010","0.562"
"2022","21 - 24","21","Not EU","Male","11195","5685","0.508"
"2023","21 - 24","21","Not EU","Male","11855","5800","0.489"
"2006","21 - 24","22","Not EU","Male","5115","2740","0.536"
"2007","21 - 24","22","Not EU","Male","5105","2660","0.521"
"2008","21 - 24","22","Not EU","Male","4500","2400","0.534"
"2009","21 - 24","22","Not EU","Male","4795","2600","0.542"
"2010","21 - 24","22","Not EU","Male","5230","2710","0.519"
"2011","21 - 24","22","Not EU","Male","5260","2795","0.531"
"2012","21 - 24","22","Not EU","Male","5770","3010","0.522"
"2013","21 - 24","22","Not EU","Male","5705","2960","0.518"
"2014","21 - 24","22","Not EU","Male","5200","2655","0.511"
"2015","21 - 24","22","Not EU","Male","5065","2635","0.521"
"2016","21 - 24","22","Not EU","Male","4625","2340","0.506"
"2017","21 - 24","22","Not EU","Male","4395","2285","0.52"
"2018","21 - 24","22","Not EU","Male","4215","2135","0.506"
"2019","21 - 24","22","Not EU","Male","4265","2165","0.507"
"2020","21 - 24","22","Not EU","Male","4015","2190","0.545"
"2021","21 - 24","22","Not EU","Male","4245","2230","0.525"
"2022","21 - 24","22","Not EU","Male","6190","2830","0.457"
"2023","21 - 24","22","Not EU","Male","6640","2900","0.437"
"2006","21 - 24","23","Not EU","Male","4010","2070","0.516"
"2007","21 - 24","23","Not EU","Male","3920","2010","0.513"
"2008","21 - 24","23","Not EU","Male","3315","1670","0.504"
"2009","21 - 24","23","Not EU","Male","3215","1590","0.494"
"2010","21 - 24","23","Not EU","Male","3290","1550","0.47100000000000003"
"2011","21 - 24","23","Not EU","Male","3615","1790","0.495"
"2012","21 - 24","23","Not EU","Male","3620","1800","0.498"
"2013","21 - 24","23","Not EU","Male","3365","1750","0.519"
"2014","21 - 24","23","Not EU","Male","3220","1535","0.47600000000000003"
"2015","21 - 24","23","Not EU","Male","3100","1515","0.488"
"2016","21 - 24","23","Not EU","Male","2875","1390","0.484"
"2017","21 - 24","23","Not EU","Male","2480","1225","0.494"
"2018","21 - 24","23","Not EU","Male","2695","1280","0.47500000000000003"
"2019","21 - 24","23","Not EU","Male","2725","1370","0.503"
"2020","21 - 24","23","Not EU","Male","2555","1270","0.497"
"2021","21 - 24","23","Not EU","Male","3030","1485","0.491"
"2022","21 - 24","23","Not EU","Male","3275","1415","0.432"
"2023","21 - 24","23","Not EU","Male","4650","1915","0.41100000000000003"
"2006","21 - 24","24","Not EU","Male","3325","1660","0.499"
"2007","21 - 24","24","Not EU","Male","3010","1485","0.493"
"2008","21 - 24","24","Not EU","Male","2485","1220","0.491"
"2009","21 - 24","24","Not EU","Male","2535","1125","0.445"
"2010","21 - 24","24","Not EU","Male","2285","1030","0.451"
"2011","21 - 24","24","Not EU","Male","2155","1005","0.467"
"2012","21 - 24","24","Not EU","Male","2350","1060","0.45"
"2013","21 - 24","24","Not EU","Male","2105","935","0.445"
"2014","21 - 24","24","Not EU","Male","2025","875","0.433"
"2015","21 - 24","24","Not EU","Male","2195","1035","0.47200000000000003"
"2016","21 - 24","24","Not EU","Male","2010","965","0.48"
"2017","21 - 24","24","Not EU","Male","1710","825","0.484"
"2018","21 - 24","24","Not EU","Male","1790","850","0.47500000000000003"
"2019","21 - 24","24","Not EU","Male","1790","895","0.499"
"2020","21 - 24","24","Not EU","Male","1845","910","0.492"
"2021","21 - 24","24","Not EU","Male","1880","850","0.453"
"2022","21 - 24","24","Not EU","Male","2525","1015","0.402"
"2023","21 - 24","24","Not EU","Male","2905","1155","0.397"
"2006","25 - 29","25","Not EU","Male","2600","1230","0.47300000000000003"
"2007","25 - 29","25","Not EU","Male","2220","1100","0.496"
"2008","25 - 29","25","Not EU","Male","2195","1040","0.47400000000000003"
"2009","25 - 29","25","Not EU","Male","1805","855","0.47400000000000003"
"2010","25 - 29","25","Not EU","Male","1900","800","0.422"
"2011","25 - 29","25","Not EU","Male","1620","640","0.396"
"2012","25 - 29","25","Not EU","Male","1730","750","0.433"
"2013","25 - 29","25","Not EU","Male","1495","620","0.41400000000000003"
"2014","25 - 29","25","Not EU","Male","1535","705","0.459"
"2015","25 - 29","25","Not EU","Male","1515","600","0.397"
"2016","25 - 29","25","Not EU","Male","1430","575","0.402"
"2017","25 - 29","25","Not EU","Male","1460","635","0.436"
"2018","25 - 29","25","Not EU","Male","1190","490","0.41300000000000003"
"2019","25 - 29","25","Not EU","Male","1245","545","0.439"
"2020","25 - 29","25","Not EU","Male","1265","550","0.436"
"2021","25 - 29","25","Not EU","Male","1525","640","0.418"
"2022","25 - 29","25","Not EU","Male","1935","785","0.40700000000000003"
"2023","25 - 29","25","Not EU","Male","2150","805","0.374"
"2006","25 - 29","26","Not EU","Male","2270","950","0.419"
"2007","25 - 29","26","Not EU","Male","1795","860","0.47900000000000004"
"2008","25 - 29","26","Not EU","Male","1450","665","0.458"
"2009","25 - 29","26","Not EU","Male","1405","605","0.43"
"2010","25 - 29","26","Not EU","Male","1235","500","0.406"
"2011","25 - 29","26","Not EU","Male","1285","545","0.423"
"2012","25 - 29","26","Not EU","Male","1215","495","0.406"
"2013","25 - 29","26","Not EU","Male","1080","395","0.368"
"2014","25 - 29","26","Not EU","Male","1010","415","0.41100000000000003"
"2015","25 - 29","26","Not EU","Male","1095","455","0.41600000000000004"
"2016","25 - 29","26","Not EU","Male","975","405","0.41300000000000003"
"2017","25 - 29","26","Not EU","Male","855","395","0.463"
"2018","25 - 29","26","Not EU","Male","875","400","0.456"
"2019","25 - 29","26","Not EU","Male","915","400","0.436"
"2020","25 - 29","26","Not EU","Male","1005","440","0.438"
"2021","25 - 29","26","Not EU","Male","1085","445","0.40900000000000003"
"2022","25 - 29","26","Not EU","Male","1470","535","0.365"
"2023","25 - 29","26","Not EU","Male","1735","545","0.314"
"2006","25 - 29","27","Not EU","Male","1625","765","0.47100000000000003"
"2007","25 - 29","27","Not EU","Male","1660","765","0.462"
"2008","25 - 29","27","Not EU","Male","1265","525","0.417"
"2009","25 - 29","27","Not EU","Male","1225","495","0.405"
"2010","25 - 29","27","Not EU","Male","1120","495","0.44"
"2011","25 - 29","27","Not EU","Male","915","375","0.41200000000000003"
"2012","25 - 29","27","Not EU","Male","905","370","0.40700000000000003"
"2013","25 - 29","27","Not EU","Male","980","415","0.422"
"2014","25 - 29","27","Not EU","Male","825","335","0.404"
"2015","25 - 29","27","Not EU","Male","765","300","0.39"
"2016","25 - 29","27","Not EU","Male","660","270","0.406"
"2017","25 - 29","27","Not EU","Male","685","295","0.432"
"2018","25 - 29","27","Not EU","Male","635","250","0.394"
"2019","25 - 29","27","Not EU","Male","695","280","0.401"
"2020","25 - 29","27","Not EU","Male","710","320","0.449"
"2021","25 - 29","27","Not EU","Male","830","305","0.365"
"2022","25 - 29","27","Not EU","Male","1290","450","0.34800000000000003"
"2023","25 - 29","27","Not EU","Male","1310","420","0.321"
"2006","25 - 29","28","Not EU","Male","1220","520","0.427"
"2007","25 - 29","28","Not EU","Male","1120","560","0.499"
"2008","25 - 29","28","Not EU","Male","1075","475","0.441"
"2009","25 - 29","28","Not EU","Male","885","370","0.419"
"2010","25 - 29","28","Not EU","Male","880","325","0.368"
"2011","25 - 29","28","Not EU","Male","825","355","0.43"
"2012","25 - 29","28","Not EU","Male","655","240","0.368"
"2013","25 - 29","28","Not EU","Male","745","275","0.366"
"2014","25 - 29","28","Not EU","Male","605","275","0.455"
"2015","25 - 29","28","Not EU","Male","610","260","0.426"
"2016","25 - 29","28","Not EU","Male","580","235","0.403"
"2017","25 - 29","28","Not EU","Male","515","230","0.443"
"2018","25 - 29","28","Not EU","Male","465","190","0.40900000000000003"
"2019","25 - 29","28","Not EU","Male","615","245","0.397"
"2020","25 - 29","28","Not EU","Male","525","250","0.47200000000000003"
"2021","25 - 29","28","Not EU","Male","635","240","0.375"
"2022","25 - 29","28","Not EU","Male","1075","345","0.321"
"2023","25 - 29","28","Not EU","Male","1185","410","0.34500000000000003"
"2006","25 - 29","29","Not EU","Male","960","440","0.46"
"2007","25 - 29","29","Not EU","Male","845","395","0.466"
"2008","25 - 29","29","Not EU","Male","840","365","0.435"
"2009","25 - 29","29","Not EU","Male","710","300","0.423"
"2010","25 - 29","29","Not EU","Male","700","270","0.386"
"2011","25 - 29","29","Not EU","Male","590","200","0.341"
"2012","25 - 29","29","Not EU","Male","555","205","0.373"
"2013","25 - 29","29","Not EU","Male","560","210","0.379"
"2014","25 - 29","29","Not EU","Male","450","185","0.41300000000000003"
"2015","25 - 29","29","Not EU","Male","485","175","0.365"
"2016","25 - 29","29","Not EU","Male","470","190","0.406"
"2017","25 - 29","29","Not EU","Male","390","165","0.421"
"2018","25 - 29","29","Not EU","Male","480","215","0.452"
"2019","25 - 29","29","Not EU","Male","360","155","0.436"
"2020","25 - 29","29","Not EU","Male","430","175","0.402"
"2021","25 - 29","29","Not EU","Male","580","215","0.367"
"2022","25 - 29","29","Not EU","Male","915","270","0.293"
"2023","25 - 29","29","Not EU","Male","830","280","0.335"
"2006","30 - 34","30","Not EU","Male","950","390","0.40800000000000003"
"2007","30 - 34","30","Not EU","Male","770","355","0.458"
"2008","30 - 34","30","Not EU","Male","615","240","0.39"
"2009","30 - 34","30","Not EU","Male","650","260","0.402"
"2010","30 - 34","30","Not EU","Male","550","230","0.42"
"2011","30 - 34","30","Not EU","Male","530","210","0.394"
"2012","30 - 34","30","Not EU","Male","555","200","0.359"
"2013","30 - 34","30","Not EU","Male","440","160","0.359"
"2014","30 - 34","30","Not EU","Male","500","200","0.402"
"2015","30 - 34","30","Not EU","Male","445","150","0.333"
"2016","30 - 34","30","Not EU","Male","365","125","0.34500000000000003"
"2017","30 - 34","30","Not EU","Male","305","125","0.40700000000000003"
"2018","30 - 34","30","Not EU","Male","355","150","0.425"
"2019","30 - 34","30","Not EU","Male","365","165","0.447"
"2020","30 - 34","30","Not EU","Male","335","145","0.439"
"2021","30 - 34","30","Not EU","Male","410","155","0.376"
"2022","30 - 34","30","Not EU","Male","710","240","0.335"
"2023","30 - 34","30","Not EU","Male","755","245","0.322"
"2006","30 - 34","31","Not EU","Male","655","300","0.461"
"2007","30 - 34","31","Not EU","Male","640","290","0.456"
"2008","30 - 34","31","Not EU","Male","520","225","0.435"
"2009","30 - 34","31","Not EU","Male","405","180","0.442"
"2010","30 - 34","31","Not EU","Male","420","165","0.39"
"2011","30 - 34","31","Not EU","Male","405","170","0.425"
"2012","30 - 34","31","Not EU","Male","335","105","0.307"
"2013","30 - 34","31","Not EU","Male","340","130","0.379"
"2014","30 - 34","31","Not EU","Male","235","95","0.404"
"2015","30 - 34","31","Not EU","Male","295","90","0.302"
"2016","30 - 34","31","Not EU","Male","275","95","0.342"
"2017","30 - 34","31","Not EU","Male","280","100","0.357"
"2018","30 - 34","31","Not EU","Male","235","110","0.47700000000000004"
