"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","17 and under","Not EU","Female","5","5"," "
"2019","18","Not EU","Female","55","10"," "
"2020","18","Not EU","Female","55","10","0.182"
"2021","18","Not EU","Female","45","5"," "
"2022","18","Not EU","Female","80","5"," "
"2023","18","Not EU","Female","55","15","0.23600000000000002"
"2019","19","Not EU","Female","35","0"," "
"2020","19","Not EU","Female","25","0"," "
"2021","19","Not EU","Female","45","5"," "
"2022","19","Not EU","Female","45","5"," "
"2023","19","Not EU","Female","20","0"," "
"2019","20","Not EU","Female","20","0"," "
"2020","20","Not EU","Female","5","0"," "
"2021","20","Not EU","Female","10","0"," "
"2022","20","Not EU","Female","20","0"," "
"2023","20","Not EU","Female","30","0"," "
"2019","21 - 24","Not EU","Female","60","5"," "
"2020","21 - 24","Not EU","Female","30","5"," "
"2021","21 - 24","Not EU","Female","95","5"," "
"2022","21 - 24","Not EU","Female","70","10","0.14300000000000002"
"2023","21 - 24","Not EU","Female","70","10","0.171"
"2019","25 - 29","Not EU","Female","55","15","0.273"
"2020","25 - 29","Not EU","Female","75","10"," "
"2021","25 - 29","Not EU","Female","65","5"," "
"2022","25 - 29","Not EU","Female","85","10"," "
"2023","25 - 29","Not EU","Female","65","15","0.215"
"2019","30 - 34","Not EU","Female","15","0"," "
"2020","30 - 34","Not EU","Female","20","0"," "
"2021","30 - 34","Not EU","Female","40","10","0.25"
"2022","30 - 34","Not EU","Female","50","0"," "
"2023","30 - 34","Not EU","Female","45","5"," "
"2019","35 and over","Not EU","Female","10","0"," "
"2020","35 and over","Not EU","Female","15","0"," "
"2021","35 and over","Not EU","Female","40","5"," "
"2022","35 and over","Not EU","Female","45","10"," "
"2023","35 and over","Not EU","Female","35","10","0.28600000000000003"
"2019","17 and under","EU (excluding UK)","Female","55","0"," "
"2020","17 and under","EU (excluding UK)","Female","35","0"," "
"2021","17 and under","EU (excluding UK)","Female","25","5"," "
"2022","17 and under","EU (excluding UK)","Female","20","0"," "
"2023","17 and under","EU (excluding UK)","Female","25","0"," "
"2019","18","EU (excluding UK)","Female","110","5"," "
"2020","18","EU (excluding UK)","Female","185","25","0.13"
"2021","18","EU (excluding UK)","Female","145","5"," "
"2022","18","EU (excluding UK)","Female","185","10"," "
"2023","18","EU (excluding UK)","Female","105","20","0.171"
"2019","19","EU (excluding UK)","Female","95","5"," "
"2020","19","EU (excluding UK)","Female","105","10"," "
"2021","19","EU (excluding UK)","Female","135","10"," "
"2022","19","EU (excluding UK)","Female","100","5"," "
"2023","19","EU (excluding UK)","Female","100","10","0.12"
"2019","20","EU (excluding UK)","Female","90","5"," "
"2020","20","EU (excluding UK)","Female","60","5"," "
"2021","20","EU (excluding UK)","Female","70","5"," "
"2022","20","EU (excluding UK)","Female","70","5"," "
"2023","20","EU (excluding UK)","Female","15","0"," "
"2019","21 - 24","EU (excluding UK)","Female","115","15","0.148"
"2020","21 - 24","EU (excluding UK)","Female","100","15","0.14"
"2021","21 - 24","EU (excluding UK)","Female","95","10","0.105"
"2022","21 - 24","EU (excluding UK)","Female","95","5"," "
"2023","21 - 24","EU (excluding UK)","Female","80","15","0.163"
"2019","25 - 29","EU (excluding UK)","Female","20","5"," "
"2020","25 - 29","EU (excluding UK)","Female","30","5"," "
"2021","25 - 29","EU (excluding UK)","Female","40","5"," "
"2022","25 - 29","EU (excluding UK)","Female","30","5"," "
"2023","25 - 29","EU (excluding UK)","Female","15","5"," "
"2019","30 - 34","EU (excluding UK)","Female","5","0"," "
"2020","30 - 34","EU (excluding UK)","Female","10","0"," "
"2021","30 - 34","EU (excluding UK)","Female","15","0"," "
"2022","30 - 34","EU (excluding UK)","Female","10","0"," "
"2019","35 and over","EU (excluding UK)","Female","15","0"," "
"2020","35 and over","EU (excluding UK)","Female","20","5"," "
"2021","35 and over","EU (excluding UK)","Female","20","5"," "
"2022","35 and over","EU (excluding UK)","Female","10","0"," "
"2023","35 and over","EU (excluding UK)","Female","10","0"," "
"2019","18","Northern Ireland","Male","5","0"," "
"2020","18","Northern Ireland","Male","5","0"," "
"2020","25 - 29","Northern Ireland","Male","5","0"," "
"2021","17 and under","England","Male","5","0"," "
"2019","18","England","Male","15","5"," "
"2020","18","England","Male","5","0"," "
"2021","18","England","Male","30","10"," "
"2022","18","England","Male","45","5"," "
"2023","18","England","Male","15","5"," "
"2021","19","England","Male","5","0"," "
"2022","19","England","Male","10","0"," "
"2020","20","England","Male","5","0"," "
"2021","20","England","Male","10","0"," "
"2023","20","England","Male","5","0"," "
"2019","21 - 24","England","Male","5","0"," "
"2020","21 - 24","England","Male","10","0"," "
"2021","21 - 24","England","Male","10","0"," "
"2022","21 - 24","England","Male","15","5"," "
"2023","21 - 24","England","Male","5","0"," "
"2019","25 - 29","England","Male","15","5"," "
"2020","25 - 29","England","Male","10","5"," "
