"Year","Subject group HECoS","Detailed subject group HECoS","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","All","Scotland","All","2035","1515","0.746"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","All","Scotland","All","2065","1445","0.7000000000000001"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","All","Scotland","All","2295","1600","0.6970000000000001"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Scotland","All","440","320","0.722"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Scotland","All","455","345","0.76"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Scotland","All","535","415","0.776"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Scotland","All","665","470","0.705"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Scotland","All","620","495","0.8"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Scotland","All","360","265","0.731"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Scotland","All","420","325","0.779"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Scotland","All","410","340","0.8310000000000001"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Scotland","All","505","405","0.804"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Scotland","All","420","360","0.862"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Scotland","All","565","425","0.75"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Scotland","All","590","465","0.788"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Scotland","All","600","475","0.789"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Scotland","All","675","510","0.756"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Scotland","All","775","595","0.765"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Scotland","All","190","115","0.608"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Scotland","All","185","135","0.736"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Scotland","All","225","170","0.749"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Scotland","All","245","175","0.712"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Scotland","All","275","225","0.8160000000000001"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Scotland","All","760","485","0.636"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Scotland","All","760","575","0.753"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Scotland","All","805","580","0.72"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Scotland","All","1075","720","0.669"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Scotland","All","1010","815","0.805"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Scotland","All","570","475","0.834"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Scotland","All","505","430","0.852"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Scotland","All","615","540","0.875"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Scotland","All","640","535","0.834"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Scotland","All","580","480","0.8240000000000001"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Scotland","All","65","50","0.779"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Scotland","All","70","55","0.783"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Scotland","All","75","55","0.7000000000000001"
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Scotland","All","110","80","0.745"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Scotland","All","95","85","0.874"
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Scotland","All","35","35","1"
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Scotland","All","35","30","0.8290000000000001"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Scotland","All","25","25","0.92"
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Scotland","All","50","40","0.84"
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Scotland","All","35","35","0.9430000000000001"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Scotland","All","2385","2015","0.845"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Scotland","All","2320","1940","0.835"
