"Year","Difference between predicted and achieved SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","0 points","18","Scotland","Male","All","Main scheme application","560","515","0.92","0"
"2022","0 points","18","Scotland","Male","All","Main scheme application","385","360","0.928","0"
"2023","0 points","18","Scotland","Male","All","Main scheme application","415","390","0.9450000000000001","0"
"2010","1 points","18","Scotland","Male","All","Main scheme application","45","40","0.909","0"
"2011","1 points","18","Scotland","Male","All","Main scheme application","50","45","0.922","0"
"2012","1 points","18","Scotland","Male","All","Main scheme application","40","35","0.895","0"
"2013","1 points","18","Scotland","Male","All","Main scheme application","45","45","0.915","0"
"2014","1 points","18","Scotland","Male","All","Main scheme application","45","40","0.911","0"
"2015","1 points","18","Scotland","Male","All","Main scheme application","45","45","1","0"
"2016","1 points","18","Scotland","Male","All","Main scheme application","45","45","1","0"
"2017","1 points","18","Scotland","Male","All","Main scheme application","30","25","0.897","0"
"2018","1 points","18","Scotland","Male","All","Main scheme application","45","40","0.886","0"
"2019","1 points","18","Scotland","Male","All","Main scheme application","40","35","0.9470000000000001","0"
"2020","1 points","18","Scotland","Male","All","Main scheme application","65","60","0.909","0"
"2021","1 points","18","Scotland","Male","All","Main scheme application","65","60","0.866","0"
"2022","1 points","18","Scotland","Male","All","Main scheme application","35","35","1","0"
"2023","1 points","18","Scotland","Male","All","Main scheme application","30","25","0.793","0"
"2010","2 points","18","Scotland","Male","All","Main scheme application","15","15","0.882","0"
"2011","2 points","18","Scotland","Male","All","Main scheme application","15","15","0.867","0"
"2012","2 points","18","Scotland","Male","All","Main scheme application","15","10","0.923","0"
"2013","2 points","18","Scotland","Male","All","Main scheme application","10","10","0.909","0"
"2014","2 points","18","Scotland","Male","All","Main scheme application","15","15","1","0"
"2015","2 points","18","Scotland","Male","All","Main scheme application","15","15","0.867","0"
"2016","2 points","18","Scotland","Male","All","Main scheme application","15","10","0.786","0"
"2017","2 points","18","Scotland","Male","All","Main scheme application","10","10"," ","0"
"2018","2 points","18","Scotland","Male","All","Main scheme application","10","10"," ","0"
"2019","2 points","18","Scotland","Male","All","Main scheme application","10","10","0.833","0"
"2020","2 points","18","Scotland","Male","All","Main scheme application","15","15","1","0"
"2021","2 points","18","Scotland","Male","All","Main scheme application","15","15","0.875","0"
"2022","2 points","18","Scotland","Male","All","Main scheme application","15","10","0.846","0"
"2023","2 points","18","Scotland","Male","All","Main scheme application","10","5"," ","0"
"2011","3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2012","3 points","18","Scotland","Male","All","Main scheme application","5","0"," ","0"
"2013","3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2015","3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2016","3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2017","3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2019","3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2020","3 points","18","Scotland","Male","All","Main scheme application","10","10","1","0"
"2021","3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2022","3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2023","3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2011","More than 3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2012","More than 3 points","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2010","-1 points","18","Scotland","Male","All","Main scheme application","145","130","0.902","0"
"2011","-1 points","18","Scotland","Male","All","Main scheme application","155","140","0.897","0"
"2012","-1 points","18","Scotland","Male","All","Main scheme application","170","145","0.869","0"
"2013","-1 points","18","Scotland","Male","All","Main scheme application","155","140","0.902","0"
"2014","-1 points","18","Scotland","Male","All","Main scheme application","170","160","0.9590000000000001","0"
"2015","-1 points","18","Scotland","Male","All","Main scheme application","180","165","0.901","0"
"2016","-1 points","18","Scotland","Male","All","Main scheme application","155","140","0.91","0"
"2017","-1 points","18","Scotland","Male","All","Main scheme application","165","145","0.902","0"
"2018","-1 points","18","Scotland","Male","All","Main scheme application","165","155","0.927","0"
"2019","-1 points","18","Scotland","Male","All","Main scheme application","175","160","0.91","0"
"2020","-1 points","18","Scotland","Male","All","Main scheme application","185","170","0.913","0"
"2021","-1 points","18","Scotland","Male","All","Main scheme application","170","155","0.923","0"
"2022","-1 points","18","Scotland","Male","All","Main scheme application","185","165","0.891","0"
"2023","-1 points","18","Scotland","Male","All","Main scheme application","195","180","0.9380000000000001","0"
"2010","-2 points","18","Scotland","Male","All","Main scheme application","120","110","0.908","0"
"2011","-2 points","18","Scotland","Male","All","Main scheme application","160","145","0.924","0"
"2012","-2 points","18","Scotland","Male","All","Main scheme application","150","130","0.886","0"
"2013","-2 points","18","Scotland","Male","All","Main scheme application","155","135","0.889","0"
"2014","-2 points","18","Scotland","Male","All","Main scheme application","130","115","0.864","0"
"2015","-2 points","18","Scotland","Male","All","Main scheme application","150","140","0.908","0"
"2016","-2 points","18","Scotland","Male","All","Main scheme application","135","120","0.881","0"
"2017","-2 points","18","Scotland","Male","All","Main scheme application","130","125","0.9470000000000001","0"
"2018","-2 points","18","Scotland","Male","All","Main scheme application","145","135","0.9440000000000001","0"
"2019","-2 points","18","Scotland","Male","All","Main scheme application","140","125","0.913","0"
"2020","-2 points","18","Scotland","Male","All","Main scheme application","115","105","0.897","0"
"2021","-2 points","18","Scotland","Male","All","Main scheme application","105","90","0.857","0"
"2022","-2 points","18","Scotland","Male","All","Main scheme application","150","135","0.901","0"
"2023","-2 points","18","Scotland","Male","All","Main scheme application","195","190","0.979","0"
"2010","-3 points","18","Scotland","Male","All","Main scheme application","115","100","0.872","0"
"2011","-3 points","18","Scotland","Male","All","Main scheme application","125","115","0.92","0"
"2012","-3 points","18","Scotland","Male","All","Main scheme application","85","75","0.917","0"
"2013","-3 points","18","Scotland","Male","All","Main scheme application","105","100","0.916","0"
"2014","-3 points","18","Scotland","Male","All","Main scheme application","135","125","0.918","0"
"2015","-3 points","18","Scotland","Male","All","Main scheme application","120","105","0.875","0"
"2016","-3 points","18","Scotland","Male","All","Main scheme application","110","100","0.911","0"
"2017","-3 points","18","Scotland","Male","All","Main scheme application","130","115","0.907","0"
"2018","-3 points","18","Scotland","Male","All","Main scheme application","120","105","0.892","0"
"2019","-3 points","18","Scotland","Male","All","Main scheme application","100","90","0.889","0"
"2020","-3 points","18","Scotland","Male","All","Main scheme application","85","70","0.8260000000000001","0"
"2021","-3 points","18","Scotland","Male","All","Main scheme application","70","65","0.903","0"
"2022","-3 points","18","Scotland","Male","All","Main scheme application","150","135","0.894","0"
"2023","-3 points","18","Scotland","Male","All","Main scheme application","140","120","0.884","0"
"2010","-4 points","18","Scotland","Male","All","Main scheme application","100","90","0.899","0"
"2011","-4 points","18","Scotland","Male","All","Main scheme application","105","90","0.854","0"
"2012","-4 points","18","Scotland","Male","All","Main scheme application","120","100","0.84","0"
"2013","-4 points","18","Scotland","Male","All","Main scheme application","110","100","0.91","0"
"2014","-4 points","18","Scotland","Male","All","Main scheme application","105","90","0.858","0"
"2015","-4 points","18","Scotland","Male","All","Main scheme application","120","110","0.908","0"
"2016","-4 points","18","Scotland","Male","All","Main scheme application","90","80","0.868","0"
"2017","-4 points","18","Scotland","Male","All","Main scheme application","80","70","0.889","0"
"2018","-4 points","18","Scotland","Male","All","Main scheme application","90","80","0.899","0"
"2019","-4 points","18","Scotland","Male","All","Main scheme application","80","75","0.901","0"
"2020","-4 points","18","Scotland","Male","All","Main scheme application","70","60","0.912","0"
"2021","-4 points","18","Scotland","Male","All","Main scheme application","70","60","0.87","0"
"2022","-4 points","18","Scotland","Male","All","Main scheme application","100","90","0.873","0"
"2023","-4 points","18","Scotland","Male","All","Main scheme application","115","115","0.974","0"
"2010","-5 points","18","Scotland","Male","All","Main scheme application","75","70","0.919","0"
"2011","-5 points","18","Scotland","Male","All","Main scheme application","75","70","0.895","0"
"2012","-5 points","18","Scotland","Male","All","Main scheme application","80","60","0.772","0"
"2013","-5 points","18","Scotland","Male","All","Main scheme application","105","90","0.875","0"
"2014","-5 points","18","Scotland","Male","All","Main scheme application","70","60","0.884","0"
"2015","-5 points","18","Scotland","Male","All","Main scheme application","95","80","0.86","0"
"2016","-5 points","18","Scotland","Male","All","Main scheme application","80","75","0.924","0"
"2017","-5 points","18","Scotland","Male","All","Main scheme application","75","70","0.9460000000000001","0"
"2018","-5 points","18","Scotland","Male","All","Main scheme application","70","60","0.841","0"
"2019","-5 points","18","Scotland","Male","All","Main scheme application","80","70","0.91","0"
"2020","-5 points","18","Scotland","Male","All","Main scheme application","35","25","0.722","0"
"2021","-5 points","18","Scotland","Male","All","Main scheme application","55","50","0.873","0"
"2022","-5 points","18","Scotland","Male","All","Main scheme application","95","85","0.884","0"
"2023","-5 points","18","Scotland","Male","All","Main scheme application","95","85","0.903","0"
"2010","-6 points","18","Scotland","Male","All","Main scheme application","55","50","0.889","0"
"2011","-6 points","18","Scotland","Male","All","Main scheme application","55","45","0.87","0"
"2012","-6 points","18","Scotland","Male","All","Main scheme application","75","60","0.803","0"
"2013","-6 points","18","Scotland","Male","All","Main scheme application","55","45","0.807","0"
"2014","-6 points","18","Scotland","Male","All","Main scheme application","60","50","0.803","0"
"2015","-6 points","18","Scotland","Male","All","Main scheme application","70","55","0.809","0"
"2016","-6 points","18","Scotland","Male","All","Main scheme application","60","55","0.9480000000000001","0"
"2017","-6 points","18","Scotland","Male","All","Main scheme application","70","60","0.882","0"
"2018","-6 points","18","Scotland","Male","All","Main scheme application","65","55","0.859","0"
"2019","-6 points","18","Scotland","Male","All","Main scheme application","40","35","0.833","0"
"2020","-6 points","18","Scotland","Male","All","Main scheme application","25","25","0.852","0"
"2021","-6 points","18","Scotland","Male","All","Main scheme application","30","25","0.9","0"
"2022","-6 points","18","Scotland","Male","All","Main scheme application","60","50","0.833","0"
"2023","-6 points","18","Scotland","Male","All","Main scheme application","55","50","0.907","0"
"2010","Less than -6 points","18","Scotland","Male","All","Main scheme application","125","110","0.895","0"
"2011","Less than -6 points","18","Scotland","Male","All","Main scheme application","115","100","0.852","0"
"2012","Less than -6 points","18","Scotland","Male","All","Main scheme application","115","90","0.774","0"
"2013","Less than -6 points","18","Scotland","Male","All","Main scheme application","135","115","0.85","0"
"2014","Less than -6 points","18","Scotland","Male","All","Main scheme application","145","120","0.836","0"
"2015","Less than -6 points","18","Scotland","Male","All","Main scheme application","135","110","0.81","0"
"2016","Less than -6 points","18","Scotland","Male","All","Main scheme application","135","115","0.847","0"
"2017","Less than -6 points","18","Scotland","Male","All","Main scheme application","130","100","0.785","0"
"2018","Less than -6 points","18","Scotland","Male","All","Main scheme application","135","115","0.858","0"
"2019","Less than -6 points","18","Scotland","Male","All","Main scheme application","110","90","0.8290000000000001","0"
"2020","Less than -6 points","18","Scotland","Male","All","Main scheme application","45","40","0.8300000000000001","0"
"2021","Less than -6 points","18","Scotland","Male","All","Main scheme application","90","80","0.859","0"
"2022","Less than -6 points","18","Scotland","Male","All","Main scheme application","115","100","0.895","0"
"2023","Less than -6 points","18","Scotland","Male","All","Main scheme application","130","115","0.891","0"
"2010","All","18","Scotland","Female","All","Not main scheme application","35","30","0.882","0"
"2011","All","18","Scotland","Female","All","Not main scheme application","30","25","0.719","0"
"2012","All","18","Scotland","Female","All","Not main scheme application","30","25","0.867","0"
"2013","All","18","Scotland","Female","All","Not main scheme application","30","30","0.875","0"
"2014","All","18","Scotland","Female","All","Not main scheme application","45","35","0.767","0"
"2015","All","18","Scotland","Female","All","Not main scheme application","40","35","0.902","0"
"2016","All","18","Scotland","Female","All","Not main scheme application","50","40","0.837","0"
"2017","All","18","Scotland","Female","All","Not main scheme application","50","40","0.788","0"
"2018","All","18","Scotland","Female","All","Not main scheme application","40","35","0.857","0"
"2019","All","18","Scotland","Female","All","Not main scheme application","55","45","0.849","0"
"2020","All","18","Scotland","Female","All","Not main scheme application","55","45","0.868","0"
"2021","All","18","Scotland","Female","All","Not main scheme application","45","35","0.837","0"
"2022","All","18","Scotland","Female","All","Not main scheme application","55","45","0.8","0"
"2023","All","18","Scotland","Female","All","Not main scheme application","60","55","0.903","0"
"2010","All","18","Scotland","Male","All","Not main scheme application","25","25","1","0"
"2011","All","18","Scotland","Male","All","Not main scheme application","30","25","0.833","0"
"2012","All","18","Scotland","Male","All","Not main scheme application","55","45","0.833","0"
"2013","All","18","Scotland","Male","All","Not main scheme application","40","35","0.925","0"
"2014","All","18","Scotland","Male","All","Not main scheme application","40","35","0.854","0"
"2015","All","18","Scotland","Male","All","Not main scheme application","40","30","0.78","0"
"2016","All","18","Scotland","Male","All","Not main scheme application","35","25","0.788","0"
"2017","All","18","Scotland","Male","All","Not main scheme application","40","30","0.795","0"
"2018","All","18","Scotland","Male","All","Not main scheme application","35","30","0.833","0"
"2019","All","18","Scotland","Male","All","Not main scheme application","35","35","0.9440000000000001","0"
"2020","All","18","Scotland","Male","All","Not main scheme application","45","40","0.891","0"
"2021","All","18","Scotland","Male","All","Not main scheme application","35","25","0.788","0"
"2022","All","18","Scotland","Male","All","Not main scheme application","50","45","0.843","0"
"2023","All","18","Scotland","Male","All","Not main scheme application","25","25","0.923","0"
"2010","All","18","Scotland","Female","All","Main scheme application","925","805","0.871","0"
"2011","All","18","Scotland","Female","All","Main scheme application","975","860","0.879","0"
"2012","All","18","Scotland","Female","All","Main scheme application","965","835","0.864","0"
"2013","All","18","Scotland","Female","All","Main scheme application","1060","945","0.889","0"
"2014","All","18","Scotland","Female","All","Main scheme application","1035","895","0.865","0"
"2015","All","18","Scotland","Female","All","Main scheme application","1060","915","0.862","0"
"2016","All","18","Scotland","Female","All","Main scheme application","1170","1010","0.865","0"
"2017","All","18","Scotland","Female","All","Main scheme application","1170","1005","0.857","0"
"2018","All","18","Scotland","Female","All","Main scheme application","1250","1090","0.873","0"
"2019","All","18","Scotland","Female","All","Main scheme application","1220","1070","0.879","0"
"2020","All","18","Scotland","Female","All","Main scheme application","1185","1045","0.881","0"
"2021","All","18","Scotland","Female","All","Main scheme application","1460","1290","0.886","0"
"2022","All","18","Scotland","Female","All","Main scheme application","1525","1335","0.874","0"
"2023","All","18","Scotland","Female","All","Main scheme application","1595","1440","0.904","0"
"2010","All","18","Scotland","Male","All","Main scheme application","1045","950","0.905","0"
"2011","All","18","Scotland","Male","All","Main scheme application","1120","1010","0.902","0"
"2012","All","18","Scotland","Male","All","Main scheme application","1115","960","0.861","0"
"2013","All","18","Scotland","Male","All","Main scheme application","1215","1080","0.89","0"
"2014","All","18","Scotland","Male","All","Main scheme application","1175","1060","0.903","0"
"2015","All","18","Scotland","Male","All","Main scheme application","1300","1160","0.892","0"
"2016","All","18","Scotland","Male","All","Main scheme application","1165","1055","0.904","0"
"2017","All","18","Scotland","Male","All","Main scheme application","1155","1045","0.906","0"
"2018","All","18","Scotland","Male","All","Main scheme application","1160","1055","0.91","0"
"2019","All","18","Scotland","Male","All","Main scheme application","1075","970","0.903","0"
"2020","All","18","Scotland","Male","All","Main scheme application","1155","1030","0.895","0"
"2021","All","18","Scotland","Male","All","Main scheme application","1240","1115","0.9","0"
"2022","All","18","Scotland","Male","All","Main scheme application","1295","1170","0.902","0"
"2023","All","18","Scotland","Male","All","Main scheme application","1380","1285","0.931","0"
"2011","0 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2012","0 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2013","0 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2014","0 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2015","0 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2016","0 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2017","0 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2018","0 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2019","0 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2020","0 points","All","Scotland","Female","All","Not main scheme application","20","15","0.842","0"
"2021","0 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2022","0 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2023","0 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2011","1 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2012","-1 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2013","-1 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2014","-1 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2015","-1 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2016","-1 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2017","-1 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2018","-1 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2019","-1 points","All","Scotland","Female","All","Not main scheme application","10","10","1","0"
"2020","-1 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2021","-1 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2022","-1 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2023","-1 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2010","-2 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2012","-2 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2013","-2 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2014","-2 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2015","-2 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2016","-2 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2018","-2 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2019","-2 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2020","-2 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2021","-2 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2022","-2 points","All","Scotland","Female","All","Not main scheme application","15","10"," ","0"
"2023","-2 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2010","-3 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2011","-3 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2012","-3 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2014","-3 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2015","-3 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2016","-3 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2017","-3 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2018","-3 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2019","-3 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2020","-3 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2021","-3 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2022","-3 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2023","-3 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2010","-4 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2011","-4 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2013","-4 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2014","-4 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2015","-4 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2016","-4 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2017","-4 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2019","-4 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2020","-4 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2021","-4 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2022","-4 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2023","-4 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2010","-5 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2011","-5 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2012","-5 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2013","-5 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2014","-5 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2015","-5 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2016","-5 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2017","-5 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2018","-5 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2019","-5 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2021","-5 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2022","-5 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2023","-5 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2015","-6 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2016","-6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2017","-6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2018","-6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2019","-6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2022","-6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2023","-6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2011","Less than -6 points","All","Scotland","Female","All","Not main scheme application","10","10"," ","0"
"2012","Less than -6 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2013","Less than -6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2016","Less than -6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2017","Less than -6 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2018","Less than -6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2019","Less than -6 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2020","Less than -6 points","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2021","Less than -6 points","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2022","Less than -6 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2023","Less than -6 points","All","Scotland","Female","All","Not main scheme application","10","5"," ","0"
"2010","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2011","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2012","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2013","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2014","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2015","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2016","0 points","All","Scotland","Male","All","Not main scheme application","10","10"," ","0"
"2017","0 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2018","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2019","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2020","0 points","All","Scotland","Male","All","Not main scheme application","10","10","0.909","0"
"2021","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2022","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2023","0 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2021","1 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2011","-1 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2012","-1 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2013","-1 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2014","-1 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2015","-1 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2017","-1 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2018","-1 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2019","-1 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2020","-1 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2021","-1 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2022","-1 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2012","-2 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2013","-2 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2014","-2 points","All","Scotland","Male","All","Not main scheme application","10","5"," ","0"
"2015","-2 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2016","-2 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2018","-2 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2019","-2 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2020","-2 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2022","-2 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2010","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2011","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2012","-3 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2013","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2014","-3 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2015","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2016","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2017","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2018","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2019","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2020","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2021","-3 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2022","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2023","-3 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2010","-4 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2011","-4 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2012","-4 points","All","Scotland","Male","All","Not main scheme application","10","5"," ","0"
"2013","-4 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2014","-4 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2015","-4 points","All","Scotland","Male","All","Not main scheme application","10","5"," ","0"
"2017","-4 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2018","-4 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2020","-4 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2021","-4 points","All","Scotland","Male","All","Not main scheme application","5","0"," ","0"
"2022","-4 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2012","-5 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2013","-5 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2014","-5 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
"2015","-5 points","All","Scotland","Male","All","Not main scheme application","5","5"," ","0"
