"Year","Age group","Individual age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2008","35 and over","53","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2009","35 and over","53","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2011","35 and over","53","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2014","35 and over","53","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2016","35 and over","53","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2018","35 and over","53","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2019","35 and over","53","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2020","35 and over","53","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2021","35 and over","53","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2022","35 and over","53","Not EU","Female","All","Main scheme application","5","5"," ","0"
"2023","35 and over","53","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2008","35 and over","54","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2020","35 and over","54","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2023","35 and over","54","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2018","35 and over","55","Not EU","Female","All","Main scheme application","5","5"," ","0"
"2022","35 and over","55","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2023","35 and over","55","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2020","35 and over","56","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2021","35 and over","56","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2017","35 and over","57","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2019","35 and over","57","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2023","35 and over","57","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2014","35 and over","58","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2015","35 and over","58","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2018","35 and over","58","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2019","35 and over","58","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2023","35 and over","58","Not EU","Female","All","Main scheme application","5","5"," ","0"
"2015","35 and over","60","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2023","35 and over","61","Not EU","Female","All","Main scheme application","5","5"," ","0"
"2020","35 and over","63","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2006","35 and over","65 and over","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2010","35 and over","65 and over","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2020","35 and over","65 and over","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2021","35 and over","65 and over","Not EU","Female","All","Main scheme application","10","0"," ","0"
"2023","35 and over","65 and over","Not EU","Female","All","Main scheme application","5","0"," ","0"
"2006","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1490","715","0.48","0"
"2007","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1680","830","0.494","0"
"2008","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1580","800","0.507","0"
"2009","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1730","870","0.502","0"
"2010","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1855","805","0.435","0"
"2011","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1920","835","0.434","0"
"2012","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1875","860","0.457","0"
"2013","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1910","880","0.461","0"
"2014","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","2180","1035","0.47500000000000003","0"
"2015","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","2400","1240","0.518","0"
"2016","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","2470","1265","0.512","0"
"2017","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","2530","1325","0.525","0"
"2018","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","2655","1395","0.526","0"
"2019","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","2720","1410","0.519","0"
"2020","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","2835","1530","0.539","0"
"2021","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1995","805","0.402","0"
"2022","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1790","730","0.40800000000000003","0"
"2023","17 and under","17 and under","EU (excluding UK)","Female","All","Main scheme application","1640","640","0.39","0"
"2006","18","18","EU (excluding UK)","Female","All","Main scheme application","4390","2230","0.508","0"
"2007","18","18","EU (excluding UK)","Female","All","Main scheme application","4870","2575","0.528","0"
"2008","18","18","EU (excluding UK)","Female","All","Main scheme application","5405","2885","0.534","0"
"2009","18","18","EU (excluding UK)","Female","All","Main scheme application","6035","3185","0.528","0"
"2010","18","18","EU (excluding UK)","Female","All","Main scheme application","7680","3670","0.47800000000000004","0"
"2011","18","18","EU (excluding UK)","Female","All","Main scheme application","8255","4050","0.491","0"
"2012","18","18","EU (excluding UK)","Female","All","Main scheme application","7805","3755","0.481","0"
"2013","18","18","EU (excluding UK)","Female","All","Main scheme application","8285","4035","0.487","0"
"2014","18","18","EU (excluding UK)","Female","All","Main scheme application","8810","4530","0.514","0"
"2015","18","18","EU (excluding UK)","Female","All","Main scheme application","9930","5285","0.532","0"
"2016","18","18","EU (excluding UK)","Female","All","Main scheme application","10865","5840","0.538","0"
"2017","18","18","EU (excluding UK)","Female","All","Main scheme application","10320","5720","0.554","0"
"2018","18","18","EU (excluding UK)","Female","All","Main scheme application","10825","5950","0.55","0"
"2019","18","18","EU (excluding UK)","Female","All","Main scheme application","11125","6030","0.542","0"
"2020","18","18","EU (excluding UK)","Female","All","Main scheme application","11010","6115","0.555","0"
"2021","18","18","EU (excluding UK)","Female","All","Main scheme application","7475","3300","0.442","0"
"2022","18","18","EU (excluding UK)","Female","All","Main scheme application","6515","2910","0.446","0"
"2023","18","18","EU (excluding UK)","Female","All","Main scheme application","6345","2675","0.422","0"
"2006","19","19","EU (excluding UK)","Female","All","Main scheme application","3185","1720","0.54","0"
"2007","19","19","EU (excluding UK)","Female","All","Main scheme application","4030","2250","0.559","0"
"2008","19","19","EU (excluding UK)","Female","All","Main scheme application","4280","2395","0.559","0"
"2009","19","19","EU (excluding UK)","Female","All","Main scheme application","5225","2925","0.56","0"
"2010","19","19","EU (excluding UK)","Female","All","Main scheme application","6840","3460","0.505","0"
"2011","19","19","EU (excluding UK)","Female","All","Main scheme application","7730","3970","0.514","0"
"2012","19","19","EU (excluding UK)","Female","All","Main scheme application","6925","3460","0.5","0"
"2013","19","19","EU (excluding UK)","Female","All","Main scheme application","7355","3845","0.522","0"
"2014","19","19","EU (excluding UK)","Female","All","Main scheme application","7880","4175","0.53","0"
"2015","19","19","EU (excluding UK)","Female","All","Main scheme application","8450","4630","0.548","0"
"2016","19","19","EU (excluding UK)","Female","All","Main scheme application","9250","5135","0.555","0"
"2017","19","19","EU (excluding UK)","Female","All","Main scheme application","8735","4855","0.556","0"
"2018","19","19","EU (excluding UK)","Female","All","Main scheme application","8955","5090","0.5680000000000001","0"
"2019","19","19","EU (excluding UK)","Female","All","Main scheme application","9230","5125","0.555","0"
"2020","19","19","EU (excluding UK)","Female","All","Main scheme application","8940","5020","0.562","0"
"2021","19","19","EU (excluding UK)","Female","All","Main scheme application","4115","1750","0.425","0"
"2022","19","19","EU (excluding UK)","Female","All","Main scheme application","3285","1390","0.424","0"
"2023","19","19","EU (excluding UK)","Female","All","Main scheme application","3315","1345","0.406","0"
"2006","20","20","EU (excluding UK)","Female","All","Main scheme application","1810","1035","0.5700000000000001","0"
"2007","20","20","EU (excluding UK)","Female","All","Main scheme application","2080","1235","0.594","0"
"2008","20","20","EU (excluding UK)","Female","All","Main scheme application","2090","1185","0.5680000000000001","0"
"2009","20","20","EU (excluding UK)","Female","All","Main scheme application","2435","1340","0.551","0"
"2010","20","20","EU (excluding UK)","Female","All","Main scheme application","2955","1495","0.506","0"
"2011","20","20","EU (excluding UK)","Female","All","Main scheme application","3110","1565","0.504","0"
"2012","20","20","EU (excluding UK)","Female","All","Main scheme application","2570","1185","0.461","0"
"2013","20","20","EU (excluding UK)","Female","All","Main scheme application","2780","1355","0.488","0"
"2014","20","20","EU (excluding UK)","Female","All","Main scheme application","2965","1490","0.503","0"
"2015","20","20","EU (excluding UK)","Female","All","Main scheme application","3115","1670","0.536","0"
"2016","20","20","EU (excluding UK)","Female","All","Main scheme application","3250","1750","0.539","0"
"2017","20","20","EU (excluding UK)","Female","All","Main scheme application","3095","1680","0.543","0"
"2018","20","20","EU (excluding UK)","Female","All","Main scheme application","3085","1775","0.5750000000000001","0"
"2019","20","20","EU (excluding UK)","Female","All","Main scheme application","3160","1760","0.557","0"
"2020","20","20","EU (excluding UK)","Female","All","Main scheme application","3065","1720","0.561","0"
"2021","20","20","EU (excluding UK)","Female","All","Main scheme application","1365","600","0.438","0"
"2022","20","20","EU (excluding UK)","Female","All","Main scheme application","1010","400","0.394","0"
"2023","20","20","EU (excluding UK)","Female","All","Main scheme application","930","370","0.399","0"
"2006","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1280","730","0.5710000000000001","0"
"2007","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1400","825","0.59","0"
"2008","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1340","735","0.547","0"
"2009","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1485","835","0.5630000000000001","0"
"2010","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1655","770","0.465","0"
"2011","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1790","875","0.488","0"
"2012","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1380","620","0.449","0"
"2013","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1385","665","0.481","0"
"2014","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1450","710","0.491","0"
"2015","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1470","735","0.499","0"
"2016","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1530","775","0.506","0"
"2017","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1325","710","0.535","0"
"2018","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1420","755","0.531","0"
"2019","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1340","735","0.548","0"
"2020","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","1240","670","0.542","0"
"2021","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","630","265","0.419","0"
"2022","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","495","180","0.361","0"
"2023","21 - 24","21","EU (excluding UK)","Female","All","Main scheme application","415","150","0.367","0"
"2006","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","1010","580","0.5740000000000001","0"
"2007","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","1045","605","0.578","0"
"2008","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","970","535","0.551","0"
"2009","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","975","530","0.541","0"
"2010","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","1220","600","0.491","0"
"2011","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","1140","540","0.47500000000000003","0"
"2012","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","875","370","0.425","0"
"2013","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","895","400","0.444","0"
"2014","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","860","375","0.438","0"
"2015","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","970","460","0.47200000000000003","0"
"2016","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","925","430","0.464","0"
"2017","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","815","390","0.47600000000000003","0"
"2018","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","835","435","0.518","0"
"2019","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","865","440","0.51","0"
"2020","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","795","395","0.496","0"
"2021","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","425","160","0.379","0"
"2022","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","295","100","0.34500000000000003","0"
"2023","21 - 24","22","EU (excluding UK)","Female","All","Main scheme application","285","105","0.369","0"
"2006","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","665","350","0.524","0"
"2007","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","665","355","0.536","0"
"2008","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","635","325","0.51","0"
"2009","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","720","375","0.521","0"
"2010","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","795","350","0.439","0"
"2011","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","840","400","0.47700000000000004","0"
"2012","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","595","245","0.41300000000000003","0"
"2013","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","660","275","0.41400000000000003","0"
"2014","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","660","295","0.443","0"
"2015","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","620","250","0.404","0"
"2016","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","665","280","0.419","0"
"2017","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","585","290","0.498","0"
"2018","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","520","240","0.462","0"
"2019","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","500","245","0.493","0"
"2020","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","530","275","0.523","0"
"2021","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","335","145","0.429","0"
"2022","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","245","85","0.34600000000000003","0"
"2023","21 - 24","23","EU (excluding UK)","Female","All","Main scheme application","230","85","0.364","0"
"2006","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","500","250","0.497","0"
"2007","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","435","225","0.517","0"
"2008","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","395","205","0.516","0"
"2009","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","440","205","0.463","0"
"2010","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","590","255","0.434","0"
"2011","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","525","200","0.38","0"
"2012","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","405","145","0.364","0"
"2013","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","455","170","0.368","0"
"2014","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","400","160","0.403","0"
"2015","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","440","165","0.381","0"
"2016","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","420","170","0.405","0"
"2017","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","375","165","0.441","0"
"2018","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","375","165","0.44","0"
"2019","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","340","135","0.404","0"
"2020","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","305","150","0.497","0"
"2021","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","230","85","0.362","0"
"2022","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","155","50","0.327","0"
"2023","21 - 24","24","EU (excluding UK)","Female","All","Main scheme application","140","45","0.326","0"
"2006","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","290","125","0.426","0"
"2007","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","305","150","0.492","0"
"2008","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","280","130","0.47100000000000003","0"
"2009","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","255","110","0.429","0"
"2010","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","370","135","0.371","0"
"2011","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","350","175","0.509","0"
"2012","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","265","100","0.376","0"
"2013","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","260","105","0.401","0"
"2014","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","285","105","0.373","0"
"2015","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","290","105","0.372","0"
"2016","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","305","125","0.401","0"
"2017","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","270","125","0.47000000000000003","0"
"2018","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","225","105","0.464","0"
"2019","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","190","90","0.466","0"
"2020","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","235","105","0.447","0"
"2021","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","135","45","0.343","0"
"2022","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","105","25","0.23600000000000002","0"
"2023","25 - 29","25","EU (excluding UK)","Female","All","Main scheme application","80","20","0.244","0"
"2006","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","235","120","0.498","0"
"2007","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","220","115","0.523","0"
"2008","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","215","90","0.41600000000000004","0"
"2009","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","185","95","0.516","0"
"2010","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","245","85","0.352","0"
"2011","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","250","110","0.429","0"
"2012","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","180","80","0.436","0"
"2013","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","190","60","0.313","0"
"2014","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","180","75","0.401","0"
"2015","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","220","85","0.39","0"
"2016","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","210","100","0.47600000000000003","0"
"2017","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","160","60","0.38","0"
"2018","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","170","65","0.38","0"
"2019","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","150","65","0.434","0"
"2020","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","135","70","0.518","0"
"2021","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","95","30","0.333","0"
"2022","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","60","20","0.355","0"
"2023","25 - 29","26","EU (excluding UK)","Female","All","Main scheme application","55","15","0.304","0"
"2006","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","160","80","0.506","0"
"2007","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","155","80","0.497","0"
"2008","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","140","65","0.47800000000000004","0"
"2009","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","155","70","0.444","0"
"2010","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","185","75","0.402","0"
"2011","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","180","75","0.40800000000000003","0"
"2012","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","155","40","0.255","0"
"2013","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","145","55","0.371","0"
"2014","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","125","40","0.307","0"
"2015","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","145","50","0.331","0"
"2016","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","140","50","0.371","0"
"2017","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","105","40","0.394","0"
"2018","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","105","50","0.485","0"
"2019","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","110","55","0.519","0"
"2020","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","105","35","0.34","0"
"2021","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","75","20","0.297","0"
"2022","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","50","20","0.375","0"
"2023","25 - 29","27","EU (excluding UK)","Female","All","Main scheme application","35","10","0.314","0"
"2006","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","95","40","0.441","0"
"2007","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","105","50","0.481","0"
"2008","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","105","50","0.47100000000000003","0"
"2009","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","95","40","0.433","0"
"2010","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","130","40","0.32","0"
"2011","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","140","55","0.397","0"
"2012","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","100","35","0.327","0"
"2013","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","100","35","0.327","0"
"2014","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","110","35","0.309","0"
"2015","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","120","40","0.339","0"
"2016","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","110","45","0.396","0"
"2017","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","85","35","0.395","0"
"2018","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","90","40","0.41300000000000003","0"
"2019","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","70","25","0.338","0"
"2020","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","60","20","0.3","0"
"2021","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","40","15","0.357","0"
"2022","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","40","15","0.4","0"
"2023","25 - 29","28","EU (excluding UK)","Female","All","Main scheme application","20","5"," ","0"
"2006","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","90","50","0.562","0"
"2007","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","70","30","0.423","0"
"2008","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","60","25","0.435","0"
"2009","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","85","30","0.34900000000000003","0"
"2010","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","105","35","0.333","0"
"2011","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","95","40","0.452","0"
"2012","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","65","20","0.333","0"
"2013","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","75","25","0.37","0"
"2014","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","80","25","0.309","0"
"2015","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","75","25","0.36","0"
"2016","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","80","20","0.259","0"
"2017","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","65","15","0.254","0"
"2018","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","65","25","0.365","0"
"2019","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","55","20","0.4","0"
"2020","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","55","20","0.368","0"
"2021","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","35","10"," ","0"
"2022","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","35","10"," ","0"
"2023","25 - 29","29","EU (excluding UK)","Female","All","Main scheme application","25","10","0.37","0"
"2006","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","45","25","0.522","0"
"2007","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","60","25","0.435","0"
"2008","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","45","20","0.435","0"
"2009","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","65","30","0.433","0"
"2010","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","70","25","0.362","0"
"2011","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","60","20","0.29","0"
"2012","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","65","20","0.328","0"
"2013","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","60","20","0.29","0"
"2014","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","55","10","0.196","0"
"2015","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","50","20","0.385","0"
"2016","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","50","15","0.265","0"
"2017","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","40","15","0.41500000000000004","0"
"2018","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","40","15","0.31","0"
"2019","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","40","15","0.421","0"
"2020","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","45","25","0.558","0"
"2021","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","30","10","0.313","0"
"2022","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","20","5"," ","0"
"2023","30 - 34","30","EU (excluding UK)","Female","All","Main scheme application","20","5"," ","0"
"2006","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","45","20","0.442","0"
"2007","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","45","25","0.522","0"
"2008","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","40","15","0.359","0"
"2009","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","45","20","0.442","0"
"2010","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","60","20","0.295","0"
"2011","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","60","25","0.431","0"
"2012","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","45","15","0.326","0"
"2013","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","50","15","0.3","0"
"2014","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","45","20","0.404","0"
"2015","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","45","15","0.319","0"
"2016","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","35","10","0.333","0"
"2017","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","35","15","0.382","0"
"2018","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","35","15","0.394","0"
"2019","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","35","10"," ","0"
"2020","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","30","15","0.5710000000000001","0"
"2021","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","25","10"," ","0"
"2022","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","20","5"," ","0"
"2023","30 - 34","31","EU (excluding UK)","Female","All","Main scheme application","15","0"," ","0"
"2006","30 - 34","32","EU (excluding UK)","Female","All","Main scheme application","25","10"," ","0"
"2007","30 - 34","32","EU (excluding UK)","Female","All","Main scheme application","40","15","0.421","0"
"2008","30 - 34","32","EU (excluding UK)","Female","All","Main scheme application","25","15","0.577","0"
"2009","30 - 34","32","EU (excluding UK)","Female","All","Main scheme application","35","15","0.429","0"
"2010","30 - 34","32","EU (excluding UK)","Female","All","Main scheme application","50","15","0.306","0"
"2011","30 - 34","32","EU (excluding UK)","Female","All","Main scheme application","65","20","0.338","0"
"2012","30 - 34","32","EU (excluding UK)","Female","All","Main scheme application","45","10","0.256","0"
