"Year","Age group","Individual age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2007","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2009","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2010","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","21 - 24","24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2007","25 - 29","25","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","25 - 29","25","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","25 - 29","25","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","25 - 29","25","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","25 - 29","25","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","25 - 29","25","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","25 - 29","25","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2006","25 - 29","26","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","25 - 29","26","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","25 - 29","26","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","25 - 29","26","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","25 - 29","26","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","25 - 29","26","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
