"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","245","200","0.8190000000000001"
"2019","Higher tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Higher tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Higher tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.9"
"2020","Medium tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","75","65","0.865"
"2021","Medium tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.864"
"2022","Medium tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.6970000000000001"
"2023","Medium tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","55","45","0.836"
"2019","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","460","390","0.848"
"2020","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","655","505","0.767"
"2021","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","450","360","0.796"
"2022","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","490","365","0.742"
"2023","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","660","515","0.777"
"2019","Higher tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2020","Higher tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","15","5"," "
"2021","Higher tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Higher tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Medium tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","90","75","0.8260000000000001"
"2020","Medium tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","140","115","0.836"
"2021","Medium tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","70","55","0.771"
"2022","Medium tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","110","85","0.775"
"2023","Medium tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","125","100","0.8210000000000001"
"2022","Higher tariff","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","18","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2023","Higher tariff","19","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","Medium tariff","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","19","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.733"
"2023","Medium tariff","19","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.81"
"2023","Higher tariff","20","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","20","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","20","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","Medium tariff","20","Scotland","Female","Not main scheme applicant","Not main scheme application","15","5"," "
"2023","Medium tariff","20","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.833"
"2020","Higher tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","0.833"
"2023","Higher tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","25","20","0.704"
"2020","Medium tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","35","30","0.861"
"2021","Medium tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","Medium tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","45","30","0.681"
"2023","Medium tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","55","50","0.927"
"2022","Higher tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Higher tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","Medium tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.647"
"2020","Medium tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","35","30","0.8"
"2021","Medium tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","Medium tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","30","25","0.742"
"2023","Medium tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","45","30","0.727"
"2021","Lower tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Higher tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Higher tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","20","10","0.667"
"2020","Medium tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.591"
"2021","Medium tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","Medium tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","35","25","0.6940000000000001"
"2023","Medium tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","40","25","0.641"
"2019","Higher tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.81"
"2023","Higher tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.929"
"2019","Medium tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","35","25","0.771"
"2020","Medium tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","45","35","0.75"
"2021","Medium tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.778"
"2022","Medium tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","75","45","0.579"
"2023","Medium tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","95","70","0.708"
"2022","Lower tariff","19","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","19","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Higher tariff","19","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","19","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","19","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","19","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Higher tariff","20","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","20","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","20","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","20","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Lower tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Higher tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Medium tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","Medium tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","Medium tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2020","Lower tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Higher tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
