"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","UK","Northern Ireland","Northern Ireland","19","Female","Main scheme applicant","Main scheme application","70","10","0.159","0"
"2020","UK","Northern Ireland","Northern Ireland","19","Female","Main scheme applicant","Main scheme application","70","10"," ","0"
"2021","UK","Northern Ireland","Northern Ireland","19","Female","Main scheme applicant","Main scheme application","85","5"," ","0"
"2022","UK","Northern Ireland","Northern Ireland","19","Female","Main scheme applicant","Main scheme application","85","15","0.155","0"
"2023","UK","Northern Ireland","Northern Ireland","19","Female","Main scheme applicant","Main scheme application","75","5"," ","0"
"2019","UK","Scotland","Scotland","19","Female","Main scheme applicant","Main scheme application","95","25","0.277","0"
"2020","UK","Scotland","Scotland","19","Female","Main scheme applicant","Main scheme application","85","25","0.321","0"
"2021","UK","Scotland","Scotland","19","Female","Main scheme applicant","Main scheme application","115","15","0.124","0"
"2022","UK","Scotland","Scotland","19","Female","Main scheme applicant","Main scheme application","100","20","0.2","0"
"2023","UK","Scotland","Scotland","19","Female","Main scheme applicant","Main scheme application","95","30","0.32","0"
"2019","UK","Wales","Wales","19","Female","Main scheme applicant","Main scheme application","60","15","0.226","0"
"2020","UK","Wales","Wales","19","Female","Main scheme applicant","Main scheme application","60","15","0.276","0"
"2021","UK","Wales","Wales","19","Female","Main scheme applicant","Main scheme application","90","15","0.14400000000000002","0"
"2022","UK","Wales","Wales","19","Female","Main scheme applicant","Main scheme application","60","15","0.28300000000000003","0"
"2023","UK","Wales","Wales","19","Female","Main scheme applicant","Main scheme application","40","5"," ","0"
"2020","International","EU (excluding UK)","France","19","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","EU (excluding UK)","Ireland","19","Female","Main scheme applicant","Main scheme application","20","0"," ","0"
"2020","International","EU (excluding UK)","Ireland","19","Female","Main scheme applicant","Main scheme application","30","5"," ","0"
"2021","International","EU (excluding UK)","Ireland","19","Female","Main scheme applicant","Main scheme application","50","5"," ","0"
"2022","International","EU (excluding UK)","Ireland","19","Female","Main scheme applicant","Main scheme application","40","0"," ","0"
"2023","International","EU (excluding UK)","Ireland","19","Female","Main scheme applicant","Main scheme application","45","5"," ","0"
"2019","International","EU (excluding UK)","Italy","19","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","International","EU (excluding UK)","Italy","19","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","Not EU","Gibraltar","19","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","Not EU","United States of America","19","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","Not EU","United States of America","19","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","International","Not EU","United States of America","19","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","UK","England","England","20","Female","Main scheme applicant","Main scheme application","505","170","0.336","0"
"2020","UK","England","England","20","Female","Main scheme applicant","Main scheme application","520","195","0.374","0"
"2021","UK","England","England","20","Female","Main scheme applicant","Main scheme application","600","160","0.267","0"
"2022","UK","England","England","20","Female","Main scheme applicant","Main scheme application","600","145","0.246","0"
"2023","UK","England","England","20","Female","Main scheme applicant","Main scheme application","500","175","0.34500000000000003","0"
"2019","UK","Northern Ireland","Northern Ireland","20","Female","Main scheme applicant","Main scheme application","35","0"," ","0"
"2020","UK","Northern Ireland","Northern Ireland","20","Female","Main scheme applicant","Main scheme application","25","0"," ","0"
"2021","UK","Northern Ireland","Northern Ireland","20","Female","Main scheme applicant","Main scheme application","30","0"," ","0"
"2022","UK","Northern Ireland","Northern Ireland","20","Female","Main scheme applicant","Main scheme application","40","0"," ","0"
"2023","UK","Northern Ireland","Northern Ireland","20","Female","Main scheme applicant","Main scheme application","35","5"," ","0"
"2019","UK","Scotland","Scotland","20","Female","Main scheme applicant","Main scheme application","50","10","0.216","0"
"2020","UK","Scotland","Scotland","20","Female","Main scheme applicant","Main scheme application","65","10","0.19","0"
"2021","UK","Scotland","Scotland","20","Female","Main scheme applicant","Main scheme application","65","10","0.149","0"
"2022","UK","Scotland","Scotland","20","Female","Main scheme applicant","Main scheme application","70","15","0.23500000000000001","0"
"2023","UK","Scotland","Scotland","20","Female","Main scheme applicant","Main scheme application","45","5"," ","0"
"2019","UK","Wales","Wales","20","Female","Main scheme applicant","Main scheme application","30","5"," ","0"
"2020","UK","Wales","Wales","20","Female","Main scheme applicant","Main scheme application","30","5"," ","0"
"2021","UK","Wales","Wales","20","Female","Main scheme applicant","Main scheme application","45","10"," ","0"
"2022","UK","Wales","Wales","20","Female","Main scheme applicant","Main scheme application","40","10"," ","0"
"2023","UK","Wales","Wales","20","Female","Main scheme applicant","Main scheme application","30","10"," ","0"
"2019","International","EU (excluding UK)","France","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","EU (excluding UK)","France","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","EU (excluding UK)","Ireland","20","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2020","International","EU (excluding UK)","Ireland","20","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2021","International","EU (excluding UK)","Ireland","20","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2022","International","EU (excluding UK)","Ireland","20","Female","Main scheme applicant","Main scheme application","20","0"," ","0"
"2023","International","EU (excluding UK)","Ireland","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","International","EU (excluding UK)","Italy","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","International","EU (excluding UK)","Italy","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","International","EU (excluding UK)","Italy","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","International","Not EU","Nigeria","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
