"Year","Difference between predicted and achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","2 points","All","Main scheme applicant","All","30","25","0.9","0"
"2015","2 points","All","Main scheme applicant","All","25","20","0.846","0"
"2016","2 points","All","Main scheme applicant","All","25","20","0.8","0"
"2017","2 points","All","Main scheme applicant","All","30","20","0.786","0"
"2018","2 points","All","Main scheme applicant","All","25","15","0.609","0"
"2019","2 points","All","Main scheme applicant","All","20","15","0.762","0"
"2020","2 points","All","Main scheme applicant","All","35","30","0.97","0"
"2021","2 points","All","Main scheme applicant","All","40","35","0.897","0"
"2022","2 points","All","Main scheme applicant","All","15","10"," ","0"
"2023","2 points","All","Main scheme applicant","All","15","10","0.923","0"
"2010","3 points","All","Main scheme applicant","All","20","15","0.895","0"
"2011","3 points","All","Main scheme applicant","All","15","15","0.8240000000000001","0"
"2012","3 points","All","Main scheme applicant","All","15","15","0.8130000000000001","0"
"2013","3 points","All","Main scheme applicant","All","20","15","0.833","0"
"2014","3 points","All","Main scheme applicant","All","10","5"," ","0"
"2015","3 points","All","Main scheme applicant","All","10","10","1","0"
"2016","3 points","All","Main scheme applicant","All","10","10","1","0"
"2017","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2018","3 points","All","Main scheme applicant","All","10","5"," ","0"
"2019","3 points","All","Main scheme applicant","All","10","10"," ","0"
"2020","3 points","All","Main scheme applicant","All","20","20","0.8180000000000001","0"
"2021","3 points","All","Main scheme applicant","All","25","25","0.889","0"
"2022","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2023","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2010","More than 3 points","All","Main scheme applicant","All","15","15","0.875","0"
"2011","More than 3 points","All","Main scheme applicant","All","15","10","0.857","0"
"2012","More than 3 points","All","Main scheme applicant","All","15","15","0.867","0"
"2013","More than 3 points","All","Main scheme applicant","All","15","15","0.929","0"
"2014","More than 3 points","All","Main scheme applicant","All","15","15","0.875","0"
"2015","More than 3 points","All","Main scheme applicant","All","10","10"," ","0"
"2016","More than 3 points","All","Main scheme applicant","All","15","10","0.714","0"
"2017","More than 3 points","All","Main scheme applicant","All","10","5"," ","0"
"2018","More than 3 points","All","Main scheme applicant","All","10","5"," ","0"
"2019","More than 3 points","All","Main scheme applicant","All","10","10"," ","0"
"2020","More than 3 points","All","Main scheme applicant","All","15","15","0.875","0"
"2021","More than 3 points","All","Main scheme applicant","All","15","15","0.9410000000000001","0"
"2022","More than 3 points","All","Main scheme applicant","All","20","15","0.833","0"
"2023","More than 3 points","All","Main scheme applicant","All","10","10","0.909","0"
"2010","-1 points","All","Main scheme applicant","All","45","25","0.628","0"
"2011","-1 points","All","Main scheme applicant","All","25","15","0.556","0"
"2012","-1 points","All","Main scheme applicant","All","55","35","0.589","0"
"2013","-1 points","All","Main scheme applicant","All","50","40","0.792","0"
"2014","-1 points","All","Main scheme applicant","All","50","35","0.75","0"
"2015","-1 points","All","Main scheme applicant","All","65","35","0.5630000000000001","0"
"2016","-1 points","All","Main scheme applicant","All","45","35","0.8140000000000001","0"
"2017","-1 points","All","Main scheme applicant","All","50","40","0.745","0"
"2018","-1 points","All","Main scheme applicant","All","45","35","0.86","0"
"2019","-1 points","All","Main scheme applicant","All","40","35","0.9","0"
"2020","-1 points","All","Main scheme applicant","All","50","40","0.84","0"
"2021","-1 points","All","Main scheme applicant","All","50","40","0.784","0"
"2022","-1 points","All","Main scheme applicant","All","35","25","0.794","0"
"2023","-1 points","All","Main scheme applicant","All","40","30","0.762","0"
"2010","-2 points","All","Main scheme applicant","All","45","30","0.727","0"
"2011","-2 points","All","Main scheme applicant","All","50","30","0.64","0"
"2012","-2 points","All","Main scheme applicant","All","50","30","0.604","0"
"2013","-2 points","All","Main scheme applicant","All","40","20","0.55","0"
"2014","-2 points","All","Main scheme applicant","All","55","35","0.596","0"
"2015","-2 points","All","Main scheme applicant","All","55","35","0.614","0"
"2016","-2 points","All","Main scheme applicant","All","45","35","0.739","0"
"2017","-2 points","All","Main scheme applicant","All","50","35","0.72","0"
"2018","-2 points","All","Main scheme applicant","All","35","25","0.75","0"
"2019","-2 points","All","Main scheme applicant","All","45","30","0.682","0"
"2020","-2 points","All","Main scheme applicant","All","45","35","0.773","0"
"2021","-2 points","All","Main scheme applicant","All","35","30","0.833","0"
"2022","-2 points","All","Main scheme applicant","All","35","30","0.882","0"
"2023","-2 points","All","Main scheme applicant","All","45","35","0.791","0"
"2010","-3 points","All","Main scheme applicant","All","30","20","0.656","0"
"2011","-3 points","All","Main scheme applicant","All","30","15","0.5710000000000001","0"
"2012","-3 points","All","Main scheme applicant","All","45","25","0.581","0"
"2013","-3 points","All","Main scheme applicant","All","45","25","0.522","0"
"2014","-3 points","All","Main scheme applicant","All","65","30","0.444","0"
"2015","-3 points","All","Main scheme applicant","All","45","25","0.511","0"
"2016","-3 points","All","Main scheme applicant","All","45","30","0.622","0"
"2017","-3 points","All","Main scheme applicant","All","35","25","0.622","0"
"2018","-3 points","All","Main scheme applicant","All","40","30","0.6900000000000001","0"
"2019","-3 points","All","Main scheme applicant","All","40","25","0.5750000000000001","0"
"2020","-3 points","All","Main scheme applicant","All","30","15","0.433","0"
"2021","-3 points","All","Main scheme applicant","All","25","15","0.667","0"
"2022","-3 points","All","Main scheme applicant","All","25","15","0.593","0"
"2023","-3 points","All","Main scheme applicant","All","30","25","0.867","0"
"2010","-4 points","All","Main scheme applicant","All","20","15","0.591","0"
"2011","-4 points","All","Main scheme applicant","All","25","10"," ","0"
"2012","-4 points","All","Main scheme applicant","All","50","20","0.38","0"
"2013","-4 points","All","Main scheme applicant","All","20","10","0.545","0"
"2014","-4 points","All","Main scheme applicant","All","45","20","0.435","0"
"2015","-4 points","All","Main scheme applicant","All","50","20","0.38","0"
"2016","-4 points","All","Main scheme applicant","All","50","20","0.396","0"
"2017","-4 points","All","Main scheme applicant","All","35","20","0.629","0"
"2018","-4 points","All","Main scheme applicant","All","40","25","0.585","0"
"2019","-4 points","All","Main scheme applicant","All","45","25","0.578","0"
"2020","-4 points","All","Main scheme applicant","All","25","20","0.741","0"
"2021","-4 points","All","Main scheme applicant","All","15","10","0.846","0"
"2022","-4 points","All","Main scheme applicant","All","15","10","0.769","0"
"2023","-4 points","All","Main scheme applicant","All","20","15","0.667","0"
"2010","-5 points","All","Main scheme applicant","All","30","15","0.552","0"
"2011","-5 points","All","Main scheme applicant","All","25","10","0.44","0"
"2012","-5 points","All","Main scheme applicant","All","40","15","0.436","0"
"2013","-5 points","All","Main scheme applicant","All","30","10","0.355","0"
"2014","-5 points","All","Main scheme applicant","All","25","10"," ","0"
"2015","-5 points","All","Main scheme applicant","All","30","15","0.419","0"
"2016","-5 points","All","Main scheme applicant","All","30","10"," ","0"
"2017","-5 points","All","Main scheme applicant","All","25","15","0.5650000000000001","0"
"2018","-5 points","All","Main scheme applicant","All","45","25","0.591","0"
"2019","-5 points","All","Main scheme applicant","All","25","10","0.48","0"
"2020","-5 points","All","Main scheme applicant","All","15","10"," ","0"
"2021","-5 points","All","Main scheme applicant","All","10","5"," ","0"
"2022","-5 points","All","Main scheme applicant","All","10","10"," ","0"
"2023","-5 points","All","Main scheme applicant","All","20","10","0.556","0"
"2010","-6 points","All","Main scheme applicant","All","20","10"," ","0"
"2011","-6 points","All","Main scheme applicant","All","15","5"," ","0"
"2012","-6 points","All","Main scheme applicant","All","25","5"," ","0"
"2013","-6 points","All","Main scheme applicant","All","20","5"," ","0"
"2014","-6 points","All","Main scheme applicant","All","20","5"," ","0"
"2015","-6 points","All","Main scheme applicant","All","25","5"," ","0"
"2016","-6 points","All","Main scheme applicant","All","30","10"," ","0"
"2017","-6 points","All","Main scheme applicant","All","25","10","0.385","0"
"2018","-6 points","All","Main scheme applicant","All","25","10","0.47800000000000004","0"
"2019","-6 points","All","Main scheme applicant","All","30","10","0.41400000000000003","0"
"2020","-6 points","All","Main scheme applicant","All","10","5"," ","0"
"2021","-6 points","All","Main scheme applicant","All","10","5"," ","0"
"2022","-6 points","All","Main scheme applicant","All","15","5"," ","0"
"2023","-6 points","All","Main scheme applicant","All","15","10","0.6880000000000001","0"
"2010","Less than -6 points","All","Main scheme applicant","All","40","10"," ","0"
"2011","Less than -6 points","All","Main scheme applicant","All","40","10"," ","0"
"2012","Less than -6 points","All","Main scheme applicant","All","65","5"," ","0"
"2013","Less than -6 points","All","Main scheme applicant","All","50","5"," ","0"
"2014","Less than -6 points","All","Main scheme applicant","All","65","10"," ","0"
"2015","Less than -6 points","All","Main scheme applicant","All","80","10","0.148","0"
"2016","Less than -6 points","All","Main scheme applicant","All","55","10"," ","0"
"2017","Less than -6 points","All","Main scheme applicant","All","55","10","0.182","0"
"2018","Less than -6 points","All","Main scheme applicant","All","65","25","0.403","0"
"2019","Less than -6 points","All","Main scheme applicant","All","50","10","0.231","0"
"2020","Less than -6 points","All","Main scheme applicant","All","15","5"," ","0"
"2021","Less than -6 points","All","Main scheme applicant","All","40","15","0.41000000000000003","0"
"2022","Less than -6 points","All","Main scheme applicant","All","45","15","0.356","0"
"2023","Less than -6 points","All","Main scheme applicant","All","60","20","0.317","0"
"2010","All","All","Main scheme applicant","All","360","235","0.649","0"
"2011","All","All","Main scheme applicant","All","345","190","0.557","0"
"2012","All","All","Main scheme applicant","All","470","245","0.523","0"
"2013","All","All","Main scheme applicant","All","400","230","0.578","0"
"2014","All","All","Main scheme applicant","All","480","265","0.551","0"
"2015","All","All","Main scheme applicant","All","510","265","0.524","0"
"2016","All","All","Main scheme applicant","All","425","245","0.583","0"
"2017","All","All","Main scheme applicant","All","395","250","0.635","0"
"2018","All","All","Main scheme applicant","All","420","275","0.652","0"
"2019","All","All","Main scheme applicant","All","365","235","0.639","0"
"2020","All","All","Main scheme applicant","All","395","310","0.782","0"
"2021","All","All","Main scheme applicant","All","400","310","0.775","0"
"2022","All","All","Main scheme applicant","All","290","200","0.685","0"
"2023","All","All","Main scheme applicant","All","350","240","0.6880000000000001","0"
"2010","0 points","White","All","All","35","30","0.861","0"
"2011","0 points","White","All","All","25","15","0.615","0"
"2012","0 points","White","All","All","35","30","0.8","0"
"2013","0 points","White","All","All","45","35","0.767","0"
"2014","0 points","White","All","All","45","30","0.6980000000000001","0"
"2015","0 points","White","All","All","50","35","0.667","0"
"2016","0 points","White","All","All","45","35","0.756","0"
"2017","0 points","White","All","All","35","30","0.865","0"
"2018","0 points","White","All","All","45","30","0.659","0"
"2019","0 points","White","All","All","30","30","0.967","0"
"2020","0 points","White","All","All","75","60","0.8130000000000001","0"
"2021","0 points","White","All","All","65","60","0.906","0"
"2022","0 points","White","All","All","35","25","0.722","0"
"2023","0 points","White","All","All","40","35","0.8290000000000001","0"
"2010","1 points","White","All","All","30","20","0.786","0"
"2011","1 points","White","All","All","30","20","0.613","0"
"2012","1 points","White","All","All","40","30","0.714","0"
"2013","1 points","White","All","All","25","20","0.667","0"
"2014","1 points","White","All","All","40","35","0.8250000000000001","0"
"2015","1 points","White","All","All","35","30","0.865","0"
"2016","1 points","White","All","All","25","20","0.913","0"
"2017","1 points","White","All","All","30","25","0.8210000000000001","0"
"2018","1 points","White","All","All","25","25","0.885","0"
"2019","1 points","White","All","All","15","10","0.857","0"
"2020","1 points","White","All","All","35","30","0.882","0"
"2021","1 points","White","All","All","35","30","0.811","0"
"2022","1 points","White","All","All","15","10"," ","0"
"2023","1 points","White","All","All","25","20","0.72","0"
"2010","2 points","White","All","All","20","15","0.778","0"
"2011","2 points","White","All","All","25","20","0.783","0"
"2012","2 points","White","All","All","20","15","0.75","0"
"2013","2 points","White","All","All","30","25","0.857","0"
"2014","2 points","White","All","All","25","20","0.87","0"
"2015","2 points","White","All","All","20","20","0.8180000000000001","0"
"2016","2 points","White","All","All","20","20","0.8180000000000001","0"
"2017","2 points","White","All","All","25","20","0.84","0"
"2018","2 points","White","All","All","20","15","0.591","0"
"2019","2 points","White","All","All","15","10","0.75","0"
"2020","2 points","White","All","All","25","25","0.962","0"
"2021","2 points","White","All","All","30","25","0.929","0"
"2022","2 points","White","All","All","10","5"," ","0"
"2023","2 points","White","All","All","10","10"," ","0"
"2010","3 points","White","All","All","15","15","0.882","0"
"2011","3 points","White","All","All","15","15","0.8130000000000001","0"
"2012","3 points","White","All","All","10","10","1","0"
"2013","3 points","White","All","All","15","15","0.867","0"
"2014","3 points","White","All","All","10","5"," ","0"
"2015","3 points","White","All","All","10","10","1","0"
"2016","3 points","White","All","All","10","10"," ","0"
"2017","3 points","White","All","All","5","5"," ","0"
"2018","3 points","White","All","All","10","5"," ","0"
"2019","3 points","White","All","All","5","5"," ","0"
"2020","3 points","White","All","All","15","10","0.846","0"
"2021","3 points","White","All","All","20","20","0.9520000000000001","0"
"2022","3 points","White","All","All","5","0"," ","0"
"2023","3 points","White","All","All","5","0"," ","0"
"2010","More than 3 points","White","All","All","15","15","0.929","0"
"2011","More than 3 points","White","All","All","10","10"," ","0"
"2012","More than 3 points","White","All","All","15","10","0.857","0"
"2013","More than 3 points","White","All","All","10","10","0.917","0"
"2014","More than 3 points","White","All","All","15","10","0.857","0"
"2015","More than 3 points","White","All","All","10","5"," ","0"
"2016","More than 3 points","White","All","All","10","10"," ","0"
"2017","More than 3 points","White","All","All","10","5"," ","0"
"2018","More than 3 points","White","All","All","5","5"," ","0"
"2019","More than 3 points","White","All","All","5","5"," ","0"
"2020","More than 3 points","White","All","All","10","10"," ","0"
"2021","More than 3 points","White","All","All","10","10","0.909","0"
"2022","More than 3 points","White","All","All","10","5"," ","0"
"2023","More than 3 points","White","All","All","10","10","1","0"
"2010","-1 points","White","All","All","40","25","0.632","0"
"2011","-1 points","White","All","All","25","15","0.542","0"
"2012","-1 points","White","All","All","50","25","0.5630000000000001","0"
"2013","-1 points","White","All","All","45","35","0.773","0"
"2014","-1 points","White","All","All","45","30","0.727","0"
"2015","-1 points","White","All","All","60","35","0.5690000000000001","0"
"2016","-1 points","White","All","All","35","30","0.811","0"
"2017","-1 points","White","All","All","45","35","0.733","0"
"2018","-1 points","White","All","All","35","30","0.848","0"
"2019","-1 points","White","All","All","30","30","0.875","0"
"2020","-1 points","White","All","All","35","30","0.886","0"
"2021","-1 points","White","All","All","45","30","0.744","0"
"2022","-1 points","White","All","All","25","20","0.769","0"
"2023","-1 points","White","All","All","30","20","0.71","0"
"2010","-2 points","White","All","All","40","30","0.737","0"
"2011","-2 points","White","All","All","40","25","0.643","0"
"2012","-2 points","White","All","All","35","20","0.541","0"
"2013","-2 points","White","All","All","35","20","0.588","0"
"2014","-2 points","White","All","All","45","25","0.6","0"
"2015","-2 points","White","All","All","45","25","0.5740000000000001","0"
"2016","-2 points","White","All","All","40","30","0.718","0"
"2017","-2 points","White","All","All","45","30","0.6890000000000001","0"
"2018","-2 points","White","All","All","30","20","0.724","0"
"2019","-2 points","White","All","All","40","25","0.658","0"
"2020","-2 points","White","All","All","30","25","0.8","0"
"2021","-2 points","White","All","All","25","20","0.808","0"
"2022","-2 points","White","All","All","25","25","0.9580000000000001","0"
"2023","-2 points","White","All","All","30","25","0.8210000000000001","0"
"2010","-3 points","White","All","All","25","15","0.593","0"
"2011","-3 points","White","All","All","25","15","0.615","0"
"2012","-3 points","White","All","All","35","25","0.622","0"
"2013","-3 points","White","All","All","40","20","0.487","0"
"2014","-3 points","White","All","All","60","25","0.448","0"
"2015","-3 points","White","All","All","35","20","0.5","0"
"2016","-3 points","White","All","All","35","20","0.647","0"
"2017","-3 points","White","All","All","30","20","0.613","0"
"2018","-3 points","White","All","All","30","20","0.6880000000000001","0"
"2019","-3 points","White","All","All","35","20","0.583","0"
"2020","-3 points","White","All","All","20","10","0.47600000000000003","0"
"2021","-3 points","White","All","All","15","10","0.588","0"
"2022","-3 points","White","All","All","20","15","0.619","0"
"2023","-3 points","White","All","All","20","15","0.833","0"
"2010","-4 points","White","All","All","20","10","0.55","0"
"2011","-4 points","White","All","All","20","10"," ","0"
"2012","-4 points","White","All","All","45","15","0.356","0"
"2013","-4 points","White","All","All","15","10","0.588","0"
"2014","-4 points","White","All","All","40","20","0.439","0"
"2015","-4 points","White","All","All","40","15","0.359","0"
"2016","-4 points","White","All","All","35","15","0.35100000000000003","0"
"2017","-4 points","White","All","All","30","20","0.625","0"
"2018","-4 points","White","All","All","35","20","0.529","0"
"2019","-4 points","White","All","All","35","20","0.559","0"
"2020","-4 points","White","All","All","20","15","0.75","0"
"2021","-4 points","White","All","All","10","10"," ","0"
"2022","-4 points","White","All","All","10","5"," ","0"
"2023","-4 points","White","All","All","15","5"," ","0"
"2010","-5 points","White","All","All","25","15","0.52","0"
"2011","-5 points","White","All","All","20","10"," ","0"
"2012","-5 points","White","All","All","35","15","0.417","0"
"2013","-5 points","White","All","All","25","10"," ","0"
"2014","-5 points","White","All","All","20","5"," ","0"
"2015","-5 points","White","All","All","25","10"," ","0"
"2016","-5 points","White","All","All","25","5"," ","0"
"2017","-5 points","White","All","All","20","10","0.5","0"
"2018","-5 points","White","All","All","30","15","0.586","0"
"2019","-5 points","White","All","All","20","10"," ","0"
"2020","-5 points","White","All","All","10","5"," ","0"
"2021","-5 points","White","All","All","10","5"," ","0"
"2022","-5 points","White","All","All","5","5"," ","0"
"2023","-5 points","White","All","All","10","5"," ","0"
"2010","-6 points","White","All","All","20","5"," ","0"
"2011","-6 points","White","All","All","15","5"," ","0"
"2012","-6 points","White","All","All","25","5"," ","0"
"2013","-6 points","White","All","All","15","5"," ","0"
"2014","-6 points","White","All","All","15","0"," ","0"
"2015","-6 points","White","All","All","20","5"," ","0"
"2016","-6 points","White","All","All","25","10"," ","0"
"2017","-6 points","White","All","All","25","10"," ","0"
"2018","-6 points","White","All","All","20","10"," ","0"
"2019","-6 points","White","All","All","20","10"," ","0"
"2020","-6 points","White","All","All","5","0"," ","0"
"2021","-6 points","White","All","All","10","5"," ","0"
"2022","-6 points","White","All","All","10","5"," ","0"
"2023","-6 points","White","All","All","5","5"," ","0"
"2010","Less than -6 points","White","All","All","40","10"," ","0"
"2011","Less than -6 points","White","All","All","40","10"," ","0"
"2012","Less than -6 points","White","All","All","55","5"," ","0"
"2013","Less than -6 points","White","All","All","45","5"," ","0"
"2014","Less than -6 points","White","All","All","60","10"," ","0"
"2015","Less than -6 points","White","All","All","65","10"," ","0"
"2016","Less than -6 points","White","All","All","40","5"," ","0"
"2017","Less than -6 points","White","All","All","40","5"," ","0"
"2018","Less than -6 points","White","All","All","50","15","0.333","0"
"2019","Less than -6 points","White","All","All","40","10","0.23800000000000002","0"
"2020","Less than -6 points","White","All","All","10","5"," ","0"
"2021","Less than -6 points","White","All","All","30","15","0.5","0"
"2022","Less than -6 points","White","All","All","30","10","0.367","0"
"2023","Less than -6 points","White","All","All","35","10","0.324","0"
"2020","0 points","Black","All","All","5","5"," ","0"
"2021","0 points","Black","All","All","5","5"," ","0"
"2022","0 points","Black","All","All","5","5"," ","0"
"2021","2 points","Black","All","All","5","5"," ","0"
"2021","More than 3 points","Black","All","All","5","5"," ","0"
"2019","-1 points","Black","All","All","5","5"," ","0"
"2022","-1 points","Black","All","All","5","5"," ","0"
"2016","-2 points","Black","All","All","5","0"," ","0"
"2023","-2 points","Black","All","All","5","0"," ","0"
"2012","-3 points","Black","All","All","5","0"," ","0"
"2018","-3 points","Black","All","All","5","0"," ","0"
"2022","-4 points","Black","All","All","5","5"," ","0"
"2018","-5 points","Black","All","All","5","0"," ","0"
"2019","-6 points","Black","All","All","5","0"," ","0"
"2015","Less than -6 points","Black","All","All","5","0"," ","0"
"2017","Less than -6 points","Black","All","All","5","0"," ","0"
"2022","Less than -6 points","Black","All","All","5","5"," ","0"
"2023","Less than -6 points","Black","All","All","10","5"," ","0"
"2010","0 points","Asian","All","All","5","0"," ","0"
"2011","0 points","Asian","All","All","5","5"," ","0"
"2012","0 points","Asian","All","All","5","0"," ","0"
"2013","0 points","Asian","All","All","5","5"," ","0"
"2014","0 points","Asian","All","All","5","5"," ","0"
"2015","0 points","Asian","All","All","10","5"," ","0"
"2016","0 points","Asian","All","All","5","5"," ","0"
"2017","0 points","Asian","All","All","5","5"," ","0"
"2018","0 points","Asian","All","All","10","10"," ","0"
"2020","0 points","Asian","All","All","10","10"," ","0"
"2021","0 points","Asian","All","All","5","5"," ","0"
"2022","0 points","Asian","All","All","10","10"," ","0"
"2023","0 points","Asian","All","All","5","5"," ","0"
"2011","1 points","Asian","All","All","5","5"," ","0"
"2014","1 points","Asian","All","All","5","5"," ","0"
"2015","1 points","Asian","All","All","5","5"," ","0"
"2017","1 points","Asian","All","All","5","5"," ","0"
"2018","1 points","Asian","All","All","5","5"," ","0"
"2020","1 points","Asian","All","All","5","5"," ","0"
"2021","1 points","Asian","All","All","5","5"," ","0"
"2022","1 points","Asian","All","All","5","5"," ","0"
"2023","1 points","Asian","All","All","10","10"," ","0"
"2010","2 points","Asian","All","All","5","5"," ","0"
"2013","2 points","Asian","All","All","5","5"," ","0"
"2014","2 points","Asian","All","All","5","5"," ","0"
"2015","2 points","Asian","All","All","5","5"," ","0"
"2019","2 points","Asian","All","All","5","5"," ","0"
"2020","2 points","Asian","All","All","5","5"," ","0"
"2021","2 points","Asian","All","All","5","0"," ","0"
"2012","3 points","Asian","All","All","5","0"," ","0"
"2020","3 points","Asian","All","All","5","5"," ","0"
"2021","3 points","Asian","All","All","5","0"," ","0"
"2022","3 points","Asian","All","All","5","5"," ","0"
"2015","More than 3 points","Asian","All","All","5","5"," ","0"
"2020","More than 3 points","Asian","All","All","5","5"," ","0"
"2022","More than 3 points","Asian","All","All","5","5"," ","0"
"2012","-1 points","Asian","All","All","5","5"," ","0"
"2013","-1 points","Asian","All","All","5","5"," ","0"
"2014","-1 points","Asian","All","All","5","5"," ","0"
"2015","-1 points","Asian","All","All","5","0"," ","0"
"2016","-1 points","Asian","All","All","5","5"," ","0"
"2017","-1 points","Asian","All","All","5","5"," ","0"
"2018","-1 points","Asian","All","All","5","5"," ","0"
"2019","-1 points","Asian","All","All","5","5"," ","0"
"2020","-1 points","Asian","All","All","5","5"," ","0"
"2021","-1 points","Asian","All","All","5","5"," ","0"
"2022","-1 points","Asian","All","All","5","5"," ","0"
"2023","-1 points","Asian","All","All","5","5"," ","0"
"2010","-2 points","Asian","All","All","5","0"," ","0"
"2011","-2 points","Asian","All","All","5","5"," ","0"
"2012","-2 points","Asian","All","All","10","10"," ","0"
"2014","-2 points","Asian","All","All","10","5"," ","0"
"2015","-2 points","Asian","All","All","5","5"," ","0"
"2016","-2 points","Asian","All","All","5","5"," ","0"
"2018","-2 points","Asian","All","All","5","5"," ","0"
"2019","-2 points","Asian","All","All","5","0"," ","0"
"2020","-2 points","Asian","All","All","10","5"," ","0"
"2021","-2 points","Asian","All","All","5","5"," ","0"
"2022","-2 points","Asian","All","All","5","5"," ","0"
"2023","-2 points","Asian","All","All","5","5"," ","0"
"2010","-3 points","Asian","All","All","5","5"," ","0"
"2013","-3 points","Asian","All","All","5","5"," ","0"
"2015","-3 points","Asian","All","All","5","0"," ","0"
"2016","-3 points","Asian","All","All","5","5"," ","0"
"2017","-3 points","Asian","All","All","5","0"," ","0"
"2018","-3 points","Asian","All","All","5","5"," ","0"
"2019","-3 points","Asian","All","All","5","0"," ","0"
"2020","-3 points","Asian","All","All","5","0"," ","0"
"2021","-3 points","Asian","All","All","5","0"," ","0"
"2022","-3 points","Asian","All","All","5","0"," ","0"
"2023","-3 points","Asian","All","All","5","5"," ","0"
"2011","-4 points","Asian","All","All","5","0"," ","0"
"2012","-4 points","Asian","All","All","5","5"," ","0"
"2013","-4 points","Asian","All","All","5","0"," ","0"
"2015","-4 points","Asian","All","All","10","5"," ","0"
"2016","-4 points","Asian","All","All","5","5"," ","0"
"2018","-4 points","Asian","All","All","5","5"," ","0"
"2019","-4 points","Asian","All","All","5","0"," ","0"
"2020","-4 points","Asian","All","All","5","5"," ","0"
"2010","-5 points","Asian","All","All","5","5"," ","0"
"2011","-5 points","Asian","All","All","5","5"," ","0"
"2013","-5 points","Asian","All","All","5","5"," ","0"
"2015","-5 points","Asian","All","All","5","5"," ","0"
"2016","-5 points","Asian","All","All","5","0"," ","0"
"2018","-5 points","Asian","All","All","10","5"," ","0"
"2019","-5 points","Asian","All","All","5","0"," ","0"
"2022","-5 points","Asian","All","All","5","0"," ","0"
"2014","-6 points","Asian","All","All","5","5"," ","0"
"2016","-6 points","Asian","All","All","5","0"," ","0"
"2018","-6 points","Asian","All","All","5","5"," ","0"
"2019","-6 points","Asian","All","All","5","0"," ","0"
"2022","-6 points","Asian","All","All","5","0"," ","0"
"2023","-6 points","Asian","All","All","5","5"," ","0"
"2011","Less than -6 points","Asian","All","All","5","0"," ","0"
"2012","Less than -6 points","Asian","All","All","10","0"," ","0"
"2013","Less than -6 points","Asian","All","All","5","0"," ","0"
"2014","Less than -6 points","Asian","All","All","5","0"," ","0"
"2015","Less than -6 points","Asian","All","All","10","0"," ","0"
"2016","Less than -6 points","Asian","All","All","10","0"," ","0"
"2017","Less than -6 points","Asian","All","All","10","0"," ","0"
"2018","Less than -6 points","Asian","All","All","10","5"," ","0"
"2019","Less than -6 points","Asian","All","All","5","0"," ","0"
"2020","Less than -6 points","Asian","All","All","5","0"," ","0"
"2022","Less than -6 points","Asian","All","All","5","0"," ","0"
"2023","Less than -6 points","Asian","All","All","10","0"," ","0"
"2020","0 points","Mixed","All","All","5","5"," ","0"
"2021","0 points","Mixed","All","All","5","5"," ","0"
"2022","0 points","Mixed","All","All","5","5"," ","0"
"2023","0 points","Mixed","All","All","5","5"," ","0"
"2012","1 points","Mixed","All","All","5","5"," ","0"
"2020","1 points","Mixed","All","All","5","5"," ","0"
"2022","More than 3 points","Mixed","All","All","5","5"," ","0"
"2020","-1 points","Mixed","All","All","5","5"," ","0"
"2022","-2 points","Mixed","All","All","5","0"," ","0"
"2023","-5 points","Mixed","All","All","5","5"," ","0"
"2012","Less than -6 points","Mixed","All","All","5","0"," ","0"
"2015","Less than -6 points","Mixed","All","All","5","0"," ","0"
"2017","Less than -6 points","Mixed","All","All","5","0"," ","0"
"2021","Less than -6 points","Mixed","All","All","5","0"," ","0"
"2023","Less than -6 points","Mixed","All","All","5","0"," ","0"
"2023","0 points","Other","All","All","5","5"," ","0"
"2021","2 points","Other","All","All","5","5"," ","0"
"2020","-1 points","Other","All","All","5","5"," ","0"
"2021","-2 points","Other","All","All","5","0"," ","0"
"2023","-2 points","Other","All","All","5","5"," ","0"
"2015","-3 points","Other","All","All","5","0"," ","0"
"2023","-3 points","Other","All","All","5","0"," ","0"
"2019","-4 points","Other","All","All","5","0"," ","0"
"2018","Less than -6 points","Other","All","All","5","0"," ","0"
"2021","Less than -6 points","Other","All","All","5","0"," ","0"
"2010","All","White","All","All","315","200","0.637","0"
"2011","All","White","All","All","295","160","0.541","0"
"2012","All","White","All","All","400","205","0.516","0"
"2013","All","White","All","All","350","200","0.5750000000000001","0"
"2014","All","White","All","All","410","220","0.536","0"
"2015","All","White","All","All","420","220","0.52","0"
"2016","All","White","All","All","345","205","0.591","0"
"2017","All","White","All","All","340","215","0.639","0"
"2018","All","White","All","All","335","205","0.62","0"
"2019","All","White","All","All","300","190","0.631","0"
"2020","All","White","All","All","290","225","0.779","0"
"2021","All","White","All","All","305","240","0.784","0"
"2022","All","White","All","All","195","130","0.67","0"
"2023","All","White","All","All","235","160","0.6950000000000001","0"
"2010","All","Black","All","All","5","5"," ","0"
"2011","All","Black","All","All","5","0"," ","0"
"2012","All","Black","All","All","5","5"," ","0"
"2014","All","Black","All","All","5","5"," ","0"
"2015","All","Black","All","All","15","5"," ","0"
"2016","All","Black","All","All","10","10"," ","0"
"2017","All","Black","All","All","10","5"," ","0"
