"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","0 points","Mixed","Main scheme applicant","All","325","275","0.84","0"
"2010","1 points","Mixed","Main scheme applicant","All","155","125","0.809","0"
"2011","1 points","Mixed","Main scheme applicant","All","140","115","0.835","0"
"2012","1 points","Mixed","Main scheme applicant","All","145","115","0.793","0"
"2013","1 points","Mixed","Main scheme applicant","All","170","140","0.839","0"
"2014","1 points","Mixed","Main scheme applicant","All","170","135","0.799","0"
"2015","1 points","Mixed","Main scheme applicant","All","200","175","0.881","0"
"2016","1 points","Mixed","Main scheme applicant","All","165","135","0.8190000000000001","0"
"2017","1 points","Mixed","Main scheme applicant","All","180","160","0.883","0"
"2018","1 points","Mixed","Main scheme applicant","All","165","150","0.91","0"
"2019","1 points","Mixed","Main scheme applicant","All","175","145","0.8270000000000001","0"
"2020","1 points","Mixed","Main scheme applicant","All","175","155","0.885","0"
"2021","1 points","Mixed","Main scheme applicant","All","250","210","0.844","0"
"2022","1 points","Mixed","Main scheme applicant","All","245","200","0.8160000000000001","0"
"2023","1 points","Mixed","Main scheme applicant","All","230","190","0.8260000000000001","0"
"2010","2 points","Mixed","Main scheme applicant","All","70","60","0.853","0"
"2011","2 points","Mixed","Main scheme applicant","All","65","55","0.862","0"
"2012","2 points","Mixed","Main scheme applicant","All","80","55","0.709","0"
"2013","2 points","Mixed","Main scheme applicant","All","105","80","0.766","0"
"2014","2 points","Mixed","Main scheme applicant","All","105","95","0.877","0"
"2015","2 points","Mixed","Main scheme applicant","All","100","85","0.833","0"
"2016","2 points","Mixed","Main scheme applicant","All","100","90","0.88","0"
"2017","2 points","Mixed","Main scheme applicant","All","90","75","0.8200000000000001","0"
"2018","2 points","Mixed","Main scheme applicant","All","95","85","0.865","0"
"2019","2 points","Mixed","Main scheme applicant","All","65","55","0.891","0"
"2020","2 points","Mixed","Main scheme applicant","All","100","85","0.851","0"
"2021","2 points","Mixed","Main scheme applicant","All","125","105","0.862","0"
"2022","2 points","Mixed","Main scheme applicant","All","115","95","0.8280000000000001","0"
"2023","2 points","Mixed","Main scheme applicant","All","110","90","0.8260000000000001","0"
"2010","3 points","Mixed","Main scheme applicant","All","15","10","0.846","0"
"2011","3 points","Mixed","Main scheme applicant","All","10","10","0.917","0"
"2012","3 points","Mixed","Main scheme applicant","All","95","80","0.835","0"
"2013","3 points","Mixed","Main scheme applicant","All","75","60","0.784","0"
"2014","3 points","Mixed","Main scheme applicant","All","80","70","0.861","0"
"2015","3 points","Mixed","Main scheme applicant","All","75","55","0.737","0"
"2016","3 points","Mixed","Main scheme applicant","All","55","45","0.8150000000000001","0"
"2017","3 points","Mixed","Main scheme applicant","All","55","50","0.907","0"
"2018","3 points","Mixed","Main scheme applicant","All","30","20","0.621","0"
"2019","3 points","Mixed","Main scheme applicant","All","20","15","0.895","0"
