"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","-3 points","White","All","Not main scheme application","55","50","0.857","0"
"2013","-3 points","White","All","Not main scheme application","60","45","0.717","0"
"2014","-3 points","White","All","Not main scheme application","85","65","0.783","5"
"2015","-3 points","White","All","Not main scheme application","80","70","0.84","0"
"2016","-3 points","White","All","Not main scheme application","70","55","0.786","0"
"2017","-3 points","White","All","Not main scheme application","50","45","0.8270000000000001","0"
"2018","-3 points","White","All","Not main scheme application","50","45","0.878","0"
"2019","-3 points","White","All","Not main scheme application","40","35","0.8250000000000001","0"
"2020","-3 points","White","All","Not main scheme application","40","30","0.8","0"
"2021","-3 points","White","All","Not main scheme application","50","40","0.792","0"
"2022","-3 points","White","All","Not main scheme application","75","65","0.8180000000000001","0"
"2023","-3 points","White","All","Not main scheme application","45","40","0.872","0"
"2010","-4 points","White","All","Not main scheme application","25","20","0.76","0"
"2011","-4 points","White","All","Not main scheme application","25","15","0.708","0"
"2012","-4 points","White","All","Not main scheme application","40","30","0.763","0"
"2013","-4 points","White","All","Not main scheme application","40","35","0.81","0"
"2014","-4 points","White","All","Not main scheme application","60","45","0.793","0"
"2015","-4 points","White","All","Not main scheme application","60","45","0.758","0"
"2016","-4 points","White","All","Not main scheme application","45","35","0.8220000000000001","0"
"2017","-4 points","White","All","Not main scheme application","35","35","0.892","0"
"2018","-4 points","White","All","Not main scheme application","25","25","0.852","0"
"2019","-4 points","White","All","Not main scheme application","30","25","0.929","0"
"2020","-4 points","White","All","Not main scheme application","35","30","0.833","0"
"2021","-4 points","White","All","Not main scheme application","45","45","0.915","0"
"2022","-4 points","White","All","Not main scheme application","45","35","0.745","0"
"2023","-4 points","White","All","Not main scheme application","30","25","0.8130000000000001","0"
"2010","-5 points","White","All","Not main scheme application","5","5"," ","0"
"2011","-5 points","White","All","Not main scheme application","10","10","1","0"
"2012","-5 points","White","All","Not main scheme application","20","15","0.8","0"
"2013","-5 points","White","All","Not main scheme application","20","20","0.905","0"
"2014","-5 points","White","All","Not main scheme application","30","25","0.781","0"
"2015","-5 points","White","All","Not main scheme application","40","30","0.737","5"
"2016","-5 points","White","All","Not main scheme application","20","15","0.727","0"
"2017","-5 points","White","All","Not main scheme application","20","15","0.75","0"
"2018","-5 points","White","All","Not main scheme application","20","20","0.905","0"
"2019","-5 points","White","All","Not main scheme application","15","10"," ","0"
"2020","-5 points","White","All","Not main scheme application","10","10","1","5"
"2021","-5 points","White","All","Not main scheme application","20","15","0.789","5"
"2022","-5 points","White","All","Not main scheme application","25","20","0.72","0"
"2023","-5 points","White","All","Not main scheme application","20","15","0.842","0"
"2010","-6 points","White","All","Not main scheme application","5","0"," ","0"
"2011","-6 points","White","All","Not main scheme application","10","10","0.833","0"
"2012","-6 points","White","All","Not main scheme application","15","10","0.75","0"
"2013","-6 points","White","All","Not main scheme application","15","15","0.882","0"
"2014","-6 points","White","All","Not main scheme application","30","25","0.793","0"
"2015","-6 points","White","All","Not main scheme application","15","10","0.75","0"
"2016","-6 points","White","All","Not main scheme application","20","15","0.737","0"
"2017","-6 points","White","All","Not main scheme application","20","15","0.778","0"
"2018","-6 points","White","All","Not main scheme application","10","10","0.917","0"
"2019","-6 points","White","All","Not main scheme application","15","10","0.923","0"
"2020","-6 points","White","All","Not main scheme application","10","10","0.833","0"
"2021","-6 points","White","All","Not main scheme application","15","15","1","0"
"2022","-6 points","White","All","Not main scheme application","15","15","0.933","0"
"2023","-6 points","White","All","Not main scheme application","10","10"," ","0"
"2010","Less than -6 points","White","All","Not main scheme application","10","10"," ","0"
"2011","Less than -6 points","White","All","Not main scheme application","15","15","0.9380000000000001","0"
"2012","Less than -6 points","White","All","Not main scheme application","25","25","0.885","5"
"2013","Less than -6 points","White","All","Not main scheme application","20","20","0.857","0"
"2014","Less than -6 points","White","All","Not main scheme application","45","30","0.6960000000000001","5"
"2015","Less than -6 points","White","All","Not main scheme application","50","40","0.788","5"
"2016","Less than -6 points","White","All","Not main scheme application","40","35","0.833","0"
"2017","Less than -6 points","White","All","Not main scheme application","45","40","0.848","0"
"2018","Less than -6 points","White","All","Not main scheme application","40","35","0.925","5"
"2019","Less than -6 points","White","All","Not main scheme application","40","35","0.897","5"
"2020","Less than -6 points","White","All","Not main scheme application","45","40","0.911","10"
"2021","Less than -6 points","White","All","Not main scheme application","35","35","0.917","5"
"2022","Less than -6 points","White","All","Not main scheme application","35","25","0.735","0"
"2023","Less than -6 points","White","All","Not main scheme application","15","15","1","5"
"2010","0 points","Black","All","Not main scheme application","45","40","0.8300000000000001","0"
"2011","0 points","Black","All","Not main scheme application","90","65","0.7000000000000001","0"
"2012","0 points","Black","All","Not main scheme application","55","45","0.887","0"
"2013","0 points","Black","All","Not main scheme application","65","60","0.892","0"
"2014","0 points","Black","All","Not main scheme application","85","70","0.8140000000000001","0"
"2015","0 points","Black","All","Not main scheme application","130","120","0.923","0"
"2016","0 points","Black","All","Not main scheme application","115","100","0.878","0"
"2017","0 points","Black","All","Not main scheme application","90","85","0.9440000000000001","0"
"2018","0 points","Black","All","Not main scheme application","70","65","0.914","0"
"2019","0 points","Black","All","Not main scheme application","85","75","0.894","0"
"2020","0 points","Black","All","Not main scheme application","85","80","0.919","0"
"2021","0 points","Black","All","Not main scheme application","105","95","0.906","0"
"2022","0 points","Black","All","Not main scheme application","130","120","0.922","0"
"2023","0 points","Black","All","Not main scheme application","125","120","0.937","0"
"2010","1 points","Black","All","Not main scheme application","20","15","0.8","0"
"2011","1 points","Black","All","Not main scheme application","45","40","0.8260000000000001","0"
"2012","1 points","Black","All","Not main scheme application","55","45","0.789","0"
"2013","1 points","Black","All","Not main scheme application","45","35","0.86","0"
"2014","1 points","Black","All","Not main scheme application","45","40","0.8260000000000001","0"
"2015","1 points","Black","All","Not main scheme application","70","65","0.889","0"
"2016","1 points","Black","All","Not main scheme application","80","70","0.897","0"
"2017","1 points","Black","All","Not main scheme application","70","65","0.917","0"
"2018","1 points","Black","All","Not main scheme application","65","55","0.905","0"
"2019","1 points","Black","All","Not main scheme application","65","65","0.985","0"
"2020","1 points","Black","All","Not main scheme application","55","45","0.855","0"
"2021","1 points","Black","All","Not main scheme application","80","70","0.899","0"
"2022","1 points","Black","All","Not main scheme application","85","75","0.894","0"
"2023","1 points","Black","All","Not main scheme application","70","65","0.928","0"
"2010","2 points","Black","All","Not main scheme application","5","5"," ","0"
"2011","2 points","Black","All","Not main scheme application","20","15","0.8","0"
"2012","2 points","Black","All","Not main scheme application","30","25","0.8210000000000001","0"
"2013","2 points","Black","All","Not main scheme application","40","30","0.789","0"
"2014","2 points","Black","All","Not main scheme application","40","30","0.842","0"
"2015","2 points","Black","All","Not main scheme application","40","35","0.902","0"
"2016","2 points","Black","All","Not main scheme application","40","35","0.786","0"
"2017","2 points","Black","All","Not main scheme application","35","30","0.889","0"
"2018","2 points","Black","All","Not main scheme application","30","25","0.931","0"
"2019","2 points","Black","All","Not main scheme application","15","15","0.9410000000000001","0"
"2020","2 points","Black","All","Not main scheme application","25","25","0.889","0"
"2021","2 points","Black","All","Not main scheme application","40","40","0.927","0"
"2022","2 points","Black","All","Not main scheme application","45","40","0.872","0"
"2023","2 points","Black","All","Not main scheme application","45","40","0.864","0"
"2010","3 points","Black","All","Not main scheme application","5","5"," ","0"
"2011","3 points","Black","All","Not main scheme application","10","5"," ","0"
"2012","3 points","Black","All","Not main scheme application","30","20","0.724","0"
"2013","3 points","Black","All","Not main scheme application","30","25","0.857","0"
"2014","3 points","Black","All","Not main scheme application","20","20","0.857","0"
"2015","3 points","Black","All","Not main scheme application","35","25","0.788","0"
"2016","3 points","Black","All","Not main scheme application","30","20","0.759","0"
"2017","3 points","Black","All","Not main scheme application","20","20","0.9500000000000001","0"
"2018","3 points","Black","All","Not main scheme application","10","10"," ","0"
"2019","3 points","Black","All","Not main scheme application","10","10"," ","0"
"2020","3 points","Black","All","Not main scheme application","15","10","0.857","0"
"2021","3 points","Black","All","Not main scheme application","25","25","1","0"
"2022","3 points","Black","All","Not main scheme application","20","20","1","0"
"2023","3 points","Black","All","Not main scheme application","15","15","1","0"
"2011","More than 3 points","Black","All","Not main scheme application","5","5"," ","0"
"2012","More than 3 points","Black","All","Not main scheme application","10","10","1","0"
"2013","More than 3 points","Black","All","Not main scheme application","15","10","0.786","0"
"2014","More than 3 points","Black","All","Not main scheme application","10","10"," ","0"
"2015","More than 3 points","Black","All","Not main scheme application","15","10","0.923","0"
"2016","More than 3 points","Black","All","Not main scheme application","10","10","0.917","0"
"2017","More than 3 points","Black","All","Not main scheme application","10","5"," ","0"
"2018","More than 3 points","Black","All","Not main scheme application","10","10"," ","0"
"2020","More than 3 points","Black","All","Not main scheme application","5","5"," ","0"
"2021","More than 3 points","Black","All","Not main scheme application","10","10"," ","0"
"2022","More than 3 points","Black","All","Not main scheme application","5","5"," ","0"
"2023","More than 3 points","Black","All","Not main scheme application","5","5"," ","0"
"2010","-1 points","Black","All","Not main scheme application","30","20","0.625","0"
"2011","-1 points","Black","All","Not main scheme application","45","30","0.721","0"
"2012","-1 points","Black","All","Not main scheme application","45","35","0.778","0"
"2013","-1 points","Black","All","Not main scheme application","60","55","0.883","0"
"2014","-1 points","Black","All","Not main scheme application","55","50","0.895","0"
"2015","-1 points","Black","All","Not main scheme application","90","75","0.875","0"
"2016","-1 points","Black","All","Not main scheme application","80","70","0.864","0"
"2017","-1 points","Black","All","Not main scheme application","70","65","0.9430000000000001","0"
"2018","-1 points","Black","All","Not main scheme application","45","45","0.9560000000000001","0"
"2019","-1 points","Black","All","Not main scheme application","80","75","0.914","0"
"2020","-1 points","Black","All","Not main scheme application","75","70","0.895","0"
"2021","-1 points","Black","All","Not main scheme application","85","85","0.9540000000000001","0"
"2022","-1 points","Black","All","Not main scheme application","110","105","0.9380000000000001","0"
"2023","-1 points","Black","All","Not main scheme application","120","110","0.924","0"
"2010","-2 points","Black","All","Not main scheme application","20","10","0.579","0"
"2011","-2 points","Black","All","Not main scheme application","20","15","0.9440000000000001","0"
"2012","-2 points","Black","All","Not main scheme application","20","10","0.611","0"
"2013","-2 points","Black","All","Not main scheme application","35","30","0.848","0"
"2014","-2 points","Black","All","Not main scheme application","45","40","0.889","0"
"2015","-2 points","Black","All","Not main scheme application","50","45","0.86","0"
"2016","-2 points","Black","All","Not main scheme application","40","35","0.8250000000000001","0"
"2017","-2 points","Black","All","Not main scheme application","40","35","0.923","0"
"2018","-2 points","Black","All","Not main scheme application","40","35","0.925","0"
"2019","-2 points","Black","All","Not main scheme application","40","40","0.905","0"
"2020","-2 points","Black","All","Not main scheme application","45","40","0.913","0"
"2021","-2 points","Black","All","Not main scheme application","55","50","0.891","0"
"2022","-2 points","Black","All","Not main scheme application","70","60","0.897","0"
"2023","-2 points","Black","All","Not main scheme application","75","70","0.9470000000000001","0"
"2010","-3 points","Black","All","Not main scheme application","10","5"," ","0"
"2011","-3 points","Black","All","Not main scheme application","15","10","0.714","0"
"2012","-3 points","Black","All","Not main scheme application","20","15","0.789","0"
"2013","-3 points","Black","All","Not main scheme application","20","20","0.8180000000000001","0"
"2014","-3 points","Black","All","Not main scheme application","25","20","0.875","0"
"2015","-3 points","Black","All","Not main scheme application","35","30","0.833","0"
"2016","-3 points","Black","All","Not main scheme application","25","20","0.875","0"
"2017","-3 points","Black","All","Not main scheme application","15","15","0.9410000000000001","0"
"2018","-3 points","Black","All","Not main scheme application","20","15","0.773","0"
"2019","-3 points","Black","All","Not main scheme application","30","25","0.871","0"
"2020","-3 points","Black","All","Not main scheme application","30","30","0.935","0"
"2021","-3 points","Black","All","Not main scheme application","45","45","0.977","0"
"2022","-3 points","Black","All","Not main scheme application","45","35","0.8140000000000001","0"
"2023","-3 points","Black","All","Not main scheme application","45","40","0.872","0"
"2010","-4 points","Black","All","Not main scheme application","5","5"," ","0"
"2011","-4 points","Black","All","Not main scheme application","10","10"," ","0"
"2012","-4 points","Black","All","Not main scheme application","20","15","0.722","0"
"2013","-4 points","Black","All","Not main scheme application","15","15","0.875","0"
"2014","-4 points","Black","All","Not main scheme application","15","10","0.706","0"
"2015","-4 points","Black","All","Not main scheme application","25","20","0.741","0"
"2016","-4 points","Black","All","Not main scheme application","10","10","1","0"
"2017","-4 points","Black","All","Not main scheme application","10","5"," ","0"
"2018","-4 points","Black","All","Not main scheme application","20","20","0.909","0"
"2019","-4 points","Black","All","Not main scheme application","25","20","0.833","0"
"2020","-4 points","Black","All","Not main scheme application","20","20","0.9470000000000001","0"
"2021","-4 points","Black","All","Not main scheme application","25","25","0.9580000000000001","0"
"2022","-4 points","Black","All","Not main scheme application","30","25","0.867","0"
"2023","-4 points","Black","All","Not main scheme application","20","20","0.909","0"
"2010","-5 points","Black","All","Not main scheme application","5","0"," ","0"
"2011","-5 points","Black","All","Not main scheme application","10","5"," ","0"
"2012","-5 points","Black","All","Not main scheme application","5","5"," ","0"
"2013","-5 points","Black","All","Not main scheme application","5","5"," ","0"
"2014","-5 points","Black","All","Not main scheme application","15","10","0.846","0"
"2015","-5 points","Black","All","Not main scheme application","15","10","0.846","0"
"2016","-5 points","Black","All","Not main scheme application","10","10"," ","0"
"2017","-5 points","Black","All","Not main scheme application","10","5"," ","0"
"2018","-5 points","Black","All","Not main scheme application","10","5"," ","0"
"2019","-5 points","Black","All","Not main scheme application","10","10"," ","0"
"2020","-5 points","Black","All","Not main scheme application","15","15","1","0"
"2021","-5 points","Black","All","Not main scheme application","5","5"," ","0"
"2022","-5 points","Black","All","Not main scheme application","10","10","0.833","0"
"2023","-5 points","Black","All","Not main scheme application","30","25","0.767","0"
"2011","-6 points","Black","All","Not main scheme application","5","0"," ","0"
"2012","-6 points","Black","All","Not main scheme application","5","5"," ","0"
"2013","-6 points","Black","All","Not main scheme application","5","5"," ","0"
"2014","-6 points","Black","All","Not main scheme application","10","10"," ","0"
"2015","-6 points","Black","All","Not main scheme application","10","10"," ","0"
"2016","-6 points","Black","All","Not main scheme application","10","5"," ","0"
"2017","-6 points","Black","All","Not main scheme application","5","5"," ","0"
"2018","-6 points","Black","All","Not main scheme application","5","5"," ","0"
"2019","-6 points","Black","All","Not main scheme application","5","5"," ","0"
"2021","-6 points","Black","All","Not main scheme application","10","5"," ","0"
"2022","-6 points","Black","All","Not main scheme application","10","5"," ","0"
"2023","-6 points","Black","All","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","Black","All","Not main scheme application","5","5"," ","0"
"2011","Less than -6 points","Black","All","Not main scheme application","5","5"," ","0"
"2012","Less than -6 points","Black","All","Not main scheme application","5","5"," ","0"
"2013","Less than -6 points","Black","All","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","Black","All","Not main scheme application","10","5"," ","0"
"2015","Less than -6 points","Black","All","Not main scheme application","10","10"," ","0"
"2016","Less than -6 points","Black","All","Not main scheme application","10","10","0.917","0"
"2017","Less than -6 points","Black","All","Not main scheme application","15","10","0.857","0"
"2018","Less than -6 points","Black","All","Not main scheme application","10","10"," ","0"
"2019","Less than -6 points","Black","All","Not main scheme application","10","10","1","0"
"2020","Less than -6 points","Black","All","Not main scheme application","5","5"," ","0"
"2021","Less than -6 points","Black","All","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","Black","All","Not main scheme application","10","5"," ","0"
"2023","Less than -6 points","Black","All","Not main scheme application","10","5"," ","0"
"2010","0 points","Asian","All","Not main scheme application","35","30","0.8","0"
"2011","0 points","Asian","All","Not main scheme application","60","40","0.707","0"
"2012","0 points","Asian","All","Not main scheme application","55","45","0.887","0"
"2013","0 points","Asian","All","Not main scheme application","75","60","0.784","0"
"2014","0 points","Asian","All","Not main scheme application","100","85","0.859","0"
"2015","0 points","Asian","All","Not main scheme application","105","85","0.8270000000000001","0"
"2016","0 points","Asian","All","Not main scheme application","115","100","0.885","0"
"2017","0 points","Asian","All","Not main scheme application","130","120","0.9380000000000001","0"
"2018","0 points","Asian","All","Not main scheme application","135","130","0.9490000000000001","0"
"2019","0 points","Asian","All","Not main scheme application","155","140","0.922","0"
"2020","0 points","Asian","All","Not main scheme application","165","155","0.9390000000000001","0"
"2021","0 points","Asian","All","Not main scheme application","180","160","0.895","0"
"2022","0 points","Asian","All","Not main scheme application","175","155","0.875","0"
"2023","0 points","Asian","All","Not main scheme application","175","160","0.909","0"
"2010","1 points","Asian","All","Not main scheme application","25","20","0.833","0"
"2011","1 points","Asian","All","Not main scheme application","40","30","0.78","0"
"2012","1 points","Asian","All","Not main scheme application","45","35","0.8140000000000001","0"
"2013","1 points","Asian","All","Not main scheme application","50","40","0.796","0"
"2014","1 points","Asian","All","Not main scheme application","55","50","0.857","0"
"2015","1 points","Asian","All","Not main scheme application","55","45","0.849","0"
"2016","1 points","Asian","All","Not main scheme application","90","80","0.868","0"
"2017","1 points","Asian","All","Not main scheme application","90","85","0.9460000000000001","0"
"2018","1 points","Asian","All","Not main scheme application","70","65","0.9420000000000001","0"
"2019","1 points","Asian","All","Not main scheme application","90","85","0.933","0"
"2020","1 points","Asian","All","Not main scheme application","105","100","0.962","0"
"2021","1 points","Asian","All","Not main scheme application","115","95","0.833","0"
"2022","1 points","Asian","All","Not main scheme application","125","110","0.903","0"
"2023","1 points","Asian","All","Not main scheme application","125","115","0.921","0"
"2010","2 points","Asian","All","Not main scheme application","15","10"," ","0"
"2011","2 points","Asian","All","Not main scheme application","20","15","0.773","0"
"2012","2 points","Asian","All","Not main scheme application","25","20","0.8260000000000001","0"
"2013","2 points","Asian","All","Not main scheme application","25","25","1","0"
"2014","2 points","Asian","All","Not main scheme application","30","30","0.875","0"
"2015","2 points","Asian","All","Not main scheme application","50","45","0.863","0"
"2016","2 points","Asian","All","Not main scheme application","60","55","0.887","0"
"2017","2 points","Asian","All","Not main scheme application","55","45","0.868","0"
"2018","2 points","Asian","All","Not main scheme application","55","55","0.93","0"
"2019","2 points","Asian","All","Not main scheme application","55","50","0.889","0"
"2020","2 points","Asian","All","Not main scheme application","70","65","0.9560000000000001","0"
"2021","2 points","Asian","All","Not main scheme application","50","45","0.902","0"
"2022","2 points","Asian","All","Not main scheme application","75","70","0.933","0"
"2023","2 points","Asian","All","Not main scheme application","50","45","0.902","0"
"2011","3 points","Asian","All","Not main scheme application","10","5"," ","0"
"2012","3 points","Asian","All","Not main scheme application","20","15","0.762","0"
"2013","3 points","Asian","All","Not main scheme application","35","30","0.811","0"
"2014","3 points","Asian","All","Not main scheme application","40","35","0.9490000000000001","0"
"2015","3 points","Asian","All","Not main scheme application","45","35","0.837","0"
"2016","3 points","Asian","All","Not main scheme application","40","35","0.9470000000000001","0"
"2017","3 points","Asian","All","Not main scheme application","40","35","0.902","0"
"2018","3 points","Asian","All","Not main scheme application","25","25","0.9580000000000001","0"
"2019","3 points","Asian","All","Not main scheme application","15","10","0.75","0"
"2020","3 points","Asian","All","Not main scheme application","15","15","0.9410000000000001","0"
"2021","3 points","Asian","All","Not main scheme application","35","30","0.912","0"
"2022","3 points","Asian","All","Not main scheme application","30","25","0.857","0"
"2023","3 points","Asian","All","Not main scheme application","20","20","0.909","0"
"2012","More than 3 points","Asian","All","Not main scheme application","10","5"," ","0"
"2013","More than 3 points","Asian","All","Not main scheme application","10","10"," ","0"
"2014","More than 3 points","Asian","All","Not main scheme application","15","15","0.882","0"
"2015","More than 3 points","Asian","All","Not main scheme application","20","20","1","0"
"2016","More than 3 points","Asian","All","Not main scheme application","15","10","0.75","0"
"2017","More than 3 points","Asian","All","Not main scheme application","20","20","0.864","0"
"2018","More than 3 points","Asian","All","Not main scheme application","5","5"," ","0"
"2020","More than 3 points","Asian","All","Not main scheme application","5","5"," ","0"
"2021","More than 3 points","Asian","All","Not main scheme application","10","10"," ","0"
"2022","More than 3 points","Asian","All","Not main scheme application","5","5"," ","0"
"2010","-1 points","Asian","All","Not main scheme application","15","10","0.667","0"
"2011","-1 points","Asian","All","Not main scheme application","30","20","0.724","0"
"2012","-1 points","Asian","All","Not main scheme application","35","30","0.757","0"
"2013","-1 points","Asian","All","Not main scheme application","40","35","0.9","0"
"2014","-1 points","Asian","All","Not main scheme application","50","40","0.8130000000000001","0"
"2015","-1 points","Asian","All","Not main scheme application","75","65","0.87","0"
"2016","-1 points","Asian","All","Not main scheme application","60","55","0.871","0"
"2017","-1 points","Asian","All","Not main scheme application","65","55","0.859","0"
"2018","-1 points","Asian","All","Not main scheme application","70","60","0.857","0"
"2019","-1 points","Asian","All","Not main scheme application","90","85","0.9550000000000001","0"
"2020","-1 points","Asian","All","Not main scheme application","95","85","0.883","0"
"2021","-1 points","Asian","All","Not main scheme application","115","100","0.894","0"
"2022","-1 points","Asian","All","Not main scheme application","140","130","0.928","0"
"2023","-1 points","Asian","All","Not main scheme application","130","115","0.914","0"
"2010","-2 points","Asian","All","Not main scheme application","10","5"," ","0"
"2011","-2 points","Asian","All","Not main scheme application","20","10","0.611","0"
"2012","-2 points","Asian","All","Not main scheme application","25","25","0.92","0"
"2013","-2 points","Asian","All","Not main scheme application","25","20","0.84","0"
"2014","-2 points","Asian","All","Not main scheme application","35","30","0.914","0"
"2015","-2 points","Asian","All","Not main scheme application","50","40","0.837","0"
"2016","-2 points","Asian","All","Not main scheme application","50","45","0.898","0"
"2017","-2 points","Asian","All","Not main scheme application","35","30","0.9390000000000001","0"
"2018","-2 points","Asian","All","Not main scheme application","50","45","0.9","0"
"2019","-2 points","Asian","All","Not main scheme application","60","55","0.915","0"
"2020","-2 points","Asian","All","Not main scheme application","70","60","0.912","0"
"2021","-2 points","Asian","All","Not main scheme application","60","55","0.9","0"
"2022","-2 points","Asian","All","Not main scheme application","60","55","0.883","0"
"2023","-2 points","Asian","All","Not main scheme application","85","75","0.916","0"
"2010","-3 points","Asian","All","Not main scheme application","10","5"," ","0"
"2011","-3 points","Asian","All","Not main scheme application","10","5"," ","0"
"2012","-3 points","Asian","All","Not main scheme application","20","15","0.81","0"
"2013","-3 points","Asian","All","Not main scheme application","30","25","0.964","0"
"2014","-3 points","Asian","All","Not main scheme application","25","20","0.913","0"
"2015","-3 points","Asian","All","Not main scheme application","30","30","0.933","0"
"2016","-3 points","Asian","All","Not main scheme application","20","15","0.737","0"
"2017","-3 points","Asian","All","Not main scheme application","25","20","0.88","0"
"2018","-3 points","Asian","All","Not main scheme application","30","25","0.839","0"
"2019","-3 points","Asian","All","Not main scheme application","30","25","0.9","0"
"2020","-3 points","Asian","All","Not main scheme application","40","35","0.85","0"
"2021","-3 points","Asian","All","Not main scheme application","55","55","0.9470000000000001","0"
"2022","-3 points","Asian","All","Not main scheme application","40","35","0.881","0"
"2023","-3 points","Asian","All","Not main scheme application","40","40","0.905","0"
"2010","-4 points","Asian","All","Not main scheme application","5","5"," ","0"
"2011","-4 points","Asian","All","Not main scheme application","10","10"," ","0"
"2012","-4 points","Asian","All","Not main scheme application","20","15","0.833","0"
"2013","-4 points","Asian","All","Not main scheme application","15","15","1","0"
"2014","-4 points","Asian","All","Not main scheme application","20","15","0.895","0"
"2015","-4 points","Asian","All","Not main scheme application","15","15","0.8240000000000001","0"
"2016","-4 points","Asian","All","Not main scheme application","15","10","0.857","0"
"2017","-4 points","Asian","All","Not main scheme application","15","15","1","0"
"2018","-4 points","Asian","All","Not main scheme application","15","10","0.769","0"
"2019","-4 points","Asian","All","Not main scheme application","15","15","0.765","0"
"2020","-4 points","Asian","All","Not main scheme application","20","20","1","0"
"2021","-4 points","Asian","All","Not main scheme application","20","20","0.9500000000000001","0"
"2022","-4 points","Asian","All","Not main scheme application","20","15","0.762","0"
"2023","-4 points","Asian","All","Not main scheme application","15","10","0.647","0"
"2011","-5 points","Asian","All","Not main scheme application","10","5"," ","0"
"2012","-5 points","Asian","All","Not main scheme application","5","5"," ","0"
"2013","-5 points","Asian","All","Not main scheme application","5","5"," ","0"
"2014","-5 points","Asian","All","Not main scheme application","5","5"," ","0"
"2015","-5 points","Asian","All","Not main scheme application","5","5"," ","0"
"2016","-5 points","Asian","All","Not main scheme application","5","5"," ","0"
"2017","-5 points","Asian","All","Not main scheme application","10","10","1","0"
"2018","-5 points","Asian","All","Not main scheme application","5","5"," ","0"
"2019","-5 points","Asian","All","Not main scheme application","10","10"," ","0"
"2020","-5 points","Asian","All","Not main scheme application","10","10"," ","0"
"2021","-5 points","Asian","All","Not main scheme application","10","5"," ","0"
"2022","-5 points","Asian","All","Not main scheme application","20","15","0.75","0"
"2023","-5 points","Asian","All","Not main scheme application","10","10"," ","0"
"2010","-6 points","Asian","All","Not main scheme application","5","0"," ","0"
"2011","-6 points","Asian","All","Not main scheme application","5","0"," ","0"
"2012","-6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2013","-6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2014","-6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2015","-6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2016","-6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2017","-6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2018","-6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2019","-6 points","Asian","All","Not main scheme application","10","5"," ","0"
"2020","-6 points","Asian","All","Not main scheme application","5","0"," ","0"
"2021","-6 points","Asian","All","Not main scheme application","10","10"," ","0"
"2022","-6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2023","-6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2013","Less than -6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","Asian","All","Not main scheme application","10","10","1","0"
"2016","Less than -6 points","Asian","All","Not main scheme application","15","10","0.706","0"
"2017","Less than -6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2019","Less than -6 points","Asian","All","Not main scheme application","15","15","0.8130000000000001","0"
"2020","Less than -6 points","Asian","All","Not main scheme application","10","10"," ","0"
"2021","Less than -6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","Asian","All","Not main scheme application","10","10","0.917","0"
"2023","Less than -6 points","Asian","All","Not main scheme application","5","5"," ","0"
"2010","0 points","Mixed","All","Not main scheme application","15","10","0.769","0"
"2011","0 points","Mixed","All","Not main scheme application","30","25","0.8130000000000001","0"
"2012","0 points","Mixed","All","Not main scheme application","15","15","0.8240000000000001","0"
"2013","0 points","Mixed","All","Not main scheme application","20","15","0.667","0"
"2014","0 points","Mixed","All","Not main scheme application","20","15","0.85","0"
"2015","0 points","Mixed","All","Not main scheme application","30","20","0.643","0"
"2016","0 points","Mixed","All","Not main scheme application","30","25","0.897","0"
"2017","0 points","Mixed","All","Not main scheme application","25","20","0.792","0"
"2018","0 points","Mixed","All","Not main scheme application","30","25","0.871","0"
"2019","0 points","Mixed","All","Not main scheme application","25","25","0.9580000000000001","0"
"2020","0 points","Mixed","All","Not main scheme application","30","30","0.875","0"
"2021","0 points","Mixed","All","Not main scheme application","35","35","0.919","0"
"2022","0 points","Mixed","All","Not main scheme application","35","35","0.972","0"
"2023","0 points","Mixed","All","Not main scheme application","30","30","0.968","0"
"2010","1 points","Mixed","All","Not main scheme application","15","10","0.667","0"
"2011","1 points","Mixed","All","Not main scheme application","15","10","0.786","0"
"2012","1 points","Mixed","All","Not main scheme application","5","5"," ","0"
"2013","1 points","Mixed","All","Not main scheme application","15","15","0.875","0"
"2014","1 points","Mixed","All","Not main scheme application","15","10","0.846","0"
"2015","1 points","Mixed","All","Not main scheme application","15","15","0.875","0"
"2016","1 points","Mixed","All","Not main scheme application","25","15","0.6960000000000001","0"
