"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","All","21 - 24","Northern Ireland","130","25","0.177"
"2021","All","21 - 24","Northern Ireland","230","35","0.152"
"2022","All","21 - 24","Northern Ireland","180","55","0.306"
"2023","All","21 - 24","Northern Ireland","85","15","0.2"
"2019","All","25 - 29","Northern Ireland","100","20","0.22"
"2020","All","25 - 29","Northern Ireland","65","10","0.154"
"2021","All","25 - 29","Northern Ireland","90","15","0.178"
"2022","All","25 - 29","Northern Ireland","45","15","0.289"
"2023","All","25 - 29","Northern Ireland","50","10","0.2"
"2019","All","30 - 34","Northern Ireland","5","0"," "
"2020","All","30 - 34","Northern Ireland","15","5"," "
"2021","All","30 - 34","Northern Ireland","15","0"," "
"2022","All","30 - 34","Northern Ireland","20","5"," "
"2023","All","30 - 34","Northern Ireland","10","0"," "
"2019","All","35 and over","Northern Ireland","10","0"," "
"2020","All","35 and over","Northern Ireland","5","0"," "
"2021","All","35 and over","Northern Ireland","10","5"," "
"2022","All","35 and over","Northern Ireland","15","5"," "
"2023","All","35 and over","Northern Ireland","10","5"," "
"2020","All","18","England","5","0"," "
"2022","All","18","England","10","0"," "
"2023","All","18","England","5","0"," "
"2022","All","19","England","5","0"," "
"2019","All","21 - 24","England","195","55","0.28200000000000003"
"2020","All","21 - 24","England","125","30","0.248"
"2021","All","21 - 24","England","255","60","0.23900000000000002"
"2022","All","21 - 24","England","335","130","0.388"
"2023","All","21 - 24","England","265","115","0.442"
"2019","All","25 - 29","England","80","20","0.275"
"2020","All","25 - 29","England","90","25","0.256"
"2021","All","25 - 29","England","140","35","0.264"
"2022","All","25 - 29","England","115","20","0.183"
"2023","All","25 - 29","England","70","25","0.386"
"2019","All","30 - 34","England","35","10","0.314"
"2020","All","30 - 34","England","45","20","0.422"
"2021","All","30 - 34","England","55","5"," "
"2022","All","30 - 34","England","50","10","0.2"
"2023","All","30 - 34","England","30","10","0.333"
"2019","All","35 and over","England","45","5"," "
"2020","All","35 and over","England","30","10"," "
"2021","All","35 and over","England","45","20","0.444"
"2022","All","35 and over","England","25","10"," "
"2023","All","35 and over","England","20","15","0.65"
"2019","All","18","Scotland","20","0"," "
"2020","All","18","Scotland","25","0"," "
"2021","All","18","Scotland","20","0"," "
"2022","All","18","Scotland","20","0"," "
"2023","All","18","Scotland","30","0"," "
"2019","All","19","Scotland","10","0"," "
"2020","All","19","Scotland","5","0"," "
"2021","All","19","Scotland","10","0"," "
"2022","All","19","Scotland","15","0"," "
"2023","All","19","Scotland","10","0"," "
"2019","All","20","Scotland","15","0"," "
"2020","All","20","Scotland","15","0"," "
"2021","All","20","Scotland","25","0"," "
"2022","All","20","Scotland","20","0"," "
"2023","All","20","Scotland","15","0"," "
"2019","All","21 - 24","Scotland","5700","1320","0.232"
"2020","All","21 - 24","Scotland","5980","1400","0.234"
"2021","All","21 - 24","Scotland","7875","1615","0.20500000000000002"
"2022","All","21 - 24","Scotland","5800","1505","0.26"
"2023","All","21 - 24","Scotland","4850","1425","0.294"
"2019","All","25 - 29","Scotland","4615","1040","0.225"
"2020","All","25 - 29","Scotland","4540","1075","0.23700000000000002"
"2021","All","25 - 29","Scotland","6010","1215","0.202"
"2022","All","25 - 29","Scotland","4210","1075","0.255"
"2023","All","25 - 29","Scotland","3060","835","0.273"
"2019","All","30 - 34","Scotland","1845","425","0.229"
"2020","All","30 - 34","Scotland","1950","475","0.244"
"2021","All","30 - 34","Scotland","2285","475","0.20700000000000002"
"2022","All","30 - 34","Scotland","1710","455","0.266"
"2023","All","30 - 34","Scotland","1240","350","0.281"
"2019","All","35 and over","Scotland","2945","680","0.23"
"2020","All","35 and over","Scotland","2980","770","0.259"
"2021","All","35 and over","Scotland","3330","690","0.20700000000000002"
"2022","All","35 and over","Scotland","2435","625","0.256"
"2023","All","35 and over","Scotland","1960","595","0.304"
"2020","All","18","Wales","5","0"," "
"2022","All","18","Wales","20","0"," "
"2023","All","18","Wales","5","0"," "
"2023","All","20","Wales","5","0"," "
"2019","All","21 - 24","Wales","5","0"," "
"2020","All","21 - 24","Wales","15","0"," "
"2021","All","21 - 24","Wales","5","0"," "
"2022","All","21 - 24","Wales","1450","755","0.52"
