"Year","Subject group HECoS","Age group","Domicile","Gender","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2022","(CAH06) agriculture, food and related studies","18","All","Female","0","155","55","210"
"2023","(CAH06) agriculture, food and related studies","18","All","Female","0","130","15","145"
"2019","(CAH16) law","18","All","Female","4200","1620","885","6710"
"2020","(CAH16) law","18","All","Female","1980","3325","2365","7670"
"2021","(CAH16) law","18","All","Female","0","1125","150","1275"
"2022","(CAH16) law","18","All","Female","265","1730","525","2520"
"2023","(CAH16) law","18","All","Female","0","1285","300","1585"
"2019","(CAH05) veterinary sciences","18","All","Female","5","0","0","5"
"2020","(CAH05) veterinary sciences","18","All","Female","0","40","5","45"
"2021","(CAH05) veterinary sciences","18","All","Female","0","10","0","10"
"2022","(CAH05) veterinary sciences","18","All","Female","0","10","5","10"
"2023","(CAH05) veterinary sciences","18","All","Female","0","5","10","20"
"2019","(CAH25) design, and creative and performing arts","18","All","Male","2355","2665","795","5815"
"2020","(CAH25) design, and creative and performing arts","18","All","Male","1005","3505","1920","6430"
"2021","(CAH25) design, and creative and performing arts","18","All","Male","0","2725","540","3265"
"2022","(CAH25) design, and creative and performing arts","18","All","Male","155","3775","490","4420"
"2023","(CAH25) design, and creative and performing arts","18","All","Male","0","2365","1180","3545"
"2019","(CAH10) engineering and technology","18","All","Male","2965","850","690","4510"
"2020","(CAH10) engineering and technology","18","All","Male","925","1800","1975","4695"
"2021","(CAH10) engineering and technology","18","All","Male","0","795","55","850"
"2022","(CAH10) engineering and technology","18","All","Male","265","790","240","1295"
"2023","(CAH10) engineering and technology","18","All","Male","0","500","265","760"
"2019","(CAH02) subjects allied to medicine","18","All","Male","795","315","220","1330"
"2020","(CAH02) subjects allied to medicine","18","All","Male","270","600","410","1280"
"2021","(CAH02) subjects allied to medicine","18","All","Male","0","350","35","385"
"2022","(CAH02) subjects allied to medicine","18","All","Male","70","455","155","685"
"2023","(CAH02) subjects allied to medicine","18","All","Male","0","270","115","385"
"2019","(CAH19) language and area studies","18","All","Male","970","185","190","1340"
"2020","(CAH19) language and area studies","18","All","Male","225","500","395","1115"
"2021","(CAH19) language and area studies","18","All","Male","0","185","10","190"
"2022","(CAH19) language and area studies","18","All","Male","20","145","85","250"
"2023","(CAH19) language and area studies","18","All","Male","0","155","60","215"
"2019","(CAH24) media, journalism and communications","18","All","Male","1235","685","380","2300"
"2020","(CAH24) media, journalism and communications","18","All","Male","570","1345","845","2760"
"2021","(CAH24) media, journalism and communications","18","All","Male","0","515","85","600"
"2022","(CAH24) media, journalism and communications","18","All","Male","175","850","120","1140"
"2023","(CAH24) media, journalism and communications","18","All","Male","0","575","165","740"
"2019","(CAH23) combined and general studies","18","All","Male","120","35","10","165"
"2020","(CAH23) combined and general studies","18","All","Male","15","50","55","120"
"2021","(CAH23) combined and general studies","18","All","Male","0","35","5","40"
"2022","(CAH23) combined and general studies","18","All","Male","10","45","10","60"
"2023","(CAH23) combined and general studies","18","All","Male","0","40","5","40"
"2019","(CAH17) business and management","18","All","Male","6500","2565","1815","10885"
"2020","(CAH17) business and management","18","All","Male","3475","5760","5335","14565"
"2021","(CAH17) business and management","18","All","Male","0","1600","340","1940"
"2022","(CAH17) business and management","18","All","Male","320","2885","735","3945"
"2023","(CAH17) business and management","18","All","Male","0","1985","320","2305"
"2019","(CAH15) social sciences","18","All","Male","3455","850","655","4960"
"2020","(CAH15) social sciences","18","All","Male","1465","1720","1490","4675"
"2021","(CAH15) social sciences","18","All","Male","0","670","90","760"
"2022","(CAH15) social sciences","18","All","Male","225","1010","405","1640"
"2023","(CAH15) social sciences","18","All","Male","0","755","325","1080"
"2019","(CAH03) biological and sport sciences","18","All","Male","2485","1935","1200","5615"
"2020","(CAH03) biological and sport sciences","18","All","Male","870","3680","4200","8750"
"2021","(CAH03) biological and sport sciences","18","All","Male","0","1015","415","1430"
"2022","(CAH03) biological and sport sciences","18","All","Male","425","1180","655","2255"
"2023","(CAH03) biological and sport sciences","18","All","Male","0","975","325","1300"
"2019","(CAH13) architecture, building and planning","18","All","Male","1210","560","225","1995"
"2020","(CAH13) architecture, building and planning","18","All","Male","765","820","700","2285"
"2021","(CAH13) architecture, building and planning","18","All","Male","0","545","150","695"
"2022","(CAH13) architecture, building and planning","18","All","Male","55","620","135","810"
"2023","(CAH13) architecture, building and planning","18","All","Male","0","420","120","540"
"2019","(CAH01) medicine and dentistry","18","All","Male","30","5","5","40"
"2020","(CAH01) medicine and dentistry","18","All","Male","0","20","40","60"
"2021","(CAH01) medicine and dentistry","18","All","Male","0","10","5","10"
"2022","(CAH01) medicine and dentistry","18","All","Male","0","5","0","5"
"2023","(CAH01) medicine and dentistry","18","All","Male","0","5","5","10"
"2019","(CAH20) historical, philosophical and religious studies","18","All","Male","1865","385","365","2620"
"2020","(CAH20) historical, philosophical and religious studies","18","All","Male","695","925","525","2145"
"2021","(CAH20) historical, philosophical and religious studies","18","All","Male","0","290","40","335"
"2022","(CAH20) historical, philosophical and religious studies","18","All","Male","45","450","180","680"
"2023","(CAH20) historical, philosophical and religious studies","18","All","Male","0","435","125","565"
"2019","(CAH11) computing","18","All","Male","3825","1690","1230","6745"
"2020","(CAH11) computing","18","All","Male","1625","4045","2585","8255"
"2021","(CAH11) computing","18","All","Male","0","1455","130","1585"
"2022","(CAH11) computing","18","All","Male","240","2050","640","2930"
"2023","(CAH11) computing","18","All","Male","0","1345","515","1860"
"2019","(CAH26) geography, earth and environmental studies","18","All","Male","1025","190","240","1460"
"2020","(CAH26) geography, earth and environmental studies","18","All","Male","320","515","555","1390"
"2021","(CAH26) geography, earth and environmental studies","18","All","Male","0","245","20","265"
"2022","(CAH26) geography, earth and environmental studies","18","All","Male","35","300","180","515"
"2023","(CAH26) geography, earth and environmental studies","18","All","Male","0","140","140","285"
"2019","(CAH07) physical sciences","18","All","Male","1075","260","150","1480"
"2020","(CAH07) physical sciences","18","All","Male","490","730","350","1570"
"2021","(CAH07) physical sciences","18","All","Male","0","240","50","285"
"2022","(CAH07) physical sciences","18","All","Male","65","275","150","485"
"2023","(CAH07) physical sciences","18","All","Male","0","320","140","460"
"2019","(CAH04) psychology","18","All","Male","955","425","285","1660"
"2020","(CAH04) psychology","18","All","Male","490","825","870","2185"
"2021","(CAH04) psychology","18","All","Male","0","350","45","395"
"2022","(CAH04) psychology","18","All","Male","60","490","100","655"
"2023","(CAH04) psychology","18","All","Male","0","350","90","440"
"2019","(CAH09) mathematical sciences","18","All","Male","565","100","70","735"
"2020","(CAH09) mathematical sciences","18","All","Male","350","300","270","920"
"2021","(CAH09) mathematical sciences","18","All","Male","0","115","25","135"
"2022","(CAH09) mathematical sciences","18","All","Male","45","85","80","210"
"2023","(CAH09) mathematical sciences","18","All","Male","0","100","50","150"
"2019","(CAH22) education and teaching","18","All","Male","85","90","55","225"
"2020","(CAH22) education and teaching","18","All","Male","35","115","230","380"
"2021","(CAH22) education and teaching","18","All","Male","0","40","0","40"
"2022","(CAH22) education and teaching","18","All","Male","10","55","10","70"
"2023","(CAH22) education and teaching","18","All","Male","0","60","10","65"
"2019","(CAH06) agriculture, food and related studies","18","All","Male","75","30","10","115"
"2020","(CAH06) agriculture, food and related studies","18","All","Male","35","40","75","150"
"2021","(CAH06) agriculture, food and related studies","18","All","Male","0","15","15","30"
"2022","(CAH06) agriculture, food and related studies","18","All","Male","0","30","25","55"
"2023","(CAH06) agriculture, food and related studies","18","All","Male","0","30","10","40"
"2019","(CAH16) law","18","All","Male","1620","585","330","2540"
"2020","(CAH16) law","18","All","Male","840","1380","1180","3395"
"2021","(CAH16) law","18","All","Male","0","525","55","580"
"2022","(CAH16) law","18","All","Male","150","710","205","1065"
"2023","(CAH16) law","18","All","Male","0","560","180","740"
"2020","(CAH05) veterinary sciences","18","All","Male","0","5","0","5"
"2022","(CAH05) veterinary sciences","18","All","Male","0","0","0","5"
"2019","All","18","All","Female","49355","20585","11340","81275"
"2020","All","18","All","Female","19880","40460","28800","89140"
"2021","All","18","All","Female","0","18560","3525","22080"
"2022","All","18","All","Female","2830","25360","5190","33380"
"2023","All","18","All","Female","0","17075","4510","21585"
"2019","All","18","All","Male","33205","14400","8920","56525"
"2020","All","18","All","Male","14465","28675","23995","67135"
"2021","All","18","All","Male","5","11710","2110","13820"
"2022","All","18","All","Male","2365","16210","4600","23175"
"2023","All","18","All","Male","0","11385","4140","15525"
"2019","(CAH25) design, and creative and performing arts","All","All","Female","4870","5030","1415","11315"
"2020","(CAH25) design, and creative and performing arts","All","All","Female","2660","7095","3800","13555"
"2021","(CAH25) design, and creative and performing arts","All","All","Female","0","6825","1540","8365"
"2022","(CAH25) design, and creative and performing arts","All","All","Female","305","8635","650","9590"
"2023","(CAH25) design, and creative and performing arts","All","All","Female","0","5295","1500","6795"
"2019","(CAH10) engineering and technology","All","All","Female","740","155","115","1005"
"2020","(CAH10) engineering and technology","All","All","Female","175","330","330","840"
"2021","(CAH10) engineering and technology","All","All","Female","0","170","15","180"
"2022","(CAH10) engineering and technology","All","All","Female","35","190","45","270"
"2023","(CAH10) engineering and technology","All","All","Female","0","100","90","185"
"2019","(CAH02) subjects allied to medicine","All","All","Female","2605","1060","610","4280"
"2020","(CAH02) subjects allied to medicine","All","All","Female","720","2095","1700","4515"
"2021","(CAH02) subjects allied to medicine","All","All","Female","0","825","95","920"
"2022","(CAH02) subjects allied to medicine","All","All","Female","185","1180","215","1585"
"2023","(CAH02) subjects allied to medicine","All","All","Female","0","660","195","855"
"2019","(CAH19) language and area studies","All","All","Female","4435","760","760","5955"
"2020","(CAH19) language and area studies","All","All","Female","1085","2145","1280","4505"
"2021","(CAH19) language and area studies","All","All","Female","0","720","65","785"
"2022","(CAH19) language and area studies","All","All","Female","90","660","305","1055"
"2023","(CAH19) language and area studies","All","All","Female","0","605","190","795"
"2019","(CAH24) media, journalism and communications","All","All","Female","2010","730","410","3155"
"2020","(CAH24) media, journalism and communications","All","All","Female","945","1585","750","3280"
"2021","(CAH24) media, journalism and communications","All","All","Female","0","580","90","670"
"2022","(CAH24) media, journalism and communications","All","All","Female","55","945","155","1155"
"2023","(CAH24) media, journalism and communications","All","All","Female","0","655","150","805"
"2019","(CAH23) combined and general studies","All","All","Female","230","30","5","265"
"2020","(CAH23) combined and general studies","All","All","Female","15","85","25","125"
"2021","(CAH23) combined and general studies","All","All","Female","0","25","5","30"
"2022","(CAH23) combined and general studies","All","All","Female","5","45","5","55"
"2023","(CAH23) combined and general studies","All","All","Female","0","25","0","30"
"2019","(CAH17) business and management","All","All","Female","5375","2255","1400","9030"
"2020","(CAH17) business and management","All","All","Female","2515","4880","3595","10995"
"2021","(CAH17) business and management","All","All","Female","0","1540","345","1890"
"2022","(CAH17) business and management","All","All","Female","200","2550","565","3320"
"2023","(CAH17) business and management","All","All","Female","0","1510","230","1740"
"2019","(CAH15) social sciences","All","All","Female","7170","2785","1725","11680"
"2020","(CAH15) social sciences","All","All","Female","2930","5040","4320","12285"
"2021","(CAH15) social sciences","All","All","Female","0","1785","200","1985"
"2022","(CAH15) social sciences","All","All","Female","685","2745","700","4130"
"2023","(CAH15) social sciences","All","All","Female","0","1930","440","2370"
"2019","(CAH03) biological and sport sciences","All","All","Female","2855","1360","785","5000"
"2020","(CAH03) biological and sport sciences","All","All","Female","660","3170","2675","6505"
"2021","(CAH03) biological and sport sciences","All","All","Female","0","720","335","1060"
"2022","(CAH03) biological and sport sciences","All","All","Female","310","855","530","1695"
"2023","(CAH03) biological and sport sciences","All","All","Female","0","805","315","1125"
"2019","(CAH13) architecture, building and planning","All","All","Female","780","330","105","1215"
"2020","(CAH13) architecture, building and planning","All","All","Female","490","520","315","1325"
"2021","(CAH13) architecture, building and planning","All","All","Female","0","390","145","530"
"2022","(CAH13) architecture, building and planning","All","All","Female","25","530","100","650"
"2023","(CAH13) architecture, building and planning","All","All","Female","0","380","130","510"
"2019","(CAH01) medicine and dentistry","All","All","Female","45","5","20","70"
"2020","(CAH01) medicine and dentistry","All","All","Female","0","65","80","145"
"2021","(CAH01) medicine and dentistry","All","All","Female","0","20","5","25"
"2022","(CAH01) medicine and dentistry","All","All","Female","0","5","0","5"
"2023","(CAH01) medicine and dentistry","All","All","Female","0","10","10","20"
"2019","(CAH20) historical, philosophical and religious studies","All","All","Female","3000","495","435","3935"
"2020","(CAH20) historical, philosophical and religious studies","All","All","Female","945","1285","700","2930"
"2021","(CAH20) historical, philosophical and religious studies","All","All","Female","0","285","55","345"
"2022","(CAH20) historical, philosophical and religious studies","All","All","Female","55","520","205","775"
"2023","(CAH20) historical, philosophical and religious studies","All","All","Female","0","510","110","620"
"2019","(CAH11) computing","All","All","Female","710","320","190","1220"
"2020","(CAH11) computing","All","All","Female","250","725","470","1445"
"2021","(CAH11) computing","All","All","Female","0","380","35","415"
"2022","(CAH11) computing","All","All","Female","40","530","120","690"
"2023","(CAH11) computing","All","All","Female","0","275","100","370"
"2019","(CAH26) geography, earth and environmental studies","All","All","Female","1665","280","305","2250"
"2020","(CAH26) geography, earth and environmental studies","All","All","Female","455","715","500","1675"
"2021","(CAH26) geography, earth and environmental studies","All","All","Female","0","370","55","425"
"2022","(CAH26) geography, earth and environmental studies","All","All","Female","30","305","145","480"
"2023","(CAH26) geography, earth and environmental studies","All","All","Female","0","160","125","285"
"2019","(CAH07) physical sciences","All","All","Female","1385","310","205","1900"
"2020","(CAH07) physical sciences","All","All","Female","540","1155","450","2145"
"2021","(CAH07) physical sciences","All","All","Female","0","420","70","490"
"2022","(CAH07) physical sciences","All","All","Female","170","490","160","820"
"2023","(CAH07) physical sciences","All","All","Female","0","490","125","615"
"2019","(CAH04) psychology","All","All","Female","5575","2255","1410","9240"
"2020","(CAH04) psychology","All","All","Female","2705","4770","3375","10850"
"2021","(CAH04) psychology","All","All","Female","0","1810","240","2055"
"2022","(CAH04) psychology","All","All","Female","320","2695","545","3560"
"2023","(CAH04) psychology","All","All","Female","0","1765","380","2145"
"2019","(CAH09) mathematical sciences","All","All","Female","380","60","40","480"
"2020","(CAH09) mathematical sciences","All","All","Female","150","200","160","510"
"2021","(CAH09) mathematical sciences","All","All","Female","0","80","15","95"
"2022","(CAH09) mathematical sciences","All","All","Female","15","35","55","110"
"2023","(CAH09) mathematical sciences","All","All","Female","0","65","30","100"
"2019","(CAH22) education and teaching","All","All","Female","975","595","435","2005"
"2020","(CAH22) education and teaching","All","All","Female","515","985","1760","3260"
"2021","(CAH22) education and teaching","All","All","Female","0","420","35","450"
"2022","(CAH22) education and teaching","All","All","Female","25","560","105","690"
"2023","(CAH22) education and teaching","All","All","Female","0","415","65","475"
"2019","(CAH06) agriculture, food and related studies","All","All","Female","340","145","85","570"
"2020","(CAH06) agriculture, food and related studies","All","All","Female","140","245","145","530"
"2021","(CAH06) agriculture, food and related studies","All","All","Female","0","50","35","85"
"2022","(CAH06) agriculture, food and related studies","All","All","Female","0","155","55","210"
"2023","(CAH06) agriculture, food and related studies","All","All","Female","0","130","15","145"
"2019","(CAH16) law","All","All","Female","4200","1620","885","6710"
"2020","(CAH16) law","All","All","Female","1980","3325","2365","7670"
"2021","(CAH16) law","All","All","Female","0","1125","150","1275"
"2022","(CAH16) law","All","All","Female","265","1730","525","2520"
"2023","(CAH16) law","All","All","Female","0","1285","300","1585"
"2019","(CAH05) veterinary sciences","All","All","Female","5","0","0","5"
"2020","(CAH05) veterinary sciences","All","All","Female","0","40","5","45"
"2021","(CAH05) veterinary sciences","All","All","Female","0","10","0","10"
"2022","(CAH05) veterinary sciences","All","All","Female","0","10","5","10"
"2023","(CAH05) veterinary sciences","All","All","Female","0","5","10","20"
"2019","(CAH25) design, and creative and performing arts","All","All","Male","2355","2665","795","5815"
"2020","(CAH25) design, and creative and performing arts","All","All","Male","1005","3505","1920","6430"
"2021","(CAH25) design, and creative and performing arts","All","All","Male","0","2725","540","3265"
"2022","(CAH25) design, and creative and performing arts","All","All","Male","155","3775","490","4420"
"2023","(CAH25) design, and creative and performing arts","All","All","Male","0","2365","1180","3545"
"2019","(CAH10) engineering and technology","All","All","Male","2965","850","690","4510"
"2020","(CAH10) engineering and technology","All","All","Male","925","1800","1975","4695"
"2021","(CAH10) engineering and technology","All","All","Male","0","795","55","850"
"2022","(CAH10) engineering and technology","All","All","Male","265","790","240","1295"
"2023","(CAH10) engineering and technology","All","All","Male","0","500","265","760"
"2019","(CAH02) subjects allied to medicine","All","All","Male","795","315","220","1330"
"2020","(CAH02) subjects allied to medicine","All","All","Male","270","600","410","1280"
"2021","(CAH02) subjects allied to medicine","All","All","Male","0","350","35","385"
"2022","(CAH02) subjects allied to medicine","All","All","Male","70","455","155","685"
"2023","(CAH02) subjects allied to medicine","All","All","Male","0","270","115","385"
"2019","(CAH19) language and area studies","All","All","Male","970","185","190","1340"
"2020","(CAH19) language and area studies","All","All","Male","225","500","395","1115"
"2021","(CAH19) language and area studies","All","All","Male","0","185","10","190"
"2022","(CAH19) language and area studies","All","All","Male","20","145","85","250"
"2023","(CAH19) language and area studies","All","All","Male","0","155","60","215"
"2019","(CAH24) media, journalism and communications","All","All","Male","1235","685","380","2300"
"2020","(CAH24) media, journalism and communications","All","All","Male","570","1345","845","2760"
"2021","(CAH24) media, journalism and communications","All","All","Male","0","515","85","600"
"2022","(CAH24) media, journalism and communications","All","All","Male","175","850","120","1140"
"2023","(CAH24) media, journalism and communications","All","All","Male","0","575","165","740"
"2019","(CAH23) combined and general studies","All","All","Male","120","35","10","165"
"2020","(CAH23) combined and general studies","All","All","Male","15","50","55","120"
"2021","(CAH23) combined and general studies","All","All","Male","0","35","5","40"
"2022","(CAH23) combined and general studies","All","All","Male","10","45","10","60"
"2023","(CAH23) combined and general studies","All","All","Male","0","40","5","40"
"2019","(CAH17) business and management","All","All","Male","6500","2565","1815","10885"
"2020","(CAH17) business and management","All","All","Male","3475","5760","5335","14565"
"2021","(CAH17) business and management","All","All","Male","0","1600","340","1940"
"2022","(CAH17) business and management","All","All","Male","320","2885","735","3945"
"2023","(CAH17) business and management","All","All","Male","0","1985","320","2305"
"2019","(CAH15) social sciences","All","All","Male","3455","850","655","4960"
"2020","(CAH15) social sciences","All","All","Male","1465","1720","1490","4675"
"2021","(CAH15) social sciences","All","All","Male","0","670","90","760"
"2022","(CAH15) social sciences","All","All","Male","225","1010","405","1640"
"2023","(CAH15) social sciences","All","All","Male","0","755","325","1080"
"2019","(CAH03) biological and sport sciences","All","All","Male","2485","1935","1200","5615"
"2020","(CAH03) biological and sport sciences","All","All","Male","870","3680","4200","8750"
"2021","(CAH03) biological and sport sciences","All","All","Male","0","1015","415","1430"
"2022","(CAH03) biological and sport sciences","All","All","Male","425","1180","655","2255"
"2023","(CAH03) biological and sport sciences","All","All","Male","0","975","325","1300"
"2019","(CAH13) architecture, building and planning","All","All","Male","1210","560","225","1995"
"2020","(CAH13) architecture, building and planning","All","All","Male","765","820","700","2285"
"2021","(CAH13) architecture, building and planning","All","All","Male","0","545","150","695"
"2022","(CAH13) architecture, building and planning","All","All","Male","55","620","135","810"
"2023","(CAH13) architecture, building and planning","All","All","Male","0","420","120","540"
"2019","(CAH01) medicine and dentistry","All","All","Male","30","5","5","40"
"2020","(CAH01) medicine and dentistry","All","All","Male","0","20","40","60"
"2021","(CAH01) medicine and dentistry","All","All","Male","0","10","5","10"
"2022","(CAH01) medicine and dentistry","All","All","Male","0","5","0","5"
"2023","(CAH01) medicine and dentistry","All","All","Male","0","5","5","10"
"2019","(CAH20) historical, philosophical and religious studies","All","All","Male","1865","385","365","2620"
"2020","(CAH20) historical, philosophical and religious studies","All","All","Male","695","925","525","2145"
"2021","(CAH20) historical, philosophical and religious studies","All","All","Male","0","290","40","335"
"2022","(CAH20) historical, philosophical and religious studies","All","All","Male","45","450","180","680"
"2023","(CAH20) historical, philosophical and religious studies","All","All","Male","0","435","125","565"
"2019","(CAH11) computing","All","All","Male","3825","1690","1230","6745"
"2020","(CAH11) computing","All","All","Male","1625","4045","2585","8255"
"2021","(CAH11) computing","All","All","Male","0","1455","130","1585"
"2022","(CAH11) computing","All","All","Male","240","2050","640","2930"
"2023","(CAH11) computing","All","All","Male","0","1345","515","1860"
"2019","(CAH26) geography, earth and environmental studies","All","All","Male","1025","190","240","1460"
"2020","(CAH26) geography, earth and environmental studies","All","All","Male","320","515","555","1390"
"2021","(CAH26) geography, earth and environmental studies","All","All","Male","0","245","20","265"
"2022","(CAH26) geography, earth and environmental studies","All","All","Male","35","300","180","515"
"2023","(CAH26) geography, earth and environmental studies","All","All","Male","0","140","140","285"
"2019","(CAH07) physical sciences","All","All","Male","1075","260","150","1480"
"2020","(CAH07) physical sciences","All","All","Male","490","730","350","1570"
"2021","(CAH07) physical sciences","All","All","Male","0","240","50","285"
"2022","(CAH07) physical sciences","All","All","Male","65","275","150","485"
"2023","(CAH07) physical sciences","All","All","Male","0","320","140","460"
"2019","(CAH04) psychology","All","All","Male","955","425","285","1660"
"2020","(CAH04) psychology","All","All","Male","490","825","870","2185"
"2021","(CAH04) psychology","All","All","Male","0","350","45","395"
"2022","(CAH04) psychology","All","All","Male","60","490","100","655"
"2023","(CAH04) psychology","All","All","Male","0","350","90","440"
"2019","(CAH09) mathematical sciences","All","All","Male","565","100","70","735"
"2020","(CAH09) mathematical sciences","All","All","Male","350","300","270","920"
"2021","(CAH09) mathematical sciences","All","All","Male","0","115","25","135"
"2022","(CAH09) mathematical sciences","All","All","Male","45","85","80","210"
"2023","(CAH09) mathematical sciences","All","All","Male","0","100","50","150"
"2019","(CAH22) education and teaching","All","All","Male","85","90","55","225"
"2020","(CAH22) education and teaching","All","All","Male","35","115","230","380"
"2021","(CAH22) education and teaching","All","All","Male","0","40","0","40"
"2022","(CAH22) education and teaching","All","All","Male","10","55","10","70"
"2023","(CAH22) education and teaching","All","All","Male","0","60","10","65"
"2019","(CAH06) agriculture, food and related studies","All","All","Male","75","30","10","115"
"2020","(CAH06) agriculture, food and related studies","All","All","Male","35","40","75","150"
"2021","(CAH06) agriculture, food and related studies","All","All","Male","0","15","15","30"
"2022","(CAH06) agriculture, food and related studies","All","All","Male","0","30","25","55"
"2023","(CAH06) agriculture, food and related studies","All","All","Male","0","30","10","40"
"2019","(CAH16) law","All","All","Male","1620","585","330","2540"
"2020","(CAH16) law","All","All","Male","840","1380","1180","3395"
"2021","(CAH16) law","All","All","Male","0","525","55","580"
"2022","(CAH16) law","All","All","Male","150","710","205","1065"
"2023","(CAH16) law","All","All","Male","0","560","180","740"
"2020","(CAH05) veterinary sciences","All","All","Male","0","5","0","5"
"2022","(CAH05) veterinary sciences","All","All","Male","0","0","0","5"
"2019","All","All","All","Female","49355","20585","11340","81275"
"2020","All","All","All","Female","19880","40460","28800","89140"
"2021","All","All","All","Female","0","18560","3525","22080"
"2022","All","All","All","Female","2830","25360","5190","33380"
"2023","All","All","All","Female","0","17075","4510","21585"
"2019","All","All","All","Male","33205","14400","8920","56525"
"2020","All","All","All","Male","14465","28675","23995","67135"
"2021","All","All","All","Male","5","11710","2110","13820"
"2022","All","All","All","Male","2365","16210","4600","23175"
"2023","All","All","All","Male","0","11385","4140","15525"
"2019","(CAH25) design, and creative and performing arts","18","England","All","6955","7035","2115","16110"
"2019","(CAH25) design, and creative and performing arts","18","Northern Ireland","All","70","75","30","170"
"2019","(CAH25) design, and creative and performing arts","18","Wales","All","200","590","65","850"
"2020","(CAH25) design, and creative and performing arts","18","England","All","3590","9925","5335","18850"
"2020","(CAH25) design, and creative and performing arts","18","Northern Ireland","All","25","105","120","245"
"2020","(CAH25) design, and creative and performing arts","18","Wales","All","55","570","260","890"
"2021","(CAH25) design, and creative and performing arts","18","England","All","0","8790","1995","10785"
"2021","(CAH25) design, and creative and performing arts","18","Northern Ireland","All","0","85","25","110"
"2021","(CAH25) design, and creative and performing arts","18","Wales","All","0","675","55","730"
"2022","(CAH25) design, and creative and performing arts","18","England","All","455","11735","1075","13265"
"2022","(CAH25) design, and creative and performing arts","18","Northern Ireland","All","5","120","15","135"
"2022","(CAH25) design, and creative and performing arts","18","Wales","All","5","555","50","610"
"2023","(CAH25) design, and creative and performing arts","18","England","All","0","7220","2565","9785"
"2023","(CAH25) design, and creative and performing arts","18","Northern Ireland","All","0","60","25","85"
"2023","(CAH25) design, and creative and performing arts","18","Wales","All","0","380","90","470"
"2019","(CAH10) engineering and technology","18","England","All","3565","890","780","5235"
"2019","(CAH10) engineering and technology","18","Northern Ireland","All","40","15","10","65"
"2019","(CAH10) engineering and technology","18","Wales","All","100","100","15","215"
"2020","(CAH10) engineering and technology","18","England","All","1070","2025","2110","5205"
"2020","(CAH10) engineering and technology","18","Northern Ireland","All","10","35","110","155"
"2020","(CAH10) engineering and technology","18","Wales","All","20","70","85","175"
"2021","(CAH10) engineering and technology","18","England","All","0","860","65","920"
"2021","(CAH10) engineering and technology","18","Northern Ireland","All","0","20","0","20"
"2021","(CAH10) engineering and technology","18","Wales","All","0","85","5","85"
"2022","(CAH10) engineering and technology","18","England","All","290","945","275","1510"
"2022","(CAH10) engineering and technology","18","Northern Ireland","All","5","5","5","15"
"2022","(CAH10) engineering and technology","18","Wales","All","10","25","5","40"
"2023","(CAH10) engineering and technology","18","England","All","0","585","345","930"
"2023","(CAH10) engineering and technology","18","Wales","All","0","10","5","15"
"2019","(CAH02) subjects allied to medicine","18","England","All","3300","1340","785","5425"
"2019","(CAH02) subjects allied to medicine","18","Northern Ireland","All","25","20","25","75"
"2019","(CAH02) subjects allied to medicine","18","Wales","All","70","20","20","110"
"2020","(CAH02) subjects allied to medicine","18","England","All","970","2610","1875","5460"
"2020","(CAH02) subjects allied to medicine","18","Northern Ireland","All","5","30","145","175"
"2020","(CAH02) subjects allied to medicine","18","Wales","All","20","50","95","165"
"2021","(CAH02) subjects allied to medicine","18","England","All","0","1090","120","1215"
"2021","(CAH02) subjects allied to medicine","18","Northern Ireland","All","0","15","0","20"
"2021","(CAH02) subjects allied to medicine","18","Wales","All","0","75","5","80"
"2022","(CAH02) subjects allied to medicine","18","England","All","250","1570","355","2180"
"2022","(CAH02) subjects allied to medicine","18","Northern Ireland","All","0","20","5","25"
"2022","(CAH02) subjects allied to medicine","18","Wales","All","5","45","10","60"
"2023","(CAH02) subjects allied to medicine","18","England","All","0","910","300","1210"
"2023","(CAH02) subjects allied to medicine","18","Northern Ireland","All","0","5","5","15"
"2023","(CAH02) subjects allied to medicine","18","Wales","All","0","10","5","15"
"2019","(CAH19) language and area studies","18","England","All","5170","900","910","6985"
"2019","(CAH19) language and area studies","18","Northern Ireland","All","45","5","10","60"
"2019","(CAH19) language and area studies","18","Wales","All","180","40","25","245"
"2020","(CAH19) language and area studies","18","England","All","1280","2540","1460","5280"
"2020","(CAH19) language and area studies","18","Northern Ireland","All","10","30","45","85"
"2020","(CAH19) language and area studies","18","Wales","All","20","70","165","255"
"2021","(CAH19) language and area studies","18","England","All","0","830","70","900"
"2021","(CAH19) language and area studies","18","Northern Ireland","All","0","15","0","15"
"2021","(CAH19) language and area studies","18","Wales","All","0","55","0","60"
"2022","(CAH19) language and area studies","18","England","All","110","790","345","1250"
"2022","(CAH19) language and area studies","18","Northern Ireland","All","0","5","0","5"
"2022","(CAH19) language and area studies","18","Wales","All","0","10","40","50"
"2023","(CAH19) language and area studies","18","England","All","0","745","215","960"
"2023","(CAH19) language and area studies","18","Northern Ireland","All","0","5","5","10"
"2023","(CAH19) language and area studies","18","Wales","All","0","10","35","45"
"2019","(CAH24) media, journalism and communications","18","England","All","3105","1310","755","5170"
"2019","(CAH24) media, journalism and communications","18","Northern Ireland","All","30","10","10","50"
"2019","(CAH24) media, journalism and communications","18","Wales","All","110","95","25","230"
"2020","(CAH24) media, journalism and communications","18","England","All","1475","2800","1410","5685"
