"Year","Subject group HECoS","Age group","Domicile","Gender","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2022","(CAH26) geography, earth and environmental studies","18","Northern Ireland","Female","0","5","0","5"
"2022","(CAH26) geography, earth and environmental studies","18","Wales","Female","0","20","10","30"
"2023","(CAH26) geography, earth and environmental studies","18","England","Female","0","155","115","275"
"2023","(CAH26) geography, earth and environmental studies","18","Wales","Female","0","0","10","10"
"2019","(CAH07) physical sciences","18","England","Female","1325","265","195","1785"
"2019","(CAH07) physical sciences","18","Northern Ireland","Female","10","5","5","20"
"2019","(CAH07) physical sciences","18","Wales","Female","50","40","5","95"
"2020","(CAH07) physical sciences","18","England","Female","530","1055","420","2000"
"2020","(CAH07) physical sciences","18","Northern Ireland","Female","0","10","10","25"
"2020","(CAH07) physical sciences","18","Wales","Female","10","90","20","120"
"2021","(CAH07) physical sciences","18","England","Female","0","340","70","410"
"2021","(CAH07) physical sciences","18","Northern Ireland","Female","0","5","0","5"
"2021","(CAH07) physical sciences","18","Wales","Female","0","75","0","75"
"2022","(CAH07) physical sciences","18","England","Female","160","470","155","790"
"2022","(CAH07) physical sciences","18","Northern Ireland","Female","5","10","0","15"
"2022","(CAH07) physical sciences","18","Wales","Female","5","10","0","15"
"2023","(CAH07) physical sciences","18","England","Female","0","480","120","600"
"2023","(CAH07) physical sciences","18","Northern Ireland","Female","0","5","0","5"
"2023","(CAH07) physical sciences","18","Wales","Female","0","5","5","5"
"2019","(CAH04) psychology","18","England","Female","5440","2100","1345","8885"
"2019","(CAH04) psychology","18","Northern Ireland","Female","25","25","15","65"
"2019","(CAH04) psychology","18","Wales","Female","115","130","50","290"
"2020","(CAH04) psychology","18","England","Female","2660","4550","3015","10220"
"2020","(CAH04) psychology","18","Northern Ireland","Female","10","30","135","180"
"2020","(CAH04) psychology","18","Wales","Female","35","195","225","450"
"2021","(CAH04) psychology","18","England","Female","0","1595","210","1805"
"2021","(CAH04) psychology","18","Northern Ireland","Female","0","15","0","15"
"2021","(CAH04) psychology","18","Wales","Female","0","200","30","230"
"2022","(CAH04) psychology","18","England","Female","315","2620","485","3420"
"2022","(CAH04) psychology","18","Northern Ireland","Female","5","15","0","20"
"2022","(CAH04) psychology","18","Wales","Female","5","55","60","120"
"2023","(CAH04) psychology","18","England","Female","0","1735","350","2085"
"2023","(CAH04) psychology","18","Northern Ireland","Female","0","15","0","15"
"2023","(CAH04) psychology","18","Wales","Female","0","15","30","40"
"2019","(CAH09) mathematical sciences","18","England","Female","360","50","35","450"
"2019","(CAH09) mathematical sciences","18","Northern Ireland","Female","15","0","0","15"
"2019","(CAH09) mathematical sciences","18","Wales","Female","5","5","0","15"
"2020","(CAH09) mathematical sciences","18","England","Female","140","180","135","455"
"2020","(CAH09) mathematical sciences","18","Northern Ireland","Female","5","15","15","35"
"2020","(CAH09) mathematical sciences","18","Wales","Female","5","5","10","20"
