"Year","Tariff group of provider released from","Tariff group of provider accepted to","Age group","Domicile","Gender","Placed after self-releasing"
"2020","All","Higher tariff","19","EU (excluding UK)","Female","50"
"2021","All","Higher tariff","19","EU (excluding UK)","Female","5"
"2022","All","Higher tariff","19","EU (excluding UK)","Female","10"
"2023","All","Higher tariff","19","EU (excluding UK)","Female","5"
"2019","All","Lower tariff","20","EU (excluding UK)","Female","15"
"2020","All","Lower tariff","20","EU (excluding UK)","Female","10"
"2021","All","Lower tariff","20","EU (excluding UK)","Female","5"
"2022","All","Lower tariff","20","EU (excluding UK)","Female","5"
"2019","All","Medium tariff","20","EU (excluding UK)","Female","10"
"2020","All","Medium tariff","20","EU (excluding UK)","Female","10"
"2022","All","Medium tariff","20","EU (excluding UK)","Female","5"
"2020","All","Higher tariff","20","EU (excluding UK)","Female","5"
"2021","All","Higher tariff","20","EU (excluding UK)","Female","5"
"2023","All","Higher tariff","20","EU (excluding UK)","Female","5"
"2019","All","Lower tariff","21 - 24","EU (excluding UK)","Female","5"
"2020","All","Lower tariff","21 - 24","EU (excluding UK)","Female","15"
"2022","All","Lower tariff","21 - 24","EU (excluding UK)","Female","5"
"2023","All","Lower tariff","21 - 24","EU (excluding UK)","Female","5"
"2019","All","Medium tariff","21 - 24","EU (excluding UK)","Female","5"
"2020","All","Medium tariff","21 - 24","EU (excluding UK)","Female","5"
"2022","All","Medium tariff","21 - 24","EU (excluding UK)","Female","5"
"2023","All","Medium tariff","21 - 24","EU (excluding UK)","Female","5"
"2019","All","Higher tariff","21 - 24","EU (excluding UK)","Female","5"
"2021","All","Higher tariff","21 - 24","EU (excluding UK)","Female","5"
"2023","All","N/A","18","Northern Ireland","Male","5"
"2019","All","Lower tariff","18","Northern Ireland","Male","55"
"2020","All","Lower tariff","18","Northern Ireland","Male","55"
"2021","All","Lower tariff","18","Northern Ireland","Male","55"
"2022","All","Lower tariff","18","Northern Ireland","Male","115"
"2023","All","Lower tariff","18","Northern Ireland","Male","65"
"2019","All","Medium tariff","18","Northern Ireland","Male","50"
"2020","All","Medium tariff","18","Northern Ireland","Male","80"
"2021","All","Medium tariff","18","Northern Ireland","Male","35"
"2022","All","Medium tariff","18","Northern Ireland","Male","30"
"2023","All","Medium tariff","18","Northern Ireland","Male","50"
"2019","All","Higher tariff","18","Northern Ireland","Male","10"
"2020","All","Higher tariff","18","Northern Ireland","Male","30"
"2021","All","Higher tariff","18","Northern Ireland","Male","15"
"2022","All","Higher tariff","18","Northern Ireland","Male","15"
"2023","All","Higher tariff","18","Northern Ireland","Male","15"
"2019","All","Lower tariff","19","Northern Ireland","Male","15"
"2020","All","Lower tariff","19","Northern Ireland","Male","15"
"2021","All","Lower tariff","19","Northern Ireland","Male","15"
"2022","All","Lower tariff","19","Northern Ireland","Male","10"
"2023","All","Lower tariff","19","Northern Ireland","Male","15"
"2019","All","Medium tariff","19","Northern Ireland","Male","10"
"2020","All","Medium tariff","19","Northern Ireland","Male","25"
"2021","All","Medium tariff","19","Northern Ireland","Male","5"
"2022","All","Medium tariff","19","Northern Ireland","Male","5"
"2023","All","Medium tariff","19","Northern Ireland","Male","10"
"2019","All","Higher tariff","19","Northern Ireland","Male","5"
"2020","All","Higher tariff","19","Northern Ireland","Male","5"
"2021","All","Higher tariff","19","Northern Ireland","Male","5"
"2022","All","Higher tariff","19","Northern Ireland","Male","5"
"2023","All","Higher tariff","19","Northern Ireland","Male","5"
"2019","All","Lower tariff","20","Northern Ireland","Male","5"
"2020","All","Lower tariff","20","Northern Ireland","Male","10"
"2021","All","Lower tariff","20","Northern Ireland","Male","5"
"2022","All","Lower tariff","20","Northern Ireland","Male","10"
"2023","All","Lower tariff","20","Northern Ireland","Male","5"
"2020","All","Medium tariff","20","Northern Ireland","Male","5"
"2021","All","Medium tariff","20","Northern Ireland","Male","5"
"2019","All","Lower tariff","21 - 24","Northern Ireland","Male","5"
"2020","All","Lower tariff","21 - 24","Northern Ireland","Male","10"
"2021","All","Lower tariff","21 - 24","Northern Ireland","Male","5"
"2022","All","Lower tariff","21 - 24","Northern Ireland","Male","5"
"2019","All","Medium tariff","21 - 24","Northern Ireland","Male","5"
"2021","All","Medium tariff","25 - 29","Northern Ireland","Male","5"
"2020","All","Lower tariff","17 and under","England","Male","5"
"2022","All","Lower tariff","17 and under","England","Male","5"
"2019","All","Medium tariff","17 and under","England","Male","5"
"2020","All","Medium tariff","17 and under","England","Male","10"
"2021","All","Medium tariff","17 and under","England","Male","5"
"2022","All","Medium tariff","17 and under","England","Male","5"
"2023","All","Medium tariff","17 and under","England","Male","5"
"2019","All","Higher tariff","17 and under","England","Male","5"
"2020","All","Higher tariff","17 and under","England","Male","10"
"2021","All","Higher tariff","17 and under","England","Male","5"
"2022","All","Higher tariff","17 and under","England","Male","5"
"2023","All","Higher tariff","17 and under","England","Male","5"
"2019","All","N/A","18","England","Male","90"
"2020","All","N/A","18","England","Male","55"
"2021","All","N/A","18","England","Male","50"
"2022","All","N/A","18","England","Male","75"
"2023","All","N/A","18","England","Male","90"
"2019","All","Lower tariff","18","England","Male","1585"
"2020","All","Lower tariff","18","England","Male","1585"
"2021","All","Lower tariff","18","England","Male","1735"
"2022","All","Lower tariff","18","England","Male","2185"
"2023","All","Lower tariff","18","England","Male","2190"
"2019","All","Medium tariff","18","England","Male","1970"
"2020","All","Medium tariff","18","England","Male","2935"
"2021","All","Medium tariff","18","England","Male","2260"
"2022","All","Medium tariff","18","England","Male","2705"
"2023","All","Medium tariff","18","England","Male","3005"
"2019","All","Higher tariff","18","England","Male","1290"
"2020","All","Higher tariff","18","England","Male","3590"
"2021","All","Higher tariff","18","England","Male","970"
"2022","All","Higher tariff","18","England","Male","1015"
"2023","All","Higher tariff","18","England","Male","1360"
"2019","All","N/A","19","England","Male","15"
"2020","All","N/A","19","England","Male","10"
"2021","All","N/A","19","England","Male","10"
"2022","All","N/A","19","England","Male","15"
"2023","All","N/A","19","England","Male","15"
"2019","All","Lower tariff","19","England","Male","535"
"2020","All","Lower tariff","19","England","Male","520"
"2021","All","Lower tariff","19","England","Male","485"
"2022","All","Lower tariff","19","England","Male","475"
"2023","All","Lower tariff","19","England","Male","490"
"2019","All","Medium tariff","19","England","Male","475"
"2020","All","Medium tariff","19","England","Male","600"
"2021","All","Medium tariff","19","England","Male","425"
"2022","All","Medium tariff","19","England","Male","390"
"2023","All","Medium tariff","19","England","Male","450"
"2019","All","Higher tariff","19","England","Male","275"
"2020","All","Higher tariff","19","England","Male","495"
"2021","All","Higher tariff","19","England","Male","145"
"2022","All","Higher tariff","19","England","Male","120"
"2023","All","Higher tariff","19","England","Male","235"
"2019","All","N/A","20","England","Male","5"
"2021","All","N/A","20","England","Male","10"
"2022","All","N/A","20","England","Male","5"
"2023","All","N/A","20","England","Male","10"
"2019","All","Lower tariff","20","England","Male","165"
"2020","All","Lower tariff","20","England","Male","150"
"2021","All","Lower tariff","20","England","Male","155"
"2022","All","Lower tariff","20","England","Male","150"
"2023","All","Lower tariff","20","England","Male","160"
"2019","All","Medium tariff","20","England","Male","100"
"2020","All","Medium tariff","20","England","Male","115"
"2021","All","Medium tariff","20","England","Male","105"
"2022","All","Medium tariff","20","England","Male","80"
"2023","All","Medium tariff","20","England","Male","120"
"2019","All","Higher tariff","20","England","Male","50"
"2020","All","Higher tariff","20","England","Male","50"
"2021","All","Higher tariff","20","England","Male","15"
"2022","All","Higher tariff","20","England","Male","25"
"2023","All","Higher tariff","20","England","Male","30"
"2019","All","N/A","21 - 24","England","Male","5"
"2020","All","N/A","21 - 24","England","Male","5"
"2021","All","N/A","21 - 24","England","Male","5"
"2023","All","N/A","21 - 24","England","Male","10"
"2019","All","Lower tariff","21 - 24","England","Male","140"
"2020","All","Lower tariff","21 - 24","England","Male","130"
"2021","All","Lower tariff","21 - 24","England","Male","120"
"2022","All","Lower tariff","21 - 24","England","Male","125"
"2023","All","Lower tariff","21 - 24","England","Male","135"
"2019","All","Medium tariff","21 - 24","England","Male","80"
"2020","All","Medium tariff","21 - 24","England","Male","75"
"2021","All","Medium tariff","21 - 24","England","Male","75"
"2022","All","Medium tariff","21 - 24","England","Male","95"
"2023","All","Medium tariff","21 - 24","England","Male","70"
"2019","All","Higher tariff","21 - 24","England","Male","25"
"2020","All","Higher tariff","21 - 24","England","Male","40"
"2021","All","Higher tariff","21 - 24","England","Male","20"
"2022","All","Higher tariff","21 - 24","England","Male","20"
"2023","All","Higher tariff","21 - 24","England","Male","30"
"2021","All","N/A","25 - 29","England","Male","5"
"2023","All","N/A","25 - 29","England","Male","5"
"2019","All","Lower tariff","25 - 29","England","Male","30"
"2020","All","Lower tariff","25 - 29","England","Male","40"
"2021","All","Lower tariff","25 - 29","England","Male","35"
"2022","All","Lower tariff","25 - 29","England","Male","15"
"2023","All","Lower tariff","25 - 29","England","Male","25"
"2019","All","Medium tariff","25 - 29","England","Male","15"
"2020","All","Medium tariff","25 - 29","England","Male","30"
"2021","All","Medium tariff","25 - 29","England","Male","20"
"2022","All","Medium tariff","25 - 29","England","Male","15"
"2023","All","Medium tariff","25 - 29","England","Male","15"
"2019","All","Higher tariff","25 - 29","England","Male","5"
"2020","All","Higher tariff","25 - 29","England","Male","5"
"2021","All","Higher tariff","25 - 29","England","Male","5"
"2022","All","Higher tariff","25 - 29","England","Male","5"
"2023","All","Higher tariff","25 - 29","England","Male","5"
"2019","All","Lower tariff","30 - 34","England","Male","15"
"2020","All","Lower tariff","30 - 34","England","Male","25"
"2021","All","Lower tariff","30 - 34","England","Male","20"
"2022","All","Lower tariff","30 - 34","England","Male","10"
"2023","All","Lower tariff","30 - 34","England","Male","15"
"2019","All","Medium tariff","30 - 34","England","Male","5"
"2020","All","Medium tariff","30 - 34","England","Male","10"
"2021","All","Medium tariff","30 - 34","England","Male","10"
"2022","All","Medium tariff","30 - 34","England","Male","5"
"2021","All","Higher tariff","30 - 34","England","Male","5"
"2021","All","N/A","35 and over","England","Male","5"
"2019","All","Lower tariff","35 and over","England","Male","30"
"2020","All","Lower tariff","35 and over","England","Male","45"
"2021","All","Lower tariff","35 and over","England","Male","30"
"2022","All","Lower tariff","35 and over","England","Male","25"
"2023","All","Lower tariff","35 and over","England","Male","40"
"2019","All","Medium tariff","35 and over","England","Male","10"
"2020","All","Medium tariff","35 and over","England","Male","10"
"2021","All","Medium tariff","35 and over","England","Male","15"
"2022","All","Medium tariff","35 and over","England","Male","10"
"2023","All","Medium tariff","35 and over","England","Male","15"
"2020","All","Higher tariff","17 and under","Scotland","Male","5"
"2023","All","Higher tariff","17 and under","Scotland","Male","5"
"2023","All","N/A","18","Scotland","Male","5"
"2019","All","Medium tariff","18","Scotland","Male","55"
"2020","All","Medium tariff","18","Scotland","Male","65"
"2021","All","Medium tariff","18","Scotland","Male","35"
"2022","All","Medium tariff","18","Scotland","Male","80"
"2023","All","Medium tariff","18","Scotland","Male","80"
"2019","All","Higher tariff","18","Scotland","Male","35"
"2020","All","Higher tariff","18","Scotland","Male","75"
"2021","All","Higher tariff","18","Scotland","Male","35"
"2022","All","Higher tariff","18","Scotland","Male","30"
"2023","All","Higher tariff","18","Scotland","Male","70"
"2019","All","Medium tariff","19","Scotland","Male","10"
"2020","All","Medium tariff","19","Scotland","Male","15"
"2021","All","Medium tariff","19","Scotland","Male","10"
"2022","All","Medium tariff","19","Scotland","Male","20"
"2023","All","Medium tariff","19","Scotland","Male","20"
"2019","All","Higher tariff","19","Scotland","Male","10"
"2020","All","Higher tariff","19","Scotland","Male","30"
"2021","All","Higher tariff","19","Scotland","Male","5"
"2022","All","Higher tariff","19","Scotland","Male","10"
"2023","All","Higher tariff","19","Scotland","Male","10"
"2019","All","Medium tariff","20","Scotland","Male","5"
"2020","All","Medium tariff","20","Scotland","Male","10"
"2021","All","Medium tariff","20","Scotland","Male","5"
"2022","All","Medium tariff","20","Scotland","Male","5"
"2023","All","Medium tariff","20","Scotland","Male","10"
"2020","All","Higher tariff","20","Scotland","Male","5"
"2023","All","Higher tariff","20","Scotland","Male","5"
"2019","All","Medium tariff","21 - 24","Scotland","Male","10"
"2020","All","Medium tariff","21 - 24","Scotland","Male","10"
"2021","All","Medium tariff","21 - 24","Scotland","Male","10"
"2022","All","Medium tariff","21 - 24","Scotland","Male","20"
"2023","All","Medium tariff","21 - 24","Scotland","Male","15"
"2019","All","Higher tariff","21 - 24","Scotland","Male","5"
"2020","All","Higher tariff","21 - 24","Scotland","Male","10"
"2021","All","Higher tariff","21 - 24","Scotland","Male","5"
"2023","All","Higher tariff","21 - 24","Scotland","Male","5"
"2020","All","Medium tariff","25 - 29","Scotland","Male","5"
"2021","All","Medium tariff","25 - 29","Scotland","Male","5"
"2023","All","Medium tariff","25 - 29","Scotland","Male","5"
"2019","All","Higher tariff","25 - 29","Scotland","Male","5"
"2019","All","Medium tariff","30 - 34","Scotland","Male","5"
"2019","All","Higher tariff","30 - 34","Scotland","Male","5"
"2020","All","Medium tariff","35 and over","Scotland","Male","5"
"2022","All","Medium tariff","35 and over","Scotland","Male","5"
"2023","All","Medium tariff","35 and over","Scotland","Male","5"
"2020","All","Higher tariff","35 and over","Scotland","Male","5"
"2022","All","N/A","18","Wales","Male","5"
"2023","All","N/A","18","Wales","Male","5"
"2019","All","Lower tariff","18","Wales","Male","40"
"2020","All","Lower tariff","18","Wales","Male","40"
"2021","All","Lower tariff","18","Wales","Male","50"
"2022","All","Lower tariff","18","Wales","Male","75"
"2023","All","Lower tariff","18","Wales","Male","55"
"2019","All","Medium tariff","18","Wales","Male","70"
"2020","All","Medium tariff","18","Wales","Male","70"
"2021","All","Medium tariff","18","Wales","Male","60"
"2022","All","Medium tariff","18","Wales","Male","80"
"2023","All","Medium tariff","18","Wales","Male","75"
"2019","All","Higher tariff","18","Wales","Male","45"
"2020","All","Higher tariff","18","Wales","Male","130"
"2021","All","Higher tariff","18","Wales","Male","15"
"2022","All","Higher tariff","18","Wales","Male","45"
"2023","All","Higher tariff","18","Wales","Male","40"
"2019","All","Lower tariff","19","Wales","Male","10"
"2020","All","Lower tariff","19","Wales","Male","15"
"2021","All","Lower tariff","19","Wales","Male","15"
"2022","All","Lower tariff","19","Wales","Male","15"
"2023","All","Lower tariff","19","Wales","Male","10"
"2019","All","Medium tariff","19","Wales","Male","20"
"2020","All","Medium tariff","19","Wales","Male","15"
"2021","All","Medium tariff","19","Wales","Male","15"
"2022","All","Medium tariff","19","Wales","Male","10"
"2023","All","Medium tariff","19","Wales","Male","15"
"2019","All","Higher tariff","19","Wales","Male","10"
"2020","All","Higher tariff","19","Wales","Male","20"
"2021","All","Higher tariff","19","Wales","Male","10"
"2022","All","Higher tariff","19","Wales","Male","5"
"2023","All","Higher tariff","19","Wales","Male","10"
"2019","All","Lower tariff","20","Wales","Male","5"
"2020","All","Lower tariff","20","Wales","Male","10"
"2021","All","Lower tariff","20","Wales","Male","5"
"2022","All","Lower tariff","20","Wales","Male","5"
"2023","All","Lower tariff","20","Wales","Male","5"
"2019","All","Medium tariff","20","Wales","Male","5"
"2020","All","Medium tariff","20","Wales","Male","5"
"2021","All","Medium tariff","20","Wales","Male","5"
"2020","All","Higher tariff","20","Wales","Male","5"
"2019","All","N/A","21 - 24","Wales","Male","5"
"2019","All","Lower tariff","21 - 24","Wales","Male","5"
"2020","All","Lower tariff","21 - 24","Wales","Male","5"
"2021","All","Lower tariff","21 - 24","Wales","Male","10"
"2022","All","Lower tariff","21 - 24","Wales","Male","5"
"2019","All","Medium tariff","21 - 24","Wales","Male","5"
"2020","All","Medium tariff","21 - 24","Wales","Male","10"
"2022","All","Medium tariff","21 - 24","Wales","Male","5"
"2023","All","Medium tariff","21 - 24","Wales","Male","5"
"2020","All","Higher tariff","21 - 24","Wales","Male","5"
"2023","All","Higher tariff","21 - 24","Wales","Male","5"
"2021","All","Lower tariff","25 - 29","Wales","Male","5"
"2023","All","Lower tariff","25 - 29","Wales","Male","5"
"2022","All","Lower tariff","35 and over","Wales","Male","5"
"2019","All","Lower tariff","17 and under","Not EU","Male","5"
"2020","All","Lower tariff","17 and under","Not EU","Male","5"
"2022","All","Lower tariff","17 and under","Not EU","Male","5"
"2019","All","Medium tariff","17 and under","Not EU","Male","10"
"2020","All","Medium tariff","17 and under","Not EU","Male","15"
"2021","All","Medium tariff","17 and under","Not EU","Male","10"
"2022","All","Medium tariff","17 and under","Not EU","Male","10"
"2023","All","Medium tariff","17 and under","Not EU","Male","10"
"2019","All","Higher tariff","17 and under","Not EU","Male","25"
"2020","All","Higher tariff","17 and under","Not EU","Male","50"
"2021","All","Higher tariff","17 and under","Not EU","Male","20"
"2022","All","Higher tariff","17 and under","Not EU","Male","20"
"2023","All","Higher tariff","17 and under","Not EU","Male","25"
"2019","All","N/A","18","Not EU","Male","5"
"2020","All","N/A","18","Not EU","Male","5"
"2021","All","N/A","18","Not EU","Male","10"
"2022","All","N/A","18","Not EU","Male","5"
"2023","All","N/A","18","Not EU","Male","10"
"2019","All","Lower tariff","18","Not EU","Male","25"
"2020","All","Lower tariff","18","Not EU","Male","15"
"2021","All","Lower tariff","18","Not EU","Male","15"
"2022","All","Lower tariff","18","Not EU","Male","15"
"2023","All","Lower tariff","18","Not EU","Male","35"
"2019","All","Medium tariff","18","Not EU","Male","60"
"2020","All","Medium tariff","18","Not EU","Male","105"
"2021","All","Medium tariff","18","Not EU","Male","80"
"2022","All","Medium tariff","18","Not EU","Male","75"
"2023","All","Medium tariff","18","Not EU","Male","75"
"2019","All","Higher tariff","18","Not EU","Male","125"
"2020","All","Higher tariff","18","Not EU","Male","370"
"2021","All","Higher tariff","18","Not EU","Male","85"
"2022","All","Higher tariff","18","Not EU","Male","95"
"2023","All","Higher tariff","18","Not EU","Male","125"
"2019","All","N/A","19","Not EU","Male","5"
"2020","All","N/A","19","Not EU","Male","5"
"2022","All","N/A","19","Not EU","Male","5"
"2019","All","Lower tariff","19","Not EU","Male","5"
"2020","All","Lower tariff","19","Not EU","Male","15"
"2021","All","Lower tariff","19","Not EU","Male","5"
"2022","All","Lower tariff","19","Not EU","Male","10"
"2023","All","Lower tariff","19","Not EU","Male","10"
"2019","All","Medium tariff","19","Not EU","Male","50"
"2020","All","Medium tariff","19","Not EU","Male","55"
"2021","All","Medium tariff","19","Not EU","Male","35"
"2022","All","Medium tariff","19","Not EU","Male","30"
"2023","All","Medium tariff","19","Not EU","Male","30"
"2019","All","Higher tariff","19","Not EU","Male","75"
"2020","All","Higher tariff","19","Not EU","Male","190"
"2021","All","Higher tariff","19","Not EU","Male","65"
"2022","All","Higher tariff","19","Not EU","Male","40"
"2023","All","Higher tariff","19","Not EU","Male","65"
"2022","All","N/A","20","Not EU","Male","5"
"2019","All","Lower tariff","20","Not EU","Male","5"
"2021","All","Lower tariff","20","Not EU","Male","5"
"2019","All","Medium tariff","20","Not EU","Male","10"
"2020","All","Medium tariff","20","Not EU","Male","15"
"2021","All","Medium tariff","20","Not EU","Male","10"
"2022","All","Medium tariff","20","Not EU","Male","15"
"2023","All","Medium tariff","20","Not EU","Male","15"
"2019","All","Higher tariff","20","Not EU","Male","20"
"2020","All","Higher tariff","20","Not EU","Male","35"
"2021","All","Higher tariff","20","Not EU","Male","20"
"2022","All","Higher tariff","20","Not EU","Male","20"
"2023","All","Higher tariff","20","Not EU","Male","20"
"2019","All","Lower tariff","21 - 24","Not EU","Male","5"
"2020","All","Lower tariff","21 - 24","Not EU","Male","5"
"2021","All","Lower tariff","21 - 24","Not EU","Male","5"
"2022","All","Lower tariff","21 - 24","Not EU","Male","5"
"2023","All","Lower tariff","21 - 24","Not EU","Male","5"
"2019","All","Medium tariff","21 - 24","Not EU","Male","10"
"2020","All","Medium tariff","21 - 24","Not EU","Male","15"
"2021","All","Medium tariff","21 - 24","Not EU","Male","10"
"2022","All","Medium tariff","21 - 24","Not EU","Male","5"
"2023","All","Medium tariff","21 - 24","Not EU","Male","10"
"2019","All","Higher tariff","21 - 24","Not EU","Male","10"
"2020","All","Higher tariff","21 - 24","Not EU","Male","10"
"2021","All","Higher tariff","21 - 24","Not EU","Male","15"
"2022","All","Higher tariff","21 - 24","Not EU","Male","10"
"2023","All","Higher tariff","21 - 24","Not EU","Male","10"
"2023","All","Lower tariff","25 - 29","Not EU","Male","5"
"2020","All","Medium tariff","25 - 29","Not EU","Male","5"
"2019","All","Higher tariff","25 - 29","Not EU","Male","5"
"2021","All","Higher tariff","25 - 29","Not EU","Male","5"
"2023","All","Higher tariff","25 - 29","Not EU","Male","5"
"2021","All","Medium tariff","30 - 34","Not EU","Male","5"
"2023","All","Medium tariff","30 - 34","Not EU","Male","5"
"2019","All","Lower tariff","17 and under","EU (excluding UK)","Male","5"
"2020","All","Lower tariff","17 and under","EU (excluding UK)","Male","5"
"2019","All","Medium tariff","17 and under","EU (excluding UK)","Male","5"
"2020","All","Medium tariff","17 and under","EU (excluding UK)","Male","10"
"2019","All","Higher tariff","17 and under","EU (excluding UK)","Male","10"
"2020","All","Higher tariff","17 and under","EU (excluding UK)","Male","20"
"2021","All","Higher tariff","17 and under","EU (excluding UK)","Male","5"
"2023","All","Higher tariff","17 and under","EU (excluding UK)","Male","5"
"2019","All","Lower tariff","18","EU (excluding UK)","Male","15"
"2020","All","Lower tariff","18","EU (excluding UK)","Male","10"
"2021","All","Lower tariff","18","EU (excluding UK)","Male","5"
"2022","All","Lower tariff","18","EU (excluding UK)","Male","5"
"2023","All","Lower tariff","18","EU (excluding UK)","Male","10"
"2019","All","Medium tariff","18","EU (excluding UK)","Male","40"
"2020","All","Medium tariff","18","EU (excluding UK)","Male","50"
"2021","All","Medium tariff","18","EU (excluding UK)","Male","15"
"2022","All","Medium tariff","18","EU (excluding UK)","Male","10"
"2023","All","Medium tariff","18","EU (excluding UK)","Male","20"
"2019","All","Higher tariff","18","EU (excluding UK)","Male","40"
"2020","All","Higher tariff","18","EU (excluding UK)","Male","100"
"2021","All","Higher tariff","18","EU (excluding UK)","Male","5"
"2022","All","Higher tariff","18","EU (excluding UK)","Male","10"
"2023","All","Higher tariff","18","EU (excluding UK)","Male","15"
"2019","All","N/A","19","EU (excluding UK)","Male","5"
"2019","All","Lower tariff","19","EU (excluding UK)","Male","15"
"2020","All","Lower tariff","19","EU (excluding UK)","Male","10"
"2021","All","Lower tariff","19","EU (excluding UK)","Male","10"
"2022","All","Lower tariff","19","EU (excluding UK)","Male","5"
"2023","All","Lower tariff","19","EU (excluding UK)","Male","5"
"2019","All","Medium tariff","19","EU (excluding UK)","Male","15"
"2020","All","Medium tariff","19","EU (excluding UK)","Male","30"
"2021","All","Medium tariff","19","EU (excluding UK)","Male","10"
"2022","All","Medium tariff","19","EU (excluding UK)","Male","5"
"2023","All","Medium tariff","19","EU (excluding UK)","Male","5"
"2019","All","Higher tariff","19","EU (excluding UK)","Male","20"
"2020","All","Higher tariff","19","EU (excluding UK)","Male","40"
"2022","All","Higher tariff","19","EU (excluding UK)","Male","5"
"2023","All","Higher tariff","19","EU (excluding UK)","Male","5"
"2019","All","Lower tariff","20","EU (excluding UK)","Male","5"
"2020","All","Lower tariff","20","EU (excluding UK)","Male","5"
"2019","All","Medium tariff","20","EU (excluding UK)","Male","5"
"2020","All","Medium tariff","20","EU (excluding UK)","Male","5"
"2019","All","Higher tariff","20","EU (excluding UK)","Male","5"
"2020","All","Higher tariff","20","EU (excluding UK)","Male","10"
"2019","All","Lower tariff","21 - 24","EU (excluding UK)","Male","5"
"2020","All","Lower tariff","21 - 24","EU (excluding UK)","Male","10"
"2021","All","Lower tariff","21 - 24","EU (excluding UK)","Male","5"
"2023","All","Lower tariff","21 - 24","EU (excluding UK)","Male","5"
"2019","All","Medium tariff","21 - 24","EU (excluding UK)","Male","5"
"2020","All","Medium tariff","21 - 24","EU (excluding UK)","Male","5"
"2022","All","Medium tariff","21 - 24","EU (excluding UK)","Male","5"
"2021","All","Higher tariff","21 - 24","EU (excluding UK)","Male","5"
"2023","All","Higher tariff","21 - 24","EU (excluding UK)","Male","5"
"2019","N/A","All","18","Northern Ireland","Female","5"
"2020","N/A","All","18","Northern Ireland","Female","5"
"2022","N/A","All","18","Northern Ireland","Female","5"
"2023","N/A","All","18","Northern Ireland","Female","10"
"2019","Lower tariff","All","18","Northern Ireland","Female","100"
"2020","Lower tariff","All","18","Northern Ireland","Female","155"
"2021","Lower tariff","All","18","Northern Ireland","Female","95"
"2022","Lower tariff","All","18","Northern Ireland","Female","150"
"2023","Lower tariff","All","18","Northern Ireland","Female","105"
"2019","Medium tariff","All","18","Northern Ireland","Female","50"
"2020","Medium tariff","All","18","Northern Ireland","Female","70"
"2021","Medium tariff","All","18","Northern Ireland","Female","75"
"2022","Medium tariff","All","18","Northern Ireland","Female","75"
"2023","Medium tariff","All","18","Northern Ireland","Female","75"
"2019","Higher tariff","All","18","Northern Ireland","Female","35"
"2020","Higher tariff","All","18","Northern Ireland","Female","35"
"2021","Higher tariff","All","18","Northern Ireland","Female","30"
"2022","Higher tariff","All","18","Northern Ireland","Female","40"
"2023","Higher tariff","All","18","Northern Ireland","Female","30"
"2019","Lower tariff","All","19","Northern Ireland","Female","30"
"2020","Lower tariff","All","19","Northern Ireland","Female","30"
"2021","Lower tariff","All","19","Northern Ireland","Female","25"
"2022","Lower tariff","All","19","Northern Ireland","Female","15"
"2023","Lower tariff","All","19","Northern Ireland","Female","25"
"2019","Medium tariff","All","19","Northern Ireland","Female","15"
"2020","Medium tariff","All","19","Northern Ireland","Female","15"
"2021","Medium tariff","All","19","Northern Ireland","Female","10"
"2022","Medium tariff","All","19","Northern Ireland","Female","15"
"2023","Medium tariff","All","19","Northern Ireland","Female","10"
"2019","Higher tariff","All","19","Northern Ireland","Female","10"
"2020","Higher tariff","All","19","Northern Ireland","Female","10"
"2021","Higher tariff","All","19","Northern Ireland","Female","10"
"2022","Higher tariff","All","19","Northern Ireland","Female","5"
"2023","Higher tariff","All","19","Northern Ireland","Female","5"
"2019","Lower tariff","All","20","Northern Ireland","Female","10"
"2020","Lower tariff","All","20","Northern Ireland","Female","10"
"2021","Lower tariff","All","20","Northern Ireland","Female","5"
"2022","Lower tariff","All","20","Northern Ireland","Female","10"
"2023","Lower tariff","All","20","Northern Ireland","Female","10"
"2019","Medium tariff","All","20","Northern Ireland","Female","5"
"2020","Medium tariff","All","20","Northern Ireland","Female","5"
"2021","Medium tariff","All","20","Northern Ireland","Female","5"
"2022","Medium tariff","All","20","Northern Ireland","Female","5"
"2021","Higher tariff","All","20","Northern Ireland","Female","5"
"2019","Lower tariff","All","21 - 24","Northern Ireland","Female","5"
"2020","Lower tariff","All","21 - 24","Northern Ireland","Female","5"
"2021","Lower tariff","All","21 - 24","Northern Ireland","Female","15"
"2022","Lower tariff","All","21 - 24","Northern Ireland","Female","5"
"2023","Lower tariff","All","21 - 24","Northern Ireland","Female","10"
"2019","Medium tariff","All","21 - 24","Northern Ireland","Female","5"
"2022","Medium tariff","All","21 - 24","Northern Ireland","Female","5"
"2023","Medium tariff","All","21 - 24","Northern Ireland","Female","5"
"2021","Lower tariff","All","25 - 29","Northern Ireland","Female","5"
"2023","Lower tariff","All","25 - 29","Northern Ireland","Female","5"
"2020","Medium tariff","All","25 - 29","Northern Ireland","Female","5"
"2019","Lower tariff","All","30 - 34","Northern Ireland","Female","5"
"2023","Lower tariff","All","30 - 34","Northern Ireland","Female","5"
"2022","Medium tariff","All","30 - 34","Northern Ireland","Female","5"
"2021","Lower tariff","All","35 and over","Northern Ireland","Female","5"
"2022","Lower tariff","All","35 and over","Northern Ireland","Female","5"
"2023","Lower tariff","All","35 and over","Northern Ireland","Female","5"
"2019","Lower tariff","All","17 and under","England","Female","5"
"2020","Lower tariff","All","17 and under","England","Female","10"
"2022","Lower tariff","All","17 and under","England","Female","5"
