"Year","Tariff group of provider released from","Tariff group of provider accepted to","Age group","Domicile","Gender","Placed after self-releasing"
"2021","Lower tariff","Medium tariff","21 - 24","Northern Ireland","Female","5"
"2023","Lower tariff","Medium tariff","21 - 24","Northern Ireland","Female","5"
"2020","Medium tariff","Lower tariff","25 - 29","Northern Ireland","Female","5"
"2021","Lower tariff","Medium tariff","25 - 29","Northern Ireland","Female","5"
"2023","Lower tariff","Medium tariff","25 - 29","Northern Ireland","Female","5"
"2023","Lower tariff","Lower tariff","30 - 34","Northern Ireland","Female","5"
"2019","Lower tariff","Medium tariff","30 - 34","Northern Ireland","Female","5"
"2021","Lower tariff","Medium tariff","35 and over","Northern Ireland","Female","5"
"2019","Lower tariff","Medium tariff","17 and under","England","Female","5"
"2020","Lower tariff","Medium tariff","17 and under","England","Female","5"
"2022","Medium tariff","Medium tariff","17 and under","England","Female","5"
"2019","Higher tariff","Medium tariff","17 and under","England","Female","5"
"2020","Lower tariff","Higher tariff","17 and under","England","Female","5"
"2019","Medium tariff","Higher tariff","17 and under","England","Female","5"
"2020","Medium tariff","Higher tariff","17 and under","England","Female","5"
"2021","Medium tariff","Higher tariff","17 and under","England","Female","5"
"2020","Higher tariff","Higher tariff","17 and under","England","Female","10"
"2023","Higher tariff","Higher tariff","17 and under","England","Female","5"
"2019","N/A","N/A","18","England","Female","120"
"2020","N/A","N/A","18","England","Female","105"
"2021","N/A","N/A","18","England","Female","90"
"2022","N/A","N/A","18","England","Female","95"
"2023","N/A","N/A","18","England","Female","140"
"2019","Lower tariff","Lower tariff","18","England","Female","1620"
"2020","Lower tariff","Lower tariff","18","England","Female","1620"
"2021","Lower tariff","Lower tariff","18","England","Female","1495"
"2022","Lower tariff","Lower tariff","18","England","Female","2050"
"2023","Lower tariff","Lower tariff","18","England","Female","2045"
"2019","Medium tariff","Lower tariff","18","England","Female","695"
"2020","Medium tariff","Lower tariff","18","England","Female","695"
"2021","Medium tariff","Lower tariff","18","England","Female","785"
"2022","Medium tariff","Lower tariff","18","England","Female","935"
"2023","Medium tariff","Lower tariff","18","England","Female","940"
"2019","Higher tariff","Lower tariff","18","England","Female","130"
"2020","Higher tariff","Lower tariff","18","England","Female","110"
"2021","Higher tariff","Lower tariff","18","England","Female","180"
"2022","Higher tariff","Lower tariff","18","England","Female","190"
"2023","Higher tariff","Lower tariff","18","England","Female","200"
"2019","Lower tariff","Medium tariff","18","England","Female","900"
"2020","Lower tariff","Medium tariff","18","England","Female","1255"
"2021","Lower tariff","Medium tariff","18","England","Female","930"
"2022","Lower tariff","Medium tariff","18","England","Female","1125"
"2023","Lower tariff","Medium tariff","18","England","Female","1205"
"2019","Medium tariff","Medium tariff","18","England","Female","1225"
"2020","Medium tariff","Medium tariff","18","England","Female","1555"
"2021","Medium tariff","Medium tariff","18","England","Female","1385"
"2022","Medium tariff","Medium tariff","18","England","Female","1735"
"2023","Medium tariff","Medium tariff","18","England","Female","1865"
"2019","Higher tariff","Medium tariff","18","England","Female","285"
"2020","Higher tariff","Medium tariff","18","England","Female","320"
"2021","Higher tariff","Medium tariff","18","England","Female","380"
"2022","Higher tariff","Medium tariff","18","England","Female","450"
"2023","Higher tariff","Medium tariff","18","England","Female","495"
"2019","Lower tariff","Higher tariff","18","England","Female","220"
"2020","Lower tariff","Higher tariff","18","England","Female","655"
"2021","Lower tariff","Higher tariff","18","England","Female","180"
"2022","Lower tariff","Higher tariff","18","England","Female","195"
"2023","Lower tariff","Higher tariff","18","England","Female","235"
"2019","Medium tariff","Higher tariff","18","England","Female","660"
