"Year","Predicted SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","10 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","10 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","10 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","10 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2010","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","15","15","0.867","0"
"2013","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2014","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","30","25","0.793","0"
"2015","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2016","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","25","20","0.88","0"
"2017","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","30","30","0.875","0"
"2018","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","30","25","0.839","0"
"2019","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","30","30","0.903","0"
"2020","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","35","30","0.886","0"
"2021","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2022","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","35","25","0.794","0"
"2023","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","30","25","0.833","0"
"2011","6 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2021","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","9 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","10 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","11 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","20","15","0.889","0"
"2013","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2014","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","20","15","0.737","0"
"2015","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","15","15","1","0"
"2016","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2017","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","20","15","0.833","0"
"2018","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2019","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2020","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","20","15","0.8","0"
"2021","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","30","25","0.929","0"
"2023","12 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2012","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.769","0"
"2011","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2013","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.88","0"
"2011","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.667","0"
"2012","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2013","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.741","0"
"2014","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.8","0"
"2015","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","15","15","0.867","0"
"2016","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","10","0.917","0"
"2019","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","20","10","0.632","0"
"2020","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2021","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.833","0"
"2023","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.737","0"
"2010","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","65","50","0.8","0"
"2011","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","55","45","0.811","0"
"2012","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","45","35","0.773","0"
"2013","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","50","40","0.745","0"
"2014","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","30","30","0.906","0"
"2015","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","35","25","0.758","0"
"2016","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","35","25","0.8180000000000001","0"
"2017","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.833","0"
"2018","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","35","30","0.857","0"
"2019","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","40","35","0.923","0"
"2020","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","35","30","0.848","0"
"2021","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","30","20","0.759","0"
"2022","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","35","30","0.853","0"
"2023","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","30","25","0.8130000000000001","0"
"2010","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","95","80","0.835","0"
"2011","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","90","75","0.843","0"
"2012","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","95","80","0.8230000000000001","0"
"2013","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","100","90","0.911","0"
"2014","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","85","75","0.885","0"
"2015","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","85","75","0.859","0"
"2016","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","105","90","0.875","0"
"2017","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","85","65","0.807","0"
"2018","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","105","95","0.913","0"
"2019","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","110","95","0.89","0"
"2020","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","70","65","0.93","0"
"2021","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","90","75","0.8260000000000001","0"
"2022","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","75","65","0.865","0"
"2023","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","110","95","0.848","0"
"2010","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","125","110","0.864","0"
"2011","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","140","125","0.894","0"
"2012","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","130","110","0.84","0"
"2013","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","125","110","0.881","0"
"2014","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","140","125","0.9","0"
"2015","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","135","120","0.917","0"
"2016","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","130","110","0.848","0"
"2017","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","125","110","0.886","0"
"2018","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","110","90","0.836","0"
"2019","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","110","95","0.847","0"
"2020","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","140","120","0.871","0"
"2021","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","130","115","0.856","0"
"2022","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","135","120","0.869","0"
"2023","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","145","125","0.861","0"
"2010","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","160","140","0.892","0"
"2011","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","160","140","0.875","0"
"2012","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","150","125","0.858","0"
"2013","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","180","165","0.922","0"
"2014","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","150","130","0.892","0"
"2015","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","180","165","0.896","0"
"2016","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","200","175","0.884","0"
"2017","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","180","155","0.867","0"
"2018","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","185","165","0.893","0"
"2019","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","155","140","0.898","0"
"2020","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","170","145","0.865","0"
"2021","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","210","185","0.882","0"
"2022","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","195","170","0.877","0"
"2023","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","210","195","0.915","0"
"2010","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","445","390","0.885","0"
"2011","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","500","455","0.904","0"
"2012","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","525","465","0.887","0"
"2013","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","575","515","0.895","0"
"2014","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","605","510","0.848","0"
"2015","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","605","515","0.85","0"
"2016","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","685","595","0.87","0"
"2017","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","750","645","0.86","0"
"2018","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","795","695","0.871","0"
"2019","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","775","690","0.885","0"
"2020","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","755","670","0.884","0"
"2021","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","980","885","0.901","0"
"2022","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","1060","930","0.875","0"
"2023","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","1070","980","0.919","0"
"2012","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2015","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2011","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2012","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","10","0.8","0"
"2014","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2015","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2016","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","15","0.929","0"
"2021","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","15","1","0"
"2023","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","10","10"," ","0"
"2010","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","35","30","0.838","0"
"2011","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","35","25","0.676","0"
"2012","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","30","20","0.633","0"
"2013","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","30","25","0.867","0"
"2014","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","30","25","0.774","0"
"2015","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","25","20","0.8260000000000001","0"
"2016","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","15","0.842","0"
"2017","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","15","0.778","0"
"2018","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","10","0.706","0"
"2019","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","10","10"," ","0"
"2021","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","15","0.9410000000000001","0"
"2022","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","20","0.864","0"
"2023","7 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","15","0.842","0"
"2010","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","70","65","0.887","0"
"2011","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","65","60","0.906","0"
"2012","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","70","55","0.797","0"
"2013","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","70","60","0.845","0"
"2014","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","50","40","0.837","0"
"2015","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","50","40","0.8130000000000001","0"
"2016","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","60","50","0.879","0"
"2017","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","35","30","0.848","0"
"2018","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","35","30","0.806","0"
"2019","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","35","30","0.857","0"
"2020","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","25","25","0.926","0"
"2021","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","40","35","0.846","0"
"2022","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","45","35","0.783","0"
"2023","8 point(s)","18","All","Male","Main scheme applicant","Main scheme application","40","30","0.8210000000000001","0"
"2010","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","135","120","0.889","0"
"2011","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","135","120","0.889","0"
"2012","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","140","120","0.8310000000000001","0"
"2013","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","135","110","0.8150000000000001","0"
"2014","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","110","95","0.862","0"
"2015","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","165","135","0.8280000000000001","0"
"2016","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","125","105","0.855","0"
"2017","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","115","105","0.889","0"
"2018","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","105","90","0.849","0"
"2019","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","125","115","0.906","0"
"2020","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","100","85","0.833","0"
"2021","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","75","65","0.842","0"
"2022","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","80","75","0.926","0"
"2023","9 point(s)","18","All","Male","Main scheme applicant","Main scheme application","90","80","0.888","0"
"2010","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","165","150","0.909","0"
"2011","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","165","150","0.914","0"
"2012","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","150","130","0.861","0"
"2013","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","165","145","0.896","0"
"2014","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","175","155","0.908","0"
"2015","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","160","140","0.887","0"
"2016","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","125","120","0.9440000000000001","0"
"2017","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","125","110","0.881","0"
"2018","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","130","120","0.931","0"
"2019","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","135","125","0.912","0"
"2020","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","130","120","0.9450000000000001","0"
"2021","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","115","105","0.889","0"
"2022","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","130","120","0.901","0"
"2023","10 point(s)","18","All","Male","Main scheme applicant","Main scheme application","140","130","0.921","0"
"2010","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","155","145","0.929","0"
"2011","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","190","175","0.92","0"
"2012","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","185","160","0.863","0"
"2013","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","190","175","0.921","0"
"2014","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","185","175","0.93","0"
"2015","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","200","190","0.931","0"
"2016","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","200","180","0.896","0"
"2017","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","185","170","0.918","0"
"2018","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","185","170","0.914","0"
"2019","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","150","135","0.907","0"
"2020","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","175","155","0.874","0"
"2021","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","175","155","0.897","0"
"2022","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","175","165","0.9380000000000001","0"
"2023","11 point(s)","18","All","Male","Main scheme applicant","Main scheme application","190","175","0.921","0"
"2010","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","470","430","0.921","0"
"2011","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","520","475","0.913","0"
"2012","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","525","470","0.897","0"
"2013","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","610","550","0.905","0"
"2014","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","610","560","0.918","0"
"2015","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","685","625","0.909","0"
"2016","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","630","575","0.916","0"
"2017","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","660","610","0.924","0"
"2018","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","675","625","0.926","0"
"2019","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","600","550","0.91","0"
"2020","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","695","625","0.901","0"
"2021","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","810","740","0.913","0"
"2022","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","825","745","0.9","0"
"2023","12 point(s)","18","All","Male","Main scheme applicant","Main scheme application","890","840","0.9470000000000001","0"
"2010","All","18","All","Female","Main scheme applicant","Not main scheme application","35","30","0.882","0"
"2011","All","18","All","Female","Main scheme applicant","Not main scheme application","30","25","0.719","0"
"2012","All","18","All","Female","Main scheme applicant","Not main scheme application","30","25","0.867","0"
"2013","All","18","All","Female","Main scheme applicant","Not main scheme application","30","30","0.875","0"
"2014","All","18","All","Female","Main scheme applicant","Not main scheme application","45","35","0.767","0"
"2015","All","18","All","Female","Main scheme applicant","Not main scheme application","40","35","0.902","0"
"2016","All","18","All","Female","Main scheme applicant","Not main scheme application","50","40","0.837","0"
"2017","All","18","All","Female","Main scheme applicant","Not main scheme application","50","40","0.788","0"
