"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","Female","30 - 34","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","30 - 34","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","30 - 34","Wales","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","30 - 34","Wales","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Female","35 and over","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","35 and over","Wales","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","35 and over","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","18","Not EU","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","18","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","Female","18","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Female","18","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","18","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","18","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","19","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","20","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","21 - 24","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Female","17 and under","Northern Ireland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","18","Northern Ireland","Main scheme applicant","Main scheme application","175","20","0.115","0"
"2020","Female","18","Northern Ireland","Main scheme applicant","Main scheme application","195","35","0.17300000000000001","0"
"2021","Female","18","Northern Ireland","Main scheme applicant","Main scheme application","265","30","0.113","0"
"2022","Female","18","Northern Ireland","Main scheme applicant","Main scheme application","300","45","0.14300000000000002","0"
"2023","Female","18","Northern Ireland","Main scheme applicant","Main scheme application","265","30","0.11800000000000001","0"
"2019","Female","19","Northern Ireland","Main scheme applicant","Main scheme application","70","10","0.159","0"
"2020","Female","19","Northern Ireland","Main scheme applicant","Main scheme application","70","10"," ","0"
"2021","Female","19","Northern Ireland","Main scheme applicant","Main scheme application","85","5"," ","0"
"2022","Female","19","Northern Ireland","Main scheme applicant","Main scheme application","85","15","0.155","0"
"2023","Female","19","Northern Ireland","Main scheme applicant","Main scheme application","75","5"," ","0"
"2019","Female","20","Northern Ireland","Main scheme applicant","Main scheme application","35","0"," ","0"
"2020","Female","20","Northern Ireland","Main scheme applicant","Main scheme application","25","0"," ","0"
"2021","Female","20","Northern Ireland","Main scheme applicant","Main scheme application","30","0"," ","0"
"2022","Female","20","Northern Ireland","Main scheme applicant","Main scheme application","40","0"," ","0"
"2023","Female","20","Northern Ireland","Main scheme applicant","Main scheme application","35","5"," ","0"
"2019","Female","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","65","5"," ","0"
"2020","Female","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","70","15","0.232","0"
"2021","Female","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","105","15","0.14300000000000002","0"
"2022","Female","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","70","5"," ","0"
"2023","Female","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","65","5"," ","0"
"2019","Female","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","80","15","0.167","0"
"2020","Female","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","70","15","0.217","0"
"2021","Female","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","90","15","0.159","0"
"2022","Female","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","60","10","0.203","0"
"2023","Female","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","45","5"," ","0"
"2019","Female","30 - 34","Northern Ireland","Main scheme applicant","Main scheme application","50","5"," ","0"
"2020","Female","30 - 34","Northern Ireland","Main scheme applicant","Main scheme application","50","10"," ","0"
"2021","Female","30 - 34","Northern Ireland","Main scheme applicant","Main scheme application","70","20","0.265","0"
"2022","Female","30 - 34","Northern Ireland","Main scheme applicant","Main scheme application","65","15","0.219","0"
"2023","Female","30 - 34","Northern Ireland","Main scheme applicant","Main scheme application","60","10","0.18","0"
"2019","Female","35 and over","Northern Ireland","Main scheme applicant","Main scheme application","75","15","0.184","0"
"2020","Female","35 and over","Northern Ireland","Main scheme applicant","Main scheme application","40","10","0.268","0"
"2021","Female","35 and over","Northern Ireland","Main scheme applicant","Main scheme application","65","10","0.169","0"
"2022","Female","35 and over","Northern Ireland","Main scheme applicant","Main scheme application","70","15","0.2","0"
"2023","Female","35 and over","Northern Ireland","Main scheme applicant","Main scheme application","55","5"," ","0"
"2020","Female","17 and under","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Female","17 and under","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Female","17 and under","England","Main scheme applicant","Main scheme application","5","0"," ","0"
