"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Female","17 and under","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","18","England","Main scheme applicant","Main scheme application","2120","705","0.332","0"
"2020","Female","18","England","Main scheme applicant","Main scheme application","2350","925","0.393","0"
"2021","Female","18","England","Main scheme applicant","Main scheme application","2875","925","0.322","0"
"2022","Female","18","England","Main scheme applicant","Main scheme application","2985","875","0.293","0"
"2023","Female","18","England","Main scheme applicant","Main scheme application","2535","990","0.391","0"
"2019","Male","18","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Male","18","England","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","Male","18","England","Main scheme applicant","Main scheme application","15","5"," ","0"
"2023","Male","18","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","19","England","Main scheme applicant","Main scheme application","890","325","0.367","0"
"2020","Female","19","England","Main scheme applicant","Main scheme application","885","315","0.357","0"
"2021","Female","19","England","Main scheme applicant","Main scheme application","1080","315","0.292","0"
"2022","Female","19","England","Main scheme applicant","Main scheme application","1030","245","0.23900000000000002","0"
"2023","Female","19","England","Main scheme applicant","Main scheme application","840","275","0.329","0"
"2019","Female","20","England","Main scheme applicant","Main scheme application","505","170","0.336","0"
"2020","Female","20","England","Main scheme applicant","Main scheme application","520","195","0.374","0"
"2021","Female","20","England","Main scheme applicant","Main scheme application","600","160","0.267","0"
"2022","Female","20","England","Main scheme applicant","Main scheme application","600","145","0.246","0"
"2023","Female","20","England","Main scheme applicant","Main scheme application","500","175","0.34500000000000003","0"
"2021","Male","20","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","20","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","21 - 24","England","Main scheme applicant","Main scheme application","1195","460","0.386","0"
"2020","Female","21 - 24","England","Main scheme applicant","Main scheme application","1230","535","0.433","0"
"2021","Female","21 - 24","England","Main scheme applicant","Main scheme application","1520","510","0.335","0"
"2022","Female","21 - 24","England","Main scheme applicant","Main scheme application","1280","375","0.295","0"
"2023","Female","21 - 24","England","Main scheme applicant","Main scheme application","935","335","0.357","0"
"2019","Male","21 - 24","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","Male","21 - 24","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Male","21 - 24","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Male","21 - 24","England","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","Male","21 - 24","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","25 - 29","England","Main scheme applicant","Main scheme application","1105","465","0.42","0"
"2020","Female","25 - 29","England","Main scheme applicant","Main scheme application","1130","555","0.489","0"
"2021","Female","25 - 29","England","Main scheme applicant","Main scheme application","1520","585","0.385","0"
"2022","Female","25 - 29","England","Main scheme applicant","Main scheme application","1250","500","0.401","0"
"2023","Female","25 - 29","England","Main scheme applicant","Main scheme application","880","370","0.42","0"
