"Year","Predicted SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","All","White","All","Main scheme application","410","190","0.466","0"
"2015","All","White","All","Main scheme application","420","185","0.442","0"
"2016","All","White","All","Main scheme application","345","185","0.542","0"
"2017","All","White","All","Main scheme application","340","185","0.553","0"
"2018","All","White","All","Main scheme application","335","190","0.5740000000000001","0"
"2019","All","White","All","Main scheme application","300","170","0.5670000000000001","0"
"2020","All","White","All","Main scheme application","290","195","0.669","0"
"2021","All","White","All","Main scheme application","305","225","0.735","0"
"2022","All","White","All","Main scheme application","195","120","0.609","0"
"2023","All","White","All","Main scheme application","230","150","0.651","0"
"2010","All","Black","All","Main scheme application","5","0"," ","0"
"2011","All","Black","All","Main scheme application","5","0"," ","0"
"2012","All","Black","All","Main scheme application","5","5"," ","0"
"2014","All","Black","All","Main scheme application","5","0"," ","0"
"2015","All","Black","All","Main scheme application","15","0"," ","0"
"2016","All","Black","All","Main scheme application","10","5"," ","0"
"2017","All","Black","All","Main scheme application","10","5"," ","0"
"2018","All","Black","All","Main scheme application","10","5"," ","0"
"2019","All","Black","All","Main scheme application","15","5"," ","0"
"2020","All","Black","All","Main scheme application","15","10","0.846","0"
"2021","All","Black","All","Main scheme application","20","15","0.85","0"
"2022","All","Black","All","Main scheme application","25","20","0.72","0"
"2023","All","Black","All","Main scheme application","25","10"," ","0"
"2010","All","Asian","All","Main scheme application","30","10","0.41400000000000003","0"
"2011","All","Asian","All","Main scheme application","40","20","0.526","0"
"2012","All","Asian","All","Main scheme application","45","20","0.465","0"
"2013","All","Asian","All","Main scheme application","40","20","0.5","0"
"2014","All","Asian","All","Main scheme application","50","25","0.542","0"
"2015","All","Asian","All","Main scheme application","55","25","0.426","0"
"2016","All","Asian","All","Main scheme application","50","20","0.44","0"
"2017","All","Asian","All","Main scheme application","30","15","0.452","0"
"2018","All","Asian","All","Main scheme application","55","40","0.737","0"
"2019","All","Asian","All","Main scheme application","30","15","0.5","0"
"2020","All","Asian","All","Main scheme application","55","35","0.63","0"
"2021","All","Asian","All","Main scheme application","40","30","0.7000000000000001","0"
"2022","All","Asian","All","Main scheme application","50","30","0.577","0"
"2023","All","Asian","All","Main scheme application","55","35","0.607","0"
"2010","All","Mixed","All","Main scheme application","5","0"," ","0"
"2011","All","Mixed","All","Main scheme application","5","0"," ","0"
"2012","All","Mixed","All","Main scheme application","10","5"," ","0"
"2013","All","Mixed","All","Main scheme application","5","0"," ","0"
"2014","All","Mixed","All","Main scheme application","10","5"," ","0"
"2015","All","Mixed","All","Main scheme application","10","5"," ","0"
"2016","All","Mixed","All","Main scheme application","5","5"," ","0"
"2017","All","Mixed","All","Main scheme application","10","5"," ","0"
"2018","All","Mixed","All","Main scheme application","10","5"," ","0"
"2019","All","Mixed","All","Main scheme application","10","5"," ","0"
"2020","All","Mixed","All","Main scheme application","15","15","0.8240000000000001","0"
"2021","All","Mixed","All","Main scheme application","15","10","0.714","0"
"2022","All","Mixed","All","Main scheme application","15","10","0.846","0"
"2023","All","Mixed","All","Main scheme application","15","10","0.733","0"
"2014","All","Other","All","Main scheme application","5","0"," ","0"
"2015","All","Other","All","Main scheme application","10","5"," ","0"
"2016","All","Other","All","Main scheme application","10","0"," ","0"
"2017","All","Other","All","Main scheme application","5","0"," ","0"
"2018","All","Other","All","Main scheme application","5","5"," ","0"
"2019","All","Other","All","Main scheme application","10","5"," ","0"
"2020","All","Other","All","Main scheme application","15","5"," ","0"
"2021","All","Other","All","Main scheme application","15","10"," ","0"
"2023","All","Other","All","Main scheme application","20","10"," ","0"
"2010","All","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2012","All","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2013","All","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2016","All","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2018","All","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2020","All","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2021","All","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2023","All","Unknown or Prefer Not To Say","All","Main scheme application","5","0"," ","0"
"2010","11 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2014","11 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","11 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2010","12 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2011","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2015","12 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2017","12 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","12 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2020","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
