"Year","Difference between predicted and achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","-5 points","Quintile 3","All","Not main scheme application","220","205","0.932","0"
"2021","-5 points","Quintile 3","All","Not main scheme application","200","185","0.925","0"
"2022","-5 points","Quintile 3","All","Not main scheme application","515","490","0.9480000000000001","0"
"2023","-5 points","Quintile 3","All","Not main scheme application","795","745","0.937","0"
"2010","-6 points","Quintile 3","All","Not main scheme application","110","95","0.857","0"
"2011","-6 points","Quintile 3","All","Not main scheme application","135","110","0.842","0"
"2012","-6 points","Quintile 3","All","Not main scheme application","155","130","0.863","0"
"2013","-6 points","Quintile 3","All","Not main scheme application","140","125","0.894","0"
"2014","-6 points","Quintile 3","All","Not main scheme application","180","165","0.917","0"
"2015","-6 points","Quintile 3","All","Not main scheme application","205","190","0.917","0"
"2016","-6 points","Quintile 3","All","Not main scheme application","250","225","0.904","0"
"2017","-6 points","Quintile 3","All","Not main scheme application","305","280","0.931","0"
"2018","-6 points","Quintile 3","All","Not main scheme application","350","330","0.9400000000000001","0"
"2019","-6 points","Quintile 3","All","Not main scheme application","435","415","0.9500000000000001","0"
"2020","-6 points","Quintile 3","All","Not main scheme application","120","115","0.934","0"
"2021","-6 points","Quintile 3","All","Not main scheme application","80","80","0.9510000000000001","0"
"2022","-6 points","Quintile 3","All","Not main scheme application","330","305","0.925","0"
"2023","-6 points","Quintile 3","All","Not main scheme application","660","605","0.915","0"
"2010","Less than -6 points","Quintile 3","All","Not main scheme application","75","60","0.8","0"
"2011","Less than -6 points","Quintile 3","All","Not main scheme application","110","90","0.8200000000000001","5"
"2012","Less than -6 points","Quintile 3","All","Not main scheme application","95","85","0.884","0"
"2013","Less than -6 points","Quintile 3","All","Not main scheme application","110","90","0.8240000000000001","0"
"2014","Less than -6 points","Quintile 3","All","Not main scheme application","150","130","0.88","0"
"2015","Less than -6 points","Quintile 3","All","Not main scheme application","170","155","0.917","0"
"2016","Less than -6 points","Quintile 3","All","Not main scheme application","220","200","0.896","0"
"2017","Less than -6 points","Quintile 3","All","Not main scheme application","300","270","0.903","0"
"2018","Less than -6 points","Quintile 3","All","Not main scheme application","455","420","0.917","5"
"2019","Less than -6 points","Quintile 3","All","Not main scheme application","630","580","0.919","0"
"2020","Less than -6 points","Quintile 3","All","Not main scheme application","90","75","0.865","0"
"2021","Less than -6 points","Quintile 3","All","Not main scheme application","90","80","0.921","0"
"2022","Less than -6 points","Quintile 3","All","Not main scheme application","415","360","0.874","0"
"2023","Less than -6 points","Quintile 3","All","Not main scheme application","910","830","0.908","0"
"2010","0 points","Quintile 4","All","Not main scheme application","425","375","0.887","0"
"2011","0 points","Quintile 4","All","Not main scheme application","440","380","0.857","0"
"2012","0 points","Quintile 4","All","Not main scheme application","450","400","0.895","0"
"2013","0 points","Quintile 4","All","Not main scheme application","395","350","0.879","0"
"2014","0 points","Quintile 4","All","Not main scheme application","350","325","0.929","0"
"2015","0 points","Quintile 4","All","Not main scheme application","355","330","0.93","0"
"2016","0 points","Quintile 4","All","Not main scheme application","330","305","0.933","0"
"2017","0 points","Quintile 4","All","Not main scheme application","365","340","0.926","0"
"2018","0 points","Quintile 4","All","Not main scheme application","315","295","0.931","0"
"2019","0 points","Quintile 4","All","Not main scheme application","330","305","0.936","0"
"2020","0 points","Quintile 4","All","Not main scheme application","1240","1205","0.972","10"
"2021","0 points","Quintile 4","All","Not main scheme application","635","575","0.905","0"
"2022","0 points","Quintile 4","All","Not main scheme application","555","490","0.885","0"
"2023","0 points","Quintile 4","All","Not main scheme application","290","270","0.924","0"
"2010","1 points","Quintile 4","All","Not main scheme application","170","145","0.854","0"
"2011","1 points","Quintile 4","All","Not main scheme application","185","160","0.875","0"
"2012","1 points","Quintile 4","All","Not main scheme application","185","170","0.918","0"
