"Year","Difference between predicted and achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","1 points","Quintile 4","All","Not main scheme application","190","180","0.937","0"
"2014","1 points","Quintile 4","All","Not main scheme application","170","155","0.913","0"
"2015","1 points","Quintile 4","All","Not main scheme application","135","130","0.964","0"
"2016","1 points","Quintile 4","All","Not main scheme application","115","105","0.913","0"
"2017","1 points","Quintile 4","All","Not main scheme application","145","135","0.9440000000000001","0"
"2018","1 points","Quintile 4","All","Not main scheme application","135","130","0.963","0"
"2019","1 points","Quintile 4","All","Not main scheme application","150","140","0.9460000000000001","0"
"2020","1 points","Quintile 4","All","Not main scheme application","505","485","0.96","0"
"2021","1 points","Quintile 4","All","Not main scheme application","385","355","0.927","0"
"2022","1 points","Quintile 4","All","Not main scheme application","325","300","0.917","0"
"2023","1 points","Quintile 4","All","Not main scheme application","115","115","0.966","0"
"2010","2 points","Quintile 4","All","Not main scheme application","60","45","0.81","0"
"2011","2 points","Quintile 4","All","Not main scheme application","65","50","0.8250000000000001","0"
"2012","2 points","Quintile 4","All","Not main scheme application","85","75","0.916","0"
"2013","2 points","Quintile 4","All","Not main scheme application","80","75","0.9500000000000001","0"
"2014","2 points","Quintile 4","All","Not main scheme application","75","70","0.92","0"
"2015","2 points","Quintile 4","All","Not main scheme application","55","55","0.964","0"
"2016","2 points","Quintile 4","All","Not main scheme application","50","50","0.962","0"
"2017","2 points","Quintile 4","All","Not main scheme application","80","80","0.975","0"
"2018","2 points","Quintile 4","All","Not main scheme application","100","95","0.969","0"
"2019","2 points","Quintile 4","All","Not main scheme application","70","65","0.926","0"
"2020","2 points","Quintile 4","All","Not main scheme application","150","140","0.9460000000000001","5"
"2021","2 points","Quintile 4","All","Not main scheme application","195","175","0.896","0"
"2022","2 points","Quintile 4","All","Not main scheme application","155","135","0.872","0"
"2023","2 points","Quintile 4","All","Not main scheme application","50","50","0.9410000000000001","0"
"2010","3 points","Quintile 4","All","Not main scheme application","30","25","0.893","0"
"2011","3 points","Quintile 4","All","Not main scheme application","35","30","0.833","0"
"2012","3 points","Quintile 4","All","Not main scheme application","30","25","0.862","0"
"2013","3 points","Quintile 4","All","Not main scheme application","30","25","0.964","0"
"2014","3 points","Quintile 4","All","Not main scheme application","15","15","0.8240000000000001","0"
"2015","3 points","Quintile 4","All","Not main scheme application","25","25","1","0"
"2016","3 points","Quintile 4","All","Not main scheme application","30","25","0.964","0"
"2017","3 points","Quintile 4","All","Not main scheme application","30","25","0.929","0"
"2018","3 points","Quintile 4","All","Not main scheme application","35","30","0.838","0"
"2019","3 points","Quintile 4","All","Not main scheme application","25","25","0.926","0"
"2020","3 points","Quintile 4","All","Not main scheme application","35","35","0.9430000000000001","0"
"2021","3 points","Quintile 4","All","Not main scheme application","70","65","0.93","0"
"2022","3 points","Quintile 4","All","Not main scheme application","55","50","0.927","0"
"2023","3 points","Quintile 4","All","Not main scheme application","15","15","0.9410000000000001","0"
"2010","More than 3 points","Quintile 4","All","Not main scheme application","10","5"," ","0"
"2011","More than 3 points","Quintile 4","All","Not main scheme application","15","15","1","0"
"2012","More than 3 points","Quintile 4","All","Not main scheme application","15","10","0.923","0"
"2013","More than 3 points","Quintile 4","All","Not main scheme application","10","10"," ","0"
"2014","More than 3 points","Quintile 4","All","Not main scheme application","10","10"," ","0"
"2015","More than 3 points","Quintile 4","All","Not main scheme application","10","10","1","0"
"2016","More than 3 points","Quintile 4","All","Not main scheme application","10","10"," ","0"
"2017","More than 3 points","Quintile 4","All","Not main scheme application","20","20","0.9520000000000001","0"
"2018","More than 3 points","Quintile 4","All","Not main scheme application","15","10","0.8","0"
"2019","More than 3 points","Quintile 4","All","Not main scheme application","20","15","0.889","0"
"2020","More than 3 points","Quintile 4","All","Not main scheme application","5","5"," ","0"
"2021","More than 3 points","Quintile 4","All","Not main scheme application","40","35","0.9470000000000001","0"
"2022","More than 3 points","Quintile 4","All","Not main scheme application","40","40","0.9500000000000001","0"
"2023","More than 3 points","Quintile 4","All","Not main scheme application","10","10","0.833","0"
"2010","-1 points","Quintile 4","All","Not main scheme application","735","655","0.894","0"
"2011","-1 points","Quintile 4","All","Not main scheme application","790","715","0.905","0"
"2012","-1 points","Quintile 4","All","Not main scheme application","745","690","0.925","0"
"2013","-1 points","Quintile 4","All","Not main scheme application","670","610","0.911","0"
"2014","-1 points","Quintile 4","All","Not main scheme application","695","660","0.9530000000000001","0"
"2015","-1 points","Quintile 4","All","Not main scheme application","665","615","0.928","0"
"2016","-1 points","Quintile 4","All","Not main scheme application","650","605","0.929","0"
"2017","-1 points","Quintile 4","All","Not main scheme application","705","670","0.9450000000000001","0"
"2018","-1 points","Quintile 4","All","Not main scheme application","600","565","0.9380000000000001","0"
"2019","-1 points","Quintile 4","All","Not main scheme application","515","475","0.924","0"
"2020","-1 points","Quintile 4","All","Not main scheme application","1540","1480","0.96","5"
"2021","-1 points","Quintile 4","All","Not main scheme application","860","805","0.937","0"
"2022","-1 points","Quintile 4","All","Not main scheme application","765","700","0.916","0"
"2023","-1 points","Quintile 4","All","Not main scheme application","585","540","0.923","0"
"2010","-2 points","Quintile 4","All","Not main scheme application","1035","945","0.916","0"
"2011","-2 points","Quintile 4","All","Not main scheme application","1215","1100","0.905","0"
"2012","-2 points","Quintile 4","All","Not main scheme application","1075","990","0.92","0"
"2013","-2 points","Quintile 4","All","Not main scheme application","950","885","0.932","0"
"2014","-2 points","Quintile 4","All","Not main scheme application","990","935","0.9440000000000001","0"
"2015","-2 points","Quintile 4","All","Not main scheme application","1020","965","0.9430000000000001","0"
"2016","-2 points","Quintile 4","All","Not main scheme application","1050","975","0.926","0"
"2017","-2 points","Quintile 4","All","Not main scheme application","1085","1025","0.9480000000000001","0"
"2018","-2 points","Quintile 4","All","Not main scheme application","915","875","0.9530000000000001","0"
"2019","-2 points","Quintile 4","All","Not main scheme application","925","865","0.934","0"
"2020","-2 points","Quintile 4","All","Not main scheme application","1515","1455","0.96","5"
"2021","-2 points","Quintile 4","All","Not main scheme application","855","805","0.9420000000000001","0"
"2022","-2 points","Quintile 4","All","Not main scheme application","980","925","0.9440000000000001","0"
"2023","-2 points","Quintile 4","All","Not main scheme application","865","800","0.923","0"
"2010","-3 points","Quintile 4","All","Not main scheme application","910","825","0.904","0"
"2011","-3 points","Quintile 4","All","Not main scheme application","1190","1075","0.902","5"
"2012","-3 points","Quintile 4","All","Not main scheme application","1020","945","0.93","0"
"2013","-3 points","Quintile 4","All","Not main scheme application","965","900","0.933","0"
"2014","-3 points","Quintile 4","All","Not main scheme application","1160","1075","0.925","0"
"2015","-3 points","Quintile 4","All","Not main scheme application","1165","1105","0.9480000000000001","0"
"2016","-3 points","Quintile 4","All","Not main scheme application","1235","1165","0.9420000000000001","0"
"2017","-3 points","Quintile 4","All","Not main scheme application","1125","1065","0.9470000000000001","0"
"2018","-3 points","Quintile 4","All","Not main scheme application","1140","1085","0.9510000000000001","0"
"2019","-3 points","Quintile 4","All","Not main scheme application","1205","1150","0.9560000000000001","0"
"2020","-3 points","Quintile 4","All","Not main scheme application","1070","1020","0.9530000000000001","0"
"2021","-3 points","Quintile 4","All","Not main scheme application","680","650","0.9560000000000001","0"
"2022","-3 points","Quintile 4","All","Not main scheme application","1110","1045","0.9420000000000001","0"
"2023","-3 points","Quintile 4","All","Not main scheme application","1220","1130","0.929","0"
"2010","-4 points","Quintile 4","All","Not main scheme application","605","540","0.896","0"
"2011","-4 points","Quintile 4","All","Not main scheme application","795","720","0.909","0"
"2012","-4 points","Quintile 4","All","Not main scheme application","735","680","0.928","0"
"2013","-4 points","Quintile 4","All","Not main scheme application","720","675","0.9420000000000001","0"
"2014","-4 points","Quintile 4","All","Not main scheme application","850","795","0.933","0"
"2015","-4 points","Quintile 4","All","Not main scheme application","890","830","0.935","0"
"2016","-4 points","Quintile 4","All","Not main scheme application","980","915","0.935","0"
"2017","-4 points","Quintile 4","All","Not main scheme application","1055","985","0.933","0"
"2018","-4 points","Quintile 4","All","Not main scheme application","1050","995","0.9460000000000001","0"
"2019","-4 points","Quintile 4","All","Not main scheme application","1080","1020","0.9410000000000001","0"
"2020","-4 points","Quintile 4","All","Not main scheme application","645","615","0.9550000000000001","0"
"2021","-4 points","Quintile 4","All","Not main scheme application","455","435","0.9520000000000001","0"
"2022","-4 points","Quintile 4","All","Not main scheme application","880","830","0.9400000000000001","0"
"2023","-4 points","Quintile 4","All","Not main scheme application","1215","1135","0.936","0"
"2010","-5 points","Quintile 4","All","Not main scheme application","330","300","0.906","0"
"2011","-5 points","Quintile 4","All","Not main scheme application","425","380","0.896","0"
"2012","-5 points","Quintile 4","All","Not main scheme application","380","340","0.9","0"
"2013","-5 points","Quintile 4","All","Not main scheme application","425","395","0.931","0"
"2014","-5 points","Quintile 4","All","Not main scheme application","535","490","0.916","0"
"2015","-5 points","Quintile 4","All","Not main scheme application","535","495","0.923","0"
"2016","-5 points","Quintile 4","All","Not main scheme application","585","545","0.932","0"
"2017","-5 points","Quintile 4","All","Not main scheme application","700","650","0.93","0"
"2018","-5 points","Quintile 4","All","Not main scheme application","735","690","0.937","0"
"2019","-5 points","Quintile 4","All","Not main scheme application","925","870","0.9430000000000001","0"
"2020","-5 points","Quintile 4","All","Not main scheme application","330","305","0.93","0"
"2021","-5 points","Quintile 4","All","Not main scheme application","260","235","0.919","0"
"2022","-5 points","Quintile 4","All","Not main scheme application","630","595","0.9510000000000001","0"
"2023","-5 points","Quintile 4","All","Not main scheme application","1105","1040","0.9410000000000001","0"
