"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","25","20","0.8200000000000001"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","10","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Unknown","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Unknown","5","0"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Unknown","10","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Unknown","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Unknown","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Unknown","10","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Unknown","15","10"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Unknown","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Unknown","25","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Unknown","15","10"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Unknown","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Unknown","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","40","10","0.3"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","25","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","20","10","0.5"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","15","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","10","5"," "
