"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","1330","1145","0.859"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","1665","1435","0.863"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","1930","1655","0.858"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","1685","1490","0.886"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","645","550","0.855"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","600","510","0.847"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","705","590","0.84"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","645","535","0.8270000000000001"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","505","415","0.8180000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","30","25","0.84"
"2020","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","50","40","0.756"
"2021","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","40","35","0.847"
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","30","25","0.8270000000000001"
"2023","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","60","50","0.858"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","1435","1175","0.8190000000000001"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","1515","1210","0.799"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","1770","1445","0.8150000000000001"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","1870","1515","0.809"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","1790","1415","0.79"
"2019","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","30","15","0.5"
"2020","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","30","20","0.735"
"2021","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","30","15","0.467"
"2022","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","10","5"," "
"2023","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","10","5"," "
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","3665","2265","0.618"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","3815","2425","0.635"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","4160","2650","0.637"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","4490","2720","0.606"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","4505","2825","0.628"
"2019","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","60","40","0.672"
"2020","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","75","50","0.6950000000000001"
"2021","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","75","45","0.585"
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","80","45","0.534"
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","90","65","0.714"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","2220","1900","0.855"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","2260","2020","0.893"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","2450","2195","0.897"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","2430","2225","0.915"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","2175","1980","0.911"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","535","475","0.889"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","650","575","0.888"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","565","475","0.844"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","575","445","0.773"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","525","420","0.798"
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","180","80","0.447"
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","180","90","0.5"
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","240","100","0.406"
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","295","160","0.547"
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","220","115","0.516"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","2510","480","0.192"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","2720","515","0.189"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","2960","430","0.145"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","3375","330","0.097"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","3835","360","0.094"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 3","11075","3205","0.289"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 3","11070","2845","0.257"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 3","14280","2745","0.192"
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 3","15240","2200","0.14400000000000002"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 3","13635","2620","0.192"
"2019","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Quintile 3","325","255","0.788"
"2020","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Quintile 3","320","255","0.803"
"2021","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Quintile 3","335","265","0.791"
"2022","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Quintile 3","380","230","0.607"
"2023","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Quintile 3","405","290","0.721"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Quintile 3","8615","7470","0.867"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Quintile 3","7615","6770","0.889"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Quintile 3","7415","6430","0.867"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Quintile 3","7490","6260","0.836"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Quintile 3","7595","6405","0.843"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Quintile 3","635","560","0.885"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Quintile 3","515","460","0.891"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Quintile 3","510","435","0.853"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Quintile 3","695","570","0.8210000000000001"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Quintile 3","840","700","0.833"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Quintile 3","700","615","0.88"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Quintile 3","635","545","0.861"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Quintile 3","840","725","0.866"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Quintile 3","1020","750","0.737"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Quintile 3","1075","815","0.757"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Quintile 3","560","405","0.727"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Quintile 3","580","415","0.718"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Quintile 3","560","410","0.735"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Quintile 3","690","500","0.724"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Quintile 3","685","515","0.748"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Quintile 3","2315","1900","0.8210000000000001"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Quintile 3","2155","1765","0.8190000000000001"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Quintile 3","2290","1845","0.805"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Quintile 3","2370","1790","0.756"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Quintile 3","2360","1810","0.767"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Quintile 3","685","595","0.867"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Quintile 3","725","640","0.88"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Quintile 3","600","490","0.8200000000000001"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Quintile 3","610","520","0.854"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Quintile 3","540","460","0.85"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Quintile 3","20","20","0.887"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Quintile 3","20","15","0.796"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Quintile 3","20","15","0.664"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Quintile 3","20","15","0.837"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Quintile 3","30","25","0.857"
"2019","(CAH11) computing","(CAH11-01-08) others in computing","Quintile 3","930","830","0.89"
"2020","(CAH11) computing","(CAH11-01-08) others in computing","Quintile 3","915","820","0.894"
"2021","(CAH11) computing","(CAH11-01-08) others in computing","Quintile 3","885","780","0.883"
"2022","(CAH11) computing","(CAH11-01-08) others in computing","Quintile 3","920","770","0.835"
"2023","(CAH11) computing","(CAH11-01-08) others in computing","Quintile 3","1050","840","0.801"
"2019","(CAH11) computing","(CAH11-01-05) artificial intelligence","Quintile 3","265","175","0.662"
"2020","(CAH11) computing","(CAH11-01-05) artificial intelligence","Quintile 3","340","240","0.708"
"2021","(CAH11) computing","(CAH11-01-05) artificial intelligence","Quintile 3","460","290","0.631"
"2022","(CAH11) computing","(CAH11-01-05) artificial intelligence","Quintile 3","540","340","0.628"
"2023","(CAH11) computing","(CAH11-01-05) artificial intelligence","Quintile 3","575","370","0.646"
"2019","(CAH11) computing","(CAH11-01-07) business computing","Quintile 3","965","850","0.879"
"2020","(CAH11) computing","(CAH11-01-07) business computing","Quintile 3","825","745","0.901"
"2021","(CAH11) computing","(CAH11-01-07) business computing","Quintile 3","745","690","0.926"
"2022","(CAH11) computing","(CAH11-01-07) business computing","Quintile 3","770","670","0.869"
"2023","(CAH11) computing","(CAH11-01-07) business computing","Quintile 3","675","585","0.87"
"2019","(CAH11) computing","(CAH11-01-06) computer games and animation","Quintile 3","3610","2800","0.776"
"2020","(CAH11) computing","(CAH11-01-06) computer games and animation","Quintile 3","3300","2570","0.778"
"2021","(CAH11) computing","(CAH11-01-06) computer games and animation","Quintile 3","3890","3190","0.8200000000000001"
"2022","(CAH11) computing","(CAH11-01-06) computer games and animation","Quintile 3","4585","3610","0.787"
"2023","(CAH11) computing","(CAH11-01-06) computer games and animation","Quintile 3","4470","3575","0.8"
"2019","(CAH11) computing","(CAH11-01-01) computer science","Quintile 3","12045","9390","0.779"
"2020","(CAH11) computing","(CAH11-01-01) computer science","Quintile 3","12020","9415","0.783"
"2021","(CAH11) computing","(CAH11-01-01) computer science","Quintile 3","12720","9655","0.759"
"2022","(CAH11) computing","(CAH11-01-01) computer science","Quintile 3","14865","10630","0.715"
"2023","(CAH11) computing","(CAH11-01-01) computer science","Quintile 3","16665","11820","0.709"
"2019","(CAH11) computing","(CAH11-01-02) information technology","Quintile 3","600","510","0.851"
"2020","(CAH11) computing","(CAH11-01-02) information technology","Quintile 3","625","520","0.8300000000000001"
"2021","(CAH11) computing","(CAH11-01-02) information technology","Quintile 3","565","490","0.864"
"2022","(CAH11) computing","(CAH11-01-02) information technology","Quintile 3","570","505","0.886"
"2023","(CAH11) computing","(CAH11-01-02) information technology","Quintile 3","580","495","0.853"
"2019","(CAH11) computing","(CAH11-01-03) information systems","Quintile 3","560","495","0.884"
"2020","(CAH11) computing","(CAH11-01-03) information systems","Quintile 3","635","580","0.913"
"2021","(CAH11) computing","(CAH11-01-03) information systems","Quintile 3","580","515","0.89"
"2022","(CAH11) computing","(CAH11-01-03) information systems","Quintile 3","595","530","0.889"
"2023","(CAH11) computing","(CAH11-01-03) information systems","Quintile 3","600","530","0.887"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","Quintile 3","2515","2135","0.85"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","Quintile 3","2400","2080","0.867"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","Quintile 3","2965","2590","0.874"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","Quintile 3","3470","2965","0.854"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","Quintile 3","4040","3420","0.847"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Quintile 3","1365","1155","0.846"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Quintile 3","1050","850","0.809"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Quintile 3","1185","1005","0.847"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Quintile 3","1430","1190","0.833"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Quintile 3","1355","1145","0.846"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Quintile 3","845","770","0.909"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Quintile 3","1020","925","0.905"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Quintile 3","930","820","0.884"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Quintile 3","1165","1055","0.904"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Quintile 3","1035","945","0.915"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Quintile 3","1720","1580","0.917"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Quintile 3","1755","1615","0.92"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Quintile 3","1900","1750","0.922"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Quintile 3","2045","1795","0.879"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Quintile 3","1890","1705","0.902"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 3","945","865","0.916"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 3","880","795","0.903"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 3","845","760","0.897"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 3","955","835","0.876"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 3","895","790","0.882"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 3","2050","1895","0.924"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 3","1870","1735","0.928"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 3","1995","1795","0.9"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 3","2070","1750","0.846"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 3","2030","1780","0.876"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 3","1930","1740","0.903"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 3","1875","1730","0.922"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 3","2125","1955","0.92"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 3","2295","2100","0.916"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 3","2010","1820","0.905"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 3","205","160","0.772"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 3","250","205","0.811"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 3","275","195","0.715"
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 3","470","300","0.641"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 3","505","325","0.645"
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 3","380","335","0.876"
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 3","450","400","0.886"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 3","545","495","0.906"
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 3","490","410","0.834"
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 3","415","385","0.926"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 3","4300","3790","0.882"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 3","4145","3650","0.881"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 3","3750","3255","0.868"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 3","3680","3160","0.859"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 3","3895","3375","0.867"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 3","535","430","0.803"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 3","530","435","0.8200000000000001"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 3","630","480","0.762"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 3","715","525","0.734"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 3","635","495","0.779"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 3","3890","3160","0.812"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 3","3665","2990","0.8150000000000001"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 3","3865","3080","0.797"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 3","3835","2955","0.771"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 3","3405","2675","0.785"
"2019","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 3","85","20","0.213"
"2020","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 3","30","10"," "
"2021","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 3","35","10"," "
"2022","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 3","35","10"," "
"2023","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 3","35","10"," "
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 3","2110","1885","0.893"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 3","2450","2155","0.879"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 3","2630","2315","0.88"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 3","2610","2310","0.885"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 3","2635","2350","0.892"
"2019","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 3","200","180","0.907"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 3","180","165","0.925"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 3","200","185","0.928"
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 3","220","200","0.901"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 3","210","200","0.9540000000000001"
"2019","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 3","295","265","0.893"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 3","325","290","0.895"
"2021","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 3","400","365","0.918"
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 3","415","350","0.842"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 3","395","330","0.842"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 3","19240","16340","0.849"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 3","18625","15810","0.849"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 3","19945","16655","0.835"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 3","21090","16475","0.781"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 3","20140","16015","0.795"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 3","295","265","0.892"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 3","275","240","0.87"
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 3","325","280","0.861"
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 3","305","255","0.838"
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 3","230","195","0.855"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 3","6315","5310","0.841"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 3","6170","5095","0.8260000000000001"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 3","6040","4935","0.8170000000000001"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 3","6055","4760","0.786"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 3","5940","4605","0.776"
"2019","(CAH09) mathematical sciences","(CAH09-01-02) operational research","Quintile 3","15","15","1.033"
"2020","(CAH09) mathematical sciences","(CAH09-01-02) operational research","Quintile 3","25","25","0.9450000000000001"
"2021","(CAH09) mathematical sciences","(CAH09-01-02) operational research","Quintile 3","20","20","0.968"
"2022","(CAH09) mathematical sciences","(CAH09-01-02) operational research","Quintile 3","15","15","1.025"
"2023","(CAH09) mathematical sciences","(CAH09-01-02) operational research","Quintile 3","20","20","0.903"
"2019","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Quintile 3","165","125","0.759"
"2020","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Quintile 3","215","170","0.802"
"2021","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Quintile 3","265","205","0.77"
"2022","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Quintile 3","305","195","0.646"
"2023","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Quintile 3","350","215","0.617"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","Quintile 3","5180","4300","0.8300000000000001"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","Quintile 3","4625","3740","0.809"
"2021","(CAH22) education and teaching","(CAH22-01-01) education","Quintile 3","5080","4165","0.8200000000000001"
"2022","(CAH22) education and teaching","(CAH22-01-01) education","Quintile 3","5340","4320","0.809"
"2023","(CAH22) education and teaching","(CAH22-01-01) education","Quintile 3","4910","4055","0.8260000000000001"
"2019","(CAH22) education and teaching","(CAH22-01-02) teacher training","Quintile 3","9610","3965","0.41300000000000003"
"2020","(CAH22) education and teaching","(CAH22-01-02) teacher training","Quintile 3","9575","4210","0.44"
"2021","(CAH22) education and teaching","(CAH22-01-02) teacher training","Quintile 3","11035","5165","0.468"
"2022","(CAH22) education and teaching","(CAH22-01-02) teacher training","Quintile 3","10895","5135","0.47100000000000003"
"2023","(CAH22) education and teaching","(CAH22-01-02) teacher training","Quintile 3","8800","4295","0.488"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","Quintile 3","50","50","0.9510000000000001"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","Quintile 3","65","60","0.96"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","Quintile 3","65","60","0.9500000000000001"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","Quintile 3","90","80","0.917"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","Quintile 3","80","75","0.9500000000000001"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","Quintile 3","80","70","0.89"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","Quintile 3","90","80","0.866"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","Quintile 3","90","75","0.858"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","Quintile 3","90","85","0.9520000000000001"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","Quintile 3","95","90","0.9530000000000001"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Quintile 3","985","825","0.835"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Quintile 3","1100","955","0.87"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Quintile 3","1215","1095","0.9"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Quintile 3","1315","1155","0.88"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Quintile 3","1200","1065","0.888"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Quintile 3","1505","1365","0.908"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Quintile 3","1530","1355","0.885"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Quintile 3","1760","1610","0.916"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Quintile 3","1860","1660","0.893"
