"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2021","Scotland","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","Scotland","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.765"
"2023","Scotland","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.889"
"2019","Scotland","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Scotland","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Scotland","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Scotland","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","0.909"
"2019","Scotland","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2020","Scotland","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","20","10","0.5710000000000001"
"2021","Scotland","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.733"
"2022","Scotland","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.706"
"2023","Scotland","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.7000000000000001"
"2022","Wales","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","30","25","0.793"
"2023","Wales","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","40","35","0.833"
"2022","Wales","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","25","15","0.739"
"2023","Wales","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","Wales","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Wales","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","15","10","0.786"
