"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","75"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","45"
"2019","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","275"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","300"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","350"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","270"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","230"
"2019","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","520"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","510"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","390"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","400"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","470"
"2019","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
