"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2022","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Disability declared","All","All","Not main scheme application","290"
"2023","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Disability declared","All","All","Not main scheme application","360"
"2020","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Disability declared","All","All","Not main scheme application","5"
"2021","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Disability declared","All","All","Not main scheme application","10"
"2022","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Disability declared","All","All","Not main scheme application","5"
"2023","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Disability declared","All","All","Not main scheme application","5"
"2022","(CAH24) media, journalism and communications","(CAH24-01-01) information services","Disability declared","All","All","Not main scheme application","5"
"2019","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Disability declared","All","All","Not main scheme application","60"
"2020","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Disability declared","All","All","Not main scheme application","60"
"2021","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Disability declared","All","All","Not main scheme application","55"
"2022","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Disability declared","All","All","Not main scheme application","75"
"2023","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Disability declared","All","All","Not main scheme application","110"
"2019","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","Disability declared","All","All","Not main scheme application","5"
"2020","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","Disability declared","All","All","Not main scheme application","5"
"2021","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","Disability declared","All","All","Not main scheme application","5"
"2022","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","Disability declared","All","All","Not main scheme application","5"
"2023","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","Disability declared","All","All","Not main scheme application","10"
"2019","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Disability declared","All","All","Not main scheme application","10"
"2020","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Disability declared","All","All","Not main scheme application","25"
"2021","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Disability declared","All","All","Not main scheme application","20"
"2022","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Disability declared","All","All","Not main scheme application","15"
"2023","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Disability declared","All","All","Not main scheme application","30"
"2019","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Disability declared","All","All","Not main scheme application","25"
"2020","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Disability declared","All","All","Not main scheme application","30"
"2021","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Disability declared","All","All","Not main scheme application","15"
"2022","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Disability declared","All","All","Not main scheme application","30"
"2023","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Disability declared","All","All","Not main scheme application","30"
"2019","(CAH23) combined and general studies","(CAH23-01-02) personal development","Disability declared","All","All","Not main scheme application","15"
"2020","(CAH23) combined and general studies","(CAH23-01-02) personal development","Disability declared","All","All","Not main scheme application","20"
"2021","(CAH23) combined and general studies","(CAH23-01-02) personal development","Disability declared","All","All","Not main scheme application","35"
"2022","(CAH23) combined and general studies","(CAH23-01-02) personal development","Disability declared","All","All","Not main scheme application","20"
"2023","(CAH23) combined and general studies","(CAH23-01-02) personal development","Disability declared","All","All","Not main scheme application","25"
"2019","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Disability declared","All","All","Not main scheme application","15"
"2020","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Disability declared","All","All","Not main scheme application","20"
"2021","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Disability declared","All","All","Not main scheme application","15"
"2022","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Disability declared","All","All","Not main scheme application","45"
"2023","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Disability declared","All","All","Not main scheme application","50"
"2019","(CAH17) business and management","(CAH17-01-03) marketing","Disability declared","All","All","Not main scheme application","100"
"2020","(CAH17) business and management","(CAH17-01-03) marketing","Disability declared","All","All","Not main scheme application","145"
"2021","(CAH17) business and management","(CAH17-01-03) marketing","Disability declared","All","All","Not main scheme application","125"
"2022","(CAH17) business and management","(CAH17-01-03) marketing","Disability declared","All","All","Not main scheme application","155"
"2023","(CAH17) business and management","(CAH17-01-03) marketing","Disability declared","All","All","Not main scheme application","255"
"2019","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Disability declared","All","All","Not main scheme application","255"
"2020","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Disability declared","All","All","Not main scheme application","325"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Disability declared","All","All","Not main scheme application","230"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Disability declared","All","All","Not main scheme application","305"
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Disability declared","All","All","Not main scheme application","460"
"2019","(CAH17) business and management","(CAH17-01-02) business studies","Disability declared","All","All","Not main scheme application","325"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","Disability declared","All","All","Not main scheme application","330"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","Disability declared","All","All","Not main scheme application","220"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","Disability declared","All","All","Not main scheme application","310"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","Disability declared","All","All","Not main scheme application","530"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Disability declared","All","All","Not main scheme application","250"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Disability declared","All","All","Not main scheme application","210"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Disability declared","All","All","Not main scheme application","170"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Disability declared","All","All","Not main scheme application","210"
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Disability declared","All","All","Not main scheme application","230"
"2019","(CAH17) business and management","(CAH17-01-05) human resource management","Disability declared","All","All","Not main scheme application","30"
"2020","(CAH17) business and management","(CAH17-01-05) human resource management","Disability declared","All","All","Not main scheme application","30"
"2021","(CAH17) business and management","(CAH17-01-05) human resource management","Disability declared","All","All","Not main scheme application","15"
"2022","(CAH17) business and management","(CAH17-01-05) human resource management","Disability declared","All","All","Not main scheme application","20"
"2023","(CAH17) business and management","(CAH17-01-05) human resource management","Disability declared","All","All","Not main scheme application","35"
"2019","(CAH17) business and management","(CAH17-01-04) management studies","Disability declared","All","All","Not main scheme application","210"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","Disability declared","All","All","Not main scheme application","170"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","Disability declared","All","All","Not main scheme application","110"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","Disability declared","All","All","Not main scheme application","165"
"2023","(CAH17) business and management","(CAH17-01-04) management studies","Disability declared","All","All","Not main scheme application","225"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","Disability declared","All","All","Not main scheme application","140"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","Disability declared","All","All","Not main scheme application","120"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","Disability declared","All","All","Not main scheme application","110"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","Disability declared","All","All","Not main scheme application","165"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","Disability declared","All","All","Not main scheme application","285"
"2019","(CAH17) business and management","(CAH17-01-07) finance","Disability declared","All","All","Not main scheme application","95"
"2020","(CAH17) business and management","(CAH17-01-07) finance","Disability declared","All","All","Not main scheme application","90"
"2021","(CAH17) business and management","(CAH17-01-07) finance","Disability declared","All","All","Not main scheme application","95"
"2022","(CAH17) business and management","(CAH17-01-07) finance","Disability declared","All","All","Not main scheme application","115"
"2023","(CAH17) business and management","(CAH17-01-07) finance","Disability declared","All","All","Not main scheme application","235"
"2019","(CAH15) social sciences","(CAH15-03-01) politics","Disability declared","All","All","Not main scheme application","250"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","Disability declared","All","All","Not main scheme application","275"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","Disability declared","All","All","Not main scheme application","190"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","Disability declared","All","All","Not main scheme application","250"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","Disability declared","All","All","Not main scheme application","395"
"2019","(CAH15) social sciences","(CAH15-01-04) anthropology","Disability declared","All","All","Not main scheme application","25"
"2020","(CAH15) social sciences","(CAH15-01-04) anthropology","Disability declared","All","All","Not main scheme application","45"
"2021","(CAH15) social sciences","(CAH15-01-04) anthropology","Disability declared","All","All","Not main scheme application","25"
"2022","(CAH15) social sciences","(CAH15-01-04) anthropology","Disability declared","All","All","Not main scheme application","30"
"2023","(CAH15) social sciences","(CAH15-01-04) anthropology","Disability declared","All","All","Not main scheme application","50"
"2019","(CAH15) social sciences","(CAH15-02-01) economics","Disability declared","All","All","Not main scheme application","150"
"2020","(CAH15) social sciences","(CAH15-02-01) economics","Disability declared","All","All","Not main scheme application","205"
"2021","(CAH15) social sciences","(CAH15-02-01) economics","Disability declared","All","All","Not main scheme application","120"
"2022","(CAH15) social sciences","(CAH15-02-01) economics","Disability declared","All","All","Not main scheme application","175"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","Disability declared","All","All","Not main scheme application","285"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Disability declared","All","All","Not main scheme application","245"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Disability declared","All","All","Not main scheme application","280"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Disability declared","All","All","Not main scheme application","200"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Disability declared","All","All","Not main scheme application","235"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Disability declared","All","All","Not main scheme application","245"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","Disability declared","All","All","Not main scheme application","230"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","Disability declared","All","All","Not main scheme application","200"
"2021","(CAH15) social sciences","(CAH15-04-01) social work","Disability declared","All","All","Not main scheme application","220"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","Disability declared","All","All","Not main scheme application","260"
"2023","(CAH15) social sciences","(CAH15-04-01) social work","Disability declared","All","All","Not main scheme application","285"
"2019","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Disability declared","All","All","Not main scheme application","110"
"2020","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Disability declared","All","All","Not main scheme application","150"
"2021","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Disability declared","All","All","Not main scheme application","110"
"2022","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Disability declared","All","All","Not main scheme application","120"
"2023","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Disability declared","All","All","Not main scheme application","160"
"2019","(CAH15) social sciences","(CAH15-04-03) health studies","Disability declared","All","All","Not main scheme application","415"
"2020","(CAH15) social sciences","(CAH15-04-03) health studies","Disability declared","All","All","Not main scheme application","310"
"2021","(CAH15) social sciences","(CAH15-04-03) health studies","Disability declared","All","All","Not main scheme application","290"
"2022","(CAH15) social sciences","(CAH15-04-03) health studies","Disability declared","All","All","Not main scheme application","320"
"2023","(CAH15) social sciences","(CAH15-04-03) health studies","Disability declared","All","All","Not main scheme application","325"
"2019","(CAH15) social sciences","(CAH15-01-03) social policy","Disability declared","All","All","Not main scheme application","85"
"2020","(CAH15) social sciences","(CAH15-01-03) social policy","Disability declared","All","All","Not main scheme application","65"
"2021","(CAH15) social sciences","(CAH15-01-03) social policy","Disability declared","All","All","Not main scheme application","45"
"2022","(CAH15) social sciences","(CAH15-01-03) social policy","Disability declared","All","All","Not main scheme application","50"
"2023","(CAH15) social sciences","(CAH15-01-03) social policy","Disability declared","All","All","Not main scheme application","50"
"2019","(CAH15) social sciences","(CAH15-01-02) sociology","Disability declared","All","All","Not main scheme application","455"
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","Disability declared","All","All","Not main scheme application","490"
"2021","(CAH15) social sciences","(CAH15-01-02) sociology","Disability declared","All","All","Not main scheme application","410"
"2022","(CAH15) social sciences","(CAH15-01-02) sociology","Disability declared","All","All","Not main scheme application","555"
"2023","(CAH15) social sciences","(CAH15-01-02) sociology","Disability declared","All","All","Not main scheme application","740"
"2019","(CAH15) social sciences","(CAH15-01-05) development studies","Disability declared","All","All","Not main scheme application","10"
"2020","(CAH15) social sciences","(CAH15-01-05) development studies","Disability declared","All","All","Not main scheme application","10"
"2021","(CAH15) social sciences","(CAH15-01-05) development studies","Disability declared","All","All","Not main scheme application","10"
"2022","(CAH15) social sciences","(CAH15-01-05) development studies","Disability declared","All","All","Not main scheme application","10"
"2023","(CAH15) social sciences","(CAH15-01-05) development studies","Disability declared","All","All","Not main scheme application","10"
"2019","(CAH15) social sciences","(CAH15-01-06) cultural studies","Disability declared","All","All","Not main scheme application","5"
"2020","(CAH15) social sciences","(CAH15-01-06) cultural studies","Disability declared","All","All","Not main scheme application","5"
"2021","(CAH15) social sciences","(CAH15-01-06) cultural studies","Disability declared","All","All","Not main scheme application","5"
"2022","(CAH15) social sciences","(CAH15-01-06) cultural studies","Disability declared","All","All","Not main scheme application","5"
"2023","(CAH15) social sciences","(CAH15-01-06) cultural studies","Disability declared","All","All","Not main scheme application","10"
"2019","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Disability declared","All","All","Not main scheme application","315"
"2020","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Disability declared","All","All","Not main scheme application","360"
"2021","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Disability declared","All","All","Not main scheme application","335"
"2022","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Disability declared","All","All","Not main scheme application","395"
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Disability declared","All","All","Not main scheme application","520"
"2019","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Disability declared","All","All","Not main scheme application","5"
"2020","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Disability declared","All","All","Not main scheme application","5"
"2021","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Disability declared","All","All","Not main scheme application","10"
"2022","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Disability declared","All","All","Not main scheme application","10"
"2023","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Disability declared","All","All","Not main scheme application","20"
"2019","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Disability declared","All","All","Not main scheme application","30"
"2020","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Disability declared","All","All","Not main scheme application","25"
"2021","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Disability declared","All","All","Not main scheme application","25"
"2022","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Disability declared","All","All","Not main scheme application","20"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Disability declared","All","All","Not main scheme application","30"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Disability declared","All","All","Not main scheme application","70"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Disability declared","All","All","Not main scheme application","75"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Disability declared","All","All","Not main scheme application","45"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Disability declared","All","All","Not main scheme application","80"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Disability declared","All","All","Not main scheme application","120"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Disability declared","All","All","Not main scheme application","85"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Disability declared","All","All","Not main scheme application","70"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Disability declared","All","All","Not main scheme application","45"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Disability declared","All","All","Not main scheme application","70"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Disability declared","All","All","Not main scheme application","105"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Disability declared","All","All","Not main scheme application","100"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Disability declared","All","All","Not main scheme application","130"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Disability declared","All","All","Not main scheme application","70"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Disability declared","All","All","Not main scheme application","100"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Disability declared","All","All","Not main scheme application","145"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Disability declared","All","All","Not main scheme application","50"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Disability declared","All","All","Not main scheme application","60"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Disability declared","All","All","Not main scheme application","55"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Disability declared","All","All","Not main scheme application","75"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Disability declared","All","All","Not main scheme application","95"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Disability declared","All","All","Not main scheme application","15"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Disability declared","All","All","Not main scheme application","10"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Disability declared","All","All","Not main scheme application","10"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Disability declared","All","All","Not main scheme application","15"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Disability declared","All","All","Not main scheme application","20"
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Disability declared","All","All","Not main scheme application","5"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Disability declared","All","All","Not main scheme application","55"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Disability declared","All","All","Not main scheme application","65"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Disability declared","All","All","Not main scheme application","40"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Disability declared","All","All","Not main scheme application","45"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Disability declared","All","All","Not main scheme application","85"
"2019","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Disability declared","All","All","Not main scheme application","5"
"2020","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Disability declared","All","All","Not main scheme application","10"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Disability declared","All","All","Not main scheme application","80"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Disability declared","All","All","Not main scheme application","100"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Disability declared","All","All","Not main scheme application","65"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Disability declared","All","All","Not main scheme application","85"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Disability declared","All","All","Not main scheme application","165"
"2019","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Disability declared","All","All","Not main scheme application","5"
"2020","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Disability declared","All","All","Not main scheme application","15"
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Disability declared","All","All","Not main scheme application","5"
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Disability declared","All","All","Not main scheme application","5"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","Disability declared","All","All","Not main scheme application","65"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","Disability declared","All","All","Not main scheme application","110"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","Disability declared","All","All","Not main scheme application","60"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Disability declared","All","All","Not main scheme application","150"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Disability declared","All","All","Not main scheme application","240"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Disability declared","All","All","Not main scheme application","10"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Disability declared","All","All","Not main scheme application","25"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Disability declared","All","All","Not main scheme application","15"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Disability declared","All","All","Not main scheme application","15"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Disability declared","All","All","Not main scheme application","20"
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Disability declared","All","All","Not main scheme application","5"
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Disability declared","All","All","Not main scheme application","5"
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Disability declared","All","All","Not main scheme application","5"
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Disability declared","All","All","Not main scheme application","5"
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Disability declared","All","All","Not main scheme application","15"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Disability declared","All","All","Not main scheme application","5"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Disability declared","All","All","Not main scheme application","20"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Disability declared","All","All","Not main scheme application","5"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Disability declared","All","All","Not main scheme application","10"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Disability declared","All","All","Not main scheme application","15"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Disability declared","All","All","Not main scheme application","75"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Disability declared","All","All","Not main scheme application","125"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Disability declared","All","All","Not main scheme application","75"
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Disability declared","All","All","Not main scheme application","105"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Disability declared","All","All","Not main scheme application","155"
"2019","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Disability declared","All","All","Not main scheme application","10"
"2020","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Disability declared","All","All","Not main scheme application","25"
"2021","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Disability declared","All","All","Not main scheme application","15"
"2022","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Disability declared","All","All","Not main scheme application","15"
"2023","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Disability declared","All","All","Not main scheme application","20"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Disability declared","All","All","Not main scheme application","220"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Disability declared","All","All","Not main scheme application","255"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Disability declared","All","All","Not main scheme application","165"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Disability declared","All","All","Not main scheme application","220"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Disability declared","All","All","Not main scheme application","345"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Disability declared","All","All","Not main scheme application","30"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Disability declared","All","All","Not main scheme application","30"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Disability declared","All","All","Not main scheme application","25"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Disability declared","All","All","Not main scheme application","30"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Disability declared","All","All","Not main scheme application","50"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Disability declared","All","All","Not main scheme application","40"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Disability declared","All","All","Not main scheme application","30"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Disability declared","All","All","Not main scheme application","25"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Disability declared","All","All","Not main scheme application","20"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Disability declared","All","All","Not main scheme application","40"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Disability declared","All","All","Not main scheme application","25"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Disability declared","All","All","Not main scheme application","25"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Disability declared","All","All","Not main scheme application","15"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Disability declared","All","All","Not main scheme application","35"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Disability declared","All","All","Not main scheme application","35"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Disability declared","All","All","Not main scheme application","90"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Disability declared","All","All","Not main scheme application","105"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Disability declared","All","All","Not main scheme application","60"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Disability declared","All","All","Not main scheme application","90"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Disability declared","All","All","Not main scheme application","125"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Disability declared","All","All","Not main scheme application","45"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Disability declared","All","All","Not main scheme application","35"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Disability declared","All","All","Not main scheme application","35"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Disability declared","All","All","Not main scheme application","30"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Disability declared","All","All","Not main scheme application","45"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Disability declared","All","All","Not main scheme application","5"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Disability declared","All","All","Not main scheme application","5"
