"Year","Predicted BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","6 points (DDM)","Black","All","Main scheme application","360","255","0.706","0"
"2018","6 points (DDM)","Black","All","Main scheme application","360","260","0.726","0"
"2019","6 points (DDM)","Black","All","Main scheme application","320","240","0.739","0"
"2020","6 points (DDM)","Black","All","Main scheme application","385","285","0.743","0"
"2021","6 points (DDM)","Black","All","Main scheme application","435","310","0.713","0"
"2022","6 points (DDM)","Black","All","Main scheme application","535","380","0.715","0"
"2023","6 points (DDM)","Black","All","Main scheme application","515","365","0.71","0"
"2010","7 points (DDD)","Black","All","Main scheme application","175","135","0.773","0"
"2011","7 points (DDD)","Black","All","Main scheme application","305","235","0.771","0"
"2012","7 points (DDD)","Black","All","Main scheme application","260","175","0.677","0"
"2013","7 points (DDD)","Black","All","Main scheme application","285","200","0.6990000000000001","0"
"2014","7 points (DDD)","Black","All","Main scheme application","335","235","0.706","0"
"2015","7 points (DDD)","Black","All","Main scheme application","410","295","0.714","0"
"2016","7 points (DDD)","Black","All","Main scheme application","375","265","0.716","0"
"2017","7 points (DDD)","Black","All","Main scheme application","390","305","0.787","0"
"2018","7 points (DDD)","Black","All","Main scheme application","380","300","0.786","0"
"2019","7 points (DDD)","Black","All","Main scheme application","460","330","0.725","0"
"2020","7 points (DDD)","Black","All","Main scheme application","480","360","0.754","0"
"2021","7 points (DDD)","Black","All","Main scheme application","505","380","0.759","0"
"2022","7 points (DDD)","Black","All","Main scheme application","525","390","0.745","0"
"2023","7 points (DDD)","Black","All","Main scheme application","560","405","0.722","0"
"2012","8 points (D*DD)","Black","All","Main scheme application","10","10"," ","0"
"2013","8 points (D*DD)","Black","All","Main scheme application","40","30","0.78","0"
"2014","8 points (D*DD)","Black","All","Main scheme application","85","65","0.765","0"
"2015","8 points (D*DD)","Black","All","Main scheme application","170","120","0.709","0"
"2016","8 points (D*DD)","Black","All","Main scheme application","205","150","0.722","0"
"2017","8 points (D*DD)","Black","All","Main scheme application","195","145","0.746","0"
"2018","8 points (D*DD)","Black","All","Main scheme application","190","145","0.754","0"
"2019","8 points (D*DD)","Black","All","Main scheme application","250","200","0.8","0"
"2020","8 points (D*DD)","Black","All","Main scheme application","235","185","0.787","0"
"2021","8 points (D*DD)","Black","All","Main scheme application","305","245","0.801","0"
"2022","8 points (D*DD)","Black","All","Main scheme application","325","255","0.782","0"
"2023","8 points (D*DD)","Black","All","Main scheme application","310","235","0.747","0"
"2012","9 points (D*D*D)","Black","All","Main scheme application","70","55","0.803","0"
"2013","9 points (D*D*D)","Black","All","Main scheme application","40","30","0.775","0"
"2014","9 points (D*D*D)","Black","All","Main scheme application","75","55","0.737","0"
"2015","9 points (D*D*D)","Black","All","Main scheme application","170","125","0.732","0"
"2016","9 points (D*D*D)","Black","All","Main scheme application","165","120","0.744","0"
"2017","9 points (D*D*D)","Black","All","Main scheme application","175","130","0.747","0"
"2018","9 points (D*D*D)","Black","All","Main scheme application","165","125","0.755","0"
"2019","9 points (D*D*D)","Black","All","Main scheme application","180","125","0.6960000000000001","0"
"2020","9 points (D*D*D)","Black","All","Main scheme application","175","140","0.791","0"
"2021","9 points (D*D*D)","Black","All","Main scheme application","245","185","0.765","0"
"2022","9 points (D*D*D)","Black","All","Main scheme application","185","150","0.812","0"
"2023","9 points (D*D*D)","Black","All","Main scheme application","180","135","0.746","0"
"2013","10 points (D*D*D*)","Black","All","Main scheme application","75","55","0.747","0"
"2014","10 points (D*D*D*)","Black","All","Main scheme application","165","120","0.725","0"
"2015","10 points (D*D*D*)","Black","All","Main scheme application","245","175","0.721","0"
"2016","10 points (D*D*D*)","Black","All","Main scheme application","265","200","0.762","0"
"2017","10 points (D*D*D*)","Black","All","Main scheme application","280","210","0.763","0"
"2018","10 points (D*D*D*)","Black","All","Main scheme application","245","205","0.841","0"
"2019","10 points (D*D*D*)","Black","All","Main scheme application","245","185","0.762","0"
"2020","10 points (D*D*D*)","Black","All","Main scheme application","280","240","0.851","0"
"2021","10 points (D*D*D*)","Black","All","Main scheme application","280","230","0.835","0"
"2022","10 points (D*D*D*)","Black","All","Main scheme application","155","120","0.756","0"
"2023","10 points (D*D*D*)","Black","All","Main scheme application","125","100","0.806","0"
"2010","1 point (PPP)","Asian","All","Main scheme application","70","40","0.549","0"
"2011","1 point (PPP)","Asian","All","Main scheme application","40","20","0.439","0"
"2012","1 point (PPP)","Asian","All","Main scheme application","50","25","0.51","0"
"2013","1 point (PPP)","Asian","All","Main scheme application","50","20","0.423","0"
"2014","1 point (PPP)","Asian","All","Main scheme application","35","20","0.545","0"
"2015","1 point (PPP)","Asian","All","Main scheme application","50","20","0.449","0"
"2016","1 point (PPP)","Asian","All","Main scheme application","45","25","0.605","0"
"2017","1 point (PPP)","Asian","All","Main scheme application","30","20","0.581","0"
"2018","1 point (PPP)","Asian","All","Main scheme application","15","5"," ","0"
"2019","1 point (PPP)","Asian","All","Main scheme application","35","25","0.73","0"
"2020","1 point (PPP)","Asian","All","Main scheme application","40","20","0.512","0"
"2021","1 point (PPP)","Asian","All","Main scheme application","65","35","0.561","0"
"2022","1 point (PPP)","Asian","All","Main scheme application","75","40","0.533","0"
"2023","1 point (PPP)","Asian","All","Main scheme application","90","35","0.396","0"
"2010","2 points (MPP)","Asian","All","Main scheme application","75","40","0.5750000000000001","0"
"2011","2 points (MPP)","Asian","All","Main scheme application","85","45","0.547","0"
"2012","2 points (MPP)","Asian","All","Main scheme application","50","25","0.5","0"
"2013","2 points (MPP)","Asian","All","Main scheme application","55","20","0.41500000000000004","0"
"2014","2 points (MPP)","Asian","All","Main scheme application","70","35","0.514","0"
"2015","2 points (MPP)","Asian","All","Main scheme application","70","45","0.623","0"
"2016","2 points (MPP)","Asian","All","Main scheme application","60","35","0.541","0"
"2017","2 points (MPP)","Asian","All","Main scheme application","45","30","0.66","0"
"2018","2 points (MPP)","Asian","All","Main scheme application","65","30","0.47600000000000003","0"
"2019","2 points (MPP)","Asian","All","Main scheme application","55","40","0.679","0"
"2020","2 points (MPP)","Asian","All","Main scheme application","65","50","0.75","0"
"2021","2 points (MPP)","Asian","All","Main scheme application","65","45","0.652","0"
"2022","2 points (MPP)","Asian","All","Main scheme application","110","65","0.583","0"
"2023","2 points (MPP)","Asian","All","Main scheme application","140","90","0.62","0"
"2010","3 points (MMP)","Asian","All","Main scheme application","110","70","0.631","0"
"2011","3 points (MMP)","Asian","All","Main scheme application","110","50","0.481","0"
"2012","3 points (MMP)","Asian","All","Main scheme application","90","40","0.47200000000000003","0"
"2013","3 points (MMP)","Asian","All","Main scheme application","95","60","0.621","0"
"2014","3 points (MMP)","Asian","All","Main scheme application","80","50","0.613","0"
"2015","3 points (MMP)","Asian","All","Main scheme application","80","55","0.646","0"
"2016","3 points (MMP)","Asian","All","Main scheme application","65","45","0.642","0"
"2017","3 points (MMP)","Asian","All","Main scheme application","50","30","0.596","0"
"2018","3 points (MMP)","Asian","All","Main scheme application","65","45","0.682","0"
"2019","3 points (MMP)","Asian","All","Main scheme application","80","55","0.659","0"
"2020","3 points (MMP)","Asian","All","Main scheme application","75","40","0.526","0"
"2021","3 points (MMP)","Asian","All","Main scheme application","95","55","0.588","0"
"2022","3 points (MMP)","Asian","All","Main scheme application","145","95","0.65","0"
"2023","3 points (MMP)","Asian","All","Main scheme application","170","90","0.541","0"
"2010","4 points (MMM)","Asian","All","Main scheme application","210","145","0.678","0"
"2011","4 points (MMM)","Asian","All","Main scheme application","245","145","0.586","0"
"2012","4 points (MMM)","Asian","All","Main scheme application","235","135","0.5720000000000001","0"
"2013","4 points (MMM)","Asian","All","Main scheme application","300","185","0.612","0"
"2014","4 points (MMM)","Asian","All","Main scheme application","260","165","0.634","0"
"2015","4 points (MMM)","Asian","All","Main scheme application","265","165","0.63","0"
"2016","4 points (MMM)","Asian","All","Main scheme application","210","140","0.668","0"
"2017","4 points (MMM)","Asian","All","Main scheme application","190","130","0.6930000000000001","0"
"2018","4 points (MMM)","Asian","All","Main scheme application","185","125","0.677","0"
"2019","4 points (MMM)","Asian","All","Main scheme application","190","125","0.656","0"
"2020","4 points (MMM)","Asian","All","Main scheme application","170","130","0.753","0"
"2021","4 points (MMM)","Asian","All","Main scheme application","275","175","0.642","0"
"2022","4 points (MMM)","Asian","All","Main scheme application","380","225","0.589","0"
"2023","4 points (MMM)","Asian","All","Main scheme application","365","220","0.608","0"
"2010","5 points (DMM)","Asian","All","Main scheme application","190","150","0.803","0"
"2011","5 points (DMM)","Asian","All","Main scheme application","260","180","0.7030000000000001","0"
"2012","5 points (DMM)","Asian","All","Main scheme application","265","175","0.648","0"
"2013","5 points (DMM)","Asian","All","Main scheme application","305","215","0.707","0"
"2014","5 points (DMM)","Asian","All","Main scheme application","365","245","0.677","0"
"2015","5 points (DMM)","Asian","All","Main scheme application","415","265","0.635","0"
"2016","5 points (DMM)","Asian","All","Main scheme application","335","225","0.67","0"
"2017","5 points (DMM)","Asian","All","Main scheme application","320","220","0.6960000000000001","0"
"2018","5 points (DMM)","Asian","All","Main scheme application","335","240","0.722","0"
"2019","5 points (DMM)","Asian","All","Main scheme application","330","235","0.716","0"
"2020","5 points (DMM)","Asian","All","Main scheme application","400","300","0.751","0"
"2021","5 points (DMM)","Asian","All","Main scheme application","445","320","0.719","0"
"2022","5 points (DMM)","Asian","All","Main scheme application","510","325","0.639","0"
"2023","5 points (DMM)","Asian","All","Main scheme application","570","370","0.652","0"
"2010","6 points (DDM)","Asian","All","Main scheme application","180","140","0.767","0"
"2011","6 points (DDM)","Asian","All","Main scheme application","265","205","0.777","0"
"2012","6 points (DDM)","Asian","All","Main scheme application","260","185","0.712","0"
"2013","6 points (DDM)","Asian","All","Main scheme application","295","205","0.6940000000000001","0"
"2014","6 points (DDM)","Asian","All","Main scheme application","395","255","0.648","0"
"2015","6 points (DDM)","Asian","All","Main scheme application","470","360","0.763","0"
"2016","6 points (DDM)","Asian","All","Main scheme application","470","330","0.7000000000000001","0"
"2017","6 points (DDM)","Asian","All","Main scheme application","510","365","0.716","0"
"2018","6 points (DDM)","Asian","All","Main scheme application","445","325","0.738","0"
"2019","6 points (DDM)","Asian","All","Main scheme application","435","310","0.709","0"
"2020","6 points (DDM)","Asian","All","Main scheme application","575","430","0.747","0"
"2021","6 points (DDM)","Asian","All","Main scheme application","585","425","0.727","0"
"2022","6 points (DDM)","Asian","All","Main scheme application","650","430","0.663","0"
"2023","6 points (DDM)","Asian","All","Main scheme application","670","450","0.671","0"
"2010","7 points (DDD)","Asian","All","Main scheme application","275","240","0.877","0"
"2011","7 points (DDD)","Asian","All","Main scheme application","435","360","0.8280000000000001","0"
"2012","7 points (DDD)","Asian","All","Main scheme application","355","260","0.734","0"
"2013","7 points (DDD)","Asian","All","Main scheme application","395","300","0.758","0"
"2014","7 points (DDD)","Asian","All","Main scheme application","475","360","0.762","0"
"2015","7 points (DDD)","Asian","All","Main scheme application","570","420","0.74","0"
"2016","7 points (DDD)","Asian","All","Main scheme application","600","440","0.732","0"
"2017","7 points (DDD)","Asian","All","Main scheme application","600","470","0.784","0"
"2018","7 points (DDD)","Asian","All","Main scheme application","620","455","0.733","0"
"2019","7 points (DDD)","Asian","All","Main scheme application","680","485","0.71","0"
"2020","7 points (DDD)","Asian","All","Main scheme application","770","575","0.747","0"
"2021","7 points (DDD)","Asian","All","Main scheme application","805","595","0.743","0"
"2022","7 points (DDD)","Asian","All","Main scheme application","825","585","0.708","0"
"2023","7 points (DDD)","Asian","All","Main scheme application","770","560","0.724","0"
"2012","8 points (D*DD)","Asian","All","Main scheme application","30","25","0.8","0"
"2013","8 points (D*DD)","Asian","All","Main scheme application","45","40","0.909","0"
"2014","8 points (D*DD)","Asian","All","Main scheme application","90","70","0.747","0"
"2015","8 points (D*DD)","Asian","All","Main scheme application","215","170","0.793","0"
"2016","8 points (D*DD)","Asian","All","Main scheme application","325","250","0.766","0"
"2017","8 points (D*DD)","Asian","All","Main scheme application","310","230","0.744","0"
"2018","8 points (D*DD)","Asian","All","Main scheme application","355","275","0.775","0"
"2019","8 points (D*DD)","Asian","All","Main scheme application","450","350","0.78","0"
"2020","8 points (D*DD)","Asian","All","Main scheme application","480","380","0.789","0"
"2021","8 points (D*DD)","Asian","All","Main scheme application","580","470","0.809","0"
"2022","8 points (D*DD)","Asian","All","Main scheme application","535","405","0.76","0"
"2023","8 points (D*DD)","Asian","All","Main scheme application","515","400","0.778","0"
"2012","9 points (D*D*D)","Asian","All","Main scheme application","85","65","0.774","0"
"2013","9 points (D*D*D)","Asian","All","Main scheme application","80","65","0.8210000000000001","0"
"2014","9 points (D*D*D)","Asian","All","Main scheme application","115","90","0.774","0"
"2015","9 points (D*D*D)","Asian","All","Main scheme application","195","155","0.796","0"
"2016","9 points (D*D*D)","Asian","All","Main scheme application","280","225","0.801","0"
"2017","9 points (D*D*D)","Asian","All","Main scheme application","305","230","0.757","0"
"2018","9 points (D*D*D)","Asian","All","Main scheme application","315","240","0.765","0"
"2019","9 points (D*D*D)","Asian","All","Main scheme application","395","300","0.764","0"
"2020","9 points (D*D*D)","Asian","All","Main scheme application","415","345","0.8270000000000001","0"
"2021","9 points (D*D*D)","Asian","All","Main scheme application","590","475","0.799","0"
"2022","9 points (D*D*D)","Asian","All","Main scheme application","350","270","0.773","0"
"2023","9 points (D*D*D)","Asian","All","Main scheme application","350","260","0.747","0"
"2013","10 points (D*D*D*)","Asian","All","Main scheme application","195","150","0.766","0"
"2014","10 points (D*D*D*)","Asian","All","Main scheme application","260","205","0.792","0"
"2015","10 points (D*D*D*)","Asian","All","Main scheme application","380","305","0.802","0"
"2016","10 points (D*D*D*)","Asian","All","Main scheme application","485","390","0.81","0"
"2017","10 points (D*D*D*)","Asian","All","Main scheme application","570","450","0.796","0"
"2018","10 points (D*D*D*)","Asian","All","Main scheme application","605","510","0.848","0"
"2019","10 points (D*D*D*)","Asian","All","Main scheme application","670","545","0.8180000000000001","0"
"2020","10 points (D*D*D*)","Asian","All","Main scheme application","885","750","0.85","0"
"2021","10 points (D*D*D*)","Asian","All","Main scheme application","915","750","0.8210000000000001","0"
"2022","10 points (D*D*D*)","Asian","All","Main scheme application","425","330","0.78","0"
"2023","10 points (D*D*D*)","Asian","All","Main scheme application","300","220","0.74","0"
"2010","1 point (PPP)","Mixed","All","Main scheme application","20","5"," ","0"
"2011","1 point (PPP)","Mixed","All","Main scheme application","25","5"," ","0"
"2012","1 point (PPP)","Mixed","All","Main scheme application","20","10","0.5","0"
"2013","1 point (PPP)","Mixed","All","Main scheme application","20","5"," ","0"
"2014","1 point (PPP)","Mixed","All","Main scheme application","20","5"," ","0"
"2015","1 point (PPP)","Mixed","All","Main scheme application","15","10"," ","0"
"2016","1 point (PPP)","Mixed","All","Main scheme application","15","5"," ","0"
"2017","1 point (PPP)","Mixed","All","Main scheme application","10","5"," ","0"
"2018","1 point (PPP)","Mixed","All","Main scheme application","10","5"," ","0"
"2019","1 point (PPP)","Mixed","All","Main scheme application","15","10","0.75","0"
"2020","1 point (PPP)","Mixed","All","Main scheme application","15","5"," ","0"
"2021","1 point (PPP)","Mixed","All","Main scheme application","20","20","0.8180000000000001","0"
"2022","1 point (PPP)","Mixed","All","Main scheme application","30","15","0.607","0"
"2023","1 point (PPP)","Mixed","All","Main scheme application","30","20","0.581","0"
"2010","2 points (MPP)","Mixed","All","Main scheme application","35","20","0.636","0"
"2011","2 points (MPP)","Mixed","All","Main scheme application","30","10","0.34400000000000003","0"
"2012","2 points (MPP)","Mixed","All","Main scheme application","35","20","0.514","0"
"2013","2 points (MPP)","Mixed","All","Main scheme application","25","20","0.76","0"
"2014","2 points (MPP)","Mixed","All","Main scheme application","25","15","0.583","0"
"2015","2 points (MPP)","Mixed","All","Main scheme application","25","10","0.458","0"
"2016","2 points (MPP)","Mixed","All","Main scheme application","30","15","0.5","0"
"2017","2 points (MPP)","Mixed","All","Main scheme application","25","10","0.458","0"
"2018","2 points (MPP)","Mixed","All","Main scheme application","15","10","0.647","0"
"2019","2 points (MPP)","Mixed","All","Main scheme application","25","15","0.5650000000000001","0"
"2020","2 points (MPP)","Mixed","All","Main scheme application","20","20","0.864","0"
"2021","2 points (MPP)","Mixed","All","Main scheme application","40","25","0.658","0"
"2022","2 points (MPP)","Mixed","All","Main scheme application","35","25","0.622","0"
"2023","2 points (MPP)","Mixed","All","Main scheme application","40","30","0.769","0"
"2010","3 points (MMP)","Mixed","All","Main scheme application","65","40","0.625","0"
"2011","3 points (MMP)","Mixed","All","Main scheme application","60","35","0.593","0"
"2012","3 points (MMP)","Mixed","All","Main scheme application","40","15","0.421","0"
"2013","3 points (MMP)","Mixed","All","Main scheme application","50","35","0.667","0"
"2014","3 points (MMP)","Mixed","All","Main scheme application","35","25","0.6940000000000001","0"
"2015","3 points (MMP)","Mixed","All","Main scheme application","40","25","0.667","0"
"2016","3 points (MMP)","Mixed","All","Main scheme application","30","20","0.6900000000000001","0"
"2017","3 points (MMP)","Mixed","All","Main scheme application","25","10","0.462","0"
"2018","3 points (MMP)","Mixed","All","Main scheme application","35","20","0.636","0"
"2019","3 points (MMP)","Mixed","All","Main scheme application","30","20","0.733","0"
"2020","3 points (MMP)","Mixed","All","Main scheme application","20","15","0.667","0"
"2021","3 points (MMP)","Mixed","All","Main scheme application","45","30","0.674","0"
"2022","3 points (MMP)","Mixed","All","Main scheme application","40","25","0.548","0"
"2023","3 points (MMP)","Mixed","All","Main scheme application","45","25","0.543","0"
"2010","4 points (MMM)","Mixed","All","Main scheme application","150","95","0.612","0"
"2011","4 points (MMM)","Mixed","All","Main scheme application","145","95","0.637","0"
"2012","4 points (MMM)","Mixed","All","Main scheme application","130","75","0.578","0"
"2013","4 points (MMM)","Mixed","All","Main scheme application","150","95","0.631","0"
"2014","4 points (MMM)","Mixed","All","Main scheme application","120","80","0.655","0"
"2015","4 points (MMM)","Mixed","All","Main scheme application","115","80","0.6930000000000001","0"
"2016","4 points (MMM)","Mixed","All","Main scheme application","115","70","0.619","0"
"2017","4 points (MMM)","Mixed","All","Main scheme application","75","60","0.803","0"
"2018","4 points (MMM)","Mixed","All","Main scheme application","75","55","0.75","0"
"2019","4 points (MMM)","Mixed","All","Main scheme application","65","45","0.6880000000000001","0"
"2020","4 points (MMM)","Mixed","All","Main scheme application","75","60","0.8130000000000001","0"
"2021","4 points (MMM)","Mixed","All","Main scheme application","95","65","0.71","0"
"2022","4 points (MMM)","Mixed","All","Main scheme application","130","85","0.656","0"
"2023","4 points (MMM)","Mixed","All","Main scheme application","135","85","0.615","0"
"2010","5 points (DMM)","Mixed","All","Main scheme application","135","105","0.785","0"
"2011","5 points (DMM)","Mixed","All","Main scheme application","160","105","0.644","0"
"2012","5 points (DMM)","Mixed","All","Main scheme application","155","110","0.708","0"
"2013","5 points (DMM)","Mixed","All","Main scheme application","160","105","0.644","0"
"2014","5 points (DMM)","Mixed","All","Main scheme application","165","105","0.656","0"
"2015","5 points (DMM)","Mixed","All","Main scheme application","160","100","0.634","0"
"2016","5 points (DMM)","Mixed","All","Main scheme application","165","115","0.709","0"
"2017","5 points (DMM)","Mixed","All","Main scheme application","130","90","0.682","0"
"2018","5 points (DMM)","Mixed","All","Main scheme application","105","85","0.804","0"
"2019","5 points (DMM)","Mixed","All","Main scheme application","130","95","0.712","0"
"2020","5 points (DMM)","Mixed","All","Main scheme application","140","105","0.763","0"
"2021","5 points (DMM)","Mixed","All","Main scheme application","160","115","0.728","0"
"2022","5 points (DMM)","Mixed","All","Main scheme application","170","130","0.76","0"
"2023","5 points (DMM)","Mixed","All","Main scheme application","185","120","0.652","0"
"2010","6 points (DDM)","Mixed","All","Main scheme application","130","95","0.735","0"
"2011","6 points (DDM)","Mixed","All","Main scheme application","125","100","0.8210000000000001","0"
"2012","6 points (DDM)","Mixed","All","Main scheme application","120","80","0.675","0"
"2013","6 points (DDM)","Mixed","All","Main scheme application","160","105","0.665","0"
"2014","6 points (DDM)","Mixed","All","Main scheme application","165","120","0.707","0"
"2015","6 points (DDM)","Mixed","All","Main scheme application","215","160","0.74","0"
"2016","6 points (DDM)","Mixed","All","Main scheme application","185","135","0.719","0"
"2017","6 points (DDM)","Mixed","All","Main scheme application","180","140","0.775","0"
"2018","6 points (DDM)","Mixed","All","Main scheme application","140","100","0.717","0"
"2019","6 points (DDM)","Mixed","All","Main scheme application","145","100","0.7010000000000001","0"
"2020","6 points (DDM)","Mixed","All","Main scheme application","160","110","0.709","0"
"2021","6 points (DDM)","Mixed","All","Main scheme application","210","160","0.764","0"
"2022","6 points (DDM)","Mixed","All","Main scheme application","205","140","0.6900000000000001","0"
"2023","6 points (DDM)","Mixed","All","Main scheme application","200","145","0.713","0"
"2010","7 points (DDD)","Mixed","All","Main scheme application","145","105","0.726","0"
"2011","7 points (DDD)","Mixed","All","Main scheme application","185","135","0.719","0"
"2012","7 points (DDD)","Mixed","All","Main scheme application","170","110","0.655","0"
"2013","7 points (DDD)","Mixed","All","Main scheme application","190","135","0.704","0"
"2014","7 points (DDD)","Mixed","All","Main scheme application","210","155","0.748","0"
"2015","7 points (DDD)","Mixed","All","Main scheme application","230","170","0.746","0"
"2016","7 points (DDD)","Mixed","All","Main scheme application","170","115","0.674","0"
"2017","7 points (DDD)","Mixed","All","Main scheme application","195","155","0.786","0"
"2018","7 points (DDD)","Mixed","All","Main scheme application","170","130","0.76","0"
"2019","7 points (DDD)","Mixed","All","Main scheme application","195","155","0.789","0"
"2020","7 points (DDD)","Mixed","All","Main scheme application","210","170","0.807","0"
"2021","7 points (DDD)","Mixed","All","Main scheme application","215","155","0.729","0"
"2022","7 points (DDD)","Mixed","All","Main scheme application","240","160","0.664","0"
"2023","7 points (DDD)","Mixed","All","Main scheme application","220","160","0.718","0"
"2012","8 points (D*DD)","Mixed","All","Main scheme application","10","10","0.833","0"
"2013","8 points (D*DD)","Mixed","All","Main scheme application","20","10","0.5710000000000001","0"
"2014","8 points (D*DD)","Mixed","All","Main scheme application","55","35","0.673","0"
"2015","8 points (D*DD)","Mixed","All","Main scheme application","95","70","0.755","0"
"2016","8 points (D*DD)","Mixed","All","Main scheme application","110","85","0.761","0"
"2017","8 points (D*DD)","Mixed","All","Main scheme application","100","80","0.81","0"
"2018","8 points (D*DD)","Mixed","All","Main scheme application","110","85","0.789","0"
"2019","8 points (D*DD)","Mixed","All","Main scheme application","110","80","0.732","0"
"2020","8 points (D*DD)","Mixed","All","Main scheme application","140","110","0.771","0"
"2021","8 points (D*DD)","Mixed","All","Main scheme application","155","120","0.758","0"
"2022","8 points (D*DD)","Mixed","All","Main scheme application","145","110","0.74","0"
"2023","8 points (D*DD)","Mixed","All","Main scheme application","155","120","0.771","0"
"2012","9 points (D*D*D)","Mixed","All","Main scheme application","55","40","0.736","0"
"2013","9 points (D*D*D)","Mixed","All","Main scheme application","40","30","0.769","0"
"2014","9 points (D*D*D)","Mixed","All","Main scheme application","55","35","0.625","0"
"2015","9 points (D*D*D)","Mixed","All","Main scheme application","95","75","0.768","0"
"2016","9 points (D*D*D)","Mixed","All","Main scheme application","105","80","0.75","0"
"2017","9 points (D*D*D)","Mixed","All","Main scheme application","100","80","0.808","0"
"2018","9 points (D*D*D)","Mixed","All","Main scheme application","100","80","0.788","0"
"2019","9 points (D*D*D)","Mixed","All","Main scheme application","110","90","0.833","0"
"2020","9 points (D*D*D)","Mixed","All","Main scheme application","100","80","0.775","0"
"2021","9 points (D*D*D)","Mixed","All","Main scheme application","145","105","0.722","0"
"2022","9 points (D*D*D)","Mixed","All","Main scheme application","120","85","0.708","0"
"2023","9 points (D*D*D)","Mixed","All","Main scheme application","100","80","0.806","0"
"2013","10 points (D*D*D*)","Mixed","All","Main scheme application","95","70","0.723","0"
"2014","10 points (D*D*D*)","Mixed","All","Main scheme application","130","100","0.758","0"
"2015","10 points (D*D*D*)","Mixed","All","Main scheme application","195","145","0.746","0"
"2016","10 points (D*D*D*)","Mixed","All","Main scheme application","210","155","0.744","0"
"2017","10 points (D*D*D*)","Mixed","All","Main scheme application","220","170","0.789","0"
"2018","10 points (D*D*D*)","Mixed","All","Main scheme application","220","185","0.8240000000000001","0"
"2019","10 points (D*D*D*)","Mixed","All","Main scheme application","190","150","0.793","0"
"2020","10 points (D*D*D*)","Mixed","All","Main scheme application","205","165","0.804","0"
"2021","10 points (D*D*D*)","Mixed","All","Main scheme application","225","180","0.796","0"
"2022","10 points (D*D*D*)","Mixed","All","Main scheme application","170","130","0.786","0"
"2023","10 points (D*D*D*)","Mixed","All","Main scheme application","100","75","0.755","0"
"2010","1 point (PPP)","Other","All","Main scheme application","5","0"," ","0"
"2011","1 point (PPP)","Other","All","Main scheme application","5","0"," ","0"
"2012","1 point (PPP)","Other","All","Main scheme application","5","0"," ","0"
"2013","1 point (PPP)","Other","All","Main scheme application","10","10"," ","0"
"2014","1 point (PPP)","Other","All","Main scheme application","5","5"," ","0"
"2015","1 point (PPP)","Other","All","Main scheme application","5","5"," ","0"
"2016","1 point (PPP)","Other","All","Main scheme application","10","10"," ","0"
"2017","1 point (PPP)","Other","All","Main scheme application","10","10"," ","0"
"2019","1 point (PPP)","Other","All","Main scheme application","10","5"," ","0"
"2020","1 point (PPP)","Other","All","Main scheme application","10","5"," ","0"
"2021","1 point (PPP)","Other","All","Main scheme application","10","5"," ","0"
"2022","1 point (PPP)","Other","All","Main scheme application","15","5"," ","0"
"2023","1 point (PPP)","Other","All","Main scheme application","25","10","0.5","0"
"2010","2 points (MPP)","Other","All","Main scheme application","10","5"," ","0"
"2011","2 points (MPP)","Other","All","Main scheme application","10","5"," ","0"
"2012","2 points (MPP)","Other","All","Main scheme application","10","5"," ","0"
"2013","2 points (MPP)","Other","All","Main scheme application","5","5"," ","0"
"2014","2 points (MPP)","Other","All","Main scheme application","15","10"," ","0"
"2015","2 points (MPP)","Other","All","Main scheme application","20","10","0.667","0"
"2016","2 points (MPP)","Other","All","Main scheme application","20","10","0.556","0"
"2017","2 points (MPP)","Other","All","Main scheme application","20","15","0.778","0"
"2018","2 points (MPP)","Other","All","Main scheme application","15","10","0.846","0"
"2019","2 points (MPP)","Other","All","Main scheme application","10","5"," ","0"
"2020","2 points (MPP)","Other","All","Main scheme application","15","10"," ","0"
"2021","2 points (MPP)","Other","All","Main scheme application","25","15","0.652","0"
"2022","2 points (MPP)","Other","All","Main scheme application","20","15","0.591","0"
"2023","2 points (MPP)","Other","All","Main scheme application","35","15","0.515","0"
"2010","3 points (MMP)","Other","All","Main scheme application","15","5"," ","0"
"2011","3 points (MMP)","Other","All","Main scheme application","15","10"," ","0"
"2012","3 points (MMP)","Other","All","Main scheme application","15","5"," ","0"
"2013","3 points (MMP)","Other","All","Main scheme application","15","5"," ","0"
"2014","3 points (MMP)","Other","All","Main scheme application","20","10"," ","0"
"2015","3 points (MMP)","Other","All","Main scheme application","15","5"," ","0"
"2016","3 points (MMP)","Other","All","Main scheme application","20","15","0.682","0"
"2017","3 points (MMP)","Other","All","Main scheme application","15","5"," ","0"
"2018","3 points (MMP)","Other","All","Main scheme application","15","15","0.765","0"
"2019","3 points (MMP)","Other","All","Main scheme application","15","10","0.733","0"
"2020","3 points (MMP)","Other","All","Main scheme application","15","10","0.625","0"
"2021","3 points (MMP)","Other","All","Main scheme application","40","25","0.658","0"
"2022","3 points (MMP)","Other","All","Main scheme application","30","20","0.714","0"
"2023","3 points (MMP)","Other","All","Main scheme application","40","25","0.5710000000000001","0"
"2010","4 points (MMM)","Other","All","Main scheme application","30","20","0.7000000000000001","0"
"2011","4 points (MMM)","Other","All","Main scheme application","45","25","0.628","0"
"2012","4 points (MMM)","Other","All","Main scheme application","45","30","0.66","0"
