"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","UK","Scotland","Scotland","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","UK","Scotland","Scotland","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","UK","England","England","21 - 24","Female","Main scheme applicant","Main scheme application","50","25","0.451","0"
"2020","UK","England","England","21 - 24","Female","Main scheme applicant","Main scheme application","35","15","0.389","0"
"2021","UK","England","England","21 - 24","Female","Main scheme applicant","Main scheme application","65","20","0.303","0"
"2022","UK","England","England","21 - 24","Female","Main scheme applicant","Main scheme application","100","50","0.505","0"
"2023","UK","England","England","21 - 24","Female","Main scheme applicant","Main scheme application","95","35","0.389","0"
"2019","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","45","10"," ","0"
"2020","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","35","10"," ","0"
"2021","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","45","15","0.311","0"
"2022","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","30","10"," ","0"
"2023","UK","Northern Ireland","Northern Ireland","21 - 24","Female","Main scheme applicant","Main scheme application","20","5"," ","0"
"2019","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Main scheme application","1145","615","0.54","0"
"2020","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Main scheme application","1270","700","0.549","0"
"2021","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Main scheme application","1580","675","0.429","0"
"2022","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Main scheme application","1125","610","0.543","0"
"2023","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Main scheme application","965","560","0.584","0"
"2020","UK","Wales","Wales","21 - 24","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","UK","Wales","Wales","21 - 24","Female","Main scheme applicant","Main scheme application","485","355","0.731","0"
"2023","UK","Wales","Wales","21 - 24","Female","Main scheme applicant","Main scheme application","445","305","0.686","0"
