"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","North East","480","275","0.578"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","North East","65","55","0.852"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","North East","65","55","0.866"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","North East","75","65","0.874"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","North East","95","70","0.729"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","North East","95","75","0.799"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","North East","570","400","0.704"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","North East","530","375","0.707"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","North East","635","470","0.738"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","North East","675","485","0.72"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","North East","830","530","0.636"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","North East","550","215","0.39"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","North East","540","195","0.363"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","North East","690","295","0.426"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","North East","720","235","0.328"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","North East","800","270","0.34"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","North East","65","45","0.704"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","North East","60","40","0.6960000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","North East","50","45","0.87"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","North East","55","40","0.727"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","North East","70","45","0.661"
