"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","South West","1270","1040","0.8200000000000001"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","South West","1195","1000","0.838"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","South West","1180","950","0.805"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","South West","1415","1075","0.759"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","South West","1365","1070","0.785"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","South West","315","280","0.893"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","South West","365","310","0.846"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","South West","305","265","0.861"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","South West","230","200","0.861"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","South West","235","210","0.891"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","South West","10","5"," "
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","South West","5","5"," "
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","South West","10","10"," "
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","South West","10","10"," "
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","South West","5","5"," "
"2019","(CAH11) computing","(CAH11-01-08) others in computing","South West","575","530","0.921"
"2020","(CAH11) computing","(CAH11-01-08) others in computing","South West","515","450","0.877"
"2021","(CAH11) computing","(CAH11-01-08) others in computing","South West","430","395","0.916"
"2022","(CAH11) computing","(CAH11-01-08) others in computing","South West","385","340","0.886"
"2023","(CAH11) computing","(CAH11-01-08) others in computing","South West","390","345","0.886"
"2019","(CAH11) computing","(CAH11-01-05) artificial intelligence","South West","60","50","0.81"
"2020","(CAH11) computing","(CAH11-01-05) artificial intelligence","South West","95","70","0.717"
"2021","(CAH11) computing","(CAH11-01-05) artificial intelligence","South West","145","80","0.558"
"2022","(CAH11) computing","(CAH11-01-05) artificial intelligence","South West","130","80","0.612"
"2023","(CAH11) computing","(CAH11-01-05) artificial intelligence","South West","160","105","0.666"
"2019","(CAH11) computing","(CAH11-01-07) business computing","South West","105","90","0.856"
"2020","(CAH11) computing","(CAH11-01-07) business computing","South West","90","80","0.873"
"2021","(CAH11) computing","(CAH11-01-07) business computing","South West","145","130","0.901"
"2022","(CAH11) computing","(CAH11-01-07) business computing","South West","165","140","0.837"
"2023","(CAH11) computing","(CAH11-01-07) business computing","South West","135","120","0.871"
"2019","(CAH11) computing","(CAH11-01-06) computer games and animation","South West","1500","1220","0.8150000000000001"
"2020","(CAH11) computing","(CAH11-01-06) computer games and animation","South West","1585","1240","0.782"
"2021","(CAH11) computing","(CAH11-01-06) computer games and animation","South West","1600","1310","0.8180000000000001"
"2022","(CAH11) computing","(CAH11-01-06) computer games and animation","South West","2145","1655","0.771"
"2023","(CAH11) computing","(CAH11-01-06) computer games and animation","South West","2025","1625","0.803"
"2019","(CAH11) computing","(CAH11-01-01) computer science","South West","3245","2510","0.774"
"2020","(CAH11) computing","(CAH11-01-01) computer science","South West","3070","2335","0.761"
"2021","(CAH11) computing","(CAH11-01-01) computer science","South West","3515","2535","0.722"
"2022","(CAH11) computing","(CAH11-01-01) computer science","South West","3680","2505","0.681"
"2023","(CAH11) computing","(CAH11-01-01) computer science","South West","4030","2915","0.724"
"2019","(CAH11) computing","(CAH11-01-02) information technology","South West","190","160","0.836"
"2020","(CAH11) computing","(CAH11-01-02) information technology","South West","155","135","0.881"
"2021","(CAH11) computing","(CAH11-01-02) information technology","South West","165","155","0.9410000000000001"
"2022","(CAH11) computing","(CAH11-01-02) information technology","South West","130","115","0.892"
"2023","(CAH11) computing","(CAH11-01-02) information technology","South West","125","110","0.887"
"2019","(CAH11) computing","(CAH11-01-03) information systems","South West","65","65","0.993"
"2020","(CAH11) computing","(CAH11-01-03) information systems","South West","60","55","0.908"
"2021","(CAH11) computing","(CAH11-01-03) information systems","South West","75","60","0.802"
"2022","(CAH11) computing","(CAH11-01-03) information systems","South West","100","80","0.8210000000000001"
"2023","(CAH11) computing","(CAH11-01-03) information systems","South West","95","85","0.871"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","South West","705","635","0.9"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","South West","725","650","0.9"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","South West","920","845","0.919"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","South West","1040","925","0.888"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","South West","1220","1100","0.903"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","South West","1115","985","0.881"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","South West","960","810","0.846"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","South West","935","810","0.867"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","South West","1065","920","0.863"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","South West","1195","1040","0.872"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","South West","625","590","0.9470000000000001"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","South West","685","640","0.932"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","South West","625","580","0.93"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","South West","685","635","0.93"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","South West","700","650","0.932"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","South West","1285","1215","0.9470000000000001"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","South West","1330","1245","0.935"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","South West","1380","1275","0.923"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","South West","1270","1085","0.854"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","South West","1470","1325","0.902"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","South West","600","560","0.937"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","South West","590","550","0.931"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","South West","590","525","0.892"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","South West","500","455","0.91"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","South West","550","505","0.919"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","South West","1350","1260","0.934"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","South West","1370","1275","0.93"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","South West","1360","1215","0.892"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","South West","1330","1130","0.849"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","South West","1375","1235","0.898"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","South West","755","695","0.919"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","South West","565","530","0.937"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","South West","775","720","0.927"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","South West","845","770","0.91"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","South West","690","625","0.904"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","South West","25","20","0.87"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","South West","55","50","0.864"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","South West","65","50","0.8"
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","South West","55","45","0.786"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","South West","65","45","0.707"
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","South West","240","215","0.904"
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","South West","345","310","0.897"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","South West","340","310","0.915"
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","South West","310","265","0.855"
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","South West","305","260","0.849"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","South West","1530","1370","0.895"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","South West","1390","1220","0.877"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","South West","1480","1310","0.885"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","South West","1365","1160","0.849"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","South West","1485","1310","0.881"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","South West","230","195","0.847"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","South West","220","185","0.843"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","South West","290","240","0.835"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","South West","315","235","0.746"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","South West","235","195","0.8200000000000001"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","South West","1770","1465","0.8270000000000001"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","South West","1995","1605","0.803"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","South West","1940","1585","0.8160000000000001"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","South West","1910","1495","0.783"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","South West","1755","1440","0.8220000000000001"
"2019","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","South West","15","5"," "
"2020","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","South West","5","0"," "
"2021","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","South West","5","5"," "
"2022","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","South West","5","0"," "
"2023","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","South West","5","0"," "
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","South West","850","800","0.9430000000000001"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","South West","805","765","0.9510000000000001"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","South West","1075","1015","0.9440000000000001"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","South West","1105","970","0.879"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","South West","1055","960","0.909"
"2019","(CAH04) psychology","(CAH04-01-04) psychology and health","South West","55","50","0.891"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","South West","60","55","0.9520000000000001"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","South West","85","80","0.922"
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","South West","80","75","0.917"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","South West","75","70","0.937"
"2019","(CAH04) psychology","(CAH04-01-03) developmental psychology","South West","85","80","0.924"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","South West","105","95","0.921"
"2021","(CAH04) psychology","(CAH04-01-03) developmental psychology","South West","125","115","0.91"
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","South West","175","155","0.878"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","South West","145","135","0.9440000000000001"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","South West","7635","6505","0.852"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","South West","7335","6265","0.854"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","South West","7920","6525","0.8240000000000001"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","South West","8275","6290","0.76"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","South West","8155","6600","0.81"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","South West","45","40","0.87"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","South West","55","50","0.909"
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","South West","60","50","0.812"
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","South West","60","50","0.861"
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","South West","50","40","0.808"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","South West","2785","2380","0.854"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","South West","2550","2145","0.84"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","South West","2795","2320","0.8300000000000001"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","South West","2545","2000","0.786"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","South West","2365","1855","0.785"
"2019","(CAH09) mathematical sciences","(CAH09-01-02) operational research","South West","10","5"," "
"2020","(CAH09) mathematical sciences","(CAH09-01-02) operational research","South West","5","5"," "
"2021","(CAH09) mathematical sciences","(CAH09-01-02) operational research","South West","10","10"," "
"2022","(CAH09) mathematical sciences","(CAH09-01-02) operational research","South West","5","5"," "
"2023","(CAH09) mathematical sciences","(CAH09-01-02) operational research","South West","10","10"," "
"2019","(CAH09) mathematical sciences","(CAH09-01-03) statistics","South West","55","45","0.788"
"2020","(CAH09) mathematical sciences","(CAH09-01-03) statistics","South West","45","35","0.8170000000000001"
"2021","(CAH09) mathematical sciences","(CAH09-01-03) statistics","South West","90","65","0.744"
"2022","(CAH09) mathematical sciences","(CAH09-01-03) statistics","South West","100","60","0.599"
"2023","(CAH09) mathematical sciences","(CAH09-01-03) statistics","South West","95","60","0.641"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","South West","1940","1720","0.888"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","South West","1620","1380","0.851"
"2021","(CAH22) education and teaching","(CAH22-01-01) education","South West","1770","1585","0.894"
"2022","(CAH22) education and teaching","(CAH22-01-01) education","South West","1920","1625","0.846"
"2023","(CAH22) education and teaching","(CAH22-01-01) education","South West","1540","1340","0.87"
"2019","(CAH22) education and teaching","(CAH22-01-02) teacher training","South West","2000","1095","0.547"
"2020","(CAH22) education and teaching","(CAH22-01-02) teacher training","South West","1775","1010","0.5680000000000001"
"2021","(CAH22) education and teaching","(CAH22-01-02) teacher training","South West","1995","1350","0.677"
"2022","(CAH22) education and teaching","(CAH22-01-02) teacher training","South West","2090","1170","0.561"
"2023","(CAH22) education and teaching","(CAH22-01-02) teacher training","South West","1845","1085","0.587"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","South West","45","40","0.893"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","South West","40","40","0.9590000000000001"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","South West","60","55","0.9540000000000001"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","South West","40","35","0.914"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","South West","50","50","1.0030000000000001"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","South West","50","45","0.915"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","South West","55","50","0.9380000000000001"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","South West","65","65","0.964"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","South West","50","45","0.9440000000000001"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","South West","55","55","0.965"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","South West","465","425","0.917"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","South West","475","425","0.895"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","South West","520","485","0.93"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","South West","490","455","0.933"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","South West","515","475","0.921"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","South West","750","680","0.909"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","South West","735","675","0.915"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","South West","830","770","0.93"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","South West","790","725","0.919"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","South West","745","705","0.9440000000000001"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","South West","15","10","0.803"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","South West","15","10","0.715"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","South West","15","15","1.115"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","South West","15","10"," "
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","South West","25","20","0.8290000000000001"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","South West","10","10"," "
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","South West","10","10","1.033"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","South West","20","15","0.704"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","South West","10","10","1.072"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","South West","15","15","0.855"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","South West","45","40","0.915"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","South West","65","60","0.9560000000000001"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","South West","70","65","0.896"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","South West","65","60","0.929"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","South West","50","45","0.871"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","South West","5","5"," "
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","South West","5","5"," "
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","South West","5","0"," "
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","South West","10","5"," "
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","South West","10","10"," "
"2019","(CAH16) law","(CAH16-01-01) law","South West","5715","4790","0.838"
"2020","(CAH16) law","(CAH16-01-01) law","South West","5740","4945","0.862"
"2021","(CAH16) law","(CAH16-01-01) law","South West","6450","5255","0.8150000000000001"
"2022","(CAH16) law","(CAH16-01-01) law","South West","6380","4735","0.742"
"2023","(CAH16) law","(CAH16-01-01) law","South West","6855","5330","0.777"
"2019","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","South West","880","280","0.318"
"2020","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","South West","695","290","0.417"
"2021","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","South West","1045","315","0.302"
"2022","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","South West","945","285","0.302"
"2023","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","South West","1005","330","0.328"
"2019","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","South West","455","210","0.46"
"2020","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","South West","340","185","0.549"
"2021","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","South West","515","290","0.559"
"2022","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","South West","430","200","0.47000000000000003"
"2023","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","South West","415","275","0.658"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Northern Ireland","1410","660","0.468"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Northern Ireland","1425","795","0.558"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Northern Ireland","1480","975","0.66"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Northern Ireland","1620","1015","0.627"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Northern Ireland","1535","975","0.636"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Northern Ireland","1125","775","0.6890000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Northern Ireland","960","695","0.725"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Northern Ireland","975","715","0.732"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Northern Ireland","890","610","0.686"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Northern Ireland","815","545","0.672"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Northern Ireland","1335","955","0.714"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Northern Ireland","1260","995","0.789"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Northern Ireland","1135","920","0.809"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Northern Ireland","1160","870","0.752"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Northern Ireland","1140","865","0.759"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Northern Ireland","460","215","0.47000000000000003"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Northern Ireland","410","180","0.442"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Northern Ireland","380","205","0.536"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Northern Ireland","530","240","0.454"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Northern Ireland","475","240","0.509"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Northern Ireland","845","445","0.526"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Northern Ireland","810","445","0.55"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Northern Ireland","780","415","0.531"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Northern Ireland","870","470","0.539"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Northern Ireland","770","440","0.5700000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Northern Ireland","75","25","0.363"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Northern Ireland","40","15","0.397"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Northern Ireland","70","30","0.439"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Northern Ireland","65","20","0.327"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Northern Ireland","90","30","0.357"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Northern Ireland","65","30","0.488"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Northern Ireland","35","15","0.429"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Northern Ireland","20","15","0.724"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Northern Ireland","30","25","0.804"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Northern Ireland","20","15","0.7000000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Northern Ireland","30","15","0.457"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Northern Ireland","30","20","0.622"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Northern Ireland","35","25","0.66"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Northern Ireland","50","30","0.621"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Northern Ireland","20","15","0.853"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Northern Ireland","365","240","0.663"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Northern Ireland","385","340","0.879"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Northern Ireland","345","295","0.852"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Northern Ireland","310","220","0.716"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Northern Ireland","360","250","0.6920000000000001"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Northern Ireland","190","175","0.932"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Northern Ireland","190","175","0.928"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Northern Ireland","200","180","0.9"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Northern Ireland","150","130","0.853"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Northern Ireland","180","160","0.893"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Northern Ireland","5","5"," "
"2020","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Northern Ireland","5","5"," "
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Northern Ireland","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Northern Ireland","60","40","0.6970000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Northern Ireland","40","25","0.653"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Northern Ireland","55","50","0.88"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Northern Ireland","40","30","0.795"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Northern Ireland","30","20","0.704"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Northern Ireland","280","250","0.893"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Northern Ireland","230","205","0.902"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Northern Ireland","295","275","0.924"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Northern Ireland","215","200","0.93"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Northern Ireland","245","230","0.9470000000000001"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Northern Ireland","340","285","0.836"
