"Year","Predicted SQA higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","25","0.719","0"
"2021","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","10","0.556","0"
"2022","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.727","0"
"2023","16 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.714","0"
"2010","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2011","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","20","0.667","0"
"2013","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","20","0.8260000000000001","0"
"2014","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","15","0.593","0"
"2015","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","15","0.548","0"
"2016","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","15","0.548","0"
"2017","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.778","0"
"2018","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","20","0.679","0"
"2019","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","15","0.519","0"
"2020","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","35","20","0.606","0"
"2021","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","20","0.75","0"
"2022","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.591","0"
"2023","17 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","15","0.6960000000000001","0"
"2010","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2015","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","25","0.8","0"
"2016","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","5"," ","0"
"2017","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","10","0.647","0"
"2018","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","20","0.75","0"
"2019","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","20","0.731","0"
"2020","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","25","0.852","0"
"2021","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","25","0.793","0"
"2022","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2023","18 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","15","0.652","0"
"2010","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","15","0.8240000000000001","0"
"2013","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","15","0.9380000000000001","0"
"2015","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","10","0.706","0"
"2016","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.727","0"
"2017","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","25","0.852","0"
"2018","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2019","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","20","0.857","0"
"2020","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","10","0.556","0"
"2021","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","20","0.786","0"
"2022","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.684","0"
"2023","19 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.762","0"
"2010","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","10","0.733","0"
"2016","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.714","0"
"2017","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","15","10","0.714","0"
"2018","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.889","0"
"2019","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.727","0"
"2020","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","20","15","0.684","0"
"2021","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","40","30","0.732","0"
"2022","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","30","25","0.844","0"
"2023","20 point(s)","18","Scotland","Female","Main scheme applicant","Main scheme application","25","20","0.792","0"
"2012","9 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","9 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","10 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","10 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2012","10 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2013","10 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","10 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","10 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","10 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","10 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","10 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","10 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2012","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","0"," ","0"
"2015","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","11 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","15","0.406","0"
"2011","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","5"," ","0"
"2012","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2013","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2014","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2015","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","0"," ","0"
"2016","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2018","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","0"," ","0"
"2020","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","12 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","15","5"," ","0"
"2010","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","10"," ","0"
"2011","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","10","0.444","0"
"2012","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","30","10","0.41400000000000003","0"
"2013","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","10","0.44","0"
"2014","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","5"," ","0"
"2015","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","5"," ","0"
"2016","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","25","10","0.435","0"
"2017","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","13 point(s)","18","Scotland","Male","Main scheme applicant","Main scheme application","20","5"," ","0"
