"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2008","Deferred","20","Scotland","Female","75","50","0.64"
"2009","Deferred","20","Scotland","Female","75","50","0.667"
"2010","Deferred","20","Scotland","Female","130","50","0.4"
"2011","Deferred","20","Scotland","Female","105","50","0.47600000000000003"
"2012","Deferred","20","Scotland","Female","90","50","0.556"
"2013","Deferred","20","Scotland","Female","85","45","0.518"
"2014","Deferred","20","Scotland","Female","85","50","0.5650000000000001"
"2015","Deferred","20","Scotland","Female","80","45","0.5750000000000001"
"2016","Deferred","20","Scotland","Female","105","45","0.429"
"2017","Deferred","20","Scotland","Female","95","40","0.4"
"2018","Deferred","20","Scotland","Female","125","55","0.44"
"2019","Deferred","20","Scotland","Female","85","45","0.529"
"2020","Deferred","20","Scotland","Female","50","40","0.8"
"2021","Deferred","20","Scotland","Female","80","50","0.65"
"2022","Deferred","20","Scotland","Female","100","55","0.55"
"2023","Deferred","20","Scotland","Female","70","45","0.643"
"2006","Not deferred","21 - 24","Scotland","Female","7220","3800","0.526"
"2007","Not deferred","21 - 24","Scotland","Female","7935","4185","0.528"
"2008","Not deferred","21 - 24","Scotland","Female","7765","4285","0.552"
"2009","Not deferred","21 - 24","Scotland","Female","8060","4385","0.544"
"2010","Not deferred","21 - 24","Scotland","Female","11315","4585","0.405"
"2011","Not deferred","21 - 24","Scotland","Female","12745","4665","0.366"
"2012","Not deferred","21 - 24","Scotland","Female","12710","4665","0.367"
"2013","Not deferred","21 - 24","Scotland","Female","13460","5155","0.383"
"2014","Not deferred","21 - 24","Scotland","Female","14890","5740","0.385"
"2015","Not deferred","21 - 24","Scotland","Female","18650","6360","0.341"
"2016","Not deferred","21 - 24","Scotland","Female","18585","6530","0.35100000000000003"
"2017","Not deferred","21 - 24","Scotland","Female","18975","7095","0.374"
"2018","Not deferred","21 - 24","Scotland","Female","19175","7435","0.388"
"2019","Not deferred","21 - 24","Scotland","Female","18265","7365","0.403"
"2020","Not deferred","21 - 24","Scotland","Female","18990","7735","0.40700000000000003"
"2021","Not deferred","21 - 24","Scotland","Female","21045","7680","0.365"
"2022","Not deferred","21 - 24","Scotland","Female","17055","6900","0.405"
"2023","Not deferred","21 - 24","Scotland","Female","15530","7070","0.455"
"2006","Deferred","21 - 24","Scotland","Female","90","55","0.633"
"2007","Deferred","21 - 24","Scotland","Female","120","70","0.6"
"2008","Deferred","21 - 24","Scotland","Female","125","85","0.6960000000000001"
"2009","Deferred","21 - 24","Scotland","Female","105","80","0.752"
"2010","Deferred","21 - 24","Scotland","Female","280","110","0.396"
"2011","Deferred","21 - 24","Scotland","Female","270","80","0.296"
"2012","Deferred","21 - 24","Scotland","Female","230","90","0.383"
"2013","Deferred","21 - 24","Scotland","Female","205","50","0.249"
"2014","Deferred","21 - 24","Scotland","Female","210","90","0.419"
"2015","Deferred","21 - 24","Scotland","Female","375","85","0.224"
"2016","Deferred","21 - 24","Scotland","Female","270","95","0.352"
"2017","Deferred","21 - 24","Scotland","Female","300","105","0.343"
"2018","Deferred","21 - 24","Scotland","Female","225","120","0.533"
"2019","Deferred","21 - 24","Scotland","Female","215","95","0.442"
"2020","Deferred","21 - 24","Scotland","Female","250","130","0.52"
"2021","Deferred","21 - 24","Scotland","Female","195","130","0.662"
"2022","Deferred","21 - 24","Scotland","Female","225","95","0.427"
"2023","Deferred","21 - 24","Scotland","Female","235","105","0.451"
"2006","Not deferred","25 - 29","Scotland","Female","2830","1545","0.546"
"2007","Not deferred","25 - 29","Scotland","Female","3280","1775","0.541"
"2008","Not deferred","25 - 29","Scotland","Female","3110","1650","0.53"
"2009","Not deferred","25 - 29","Scotland","Female","3435","1910","0.556"
"2010","Not deferred","25 - 29","Scotland","Female","5140","2055","0.4"
"2011","Not deferred","25 - 29","Scotland","Female","5685","2055","0.362"
"2012","Not deferred","25 - 29","Scotland","Female","5665","2040","0.36"
"2013","Not deferred","25 - 29","Scotland","Female","5545","2095","0.377"
"2014","Not deferred","25 - 29","Scotland","Female","6465","2365","0.366"
"2015","Not deferred","25 - 29","Scotland","Female","9550","3145","0.33"
"2016","Not deferred","25 - 29","Scotland","Female","10265","3370","0.328"
"2017","Not deferred","25 - 29","Scotland","Female","10440","3615","0.34600000000000003"
"2018","Not deferred","25 - 29","Scotland","Female","9955","3650","0.367"
"2019","Not deferred","25 - 29","Scotland","Female","9680","3560","0.368"
"2020","Not deferred","25 - 29","Scotland","Female","10570","4255","0.402"
"2021","Not deferred","25 - 29","Scotland","Female","13220","4755","0.36"
"2022","Not deferred","25 - 29","Scotland","Female","9990","4090","0.40900000000000003"
"2023","Not deferred","25 - 29","Scotland","Female","7435","3350","0.451"
"2006","Deferred","25 - 29","Scotland","Female","65","45","0.677"
"2007","Deferred","25 - 29","Scotland","Female","50","45","0.9"
"2008","Deferred","25 - 29","Scotland","Female","55","40","0.6910000000000001"
"2009","Deferred","25 - 29","Scotland","Female","65","50","0.8"
"2010","Deferred","25 - 29","Scotland","Female","190","75","0.395"
"2011","Deferred","25 - 29","Scotland","Female","165","50","0.297"
"2012","Deferred","25 - 29","Scotland","Female","150","30","0.20700000000000002"
"2013","Deferred","25 - 29","Scotland","Female","140","50","0.364"
"2014","Deferred","25 - 29","Scotland","Female","110","45","0.40900000000000003"
"2015","Deferred","25 - 29","Scotland","Female","265","50","0.189"
"2016","Deferred","25 - 29","Scotland","Female","200","60","0.295"
"2017","Deferred","25 - 29","Scotland","Female","245","90","0.363"
"2018","Deferred","25 - 29","Scotland","Female","160","80","0.494"
"2019","Deferred","25 - 29","Scotland","Female","170","80","0.459"
"2020","Deferred","25 - 29","Scotland","Female","155","80","0.529"
"2021","Deferred","25 - 29","Scotland","Female","170","100","0.594"
"2022","Deferred","25 - 29","Scotland","Female","170","95","0.547"
"2023","Deferred","25 - 29","Scotland","Female","100","60","0.6"
"2006","Not deferred","30 - 34","Scotland","Female","1410","870","0.616"
"2007","Not deferred","30 - 34","Scotland","Female","1315","755","0.5730000000000001"
"2008","Not deferred","30 - 34","Scotland","Female","1165","680","0.584"
"2009","Not deferred","30 - 34","Scotland","Female","1505","820","0.546"
"2010","Not deferred","30 - 34","Scotland","Female","2460","1035","0.42"
"2011","Not deferred","30 - 34","Scotland","Female","2950","1075","0.365"
"2012","Not deferred","30 - 34","Scotland","Female","2560","990","0.386"
"2013","Not deferred","30 - 34","Scotland","Female","2705","1060","0.391"
"2014","Not deferred","30 - 34","Scotland","Female","2995","1135","0.38"
"2015","Not deferred","30 - 34","Scotland","Female","4235","1510","0.357"
"2016","Not deferred","30 - 34","Scotland","Female","4615","1555","0.337"
"2017","Not deferred","30 - 34","Scotland","Female","5005","1905","0.38"
"2018","Not deferred","30 - 34","Scotland","Female","4850","1875","0.386"
"2019","Not deferred","30 - 34","Scotland","Female","4775","1905","0.399"
"2020","Not deferred","30 - 34","Scotland","Female","5105","2065","0.405"
"2021","Not deferred","30 - 34","Scotland","Female","6330","2335","0.369"
"2022","Not deferred","30 - 34","Scotland","Female","5230","2155","0.41200000000000003"
"2023","Not deferred","30 - 34","Scotland","Female","3850","1835","0.47600000000000003"
"2006","Deferred","30 - 34","Scotland","Female","35","25","0.686"
"2007","Deferred","30 - 34","Scotland","Female","20","10","0.6"
"2008","Deferred","30 - 34","Scotland","Female","45","35","0.778"
"2009","Deferred","30 - 34","Scotland","Female","40","30","0.775"
"2010","Deferred","30 - 34","Scotland","Female","100","55","0.54"
"2011","Deferred","30 - 34","Scotland","Female","110","25","0.23600000000000002"
"2012","Deferred","30 - 34","Scotland","Female","90","45","0.47800000000000004"
"2013","Deferred","30 - 34","Scotland","Female","70","25","0.329"
"2014","Deferred","30 - 34","Scotland","Female","105","40","0.381"
"2015","Deferred","30 - 34","Scotland","Female","175","45","0.246"
"2016","Deferred","30 - 34","Scotland","Female","90","25","0.278"
"2017","Deferred","30 - 34","Scotland","Female","135","50","0.37"
"2018","Deferred","30 - 34","Scotland","Female","100","45","0.43"
"2019","Deferred","30 - 34","Scotland","Female","105","45","0.438"
"2020","Deferred","30 - 34","Scotland","Female","80","45","0.5750000000000001"
"2021","Deferred","30 - 34","Scotland","Female","125","70","0.56"
"2022","Deferred","30 - 34","Scotland","Female","120","60","0.483"
"2023","Deferred","30 - 34","Scotland","Female","110","60","0.545"
"2006","Not deferred","35 and over","Scotland","Female","2380","1470","0.617"
"2007","Not deferred","35 and over","Scotland","Female","2365","1485","0.628"
"2008","Not deferred","35 and over","Scotland","Female","1845","1165","0.631"
"2009","Not deferred","35 and over","Scotland","Female","2205","1375","0.624"
"2010","Not deferred","35 and over","Scotland","Female","3800","1870","0.492"
"2011","Not deferred","35 and over","Scotland","Female","3850","1630","0.423"
"2012","Not deferred","35 and over","Scotland","Female","3535","1410","0.398"
"2013","Not deferred","35 and over","Scotland","Female","3480","1480","0.425"
"2014","Not deferred","35 and over","Scotland","Female","4000","1610","0.402"
"2015","Not deferred","35 and over","Scotland","Female","5330","1975","0.371"
"2016","Not deferred","35 and over","Scotland","Female","6160","2115","0.34400000000000003"
"2017","Not deferred","35 and over","Scotland","Female","6580","2525","0.384"
"2018","Not deferred","35 and over","Scotland","Female","7435","2865","0.385"
"2019","Not deferred","35 and over","Scotland","Female","7575","2950","0.39"
"2020","Not deferred","35 and over","Scotland","Female","8420","3440","0.40900000000000003"
"2021","Not deferred","35 and over","Scotland","Female","9055","3420","0.377"
"2022","Not deferred","35 and over","Scotland","Female","7690","3335","0.434"
"2023","Not deferred","35 and over","Scotland","Female","6480","3040","0.46900000000000003"
"2006","Deferred","35 and over","Scotland","Female","45","35","0.8220000000000001"
"2007","Deferred","35 and over","Scotland","Female","50","40","0.8"
"2008","Deferred","35 and over","Scotland","Female","55","35","0.673"
"2009","Deferred","35 and over","Scotland","Female","55","45","0.836"
"2010","Deferred","35 and over","Scotland","Female","145","60","0.4"
"2011","Deferred","35 and over","Scotland","Female","120","30","0.267"
"2012","Deferred","35 and over","Scotland","Female","95","35","0.389"
"2013","Deferred","35 and over","Scotland","Female","70","25","0.343"
"2014","Deferred","35 and over","Scotland","Female","80","35","0.463"
"2015","Deferred","35 and over","Scotland","Female","185","35","0.195"
"2016","Deferred","35 and over","Scotland","Female","165","40","0.23600000000000002"
"2017","Deferred","35 and over","Scotland","Female","165","65","0.4"
"2018","Deferred","35 and over","Scotland","Female","120","60","0.483"
"2019","Deferred","35 and over","Scotland","Female","150","60","0.387"
"2020","Deferred","35 and over","Scotland","Female","160","90","0.5690000000000001"
"2021","Deferred","35 and over","Scotland","Female","165","95","0.5760000000000001"
"2022","Deferred","35 and over","Scotland","Female","170","75","0.429"
"2023","Deferred","35 and over","Scotland","Female","125","60","0.488"
"2006","Not deferred","17 and under","Wales","Female","150","90","0.607"
"2007","Not deferred","17 and under","Wales","Female","155","90","0.594"
"2008","Not deferred","17 and under","Wales","Female","130","100","0.762"
"2009","Not deferred","17 and under","Wales","Female","105","70","0.667"
"2010","Not deferred","17 and under","Wales","Female","110","65","0.6"
"2011","Not deferred","17 and under","Wales","Female","100","65","0.67"
"2012","Not deferred","17 and under","Wales","Female","45","30","0.622"
"2013","Not deferred","17 and under","Wales","Female","85","60","0.718"
"2014","Not deferred","17 and under","Wales","Female","45","35","0.8"
"2015","Not deferred","17 and under","Wales","Female","70","45","0.671"
"2016","Not deferred","17 and under","Wales","Female","45","30","0.622"
"2017","Not deferred","17 and under","Wales","Female","30","20","0.6"
"2018","Not deferred","17 and under","Wales","Female","70","50","0.743"
"2019","Not deferred","17 and under","Wales","Female","70","65","0.9"
"2020","Not deferred","17 and under","Wales","Female","60","45","0.767"
"2021","Not deferred","17 and under","Wales","Female","50","35","0.66"
"2022","Not deferred","17 and under","Wales","Female","75","40","0.52"
"2023","Not deferred","17 and under","Wales","Female","80","45","0.5750000000000001"
"2006","Deferred","17 and under","Wales","Female","55","45","0.8180000000000001"
"2007","Deferred","17 and under","Wales","Female","20","10","0.6"
"2008","Deferred","17 and under","Wales","Female","15","10","0.667"
"2009","Deferred","17 and under","Wales","Female","10","5"," "
"2010","Deferred","17 and under","Wales","Female","20","15","0.75"
"2011","Deferred","17 and under","Wales","Female","25","15","0.56"
"2012","Deferred","17 and under","Wales","Female","15","10","0.733"
"2013","Deferred","17 and under","Wales","Female","15","10","0.733"
"2014","Deferred","17 and under","Wales","Female","20","20","1"
"2015","Deferred","17 and under","Wales","Female","10","10"," "
"2016","Deferred","17 and under","Wales","Female","15","5"," "
"2017","Deferred","17 and under","Wales","Female","15","15","1"
"2018","Deferred","17 and under","Wales","Female","5","5"," "
"2020","Deferred","17 and under","Wales","Female","10","5"," "
"2022","Deferred","17 and under","Wales","Female","5","5"," "
"2023","Deferred","17 and under","Wales","Female","15","5"," "
"2006","Not deferred","18","Wales","Female","31480","21530","0.684"
"2007","Not deferred","18","Wales","Female","30285","20955","0.6920000000000001"
"2008","Not deferred","18","Wales","Female","27185","19520","0.718"
"2009","Not deferred","18","Wales","Female","28930","20655","0.714"
"2010","Not deferred","18","Wales","Female","29355","20180","0.687"
"2011","Not deferred","18","Wales","Female","29335","19465","0.664"
"2012","Not deferred","18","Wales","Female","29605","20585","0.6950000000000001"
"2013","Not deferred","18","Wales","Female","28400","20500","0.722"
"2014","Not deferred","18","Wales","Female","29375","21730","0.74"
"2015","Not deferred","18","Wales","Female","30955","23290","0.752"
"2016","Not deferred","18","Wales","Female","31185","23785","0.763"
"2017","Not deferred","18","Wales","Female","30140","23590","0.783"
"2018","Not deferred","18","Wales","Female","29115","22910","0.787"
"2019","Not deferred","18","Wales","Female","28495","22565","0.792"
"2020","Not deferred","18","Wales","Female","28795","22810","0.792"
"2021","Not deferred","18","Wales","Female","33865","26050","0.769"
"2022","Not deferred","18","Wales","Female","34945","25400","0.727"
"2023","Not deferred","18","Wales","Female","32020","24730","0.772"
"2006","Deferred","18","Wales","Female","1770","1255","0.709"
"2007","Deferred","18","Wales","Female","1610","1180","0.732"
"2008","Deferred","18","Wales","Female","1525","1075","0.705"
"2009","Deferred","18","Wales","Female","1270","935","0.735"
"2010","Deferred","18","Wales","Female","1335","940","0.7030000000000001"
"2011","Deferred","18","Wales","Female","875","570","0.649"
"2012","Deferred","18","Wales","Female","875","630","0.721"
"2013","Deferred","18","Wales","Female","840","610","0.727"
"2014","Deferred","18","Wales","Female","820","620","0.757"
"2015","Deferred","18","Wales","Female","980","780","0.797"
"2016","Deferred","18","Wales","Female","975","775","0.796"
"2017","Deferred","18","Wales","Female","810","655","0.811"
"2018","Deferred","18","Wales","Female","970","820","0.846"
"2019","Deferred","18","Wales","Female","1065","910","0.854"
"2020","Deferred","18","Wales","Female","1025","860","0.837"
"2021","Deferred","18","Wales","Female","1345","1135","0.843"
"2022","Deferred","18","Wales","Female","1405","1105","0.787"
"2023","Deferred","18","Wales","Female","1490","1180","0.793"
"2006","Not deferred","19","Wales","Female","6800","3835","0.5640000000000001"
"2007","Not deferred","19","Wales","Female","7455","4255","0.5710000000000001"
"2008","Not deferred","19","Wales","Female","7225","4285","0.593"
"2009","Not deferred","19","Wales","Female","7550","4435","0.588"
"2010","Not deferred","19","Wales","Female","8815","4740","0.538"
"2011","Not deferred","19","Wales","Female","9930","5225","0.526"
"2012","Not deferred","19","Wales","Female","9635","5450","0.5650000000000001"
"2013","Not deferred","19","Wales","Female","9625","5915","0.614"
"2014","Not deferred","19","Wales","Female","9890","6195","0.627"
"2015","Not deferred","19","Wales","Female","9605","6130","0.638"
"2016","Not deferred","19","Wales","Female","9895","6455","0.652"
"2017","Not deferred","19","Wales","Female","9130","6070","0.665"
"2018","Not deferred","19","Wales","Female","9065","6330","0.6990000000000001"
"2019","Not deferred","19","Wales","Female","8980","6115","0.681"
"2020","Not deferred","19","Wales","Female","8805","6250","0.71"
"2021","Not deferred","19","Wales","Female","9220","6350","0.6890000000000001"
"2022","Not deferred","19","Wales","Female","8655","5470","0.632"
"2023","Not deferred","19","Wales","Female","8140","5365","0.659"
"2006","Deferred","19","Wales","Female","145","90","0.628"
"2007","Deferred","19","Wales","Female","125","105","0.84"
"2008","Deferred","19","Wales","Female","205","145","0.707"
"2009","Deferred","19","Wales","Female","150","95","0.647"
"2010","Deferred","19","Wales","Female","210","135","0.633"
"2011","Deferred","19","Wales","Female","105","60","0.562"
"2012","Deferred","19","Wales","Female","135","80","0.593"
"2013","Deferred","19","Wales","Female","145","105","0.717"
"2014","Deferred","19","Wales","Female","135","105","0.77"
"2015","Deferred","19","Wales","Female","135","90","0.681"
"2016","Deferred","19","Wales","Female","160","115","0.725"
"2017","Deferred","19","Wales","Female","160","120","0.756"
"2018","Deferred","19","Wales","Female","150","115","0.773"
"2019","Deferred","19","Wales","Female","155","110","0.7030000000000001"
"2020","Deferred","19","Wales","Female","110","95","0.845"
"2021","Deferred","19","Wales","Female","145","120","0.8280000000000001"
"2022","Deferred","19","Wales","Female","120","85","0.7000000000000001"
"2023","Deferred","19","Wales","Female","120","80","0.658"
"2006","Not deferred","20","Wales","Female","2085","1045","0.501"
"2007","Not deferred","20","Wales","Female","2160","1155","0.535"
"2008","Not deferred","20","Wales","Female","2490","1390","0.558"
"2009","Not deferred","20","Wales","Female","2615","1370","0.524"
"2010","Not deferred","20","Wales","Female","2740","1280","0.467"
"2011","Not deferred","20","Wales","Female","3455","1500","0.434"
"2012","Not deferred","20","Wales","Female","3390","1565","0.461"
"2013","Not deferred","20","Wales","Female","3090","1610","0.521"
"2014","Not deferred","20","Wales","Female","3120","1680","0.539"
"2015","Not deferred","20","Wales","Female","3305","1785","0.539"
"2016","Not deferred","20","Wales","Female","3215","1850","0.5750000000000001"
"2017","Not deferred","20","Wales","Female","3205","1870","0.583"
"2018","Not deferred","20","Wales","Female","2915","1785","0.612"
"2019","Not deferred","20","Wales","Female","2765","1640","0.594"
"2020","Not deferred","20","Wales","Female","2535","1540","0.608"
"2021","Not deferred","20","Wales","Female","3015","1755","0.582"
"2022","Not deferred","20","Wales","Female","2870","1700","0.592"
"2023","Not deferred","20","Wales","Female","2665","1535","0.5750000000000001"
"2006","Deferred","20","Wales","Female","25","15","0.64"
"2007","Deferred","20","Wales","Female","45","30","0.711"
"2008","Deferred","20","Wales","Female","60","45","0.733"
"2009","Deferred","20","Wales","Female","50","35","0.66"
"2010","Deferred","20","Wales","Female","55","30","0.509"
"2011","Deferred","20","Wales","Female","50","30","0.6"
"2012","Deferred","20","Wales","Female","45","20","0.467"
"2013","Deferred","20","Wales","Female","40","30","0.7000000000000001"
"2014","Deferred","20","Wales","Female","40","30","0.725"
"2015","Deferred","20","Wales","Female","55","40","0.727"
"2016","Deferred","20","Wales","Female","75","40","0.52"
"2017","Deferred","20","Wales","Female","55","35","0.618"
"2018","Deferred","20","Wales","Female","40","30","0.775"
"2019","Deferred","20","Wales","Female","55","30","0.545"
"2020","Deferred","20","Wales","Female","45","35","0.778"
"2021","Deferred","20","Wales","Female","50","35","0.72"
"2022","Deferred","20","Wales","Female","55","25","0.491"
"2023","Deferred","20","Wales","Female","60","40","0.683"
"2006","Not deferred","21 - 24","Wales","Female","3225","1415","0.439"
"2007","Not deferred","21 - 24","Wales","Female","3420","1515","0.442"
"2008","Not deferred","21 - 24","Wales","Female","3640","1635","0.449"
"2009","Not deferred","21 - 24","Wales","Female","4165","1795","0.43"
"2010","Not deferred","21 - 24","Wales","Female","4615","1705","0.369"
"2011","Not deferred","21 - 24","Wales","Female","5295","1845","0.34800000000000003"
"2012","Not deferred","21 - 24","Wales","Female","5495","1870","0.34"
"2013","Not deferred","21 - 24","Wales","Female","5425","1945","0.358"
"2014","Not deferred","21 - 24","Wales","Female","5555","2225","0.4"
"2015","Not deferred","21 - 24","Wales","Female","5130","1985","0.387"
"2016","Not deferred","21 - 24","Wales","Female","5430","2275","0.419"
"2017","Not deferred","21 - 24","Wales","Female","4710","2355","0.5"
"2018","Not deferred","21 - 24","Wales","Female","4175","2115","0.507"
"2019","Not deferred","21 - 24","Wales","Female","4305","2175","0.505"
"2020","Not deferred","21 - 24","Wales","Female","4490","2250","0.501"
"2021","Not deferred","21 - 24","Wales","Female","4830","2300","0.47600000000000003"
"2022","Not deferred","21 - 24","Wales","Female","5230","2475","0.47300000000000003"
"2023","Not deferred","21 - 24","Wales","Female","4800","2285","0.47600000000000003"
"2006","Deferred","21 - 24","Wales","Female","85","55","0.624"
"2007","Deferred","21 - 24","Wales","Female","80","55","0.675"
"2008","Deferred","21 - 24","Wales","Female","100","70","0.72"
"2009","Deferred","21 - 24","Wales","Female","100","70","0.68"
"2010","Deferred","21 - 24","Wales","Female","135","55","0.4"
"2011","Deferred","21 - 24","Wales","Female","120","40","0.317"
"2012","Deferred","21 - 24","Wales","Female","130","35","0.277"
"2013","Deferred","21 - 24","Wales","Female","100","45","0.45"
"2014","Deferred","21 - 24","Wales","Female","110","45","0.427"
"2015","Deferred","21 - 24","Wales","Female","145","55","0.366"
"2016","Deferred","21 - 24","Wales","Female","130","45","0.338"
"2017","Deferred","21 - 24","Wales","Female","90","50","0.5670000000000001"
"2018","Deferred","21 - 24","Wales","Female","75","40","0.507"
"2019","Deferred","21 - 24","Wales","Female","70","50","0.714"
"2020","Deferred","21 - 24","Wales","Female","80","60","0.725"
"2021","Deferred","21 - 24","Wales","Female","65","45","0.662"
"2022","Deferred","21 - 24","Wales","Female","95","65","0.674"
"2023","Deferred","21 - 24","Wales","Female","90","65","0.744"
"2006","Not deferred","25 - 29","Wales","Female","1555","635","0.40800000000000003"
"2007","Not deferred","25 - 29","Wales","Female","1655","700","0.424"
"2008","Not deferred","25 - 29","Wales","Female","1620","765","0.47200000000000003"
"2009","Not deferred","25 - 29","Wales","Female","1875","810","0.431"
"2010","Not deferred","25 - 29","Wales","Female","2375","805","0.339"
"2011","Not deferred","25 - 29","Wales","Female","2755","850","0.308"
"2012","Not deferred","25 - 29","Wales","Female","2585","855","0.331"
"2013","Not deferred","25 - 29","Wales","Female","2770","915","0.331"
"2014","Not deferred","25 - 29","Wales","Female","2815","1065","0.378"
"2015","Not deferred","25 - 29","Wales","Female","2710","1100","0.40700000000000003"
"2016","Not deferred","25 - 29","Wales","Female","2640","1050","0.397"
"2017","Not deferred","25 - 29","Wales","Female","2645","1170","0.442"
"2018","Not deferred","25 - 29","Wales","Female","2435","1165","0.47900000000000004"
"2019","Not deferred","25 - 29","Wales","Female","2275","1155","0.507"
"2020","Not deferred","25 - 29","Wales","Female","2405","1205","0.501"
"2021","Not deferred","25 - 29","Wales","Female","2865","1235","0.43"
"2022","Not deferred","25 - 29","Wales","Female","2625","1225","0.466"
"2023","Not deferred","25 - 29","Wales","Female","2020","945","0.468"
"2006","Deferred","25 - 29","Wales","Female","40","30","0.75"
"2007","Deferred","25 - 29","Wales","Female","45","25","0.556"
"2008","Deferred","25 - 29","Wales","Female","35","30","0.886"
"2009","Deferred","25 - 29","Wales","Female","45","30","0.6890000000000001"
"2010","Deferred","25 - 29","Wales","Female","95","40","0.421"
"2011","Deferred","25 - 29","Wales","Female","95","30","0.326"
"2012","Deferred","25 - 29","Wales","Female","60","20","0.367"
"2013","Deferred","25 - 29","Wales","Female","75","25","0.32"
"2014","Deferred","25 - 29","Wales","Female","105","40","0.4"
"2015","Deferred","25 - 29","Wales","Female","90","30","0.34400000000000003"
"2016","Deferred","25 - 29","Wales","Female","80","35","0.45"
"2017","Deferred","25 - 29","Wales","Female","65","30","0.446"
"2018","Deferred","25 - 29","Wales","Female","60","35","0.55"
"2019","Deferred","25 - 29","Wales","Female","40","20","0.5"
"2020","Deferred","25 - 29","Wales","Female","65","50","0.8"
"2021","Deferred","25 - 29","Wales","Female","60","30","0.533"
"2022","Deferred","25 - 29","Wales","Female","60","40","0.7000000000000001"
"2023","Deferred","25 - 29","Wales","Female","50","30","0.62"
"2006","Not deferred","30 - 34","Wales","Female","960","435","0.452"
"2007","Not deferred","30 - 34","Wales","Female","940","440","0.466"
"2008","Not deferred","30 - 34","Wales","Female","840","425","0.504"
"2009","Not deferred","30 - 34","Wales","Female","970","415","0.428"
"2010","Not deferred","30 - 34","Wales","Female","1125","410","0.366"
"2011","Not deferred","30 - 34","Wales","Female","1320","410","0.311"
"2012","Not deferred","30 - 34","Wales","Female","1335","435","0.327"
"2013","Not deferred","30 - 34","Wales","Female","1290","425","0.331"
"2014","Not deferred","30 - 34","Wales","Female","1425","560","0.393"
"2015","Not deferred","30 - 34","Wales","Female","1335","605","0.452"
"2016","Not deferred","30 - 34","Wales","Female","1405","580","0.41400000000000003"
"2017","Not deferred","30 - 34","Wales","Female","1260","605","0.48"
"2018","Not deferred","30 - 34","Wales","Female","1265","655","0.519"
"2019","Not deferred","30 - 34","Wales","Female","1275","650","0.508"
"2020","Not deferred","30 - 34","Wales","Female","1425","725","0.508"
"2021","Not deferred","30 - 34","Wales","Female","1595","735","0.461"
"2022","Not deferred","30 - 34","Wales","Female","1480","645","0.436"
"2023","Not deferred","30 - 34","Wales","Female","1125","530","0.47300000000000003"
"2006","Deferred","30 - 34","Wales","Female","25","15","0.64"
"2007","Deferred","30 - 34","Wales","Female","20","10","0.6"
"2008","Deferred","30 - 34","Wales","Female","20","10","0.6"
"2009","Deferred","30 - 34","Wales","Female","35","25","0.686"
"2010","Deferred","30 - 34","Wales","Female","60","15","0.233"
"2011","Deferred","30 - 34","Wales","Female","45","15","0.311"
"2012","Deferred","30 - 34","Wales","Female","55","10","0.218"
"2013","Deferred","30 - 34","Wales","Female","30","15","0.467"
"2014","Deferred","30 - 34","Wales","Female","30","15","0.433"
"2015","Deferred","30 - 34","Wales","Female","40","15","0.325"
"2016","Deferred","30 - 34","Wales","Female","40","10","0.25"
"2017","Deferred","30 - 34","Wales","Female","30","15","0.433"
"2018","Deferred","30 - 34","Wales","Female","30","15","0.5670000000000001"
"2019","Deferred","30 - 34","Wales","Female","20","10"," "
"2020","Deferred","30 - 34","Wales","Female","40","20","0.525"
"2021","Deferred","30 - 34","Wales","Female","35","15","0.429"
"2022","Deferred","30 - 34","Wales","Female","35","20","0.5710000000000001"
"2023","Deferred","30 - 34","Wales","Female","35","20","0.629"
"2006","Not deferred","35 and over","Wales","Female","1525","725","0.47500000000000003"
"2007","Not deferred","35 and over","Wales","Female","1570","785","0.5"
"2008","Not deferred","35 and over","Wales","Female","1190","655","0.551"
"2009","Not deferred","35 and over","Wales","Female","1475","755","0.513"
"2010","Not deferred","35 and over","Wales","Female","1605","675","0.422"
"2011","Not deferred","35 and over","Wales","Female","1780","625","0.35000000000000003"
"2012","Not deferred","35 and over","Wales","Female","1910","650","0.34"
"2013","Not deferred","35 and over","Wales","Female","1715","635","0.369"
"2014","Not deferred","35 and over","Wales","Female","1720","745","0.432"
"2015","Not deferred","35 and over","Wales","Female","1675","770","0.461"
"2016","Not deferred","35 and over","Wales","Female","1770","820","0.464"
"2017","Not deferred","35 and over","Wales","Female","1615","850","0.528"
"2018","Not deferred","35 and over","Wales","Female","1680","920","0.548"
"2019","Not deferred","35 and over","Wales","Female","1725","900","0.522"
"2020","Not deferred","35 and over","Wales","Female","1775","960","0.541"
"2021","Not deferred","35 and over","Wales","Female","2055","1015","0.493"
"2022","Not deferred","35 and over","Wales","Female","1915","940","0.492"
"2023","Not deferred","35 and over","Wales","Female","1560","805","0.515"
"2006","Deferred","35 and over","Wales","Female","40","35","0.925"
"2007","Deferred","35 and over","Wales","Female","40","35","0.875"
"2008","Deferred","35 and over","Wales","Female","40","30","0.725"
"2009","Deferred","35 and over","Wales","Female","40","25","0.65"
"2010","Deferred","35 and over","Wales","Female","75","35","0.44"
"2011","Deferred","35 and over","Wales","Female","40","10","0.3"
"2012","Deferred","35 and over","Wales","Female","65","25","0.4"
"2013","Deferred","35 and over","Wales","Female","40","15","0.4"
