"Year","Estranged status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Is estranged from parents","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","160","130","0.8180000000000001","30"
"2023","Is estranged from parents","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is estranged from parents","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","3645","3430","0.9420000000000001","5"
"2023","Not declared","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.9570000000000001","0"
"2023","Not declared","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2023","Is not estranged from parents","25 - 29","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","15","10","0.857","5"
"2023","Is not estranged from parents","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","495","405","0.8200000000000001","125"
"2023","Is not estranged from parents","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","50","50","0.923","25"
"2023","Is not estranged from parents","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","40","35","0.786","10"
"2023","Is estranged from parents","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","80","70","0.84","20"
"2023","Is estranged from parents","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","Not declared","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","3305","3110","0.9410000000000001","0"
"2023","Not declared","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","60","60","0.9510000000000001","0"
"2023","Not declared","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2023","Is not estranged from parents","30 - 34","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is not estranged from parents","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","290","220","0.756","75"
"2023","Is not estranged from parents","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","30","25","0.767","5"
"2023","Is not estranged from parents","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","15","10","0.733","5"
"2023","Is estranged from parents","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","50","40","0.8130000000000001","15"
"2023","Is estranged from parents","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2023","Not declared","35 and over","England","Male","Not main scheme applicant","Not main scheme application","7490","7065","0.9430000000000001","15"
"2023","Not declared","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.978","0"
"2023","Not declared","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","55","50","0.963","0"
"2023","Is not estranged from parents","35 and over","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is not estranged from parents","35 and over","England","Male","Not main scheme applicant","Not main scheme application","610","455","0.742","200"
"2023","Is not estranged from parents","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","55","45","0.8","25"
"2023","Is not estranged from parents","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","30","25","0.742","10"
"2023","Is estranged from parents","35 and over","England","Male","Not main scheme applicant","Not main scheme application","75","55","0.76","50"
"2023","Is estranged from parents","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","20","15","0.737","10"
"2023","Is estranged from parents","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","17 and under","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Is not estranged from parents","17 and under","England","Female","Main scheme applicant","Not main scheme application","65","50","0.727","0"
"2023","Is not estranged from parents","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","45","30","0.727","0"
"2023","Is not estranged from parents","17 and under","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","England","Female","Main scheme applicant","Not main scheme application","170","150","0.893","0"
"2023","Not declared","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is not estranged from parents","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","685","560","0.8190000000000001","0"
"2023","Is not estranged from parents","18","England","Female","Main scheme applicant","Not main scheme application","21915","20165","0.92","0"
"2023","Is not estranged from parents","18","Scotland","Female","Main scheme applicant","Not main scheme application","610","480","0.791","0"
"2023","Is not estranged from parents","18","Wales","Female","Main scheme applicant","Not main scheme application","695","635","0.914","0"
"2023","Is estranged from parents","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is estranged from parents","18","England","Female","Main scheme applicant","Not main scheme application","290","265","0.91","0"
"2023","Is estranged from parents","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Is estranged from parents","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","Not declared","19","England","Female","Main scheme applicant","Not main scheme application","70","60","0.843","0"
"2023","Is not estranged from parents","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","155","120","0.786","0"
"2023","Is not estranged from parents","19","England","Female","Main scheme applicant","Not main scheme application","4785","4180","0.874","0"
"2023","Is not estranged from parents","19","Scotland","Female","Main scheme applicant","Not main scheme application","200","150","0.741","0"
"2023","Is not estranged from parents","19","Wales","Female","Main scheme applicant","Not main scheme application","180","160","0.884","0"
"2023","Is estranged from parents","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is estranged from parents","19","England","Female","Main scheme applicant","Not main scheme application","140","115","0.848","0"
"2023","Is estranged from parents","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Is estranged from parents","19","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Female","Main scheme applicant","Not main scheme application","25","20","0.833","0"
"2023","Is not estranged from parents","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","45","35","0.8","0"
"2023","Is not estranged from parents","20","England","Female","Main scheme applicant","Not main scheme application","1375","1145","0.8320000000000001","0"
"2023","Is not estranged from parents","20","Scotland","Female","Main scheme applicant","Not main scheme application","105","75","0.728","0"
"2023","Is not estranged from parents","20","Wales","Female","Main scheme applicant","Not main scheme application","70","55","0.736","0"
"2023","Is estranged from parents","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Is estranged from parents","20","England","Female","Main scheme applicant","Not main scheme application","90","70","0.809","0"
"2023","Is estranged from parents","20","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is estranged from parents","20","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Female","Main scheme applicant","Not main scheme application","45","35","0.717","0"
"2023","Not declared","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is not estranged from parents","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","85","55","0.671","0"
"2023","Is not estranged from parents","21 - 24","England","Female","Main scheme applicant","Not main scheme application","1580","1085","0.686","0"
"2023","Is not estranged from parents","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","210","130","0.61","0"
"2023","Is not estranged from parents","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","90","70","0.8","0"
"2023","Is estranged from parents","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is estranged from parents","21 - 24","England","Female","Main scheme applicant","Not main scheme application","160","110","0.6940000000000001","0"
"2023","Is estranged from parents","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Is estranged from parents","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","25 - 29","England","Female","Main scheme applicant","Not main scheme application","25","15","0.609","0"
"2023","Is not estranged from parents","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","35","30","0.757","0"
"2023","Is not estranged from parents","25 - 29","England","Female","Main scheme applicant","Not main scheme application","540","350","0.647","0"
