"Year","FSM status","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2014","Receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","250","42140","0.006"
"2014","Not receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","2860","252540","0.011"
"2015","Receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","280","44940","0.006"
"2015","Not receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","3000","254180","0.012"
"2016","Receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","360","42780","0.008"
"2016","Not receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","3420","249660","0.014"
"2017","Receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","360","40770","0.009000000000000001"
"2017","Not receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","3950","248880","0.016"
"2018","Receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","360","38590","0.009000000000000001"
"2018","Not receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","3840","244340","0.016"
"2019","Receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","390","36730","0.011"
"2019","Not receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","4370","238280","0.018000000000000002"
"2020","Receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","420","35510","0.012"
"2020","Not receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","4900","238950","0.021"
"2021","Receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","380","40760","0.009000000000000001"
"2021","Not receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","3960","243760","0.016"
"2022","Receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","490","46850","0.01"
"2022","Not receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","4890","246310","0.02"
"2023","Receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","730","56890","0.013000000000000001"
"2023","Not receiving FSM","Medium tariff","All","England","Male","Main scheme applicant","Not main scheme application","5600","242630","0.023"
"2006","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","41040","0"
"2006","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","250770","0"
"2007","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","39940","0"
"2007","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","247450","0"
"2008","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38610","0"
"2008","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","252690","0"
"2009","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","37480","0"
"2009","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","253130","0"
"2010","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","36250","0"
"2010","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","251960","0"
"2011","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","36700","0"
"2011","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","251540","0"
"2012","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38950","0"
"2012","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","249670","0"
"2013","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","39780","0"
"2013","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","242950","0"
"2014","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","40410","0"
"2014","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","239270","0"
"2015","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","42610","0"
"2015","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","243100","0"
"2016","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","40300","0"
"2016","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","238550","0"
"2017","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38130","0"
"2017","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","237470","0"
"2018","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","36150","0"
"2018","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","233570","0"
"2019","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","35200","0"
"2019","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","227560","0"
"2020","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","33440","0"
"2020","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","227450","0"
"2021","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38080","0"
"2021","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","232450","0"
"2022","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","44380","0"
"2022","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","234790","0"
"2023","Receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","54660","0"
"2023","Not receiving FSM","Lower tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","243110","0"
"2006","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","41040","0"
"2006","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","250770","0"
"2007","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","39940","0"
"2007","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","247450","0"
"2008","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38610","0"
"2008","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","252690","0"
"2009","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","37480","0"
"2009","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","253130","0"
"2010","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","36250","0"
"2010","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","251960","0"
"2011","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","36700","0"
"2011","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","251540","0"
"2012","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38950","0"
"2012","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","249670","0"
"2013","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","39780","0"
"2013","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","242950","0"
"2014","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","40410","0"
"2014","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","239270","0"
"2015","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","42610","0"
"2015","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","243100","0"
"2016","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","40300","0"
"2016","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","238550","0"
"2017","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38130","0"
"2017","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","237470","0"
"2018","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","36150","0"
"2018","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","233570","0"
"2019","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","35200","0"
"2019","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","227560","0"
"2020","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","33440","0"
"2020","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","227450","0"
"2021","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38080","0"
"2021","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","232450","0"
"2022","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","44380","0"
"2022","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","234790","0"
"2023","Receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","54660","0"
"2023","Not receiving FSM","Higher tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","243110","0"
"2006","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","41040","0"
"2006","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","250770","0"
"2007","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","39940","0"
"2007","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","247450","0"
"2008","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38610","0"
"2008","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","252690","0"
"2009","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","37480","0"
"2009","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","253130","0"
"2010","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","36250","0"
"2010","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","251960","0"
"2011","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","36700","0"
"2011","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","251540","0"
"2012","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38950","0"
"2012","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","249670","0"
"2013","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","39780","0"
"2013","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","242950","0"
"2014","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","40410","0"
"2014","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","239270","0"
"2015","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","42610","0"
"2015","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","243100","0"
"2016","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","40300","0"
"2016","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","238550","0"
"2017","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38130","0"
"2017","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","237470","0"
"2018","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","36150","0"
"2018","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","233570","0"
"2019","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","35200","0"
"2019","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","227560","0"
"2020","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","33440","0"
"2020","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","227450","0"
"2021","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","38080","0"
"2021","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","232450","0"
"2022","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","44380","0"
"2022","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","234790","0"
"2023","Receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","54660","0"
"2023","Not receiving FSM","Medium tariff","All","England","Female","Not main scheme applicant","Main scheme application","0","243110","0"
"2006","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","41820","0"
"2006","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","257630","0"
"2007","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","40220","0"
"2007","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","255160","0"
"2008","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","39560","0"
"2008","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","262070","0"
"2009","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","37950","0"
"2009","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","261500","0"
"2010","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","37230","0"
"2010","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","261650","0"
"2011","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","37710","0"
"2011","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","263550","0"
"2012","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","41130","0"
"2012","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","262360","0"
"2013","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","42020","0"
"2013","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","254820","0"
"2014","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","42140","0"
"2014","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","252540","0"
"2015","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","44940","0"
"2015","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","254180","0"
"2016","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","42780","0"
"2016","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","249660","0"
"2017","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","40770","0"
"2017","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","248880","0"
"2018","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","38590","0"
"2018","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","244340","0"
"2019","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","36730","0"
"2019","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","238280","0"
"2020","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","35510","0"
"2020","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","238950","0"
"2021","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","40760","0"
"2021","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","243760","0"
"2022","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","46850","0"
"2022","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","246310","0"
"2023","Receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","56890","0"
"2023","Not receiving FSM","Lower tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","242630","0"
"2006","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","41820","0"
"2006","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","257630","0"
"2007","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","40220","0"
"2007","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","255160","0"
"2008","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","39560","0"
"2008","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","262070","0"
"2009","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","37950","0"
"2009","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","261500","0"
"2010","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","37230","0"
"2010","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","261650","0"
"2011","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","37710","0"
"2011","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","263550","0"
"2012","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","41130","0"
"2012","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","262360","0"
"2013","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","42020","0"
"2013","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","254820","0"
"2014","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","42140","0"
"2014","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","252540","0"
"2015","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","44940","0"
"2015","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","254180","0"
"2016","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","42780","0"
"2016","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","249660","0"
"2017","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","40770","0"
"2017","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","248880","0"
"2018","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","38590","0"
"2018","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","244340","0"
"2019","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","36730","0"
"2019","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","238280","0"
"2020","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","35510","0"
"2020","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","238950","0"
"2021","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","40760","0"
"2021","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","243760","0"
"2022","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","46850","0"
"2022","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","246310","0"
"2023","Receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","56890","0"
"2023","Not receiving FSM","Higher tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","242630","0"
"2006","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","41820","0"
"2006","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","257630","0"
"2007","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","40220","0"
"2007","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","255160","0"
"2008","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","39560","0"
"2008","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","262070","0"
"2009","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","37950","0"
"2009","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","261500","0"
"2010","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","37230","0"
"2010","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","261650","0"
"2011","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","37710","0"
"2011","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","263550","0"
"2012","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","41130","0"
"2012","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","262360","0"
"2013","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","42020","0"
"2013","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","254820","0"
"2014","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","42140","0"
"2014","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","252540","0"
"2015","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","44940","0"
"2015","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","254180","0"
"2016","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","42780","0"
"2016","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","249660","0"
"2017","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","40770","0"
"2017","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","248880","0"
"2018","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","38590","0"
"2018","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","244340","0"
"2019","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","36730","0"
"2019","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","238280","0"
"2020","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","35510","0"
"2020","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","238950","0"
"2021","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","40760","0"
"2021","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","243760","0"
"2022","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","46850","0"
"2022","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","246310","0"
"2023","Receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","56890","0"
"2023","Not receiving FSM","Medium tariff","All","England","Male","Not main scheme applicant","Main scheme application","0","242630","0"
"2006","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","2210","41040","0.054"
"2006","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","23900","250770","0.095"
"2007","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","2250","39940","0.056"
"2007","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","23430","247450","0.095"
"2008","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","2350","38610","0.061"
"2008","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","25830","252690","0.10200000000000001"
"2009","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","2620","37480","0.07"
"2009","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","27700","253130","0.109"
"2010","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","2460","36250","0.068"
"2010","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","27750","251960","0.11"
"2011","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","2770","36700","0.075"
"2011","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","29570","251540","0.11800000000000001"
"2012","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","2770","38950","0.07100000000000001"
"2012","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","27240","249670","0.109"
"2013","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","3100","39780","0.078"
"2013","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","27720","242950","0.114"
"2014","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","3400","40410","0.084"
"2014","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","28190","239270","0.11800000000000001"
"2015","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","3720","42610","0.08700000000000001"
"2015","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","29410","243100","0.121"
"2016","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","3450","40300","0.08600000000000001"
"2016","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","28780","238550","0.121"
"2017","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","3260","38130","0.08600000000000001"
"2017","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","28710","237470","0.121"
"2018","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","3110","36150","0.08600000000000001"
"2018","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","28650","233570","0.123"
"2019","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","3210","35200","0.091"
"2019","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","27860","227560","0.122"
"2020","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","3380","33440","0.101"
"2020","Not receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","29670","227450","0.13"
"2021","Receiving FSM","Lower tariff","All","England","Female","Main scheme applicant","Main scheme application","3740","38080","0.098"
