"Year","Domicile UK International","Domicile","Age group","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2021","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","540","10940","0.049"
"2022","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","630","11080","0.057"
"2023","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","570","11240","0.051000000000000004"
"2006","UK","England","All","Female","Main scheme applicant","Not main scheme application","7920","319840","0.025"
"2007","UK","England","All","Female","Main scheme applicant","Not main scheme application","8160","315670","0.026000000000000002"
"2008","UK","England","All","Female","Main scheme applicant","Not main scheme application","9330","320340","0.029"
"2009","UK","England","All","Female","Main scheme applicant","Not main scheme application","10190","325520","0.031"
"2010","UK","England","All","Female","Main scheme applicant","Not main scheme application","10790","324070","0.033"
"2011","UK","England","All","Female","Main scheme applicant","Not main scheme application","13340","314540","0.042"
"2012","UK","England","All","Female","Main scheme applicant","Not main scheme application","12670","315630","0.04"
"2013","UK","England","All","Female","Main scheme applicant","Not main scheme application","12460","310320","0.04"
"2014","UK","England","All","Female","Main scheme applicant","Not main scheme application","13710","306120","0.045"
"2015","UK","England","All","Female","Main scheme applicant","Not main scheme application","14670","313890","0.047"
"2016","UK","England","All","Female","Main scheme applicant","Not main scheme application","15460","307070","0.05"
"2017","UK","England","All","Female","Main scheme applicant","Not main scheme application","15860","304090","0.052000000000000005"
"2018","UK","England","All","Female","Main scheme applicant","Not main scheme application","16050","296680","0.054"
"2019","UK","England","All","Female","Main scheme applicant","Not main scheme application","17830","292160","0.061"
"2020","UK","England","All","Female","Main scheme applicant","Not main scheme application","19050","286880","0.066"
"2021","UK","England","All","Female","Main scheme applicant","Not main scheme application","14120","296020","0.048"
"2022","UK","England","All","Female","Main scheme applicant","Not main scheme application","18970","305000","0.062"
"2023","UK","England","All","Female","Main scheme applicant","Not main scheme application","20580","313350","0.066"
"2006","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","550","31170","0.018000000000000002"
"2007","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","560","30920","0.018000000000000002"
"2008","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","530","31970","0.017"
"2009","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","610","32080","0.019"
"2010","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","600","31480","0.019"
"2011","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","470","30710","0.015"
"2012","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","450","30110","0.015"
"2013","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","460","29740","0.016"
"2014","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","430","29770","0.014"
"2015","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","490","29350","0.017"
"2016","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","510","28640","0.018000000000000002"
"2017","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","490","27820","0.017"
"2018","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","450","27330","0.016"
"2019","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","460","26390","0.018000000000000002"
"2020","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","610","26010","0.024"
"2021","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","400","26770","0.015"
"2022","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","520","27390","0.019"
"2023","UK","Scotland","All","Female","Main scheme applicant","Not main scheme application","490","27970","0.017"
"2006","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","510","19370","0.026000000000000002"
"2007","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","450","18990","0.024"
"2008","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","480","19090","0.025"
"2009","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","570","19530","0.029"
"2010","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","590","19880","0.03"
"2011","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","620","19000","0.033"
"2012","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","650","18800","0.035"
"2013","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","580","18430","0.032"
"2014","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","560","18230","0.031"
"2015","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","630","18320","0.035"
"2016","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","680","17770","0.038"
"2017","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","670","17340","0.039"
"2018","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","590","16730","0.035"
"2019","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","590","16100","0.036000000000000004"
"2020","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","670","15720","0.043000000000000003"
"2021","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","540","15960","0.034"
"2022","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","770","16520","0.046"
"2023","UK","Wales","All","Female","Main scheme applicant","Not main scheme application","650","17200","0.038"
"2006","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","340","13680","0.025"
"2007","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","310","13500","0.023"
"2008","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","290","13280","0.022"
"2009","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","300","13310","0.023"
"2010","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","280","13070","0.022"
"2011","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","260","12660","0.021"
"2012","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","330","12750","0.026000000000000002"
"2013","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","280","12440","0.023"
"2014","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","300","12340","0.024"
"2015","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","290","12680","0.023"
"2016","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","290","12530","0.023"
"2017","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","370","12380","0.03"
"2018","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","340","12060","0.028"
"2019","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","280","11470","0.024"
"2020","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","320","11390","0.028"
"2021","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","260","11400","0.023"
"2022","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","360","11800","0.031"
"2023","UK","Northern Ireland","All","Male","Main scheme applicant","Not main scheme application","290","11950","0.024"
"2006","UK","England","All","Male","Main scheme applicant","Not main scheme application","5990","332100","0.018000000000000002"
"2007","UK","England","All","Male","Main scheme applicant","Not main scheme application","6340","327910","0.019"
"2008","UK","England","All","Male","Main scheme applicant","Not main scheme application","7130","336660","0.021"
"2009","UK","England","All","Male","Main scheme applicant","Not main scheme application","8220","342500","0.024"
"2010","UK","England","All","Male","Main scheme applicant","Not main scheme application","8830","336200","0.026000000000000002"
"2011","UK","England","All","Male","Main scheme applicant","Not main scheme application","10630","329110","0.032"
"2012","UK","England","All","Male","Main scheme applicant","Not main scheme application","9960","332250","0.03"
"2013","UK","England","All","Male","Main scheme applicant","Not main scheme application","9400","326760","0.029"
"2014","UK","England","All","Male","Main scheme applicant","Not main scheme application","10800","324000","0.033"
"2015","UK","England","All","Male","Main scheme applicant","Not main scheme application","11050","329560","0.034"
"2016","UK","England","All","Male","Main scheme applicant","Not main scheme application","11650","322880","0.036000000000000004"
"2017","UK","England","All","Male","Main scheme applicant","Not main scheme application","12420","319730","0.039"
"2018","UK","England","All","Male","Main scheme applicant","Not main scheme application","12220","312490","0.039"
"2019","UK","England","All","Male","Main scheme applicant","Not main scheme application","14110","305830","0.046"
"2020","UK","England","All","Male","Main scheme applicant","Not main scheme application","15850","302270","0.052000000000000005"
"2021","UK","England","All","Male","Main scheme applicant","Not main scheme application","11180","312290","0.036000000000000004"
"2022","UK","England","All","Male","Main scheme applicant","Not main scheme application","14400","320710","0.045"
"2023","UK","England","All","Male","Main scheme applicant","Not main scheme application","16690","329990","0.051000000000000004"
"2006","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","430","32600","0.013000000000000001"
"2007","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","410","32280","0.013000000000000001"
"2008","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","430","33160","0.013000000000000001"
"2009","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","510","32780","0.016"
"2010","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","490","32400","0.015"
"2011","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","400","32150","0.013000000000000001"
"2012","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","440","31830","0.014"
"2013","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","400","31840","0.013000000000000001"
"2014","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","340","31510","0.011"
"2015","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","360","30830","0.012"
"2016","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","370","30190","0.012"
"2017","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","350","29520","0.012"
"2018","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","290","28240","0.01"
"2019","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","310","27450","0.011"
"2020","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","400","27130","0.015"
"2021","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","280","28390","0.01"
"2022","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","370","29050","0.013000000000000001"
"2023","UK","Scotland","All","Male","Main scheme applicant","Not main scheme application","350","29070","0.012"
"2006","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","300","20240","0.015"
"2007","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","290","20300","0.014"
"2008","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","350","20420","0.017"
"2009","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","400","20790","0.019"
"2010","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","440","19980","0.022"
"2011","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","410","19600","0.021"
"2012","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","430","19750","0.022"
"2013","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","350","19370","0.018000000000000002"
"2014","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","400","19260","0.021"
"2015","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","410","19360","0.021"
"2016","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","440","18540","0.023"
"2017","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","450","18180","0.025"
"2018","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","380","17670","0.022"
"2019","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","380","17500","0.022"
"2020","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","470","16790","0.028"
"2021","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","330","17110","0.019"
"2022","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","460","17290","0.026000000000000002"
"2023","UK","Wales","All","Male","Main scheme applicant","Not main scheme application","410","17840","0.023"
"2006","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","13160","0"
"2007","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","12760","0"
"2008","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","12750","0"
"2009","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","12680","0"
"2010","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","12440","0"
"2011","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","12340","0"
"2012","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","12380","0"
"2013","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","12080","0"
"2014","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","11930","0"
"2015","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","12160","0"
"2016","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","11920","0"
"2017","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","11820","0"
"2018","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","11140","0"
"2019","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","10920","0"
"2020","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","10880","0"
"2021","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","10940","0"
"2022","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","11080","0"
"2023","UK","Northern Ireland","All","Female","Not main scheme applicant","Main scheme application","0","11240","0"
"2006","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","319840","0"
"2007","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","315670","0"
"2008","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","320340","0"
"2009","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","325520","0"
"2010","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","324070","0"
"2011","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","314540","0"
"2012","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","315630","0"
"2013","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","310320","0"
"2014","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","306120","0"
"2015","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","313890","0"
"2016","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","307070","0"
"2017","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","304090","0"
"2018","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","296680","0"
"2019","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","292160","0"
"2020","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","286880","0"
"2021","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","296020","0"
"2022","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","305000","0"
"2023","UK","England","All","Female","Not main scheme applicant","Main scheme application","0","313350","0"
"2006","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","31170","0"
"2007","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","30920","0"
"2008","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","31970","0"
"2009","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","32080","0"
"2010","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","31480","0"
"2011","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","30710","0"
"2012","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","30110","0"
"2013","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","29740","0"
"2014","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","29770","0"
"2015","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","29350","0"
"2016","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","28640","0"
"2017","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","27820","0"
"2018","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","27330","0"
"2019","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","26390","0"
"2020","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","26010","0"
"2021","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","26770","0"
"2022","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","27390","0"
"2023","UK","Scotland","All","Female","Not main scheme applicant","Main scheme application","0","27970","0"
"2006","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","19370","0"
"2007","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","18990","0"
"2008","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","19090","0"
"2009","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","19530","0"
"2010","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","19880","0"
"2011","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","19000","0"
"2012","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","18800","0"
"2013","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","18430","0"
"2014","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","18230","0"
"2015","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","18320","0"
"2016","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","17770","0"
"2017","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","17340","0"
"2018","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","16730","0"
"2019","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","16100","0"
"2020","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","15720","0"
"2021","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","15960","0"
"2022","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","16520","0"
"2023","UK","Wales","All","Female","Not main scheme applicant","Main scheme application","0","17200","0"
"2006","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","13680","0"
"2007","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","13500","0"
"2008","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","13280","0"
"2009","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","13310","0"
"2010","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","13070","0"
"2011","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","12660","0"
"2012","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","12750","0"
"2013","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","12440","0"
"2014","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","12340","0"
"2015","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","12680","0"
"2016","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","12530","0"
"2017","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","12380","0"
"2018","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","12060","0"
"2019","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","11470","0"
"2020","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","11390","0"
"2021","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","11400","0"
"2022","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","11800","0"
"2023","UK","Northern Ireland","All","Male","Not main scheme applicant","Main scheme application","0","11950","0"
"2006","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","332100","0"
"2007","UK","England","All","Male","Not main scheme applicant","Main scheme application","0","327910","0"
