"Year","Domicile UK International","Domicile","Age group","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2015","UK","Wales","All","Male","Not main scheme applicant","Not main scheme application","110","19360","0.005"
"2016","UK","Wales","All","Male","Not main scheme applicant","Not main scheme application","100","18540","0.006"
"2017","UK","Wales","All","Male","Not main scheme applicant","Not main scheme application","80","18180","0.004"
"2018","UK","Wales","All","Male","Not main scheme applicant","Not main scheme application","80","17670","0.004"
"2019","UK","Wales","All","Male","Not main scheme applicant","Not main scheme application","130","17500","0.007"
"2020","UK","Wales","All","Male","Not main scheme applicant","Not main scheme application","130","16790","0.008"
"2021","UK","Wales","All","Male","Not main scheme applicant","Not main scheme application","90","17110","0.005"
"2022","UK","Wales","All","Male","Not main scheme applicant","Not main scheme application","80","17290","0.005"
"2023","UK","Wales","All","Male","Not main scheme applicant","Not main scheme application","110","17840","0.006"
"2006","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","400","13160","0.03"
"2007","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","400","12760","0.031"
"2008","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","410","12750","0.032"
"2009","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","440","12680","0.034"
"2010","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","360","12440","0.029"
"2011","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","410","12340","0.033"
"2012","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","450","12380","0.036000000000000004"
"2013","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","400","12080","0.033"
"2014","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","390","11930","0.033"
"2015","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","410","12160","0.034"
"2016","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","460","11920","0.038"
"2017","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","510","11820","0.043000000000000003"
"2018","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","480","11140","0.043000000000000003"
"2019","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","500","10920","0.045"
"2020","UK","Northern Ireland","All","Female","Main scheme applicant","Not main scheme application","560","10880","0.052000000000000005"
