"Year","Achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10","1","0"
"2018","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","4 points (MMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.889","0"
"2016","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","15","0.882","0"
"2017","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2020","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","15","0.933","0"
"2022","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","10","0.667","0"
"2023","5 points (DMM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2016","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.714","0"
"2017","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2018","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","10"," ","0"
"2021","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","20","0.909","0"
"2022","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.778","0"
"2023","6 points (DDM)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2010","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","35","30","0.882","0"
"2011","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","35","30","0.857","0"
"2012","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2013","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2016","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2017","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2018","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.895","0"
"2020","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","15","0.933","0"
"2021","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2022","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2023","7 points (DDD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2012","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2014","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10","1","0"
"2017","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.737","0"
"2018","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","20","0.857","0"
"2019","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.889","0"
"2020","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.769","0"
"2021","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","20","0.864","0"
"2022","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.789","0"
"2023","8 points (D*DD)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.895","0"
"2012","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2013","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2015","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.778","0"
"2016","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2017","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.786","0"
"2018","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2019","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10"," ","0"
"2020","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.8","0"
"2021","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","15","0.8130000000000001","0"
"2022","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.8","0"
"2023","9 points (D*D*D)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","15","0.929","0"
"2012","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2013","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2015","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.682","0"
"2016","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","30","25","0.8210000000000001","0"
"2017","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","45","40","0.864","0"
"2018","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","25","20","0.8260000000000001","0"
"2019","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.778","0"
"2020","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","20","0.909","0"
"2021","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","30","25","0.806","0"
"2022","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2023","10 points (D*D*D*)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2010","All","White","Not main scheme applicant","Not main scheme application","165","155","0.963","45"
"2011","All","White","Not main scheme applicant","Not main scheme application","175","170","0.96","45"
"2015","All","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","All","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","All","White","Not main scheme applicant","Not main scheme application","25","25","0.963","5"
"2018","All","White","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2019","All","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","All","White","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2021","All","White","Not main scheme applicant","Not main scheme application","35","35","0.919","0"
"2022","All","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","All","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","Black","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","All","Black","Not main scheme applicant","Not main scheme application","15","10","0.857","5"
"2019","All","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","All","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","All","Asian","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","All","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","All","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","All","Mixed","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","All","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2011","All","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2010","All","White","Main scheme applicant","Not main scheme application","1200","890","0.743","0"
"2011","All","White","Main scheme applicant","Not main scheme application","1365","985","0.72","0"
"2012","All","White","Main scheme applicant","Not main scheme application","1325","1025","0.773","0"
"2013","All","White","Main scheme applicant","Not main scheme application","1240","965","0.778","0"
"2014","All","White","Main scheme applicant","Not main scheme application","1355","1045","0.771","0"
"2015","All","White","Main scheme applicant","Not main scheme application","1445","1150","0.797","0"
"2016","All","White","Main scheme applicant","Not main scheme application","1350","1075","0.798","0"
"2017","All","White","Main scheme applicant","Not main scheme application","1070","895","0.838","0"
"2018","All","White","Main scheme applicant","Not main scheme application","960","850","0.885","0"
"2019","All","White","Main scheme applicant","Not main scheme application","820","725","0.883","0"
"2020","All","White","Main scheme applicant","Not main scheme application","870","780","0.898","0"
"2021","All","White","Main scheme applicant","Not main scheme application","1185","1030","0.869","0"
"2022","All","White","Main scheme applicant","Not main scheme application","1110","940","0.849","0"
"2023","All","White","Main scheme applicant","Not main scheme application","860","765","0.889","0"
"2010","All","Black","Main scheme applicant","Not main scheme application","165","125","0.741","0"
"2011","All","Black","Main scheme applicant","Not main scheme application","265","205","0.767","0"
"2012","All","Black","Main scheme applicant","Not main scheme application","315","250","0.797","0"
"2013","All","Black","Main scheme applicant","Not main scheme application","345","295","0.855","0"
"2014","All","Black","Main scheme applicant","Not main scheme application","380","325","0.855","0"
"2015","All","Black","Main scheme applicant","Not main scheme application","505","445","0.877","0"
"2016","All","Black","Main scheme applicant","Not main scheme application","465","395","0.852","0"
"2017","All","Black","Main scheme applicant","Not main scheme application","380","350","0.926","0"
"2018","All","Black","Main scheme applicant","Not main scheme application","325","300","0.914","0"
"2019","All","Black","Main scheme applicant","Not main scheme application","375","340","0.914","0"
"2020","All","Black","Main scheme applicant","Not main scheme application","380","340","0.895","0"
"2021","All","Black","Main scheme applicant","Not main scheme application","495","455","0.927","0"
"2022","All","Black","Main scheme applicant","Not main scheme application","525","480","0.913","0"
"2023","All","Black","Main scheme applicant","Not main scheme application","525","490","0.928","0"
"2010","All","Asian","Main scheme applicant","Not main scheme application","145","110","0.769","0"
"2011","All","Asian","Main scheme applicant","Not main scheme application","215","160","0.745","0"
"2012","All","Asian","Main scheme applicant","Not main scheme application","315","250","0.802","0"
"2013","All","Asian","Main scheme applicant","Not main scheme application","350","300","0.86","0"
"2014","All","Asian","Main scheme applicant","Not main scheme application","415","365","0.878","0"
"2015","All","Asian","Main scheme applicant","Not main scheme application","460","395","0.859","0"
"2016","All","Asian","Main scheme applicant","Not main scheme application","485","430","0.881","0"
"2017","All","Asian","Main scheme applicant","Not main scheme application","505","460","0.915","0"
"2018","All","Asian","Main scheme applicant","Not main scheme application","485","450","0.924","0"
"2019","All","Asian","Main scheme applicant","Not main scheme application","535","490","0.912","0"
"2020","All","Asian","Main scheme applicant","Not main scheme application","610","570","0.933","0"
"2021","All","Asian","Main scheme applicant","Not main scheme application","670","595","0.891","0"
"2022","All","Asian","Main scheme applicant","Not main scheme application","710","640","0.901","0"
"2023","All","Asian","Main scheme applicant","Not main scheme application","685","620","0.911","0"
"2010","All","Mixed","Main scheme applicant","Not main scheme application","65","50","0.746","0"
"2011","All","Mixed","Main scheme applicant","Not main scheme application","95","75","0.785","0"
"2012","All","Mixed","Main scheme applicant","Not main scheme application","90","75","0.8300000000000001","0"
"2013","All","Mixed","Main scheme applicant","Not main scheme application","100","75","0.75","0"
"2014","All","Mixed","Main scheme applicant","Not main scheme application","110","95","0.838","0"
"2015","All","Mixed","Main scheme applicant","Not main scheme application","105","85","0.794","0"
"2016","All","Mixed","Main scheme applicant","Not main scheme application","140","115","0.836","0"
"2017","All","Mixed","Main scheme applicant","Not main scheme application","90","80","0.899","0"
"2018","All","Mixed","Main scheme applicant","Not main scheme application","95","85","0.894","0"
"2019","All","Mixed","Main scheme applicant","Not main scheme application","90","85","0.934","0"
"2020","All","Mixed","Main scheme applicant","Not main scheme application","115","110","0.9490000000000001","0"
"2021","All","Mixed","Main scheme applicant","Not main scheme application","145","130","0.889","0"
"2022","All","Mixed","Main scheme applicant","Not main scheme application","145","130","0.91","0"
"2023","All","Mixed","Main scheme applicant","Not main scheme application","130","120","0.9460000000000001","0"
"2010","All","Other","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2011","All","Other","Main scheme applicant","Not main scheme application","30","25","0.844","0"
"2012","All","Other","Main scheme applicant","Not main scheme application","40","35","0.881","0"
"2013","All","Other","Main scheme applicant","Not main scheme application","60","50","0.845","0"
"2014","All","Other","Main scheme applicant","Not main scheme application","55","45","0.887","0"
"2015","All","Other","Main scheme applicant","Not main scheme application","90","80","0.9","0"
"2016","All","Other","Main scheme applicant","Not main scheme application","70","65","0.9420000000000001","0"
"2017","All","Other","Main scheme applicant","Not main scheme application","75","70","0.932","0"
"2018","All","Other","Main scheme applicant","Not main scheme application","85","85","0.988","0"
"2019","All","Other","Main scheme applicant","Not main scheme application","85","80","0.9520000000000001","0"
"2020","All","Other","Main scheme applicant","Not main scheme application","105","95","0.924","0"
"2021","All","Other","Main scheme applicant","Not main scheme application","140","135","0.978","0"
"2022","All","Other","Main scheme applicant","Not main scheme application","140","120","0.856","0"
"2023","All","Other","Main scheme applicant","Not main scheme application","155","145","0.929","0"
"2010","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2016","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","15","1","0"
"2017","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","10","10","1","0"
"2019","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","15","1","0"
"2020","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2021","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2022","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","All","Unknown or Prefer Not To Say","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2010","All","White","Main scheme applicant","Main scheme application","21050","14845","0.705","0"
"2011","All","White","Main scheme applicant","Main scheme application","20395","14545","0.713","0"
"2012","All","White","Main scheme applicant","Main scheme application","18980","13535","0.713","0"
"2013","All","White","Main scheme applicant","Main scheme application","19725","14540","0.737","0"
"2014","All","White","Main scheme applicant","Main scheme application","22090","16570","0.75","0"
"2015","All","White","Main scheme applicant","Main scheme application","22090","16535","0.749","0"
"2016","All","White","Main scheme applicant","Main scheme application","20750","15715","0.757","0"
"2017","All","White","Main scheme applicant","Main scheme application","19015","14650","0.771","0"
"2018","All","White","Main scheme applicant","Main scheme application","17710","13725","0.775","0"
"2019","All","White","Main scheme applicant","Main scheme application","15770","12300","0.78","0"
"2020","All","White","Main scheme applicant","Main scheme application","16515","13245","0.802","0"
"2021","All","White","Main scheme applicant","Main scheme application","18175","13735","0.756","0"
"2022","All","White","Main scheme applicant","Main scheme application","16530","11960","0.723","0"
"2023","All","White","Main scheme applicant","Main scheme application","13855","10140","0.732","0"
"2010","All","Black","Main scheme applicant","Main scheme application","1185","800","0.677","0"
"2011","All","Black","Main scheme applicant","Main scheme application","1340","885","0.66","0"
"2012","All","Black","Main scheme applicant","Main scheme application","1425","905","0.635","0"
"2013","All","Black","Main scheme applicant","Main scheme application","1750","1210","0.6920000000000001","0"
"2014","All","Black","Main scheme applicant","Main scheme application","1960","1325","0.677","0"
"2015","All","Black","Main scheme applicant","Main scheme application","2285","1570","0.686","0"
"2016","All","Black","Main scheme applicant","Main scheme application","2195","1540","0.7030000000000001","0"
"2017","All","Black","Main scheme applicant","Main scheme application","2110","1555","0.736","0"
"2018","All","Black","Main scheme applicant","Main scheme application","2025","1510","0.747","0"
"2019","All","Black","Main scheme applicant","Main scheme application","2035","1475","0.725","0"
"2020","All","Black","Main scheme applicant","Main scheme application","2370","1815","0.767","0"
"2021","All","Black","Main scheme applicant","Main scheme application","2840","2105","0.74","0"
"2022","All","Black","Main scheme applicant","Main scheme application","2730","1975","0.723","0"
"2023","All","Black","Main scheme applicant","Main scheme application","2810","1970","0.7010000000000001","0"
"2010","All","Asian","Main scheme applicant","Main scheme application","1250","915","0.732","0"
"2011","All","Asian","Main scheme applicant","Main scheme application","1480","1075","0.726","0"
"2012","All","Asian","Main scheme applicant","Main scheme application","1650","1090","0.662","0"
"2013","All","Asian","Main scheme applicant","Main scheme application","2025","1425","0.705","0"
"2014","All","Asian","Main scheme applicant","Main scheme application","2400","1705","0.709","0"
"2015","All","Asian","Main scheme applicant","Main scheme application","2765","2040","0.739","0"
"2016","All","Asian","Main scheme applicant","Main scheme application","2890","2140","0.741","0"
"2017","All","Asian","Main scheme applicant","Main scheme application","2955","2220","0.751","0"
"2018","All","Asian","Main scheme applicant","Main scheme application","3110","2370","0.762","0"
"2019","All","Asian","Main scheme applicant","Main scheme application","3335","2525","0.757","0"
"2020","All","Asian","Main scheme applicant","Main scheme application","3935","3065","0.778","0"
"2021","All","Asian","Main scheme applicant","Main scheme application","4510","3435","0.761","0"
"2022","All","Asian","Main scheme applicant","Main scheme application","3990","2810","0.705","0"
"2023","All","Asian","Main scheme applicant","Main scheme application","3930","2735","0.6960000000000001","0"
"2010","All","Mixed","Main scheme applicant","Main scheme application","795","555","0.6950000000000001","0"
"2011","All","Mixed","Main scheme applicant","Main scheme application","780","535","0.684","0"
"2012","All","Mixed","Main scheme applicant","Main scheme application","825","540","0.655","0"
"2013","All","Mixed","Main scheme applicant","Main scheme application","975","660","0.678","0"
"2014","All","Mixed","Main scheme applicant","Main scheme application","1100","780","0.71","0"
"2015","All","Mixed","Main scheme applicant","Main scheme application","1180","860","0.729","0"
"2016","All","Mixed","Main scheme applicant","Main scheme application","1160","840","0.721","0"
"2017","All","Mixed","Main scheme applicant","Main scheme application","1085","840","0.774","0"
"2018","All","Mixed","Main scheme applicant","Main scheme application","1015","795","0.78","0"
"2019","All","Mixed","Main scheme applicant","Main scheme application","1045","805","0.771","0"
"2020","All","Mixed","Main scheme applicant","Main scheme application","1145","885","0.771","0"
"2021","All","Mixed","Main scheme applicant","Main scheme application","1350","1005","0.746","0"
"2022","All","Mixed","Main scheme applicant","Main scheme application","1300","925","0.712","0"
"2023","All","Mixed","Main scheme applicant","Main scheme application","1245","885","0.712","0"
"2010","All","Other","Main scheme applicant","Main scheme application","155","115","0.726","0"
"2011","All","Other","Main scheme applicant","Main scheme application","200","140","0.6980000000000001","0"
"2012","All","Other","Main scheme applicant","Main scheme application","255","175","0.6960000000000001","0"
"2013","All","Other","Main scheme applicant","Main scheme application","350","245","0.6990000000000001","0"
"2014","All","Other","Main scheme applicant","Main scheme application","385","280","0.731","0"
"2015","All","Other","Main scheme applicant","Main scheme application","475","345","0.727","0"
"2016","All","Other","Main scheme applicant","Main scheme application","450","330","0.736","0"
"2017","All","Other","Main scheme applicant","Main scheme application","480","370","0.77","0"
"2018","All","Other","Main scheme applicant","Main scheme application","550","415","0.761","0"
"2019","All","Other","Main scheme applicant","Main scheme application","550","420","0.761","0"
"2020","All","Other","Main scheme applicant","Main scheme application","660","505","0.766","0"
"2021","All","Other","Main scheme applicant","Main scheme application","810","605","0.749","0"
"2022","All","Other","Main scheme applicant","Main scheme application","810","600","0.739","0"
"2023","All","Other","Main scheme applicant","Main scheme application","840","585","0.6980000000000001","0"
"2010","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","80","55","0.654","0"
"2011","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","75","60","0.773","0"
"2012","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","50","30","0.633","0"
"2013","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","65","45","0.672","0"
"2014","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","75","50","0.6890000000000001","0"
"2015","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","85","0.761","0"
"2016","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","110","90","0.833","0"
"2017","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","125","100","0.8130000000000001","0"
"2018","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","100","75","0.76","0"
"2019","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","110","85","0.757","0"
"2020","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","85","0.754","0"
"2021","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","150","120","0.804","0"
"2022","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","125","85","0.7020000000000001","0"
"2023","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","105","80","0.748","0"
"2010","1 point (PPP)","All","Not main scheme applicant","Not main scheme application","35","35","0.972","15"
"2011","1 point (PPP)","All","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2017","1 point (PPP)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 point (PPP)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","1 point (PPP)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","All","Not main scheme applicant","Not main scheme application","30","30","1","5"
"2011","2 points (MPP)","All","Not main scheme applicant","Not main scheme application","30","30","0.966","10"
"2017","2 points (MPP)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","2 points (MPP)","All","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","3 points (MMP)","All","Not main scheme applicant","Not main scheme application","25","20","0.9570000000000001","5"
"2011","3 points (MMP)","All","Not main scheme applicant","Not main scheme application","30","30","0.933","5"
"2020","3 points (MMP)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","All","Not main scheme applicant","Not main scheme application","35","30","0.9410000000000001","5"
"2011","4 points (MMM)","All","Not main scheme applicant","Not main scheme application","25","25","0.889","10"
"2015","4 points (MMM)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","4 points (MMM)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","4 points (MMM)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 points (MMM)","All","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2010","5 points (DMM)","All","Not main scheme applicant","Not main scheme application","25","25","0.923","10"
"2011","5 points (DMM)","All","Not main scheme applicant","Not main scheme application","25","20","0.88","5"
"2018","5 points (DMM)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","5 points (DMM)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","5 points (DMM)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","5 points (DMM)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","All","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2011","6 points (DDM)","All","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2017","6 points (DDM)","All","Not main scheme applicant","Not main scheme application","5","5"," ","0"
