"Year","Achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","50","45","0.979","0"
"2022","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","50","45","0.882","0"
"2023","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","65","60","0.924","0"
"2010","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","20","20","0.857","0"
"2011","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","30","25","0.897","0"
"2012","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","25","25","0.889","0"
"2013","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","40","35","0.872","0"
"2014","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","30","25","0.833","0"
"2015","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","40","35","0.921","0"
"2016","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","55","40","0.774","0"
"2017","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","30","25","0.931","0"
"2018","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2019","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","25","25","1","0"
"2020","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","35","30","0.833","0"
"2021","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","20","20","0.9","0"
"2022","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","50","45","0.904","0"
"2023","3 points (MMP)","Black","Main scheme applicant","Not main scheme application","60","55","0.931","0"
"2010","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","25","20","0.87","0"
"2011","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","45","35","0.8140000000000001","0"
"2012","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","55","45","0.836","0"
"2013","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","50","40","0.84","0"
"2014","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","40","35","0.9490000000000001","0"
"2015","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","50","45","0.863","0"
"2016","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","40","40","0.929","0"
"2017","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","35","35","0.972","0"
"2018","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","35","30","0.889","0"
"2019","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2020","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","40","40","0.976","0"
"2021","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","70","65","0.971","0"
"2022","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","75","70","0.9590000000000001","0"
"2023","4 points (MMM)","Black","Main scheme applicant","Not main scheme application","70","70","0.9440000000000001","0"
"2010","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2011","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","40","35","0.805","0"
"2012","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","40","35","0.878","0"
"2013","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","45","45","0.935","0"
"2014","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","50","45","0.902","0"
"2015","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","55","45","0.836","0"
"2016","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","50","40","0.857","0"
"2017","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","50","45","0.88","0"
"2018","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","25","25","0.962","0"
"2019","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","60","50","0.864","0"
"2020","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","55","50","0.926","0"
"2021","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","60","55","0.917","0"
"2022","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","90","80","0.92","0"
"2023","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","80","75","0.914","0"
"2010","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","25","20","0.783","0"
"2012","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","45","35","0.767","0"
"2013","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","40","30","0.8160000000000001","0"
"2014","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","45","30","0.744","0"
"2015","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","60","55","0.902","0"
"2016","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","65","60","0.866","0"
"2017","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","50","45","0.918","0"
"2018","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","60","55","0.918","0"
"2019","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","50","45","0.9400000000000001","0"
"2020","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","55","50","0.877","0"
"2021","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","65","60","0.924","0"
"2022","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","65","65","0.97","0"
"2023","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","70","65","0.9570000000000001","0"
