"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","All","30 - 34","Northern Ireland","65","15","0.246"
"2023","All","30 - 34","Northern Ireland","60","15","0.217"
"2019","All","35 and over","Northern Ireland","80","15","0.188"
"2020","All","35 and over","Northern Ireland","50","15","0.28"
"2021","All","35 and over","Northern Ireland","70","10","0.157"
"2022","All","35 and over","Northern Ireland","75","15","0.213"
"2023","All","35 and over","Northern Ireland","55","10"," "
"2020","All","17 and under","England","10","0"," "
"2021","All","17 and under","England","25","5"," "
"2022","All","17 and under","England","15","0"," "
"2023","All","17 and under","England","20","0"," "
"2019","All","18","England","8075","1910","0.23600000000000002"
"2020","All","18","England","8525","2350","0.276"
"2021","All","18","England","10470","2135","0.20400000000000001"
"2022","All","18","England","10905","2160","0.198"
"2023","All","18","England","9275","2885","0.311"
"2019","All","19","England","3150","650","0.20600000000000002"
"2020","All","19","England","3025","695","0.229"
"2021","All","19","England","3630","635","0.17500000000000002"
"2022","All","19","England","3410","525","0.154"
"2023","All","19","England","2720","680","0.25"
"2019","All","20","England","1725","350","0.20400000000000001"
"2020","All","20","England","1645","385","0.23500000000000001"
"2021","All","20","England","1965","345","0.177"
"2022","All","20","England","1890","300","0.159"
"2023","All","20","England","1540","365","0.23800000000000002"
"2019","All","21 - 24","England","3760","925","0.247"
"2020","All","21 - 24","England","3645","1005","0.275"
"2021","All","21 - 24","England","4735","1160","0.245"
"2022","All","21 - 24","England","3900","770","0.197"
"2023","All","21 - 24","England","2795","670","0.23900000000000002"
"2019","All","25 - 29","England","3180","860","0.27"
"2020","All","25 - 29","England","3105","980","0.315"
"2021","All","25 - 29","England","4355","1190","0.273"
"2022","All","25 - 29","England","3580","950","0.265"
"2023","All","25 - 29","England","2345","685","0.293"
"2019","All","30 - 34","England","1820","520","0.28700000000000003"
"2020","All","30 - 34","England","2055","655","0.319"
"2021","All","30 - 34","England","3140","950","0.303"
"2022","All","30 - 34","England","2750","820","0.297"
"2023","All","30 - 34","England","1950","615","0.316"
"2019","All","35 and over","England","1935","530","0.274"
"2020","All","35 and over","England","2250","700","0.312"
"2021","All","35 and over","England","3160","870","0.275"
"2022","All","35 and over","England","2775","805","0.289"
"2023","All","35 and over","England","2425","790","0.325"
"2019","All","17 and under","Scotland","15","0"," "
"2020","All","17 and under","Scotland","30","5"," "
"2021","All","17 and under","Scotland","35","5"," "
"2022","All","17 and under","Scotland","50","5"," "
"2023","All","17 and under","Scotland","20","5"," "
"2019","All","18","Scotland","670","135","0.20400000000000001"
"2020","All","18","Scotland","550","120","0.22"
"2021","All","18","Scotland","780","95","0.121"
"2022","All","18","Scotland","665","100","0.15"
"2023","All","18","Scotland","455","100","0.224"
"2019","All","19","Scotland","195","35","0.17400000000000002"
"2020","All","19","Scotland","170","35","0.218"
"2021","All","19","Scotland","235","20","0.089"
"2022","All","19","Scotland","210","25","0.129"
"2023","All","19","Scotland","210","50","0.248"
